"SandSavesfrom_RANKTHISWEEK_2014","SandSavesfrom_RANKLASTWEEK_2014","SandSavesfrom_PLAYERNAME_2014","SandSavesfrom_ROUNDS_2014","SandSavesfrom_Pct_2014","SandSavesfrom_OFSAVES_2014","SandSavesfrom_OFBUNKERS_2014","stat_name","year"
1,1,"Chad Campbell",57,100,1,1,"SandSavesfrom",2014
1,1,"Tim Clark",75,100,4,4,"SandSavesfrom",2014
1,1,"Martin Flores",85,100,2,2,"SandSavesfrom",2014
1,1,"Brad Fritsch",50,100,3,3,"SandSavesfrom",2014
1,1,"Billy Hurley III",86,100,2,2,"SandSavesfrom",2014
1,1,"Jerry Kelly",80,100,3,3,"SandSavesfrom",2014
1,1,"Brooks Koepka",56,100,4,4,"SandSavesfrom",2014
1,1,"Bronson La Cassie",51,100,1,1,"SandSavesfrom",2014
1,1,"Ryan Palmer",85,100,6,6,"SandSavesfrom",2014
1,1,"John Senden",99,100,7,7,"SandSavesfrom",2014
1,1,"Hudson Swafford",75,100,1,1,"SandSavesfrom",2014
1,1,"Tyrone Van Aswegen",79,100,5,5,"SandSavesfrom",2014
13,13,"Jordan Spieth",102,91.67,11,12,"SandSavesfrom",2014
14,14,"Retief Goosen",94,90,9,10,"SandSavesfrom",2014
15,15,"Sangmoon Bae",76,88.89,8,9,"SandSavesfrom",2014
15,15,"Greg Chalmers",85,88.89,8,9,"SandSavesfrom",2014
15,15,"Nicholas Thompson",85,88.89,8,9,"SandSavesfrom",2014
18,18,"Kevin Na",94,85.71,6,7,"SandSavesfrom",2014
19,19,"Chris Kirk",105,84.62,11,13,"SandSavesfrom",2014
20,20,"Scott Brown",100,83.33,5,6,"SandSavesfrom",2014
20,20,"Bryce Molder",77,83.33,5,6,"SandSavesfrom",2014
20,20,"Charl Schwartzel",64,83.33,5,6,"SandSavesfrom",2014
20,20,"Charlie Wi",72,83.33,5,6,"SandSavesfrom",2014
24,24,"Aaron Baddeley",74,80,8,10,"SandSavesfrom",2014
24,24,"Jason Bohn",81,80,4,5,"SandSavesfrom",2014
24,24,"Roberto Castro",76,80,4,5,"SandSavesfrom",2014
24,24,"Stewart Cink",91,80,4,5,"SandSavesfrom",2014
24,24,"JB Holmes",86,80,4,5,"SandSavesfrom",2014
24,24,"Ben Martin",80,80,4,5,"SandSavesfrom",2014
24,24,"Justin Rose",70,80,4,5,"SandSavesfrom",2014
24,24,"Vijay Singh",83,80,8,10,"SandSavesfrom",2014
24,24,"Michael Thompson",74,80,4,5,"SandSavesfrom",2014
33,33,"David Hearn",97,77.78,7,9,"SandSavesfrom",2014
33,33,"Zach Johnson",97,77.78,7,9,"SandSavesfrom",2014
33,33,"David Lingmerth",80,77.78,7,9,"SandSavesfrom",2014
33,33,"Michael Putnam",106,77.78,7,9,"SandSavesfrom",2014
37,37,"Jamie Lovemark",64,75,3,4,"SandSavesfrom",2014
37,37,"Graeme McDowell",66,75,3,4,"SandSavesfrom",2014
37,37,"Troy Merritt",62,75,3,4,"SandSavesfrom",2014
37,37,"Chris Stroud",88,75,3,4,"SandSavesfrom",2014
41,41,"Charles Howell III",106,72.73,8,11,"SandSavesfrom",2014
41,41,"Seung Yul Noh",92,72.73,8,11,"SandSavesfrom",2014
43,43,"Dustin Johnson",58,71.43,5,7,"SandSavesfrom",2014
43,43,"Josh Teater",90,71.43,5,7,"SandSavesfrom",2014
45,45,"Paul Casey",56,70,7,10,"SandSavesfrom",2014
45,45,"James Driscoll",71,70,7,10,"SandSavesfrom",2014
45,45,"Jason Kokrak",65,70,7,10,"SandSavesfrom",2014
48,48,"Kevin Chappell",100,69.23,9,13,"SandSavesfrom",2014
48,48,"George McNeill",79,69.23,9,13,"SandSavesfrom",2014
48,48,"Kyle Stanley",87,69.23,9,13,"SandSavesfrom",2014
51,51,"Briny Baird",50,66.67,4,6,"SandSavesfrom",2014
51,51,"Keegan Bradley",89,66.67,2,3,"SandSavesfrom",2014
51,51,"KJ Choi",80,66.67,6,9,"SandSavesfrom",2014
51,51,"Erik Compton",88,66.67,4,6,"SandSavesfrom",2014
51,51,"Luke Donald",57,66.67,6,9,"SandSavesfrom",2014
51,51,"Jason Dufner",57,66.67,6,9,"SandSavesfrom",2014
51,51,"Ernie Els",85,66.67,6,9,"SandSavesfrom",2014
51,51,"Jim Furyk",84,66.67,6,9,"SandSavesfrom",2014
51,51,"James Hahn",82,66.67,4,6,"SandSavesfrom",2014
51,51,"Martin Kaymer",65,66.67,2,3,"SandSavesfrom",2014
51,51,"Richard Lee",80,66.67,4,6,"SandSavesfrom",2014
51,51,"Troy Matteson",62,66.67,2,3,"SandSavesfrom",2014
51,51,"William McGirt",96,66.67,6,9,"SandSavesfrom",2014
51,51,"Geoff Ogilvy",84,66.67,4,6,"SandSavesfrom",2014
51,51,"John Peterson",62,66.67,4,6,"SandSavesfrom",2014
51,51,"Ted Potter Jr",68,66.67,2,3,"SandSavesfrom",2014
51,51,"John Rollins",84,66.67,4,6,"SandSavesfrom",2014
51,51,"Kevin Stadler",90,66.67,2,3,"SandSavesfrom",2014
51,51,"Scott Stallings",77,66.67,6,9,"SandSavesfrom",2014
51,51,"Shawn Stefani",60,66.67,2,3,"SandSavesfrom",2014
51,51,"Brian Stuard",91,66.67,6,9,"SandSavesfrom",2014
51,51,"Nick Watney",80,66.67,4,6,"SandSavesfrom",2014
73,73,"Matt Every",85,63.64,7,11,"SandSavesfrom",2014
73,73,"Marc Leishman",81,63.64,7,11,"SandSavesfrom",2014
75,75,"Ricky Barnes",92,62.5,5,8,"SandSavesfrom",2014
75,75,"Chad Collins",78,62.5,5,8,"SandSavesfrom",2014
75,75,"Ken Duke",80,62.5,5,8,"SandSavesfrom",2014
75,75,"Chesson Hadley",84,62.5,5,8,"SandSavesfrom",2014
75,75,"Will Ma Kenzie",82,62.5,5,8,"SandSavesfrom",2014
75,75,"David Toms",64,62.5,5,8,"SandSavesfrom",2014
75,75,"YE Yang",79,62.5,5,8,"SandSavesfrom",2014
82,82,"Steven Bowditch",93,61.54,8,13,"SandSavesfrom",2014
82,82,"Brian Davis",93,61.54,8,13,"SandSavesfrom",2014
84,84,"Ben Curtis",77,60,3,5,"SandSavesfrom",2014
84,84,"Trevor Immelman",84,60,3,5,"SandSavesfrom",2014
84,84,"Matt Jones",83,60,3,5,"SandSavesfrom",2014
84,84,"Ian Poulter",57,60,3,5,"SandSavesfrom",2014
84,84,"Wes Roach",67,60,3,5,"SandSavesfrom",2014
84,84,"Rory Sabbatini",82,60,6,10,"SandSavesfrom",2014
84,84,"Adam Scott",68,60,3,5,"SandSavesfrom",2014
84,84,"Jhonattan Vegas",77,60,3,5,"SandSavesfrom",2014
84,84,"Mike Weir",69,60,3,5,"SandSavesfrom",2014
84,84,"Lee Westwood",57,60,3,5,"SandSavesfrom",2014
94,94,"Jonas Blixt",64,57.14,4,7,"SandSavesfrom",2014
94,94,"Brendon de Jonge",109,57.14,4,7,"SandSavesfrom",2014
94,94,"Graham DeLaet",80,57.14,4,7,"SandSavesfrom",2014
94,94,"Bill Haas",107,57.14,8,14,"SandSavesfrom",2014
94,94,"Brian Harman",111,57.14,4,7,"SandSavesfrom",2014
94,94,"Charley Hoffman",93,57.14,4,7,"SandSavesfrom",2014
94,94,"Matt Kuchar",91,57.14,4,7,"SandSavesfrom",2014
94,94,"Martin Laird",66,57.14,4,7,"SandSavesfrom",2014
94,94,"Phil Mickelson",71,57.14,4,7,"SandSavesfrom",2014
94,94,"Henrik Stenson",56,57.14,4,7,"SandSavesfrom",2014
94,94,"Camilo Villegas",95,57.14,4,7,"SandSavesfrom",2014
94,94,"Bubba Watson",76,57.14,4,7,"SandSavesfrom",2014
94,94,"Tim Wilkinson",86,57.14,4,7,"SandSavesfrom",2014
107,107,"Ryo Ishikawa",75,55.56,5,9,"SandSavesfrom",2014
107,107,"Ryan Moore",86,55.56,5,9,"SandSavesfrom",2014
107,107,"Pat Perez",84,55.56,5,9,"SandSavesfrom",2014
