"ProximitytoHoleARG_RANKTHISWEEK_2011","ProximitytoHoleARG_RANKLASTWEEK_2011","ProximitytoHoleARG_PLAYERNAME_2011","ProximitytoHoleARG_ROUNDS_2011","ProximitytoHoleARG_AVGDTP_2011","ProximitytoHoleARG_TOTALDISTANCEFEET_2011","ProximitytoHoleARG_OFSHOTS_2011","ProximitytoHoleARG_SCRAMBLINGRANK_2011","stat_name","year"
1,NA,"Brian Gay",90,NA,2805.083,468,7,"ProximitytoHoleARG",2011
2,NA,"Alex Cejka",59,NA,2019.083,318,111,"ProximitytoHoleARG",2011
2,NA,"Padraig Harrington",60,NA,2000.25,316,49,"ProximitytoHoleARG",2011
2,NA,"Steve Stricker",70,NA,2191.167,347,2,"ProximitytoHoleARG",2011
5,NA,"Justin Leonard",82,NA,3128.75,485,18,"ProximitytoHoleARG",2011
5,NA,"Kevin Na",84,NA,3429.167,536,9,"ProximitytoHoleARG",2011
5,NA,"Ian Poulter",52,NA,1715.5,266,122,"ProximitytoHoleARG",2011
8,NA,"Jonathan Byrd",83,NA,3131.083,482,106,"ProximitytoHoleARG",2011
8,NA,"Chris Riley",76,NA,2944,454,20,"ProximitytoHoleARG",2011
8,NA,"Rory Sabbatini",85,NA,2771.5,424,84,"ProximitytoHoleARG",2011
8,NA,"Vijay Singh",79,NA,3051,472,105,"ProximitytoHoleARG",2011
12,NA,"Freddie Jacobson",92,NA,3304.917,500,34,"ProximitytoHoleARG",2011
12,NA,"Bryce Molder",82,NA,3089.417,467,15,"ProximitytoHoleARG",2011
14,NA,"Woody Austin",59,NA,2230.417,335,5,"ProximitytoHoleARG",2011
14,NA,"Ricky Barnes",78,NA,2824.917,424,117,"ProximitytoHoleARG",2011
14,NA,"Luke Donald",73,NA,2194.25,331,8,"ProximitytoHoleARG",2011
14,NA,"Jason Dufner",78,NA,2812.667,421,70,"ProximitytoHoleARG",2011
14,NA,"Matt Kuchar",94,NA,3182.75,476,13,"ProximitytoHoleARG",2011
14,NA,"Phil Mickelson",79,NA,2756.083,414,17,"ProximitytoHoleARG",2011
14,NA,"Tim Petrovic",88,NA,3832.25,576,38,"ProximitytoHoleARG",2011
21,NA,"Jason Day",76,NA,2891,428,3,"ProximitytoHoleARG",2011
21,NA,"Steve Flesch",88,NA,3963,585,108,"ProximitytoHoleARG",2011
21,NA,"Jim Furyk",87,NA,2861.167,424,76,"ProximitytoHoleARG",2011
21,NA,"Geoff Ogilvy",69,NA,2597.25,387,52,"ProximitytoHoleARG",2011
21,NA,"Nate Smith",66,NA,2572.667,380,90,"ProximitytoHoleARG",2011
21,NA,"Mark Wilson",89,NA,3120.25,465,11,"ProximitytoHoleARG",2011
27,NA,"Stephen Ames",69,NA,2665.167,392,35,"ProximitytoHoleARG",2011
27,NA,"Stuart Appleby",65,NA,2946.5,432,128,"ProximitytoHoleARG",2011
27,NA,"Chad Campbell",99,NA,3383.75,493,102,"ProximitytoHoleARG",2011
27,NA,"Chris DiMarco",93,NA,3716,543,39,"ProximitytoHoleARG",2011
27,NA,"Sergio Garcia",61,NA,2230.417,327,44,"ProximitytoHoleARG",2011
27,NA,"Trevor Immelman",84,NA,2747.083,404,89,"ProximitytoHoleARG",2011
27,NA,"Shaun Micheel",77,NA,3112.833,454,69,"ProximitytoHoleARG",2011
27,NA,"Pat Perez",76,NA,3349.083,492,78,"ProximitytoHoleARG",2011
27,NA,"DA Points",89,NA,3684.5,536,77,"ProximitytoHoleARG",2011
27,NA,"Webb Simpson",98,NA,3566.75,524,16,"ProximitytoHoleARG",2011
27,NA,"Paul Stankowski",78,NA,3030.25,441,56,"ProximitytoHoleARG",2011
38,NA,"Aaron Baddeley",77,NA,3078.167,446,55,"ProximitytoHoleARG",2011
38,NA,"Brendon de Jonge",105,NA,4418.417,635,42,"ProximitytoHoleARG",2011
38,NA,"Steve Elkington",50,NA,2027.417,292,43,"ProximitytoHoleARG",2011
38,NA,"Ryuji Imada",83,NA,3847.75,555,65,"ProximitytoHoleARG",2011
38,NA,"Zach Johnson",79,NA,2935.917,425,4,"ProximitytoHoleARG",2011
38,NA,"Chris Kirk",87,NA,3511.417,507,99,"ProximitytoHoleARG",2011
38,NA,"Billy Mayfair",94,NA,3844.917,558,27,"ProximitytoHoleARG",2011
38,NA,"Ryan Palmer",82,NA,3181.917,460,47,"ProximitytoHoleARG",2011
38,NA,"Carl Pettersson",95,NA,4201.917,606,72,"ProximitytoHoleARG",2011
38,NA,"David Toms",78,NA,2450.667,356,25,"ProximitytoHoleARG",2011
38,NA,"YE Yang",63,NA,2093.25,303,23,"ProximitytoHoleARG",2011
49,NA,"Charley Hoffman",93,NA,3717.417,531,163,"ProximitytoHoleARG",2011
49,NA,"Jerry Kelly",85,NA,3119.333,443,14,"ProximitytoHoleARG",2011
49,NA,"Nick OHern",89,NA,3423.333,487,58,"ProximitytoHoleARG",2011
49,NA,"Heath Slocum",89,NA,2917.167,418,149,"ProximitytoHoleARG",2011
49,NA,"Camilo Villegas",69,NA,2787.417,400,127,"ProximitytoHoleARG",2011
54,NA,"Greg Chalmers",88,NA,4176.833,592,1,"ProximitytoHoleARG",2011
54,NA,"Stewart Cink",72,NA,2466,350,107,"ProximitytoHoleARG",2011
54,NA,"Ernie Els",71,NA,2544.083,359,182,"ProximitytoHoleARG",2011
