"ProximitytoHolefromSand_RANKTHISWEEK_2009","ProximitytoHolefromSand_RANKLASTWEEK_2009","ProximitytoHolefromSand_PLAYERNAME_2009","ProximitytoHolefromSand_ROUNDS_2009","ProximitytoHolefromSand_AVGDTP_2009","ProximitytoHolefromSand_TOTALDISTANCEFEET_2009","ProximitytoHolefromSand_OFSHOTS_2009","ProximitytoHolefromSand_SCRAMBLINGRANK_2009","stat_name","year"
1,1,"Robert Allenby",71,NA,555.417,76,56,"ProximitytoHolefromSand",2009
2,2,"Parker McLachlin",71,NA,913.167,119,98,"ProximitytoHolefromSand",2009
2,2,"Kevin Na",91,NA,1194.083,155,6,"ProximitytoHolefromSand",2009
2,2,"Rod Pampling",72,NA,915.833,120,74,"ProximitytoHolefromSand",2009
5,5,"Mike Weir",85,NA,985.083,127,14,"ProximitytoHolefromSand",2009
6,6,"Cliff Kresge",78,NA,818.833,104,72,"ProximitytoHolefromSand",2009
6,6,"Kevin Stadler",65,NA,487.25,62,33,"ProximitytoHolefromSand",2009
8,8,"Tom Pernice Jr",82,NA,913.75,115,12,"ProximitytoHolefromSand",2009
9,9,"Ryuji Imada",85,NA,992.333,124,54,"ProximitytoHolefromSand",2009
9,9,"Justin Rose",71,NA,736.25,92,87,"ProximitytoHolefromSand",2009
11,11,"Nathan Green",104,NA,1190.417,147,40,"ProximitytoHolefromSand",2009
11,11,"Nick OHern",90,NA,981.917,121,70,"ProximitytoHolefromSand",2009
11,11,"Charlie Wi",92,NA,1001.5,124,83,"ProximitytoHolefromSand",2009
14,14,"Chad Campbell",90,NA,663.167,81,67,"ProximitytoHolefromSand",2009
14,14,"KJ Choi",65,NA,531.25,65,141,"ProximitytoHolefromSand",2009
14,14,"Adam Scott",53,NA,565.75,69,171,"ProximitytoHolefromSand",2009
14,14,"Webb Simpson",94,NA,1253.75,153,17,"ProximitytoHolefromSand",2009
14,14,"Kevin Sutherland",96,NA,1010.667,124,81,"ProximitytoHolefromSand",2009
19,19,"Brad Adamonis",70,NA,771.917,94,36,"ProximitytoHolefromSand",2009
19,19,"Corey Pavin",73,NA,654.667,79,80,"ProximitytoHolefromSand",2009
19,19,"Jay Williamson",69,NA,577.167,70,86,"ProximitytoHolefromSand",2009
22,22,"Tim Clark",81,NA,642.167,77,19,"ProximitytoHolefromSand",2009
22,22,"Steve Stricker",81,NA,827.417,99,2,"ProximitytoHolefromSand",2009
22,22,"Mark Wilson",99,NA,1224.583,147,21,"ProximitytoHolefromSand",2009
25,25,"Cameron Beckman",87,NA,804.167,96,77,"ProximitytoHolefromSand",2009
25,25,"Steve Flesch",77,NA,806.667,96,50,"ProximitytoHolefromSand",2009
25,25,"Zach Johnson",94,NA,804.167,96,31,"ProximitytoHolefromSand",2009
