"ProximitytoHolefromRough_RANKTHISWEEK_2005","ProximitytoHolefromRough_RANKLASTWEEK_2005","ProximitytoHolefromRough_PLAYERNAME_2005","ProximitytoHolefromRough_ROUNDS_2005","ProximitytoHolefromRough_AVGDTP_2005","ProximitytoHolefromRough_TOTALDISTANCEFEET_2005","ProximitytoHolefromRough_OFSHOTS_2005","ProximitytoHolefromRough_SCRAMBLINGRANK_2005","stat_name","year"
1,1,"Mike Weir",71,NA,954.917,137,81,"ProximitytoHolefromRough",2005
2,2,"Steve Stricker",62,NA,1172.5,165,16,"ProximitytoHolefromRough",2005
3,3,"Bernhard Langer",67,NA,779.667,109,41,"ProximitytoHolefromRough",2005
3,3,"Jose Maria Olazabal",55,NA,737.25,103,5,"ProximitytoHolefromRough",2005
5,5,"Glen Day",80,NA,1503.5,205,45,"ProximitytoHolefromRough",2005
5,5,"Shigeki Maruyama",99,NA,1657.667,226,29,"ProximitytoHolefromRough",2005
7,7,"Padraig Harrington",50,NA,894.083,120,170,"ProximitytoHolefromRough",2005
7,7,"Arron Oberholser",65,NA,999,134,59,"ProximitytoHolefromRough",2005
9,9,"Fred Funk",102,NA,1515.917,202,11,"ProximitytoHolefromRough",2005
9,9,"Paul Gow",78,NA,1358.583,182,75,"ProximitytoHolefromRough",2005
9,9,"Justin Rose",99,NA,1735.583,231,18,"ProximitytoHolefromRough",2005
9,9,"Omar Uresti",84,NA,1128.75,150,47,"ProximitytoHolefromRough",2005
13,13,"Phil Mickelson",81,NA,1094.5,144,9,"ProximitytoHolefromRough",2005
14,14,"Woody Austin",100,NA,1777.833,231,119,"ProximitytoHolefromRough",2005
14,14,"Ryuji Imada",78,NA,1247.417,162,32,"ProximitytoHolefromRough",2005
14,14,"Chris Riley",67,NA,976,127,83,"ProximitytoHolefromRough",2005
14,14,"Adam Scott",72,NA,1208.083,157,150,"ProximitytoHolefromRough",2005
18,18,"Paul Claxton",79,NA,1245.917,160,146,"ProximitytoHolefromRough",2005
18,18,"Todd Hamilton",94,NA,1378.25,177,181,"ProximitytoHolefromRough",2005
18,18,"Kevin Sutherland",89,NA,1445.583,187,6,"ProximitytoHolefromRough",2005
21,21,"Todd Fischer",99,NA,2008.083,256,82,"ProximitytoHolefromRough",2005
21,21,"Tim Herron",100,NA,1463.833,187,20,"ProximitytoHolefromRough",2005
21,21,"Matt Kuchar",60,NA,1179.5,150,26,"ProximitytoHolefromRough",2005
21,21,"Tom Pernice Jr",111,NA,2020.667,258,8,"ProximitytoHolefromRough",2005
21,21,"Heath Slocum",103,NA,1569.417,200,40,"ProximitytoHolefromRough",2005
26,26,"KJ Choi",78,NA,1098.917,139,89,"ProximitytoHolefromRough",2005
26,26,"Ben Crane",78,NA,1672.167,212,43,"ProximitytoHolefromRough",2005
26,26,"Nick Watney",91,NA,1913.833,241,84,"ProximitytoHolefromRough",2005
29,29,"Jeff Hart",63,NA,939.167,118,49,"ProximitytoHolefromRough",2005
29,29,"Jonathan Kaye",77,NA,1370.833,172,132,"ProximitytoHolefromRough",2005
29,29,"Joe Ogilvie",103,NA,1977.583,246,77,"ProximitytoHolefromRough",2005
29,29,"Loren Roberts",54,NA,756.25,95,7,"ProximitytoHolefromRough",2005
29,29,"Joey Sindelar",104,NA,1866,234,76,"ProximitytoHolefromRough",2005
34,34,"Tim Clark",92,NA,1624.917,202,86,"ProximitytoHolefromRough",2005
34,34,"Gavin Coles",70,NA,1297.917,160,61,"ProximitytoHolefromRough",2005
34,34,"Brandt Jobe",96,NA,1652.417,204,124,"ProximitytoHolefromRough",2005
34,34,"Phillip Price",77,NA,1144.333,141,22,"ProximitytoHolefromRough",2005
34,34,"Mario Tiziani",67,NA,1243.583,154,85,"ProximitytoHolefromRough",2005
34,34,"Lee Westwood",50,NA,778,96,178,"ProximitytoHolefromRough",2005
34,34,"Charlie Wi",67,NA,1372.167,170,36,"ProximitytoHolefromRough",2005
41,41,"Aaron Baddeley",84,NA,2037.583,249,72,"ProximitytoHolefromRough",2005
41,41,"Jason Bohn",91,NA,1480.167,182,69,"ProximitytoHolefromRough",2005
41,41,"Zach Johnson",96,NA,1590.667,195,109,"ProximitytoHolefromRough",2005
41,41,"Corey Pavin",77,NA,1070,131,4,"ProximitytoHolefromRough",2005
41,41,"Vaughn Taylor",99,NA,1814.833,222,98,"ProximitytoHolefromRough",2005
41,41,"Jay Williamson",53,NA,870.917,107,31,"ProximitytoHolefromRough",2005
47,47,"Briny Baird",98,NA,1716.583,209,135,"ProximitytoHolefromRough",2005
47,47,"Jonathan Byrd",103,NA,1800.75,218,99,"ProximitytoHolefromRough",2005
47,47,"Jose Coceres",56,NA,1060.333,128,18,"ProximitytoHolefromRough",2005
47,47,"Lee Janzen",75,NA,1273.833,155,101,"ProximitytoHolefromRough",2005
47,47,"Stephen Leaney",89,NA,1670.167,202,51,"ProximitytoHolefromRough",2005
47,47,"Larry Mize",54,NA,989.417,120,72,"ProximitytoHolefromRough",2005
47,47,"Geoff Ogilvy",97,NA,1520.417,184,92,"ProximitytoHolefromRough",2005
47,47,"Tim Petrovic",97,NA,1732.833,209,87,"ProximitytoHolefromRough",2005
47,47,"Ian Poulter",62,NA,817.667,99,180,"ProximitytoHolefromRough",2005
47,47,"Rob Rashell",65,NA,1444.167,175,166,"ProximitytoHolefromRough",2005
57,57,"DJ Brigman",76,NA,1188.75,142,193,"ProximitytoHolefromRough",2005
57,57,"Richard Johnson",50,NA,1153.833,139,21,"ProximitytoHolefromRough",2005
57,57,"Skip Kendall",80,NA,1475,177,119,"ProximitytoHolefromRough",2005
57,57,"Frank Lickliter II",100,NA,1945.75,233,186,"ProximitytoHolefromRough",2005
57,57,"Darron Stiles",78,NA,1100.333,132,30,"ProximitytoHolefromRough",2005
57,57,"Bob Tway",87,NA,1103.333,133,67,"ProximitytoHolefromRough",2005
63,63,"Tommy Armour III",103,NA,1750.75,209,113,"ProximitytoHolefromRough",2005
63,63,"Bob Estes",92,NA,1466.75,174,23,"ProximitytoHolefromRough",2005
63,63,"Carlos Franco",78,NA,1495.333,177,39,"ProximitytoHolefromRough",2005
63,63,"Tom Lehman",69,NA,957.667,114,121,"ProximitytoHolefromRough",2005
63,63,"Vijay Singh",111,NA,1988.583,237,2,"ProximitytoHolefromRough",2005
68,68,"Jeff Brehaut",71,NA,1152.25,135,95,"ProximitytoHolefromRough",2005
68,68,"Olin Browne",99,NA,1656.75,194,66,"ProximitytoHolefromRough",2005
68,68,"Marco Dawson",82,NA,1680.583,197,60,"ProximitytoHolefromRough",2005
68,68,"Brian Gay",101,NA,2050.333,242,15,"ProximitytoHolefromRough",2005
68,68,"David Hearn",68,NA,1203.167,141,188,"ProximitytoHolefromRough",2005
68,68,"Justin Leonard",78,NA,1144.083,134,64,"ProximitytoHolefromRough",2005
68,68,"Kenny Perry",82,NA,1242.917,146,70,"ProximitytoHolefromRough",2005
75,75,"Paul Azinger",66,NA,1421.167,165,140,"ProximitytoHolefromRough",2005
75,75,"Alex Cejka",84,NA,1650.417,192,142,"ProximitytoHolefromRough",2005
75,75,"Jim Furyk",94,NA,1232.833,143,3,"ProximitytoHolefromRough",2005
75,75,"Dudley Hart",84,NA,1414.333,165,10,"ProximitytoHolefromRough",2005
75,75,"JP Hayes",63,NA,1115.833,130,55,"ProximitytoHolefromRough",2005
75,75,"Charles Howell III",95,NA,1620.75,188,68,"ProximitytoHolefromRough",2005
75,75,"Andrew Magee",82,NA,1721.833,200,139,"ProximitytoHolefromRough",2005
75,75,"Kevin Na",88,NA,1908.917,223,13,"ProximitytoHolefromRough",2005
75,75,"Greg Owen",84,NA,1481.917,172,101,"ProximitytoHolefromRough",2005
75,75,"Jesper Parnevik",84,NA,1603.5,187,57,"ProximitytoHolefromRough",2005
75,75,"Ted Purdy",122,NA,2260.5,263,158,"ProximitytoHolefromRough",2005
75,75,"Rory Sabbatini",81,NA,1600.833,186,108,"ProximitytoHolefromRough",2005
75,75,"Hideto Tanihara",50,NA,1010.25,118,190,"ProximitytoHolefromRough",2005
75,75,"Scott Verplank",87,NA,1470.5,172,111,"ProximitytoHolefromRough",2005
75,75,"Mark Wilson",74,NA,1284,149,36,"ProximitytoHolefromRough",2005
90,90,"Jason Allred",75,NA,1924.5,223,184,"ProximitytoHolefromRough",2005
90,90,"Doug Barron",70,NA,1362.083,157,52,"ProximitytoHolefromRough",2005
90,90,"Jim Carter",62,NA,1226.083,141,135,"ProximitytoHolefromRough",2005
90,90,"Hunter Haas",83,NA,1564.333,180,112,"ProximitytoHolefromRough",2005
90,90,"Kent Jones",99,NA,1973.583,228,138,"ProximitytoHolefromRough",2005
90,90,"Brendan Jones",81,NA,1548.25,178,78,"ProximitytoHolefromRough",2005
90,90,"Bo Van Pelt",112,NA,1939.5,224,114,"ProximitytoHolefromRough",2005
97,97,"Chris Anderson",66,NA,1158.833,132,153,"ProximitytoHolefromRough",2005
97,97,"Sergio Garcia",73,NA,1130.25,129,56,"ProximitytoHolefromRough",2005
97,97,"Bill Glasson",54,NA,990.167,113,151,"ProximitytoHolefromRough",2005
97,97,"Lucas Glover",88,NA,2012,231,129,"ProximitytoHolefromRough",2005
97,97,"Retief Goosen",71,NA,1076.333,123,131,"ProximitytoHolefromRough",2005
97,97,"Steve Jones",56,NA,1003.667,115,143,"ProximitytoHolefromRough",2005
97,97,"Brenden Pappas",51,NA,1084.75,124,197,"ProximitytoHolefromRough",2005
97,97,"Kirk Triplett",55,NA,904.833,103,50,"ProximitytoHolefromRough",2005
97,97,"Dean Wilson",86,NA,1677.25,192,62,"ProximitytoHolefromRough",2005
106,106,"Stuart Appleby",84,NA,1558.333,176,58,"ProximitytoHolefromRough",2005
106,106,"Cameron Beckman",96,NA,1839.083,208,122,"ProximitytoHolefromRough",2005
106,106,"Rich Beem",66,NA,1117.083,126,189,"ProximitytoHolefromRough",2005
106,106,"Stewart Cink",98,NA,1556.5,176,53,"ProximitytoHolefromRough",2005
106,106,"John Cook",72,NA,1322.917,150,185,"ProximitytoHolefromRough",2005
106,106,"Chris DiMarco",83,NA,1419.25,161,27,"ProximitytoHolefromRough",2005
106,106,"Mark Hensby",70,NA,1416.75,160,198,"ProximitytoHolefromRough",2005
106,106,"John Rollins",97,NA,1738.25,196,175,"ProximitytoHolefromRough",2005
106,106,"Patrick Sheehan",114,NA,2472.083,279,130,"ProximitytoHolefromRough",2005
115,115,"Mark Brooks",72,NA,1602.25,179,79,"ProximitytoHolefromRough",2005
115,115,"Fred Couples",72,NA,1019.917,114,168,"ProximitytoHolefromRough",2005
115,115,"Luke Donald",67,NA,754.917,85,42,"ProximitytoHolefromRough",2005
115,115,"Dan Forsman",52,NA,1056.5,119,46,"ProximitytoHolefromRough",2005
115,115,"Freddie Jacobson",72,NA,1307.833,146,91,"ProximitytoHolefromRough",2005
115,115,"Rod Pampling",89,NA,1504.25,169,134,"ProximitytoHolefromRough",2005
115,115,"David Toms",87,NA,1366.917,153,118,"ProximitytoHolefromRough",2005
122,122,"Michael Allen",90,NA,1809.833,201,147,"ProximitytoHolefromRough",2005
122,122,"Stephen Ames",82,NA,1553.75,172,35,"ProximitytoHolefromRough",2005
122,122,"Daniel Chopra",108,NA,2580.25,286,23,"ProximitytoHolefromRough",2005
122,122,"John Daly",78,NA,1653.083,183,192,"ProximitytoHolefromRough",2005
122,122,"Matt Davidson",53,NA,1142,127,155,"ProximitytoHolefromRough",2005
122,122,"Brian Davis",75,NA,1255.167,139,17,"ProximitytoHolefromRough",2005
122,122,"Harrison Frazar",105,NA,2193.917,244,74,"ProximitytoHolefromRough",2005
122,122,"Glen Hnatiuk",59,NA,908.417,101,173,"ProximitytoHolefromRough",2005
122,122,"Neal Lancaster",95,NA,1955.417,218,90,"ProximitytoHolefromRough",2005
122,122,"Steve Lowery",100,NA,2063.833,230,137,"ProximitytoHolefromRough",2005
122,122,"Len Mattiace",86,NA,1940.917,216,106,"ProximitytoHolefromRough",2005
122,122,"Rocco Mediate",73,NA,1290.833,143,38,"ProximitytoHolefromRough",2005
122,122,"Carl Pettersson",109,NA,2061.417,230,25,"ProximitytoHolefromRough",2005
122,122,"Tag Ridings",93,NA,2100.75,234,163,"ProximitytoHolefromRough",2005
136,136,"Robert Damron",89,NA,1814.417,200,93,"ProximitytoHolefromRough",2005
136,136,"John Elliott",58,NA,1295.417,143,199,"ProximitytoHolefromRough",2005
136,136,"Robert Gamez",91,NA,1751.083,193,127,"ProximitytoHolefromRough",2005
136,136,"Jeff Maggert",79,NA,1300.333,143,167,"ProximitytoHolefromRough",2005
136,136,"Billy Mayfair",114,NA,2316.75,256,54,"ProximitytoHolefromRough",2005
136,136,"Scott McCarron",78,NA,1408.583,155,161,"ProximitytoHolefromRough",2005
136,136,"Roland Thatcher",75,NA,1585.417,174,133,"ProximitytoHolefromRough",2005
143,143,"Billy Andrade",83,NA,1967.75,214,104,"ProximitytoHolefromRough",2005
143,143,"Arjun Atwal",65,NA,1663.667,181,162,"ProximitytoHolefromRough",2005
143,143,"Brian Bateman",98,NA,2047.417,224,176,"ProximitytoHolefromRough",2005
143,143,"Brad Faxon",75,NA,1400.167,153,97,"ProximitytoHolefromRough",2005
143,143,"Brent Geiberger",61,NA,1210.833,132,164,"ProximitytoHolefromRough",2005
143,143,"Bob Heintz",67,NA,1558.333,170,96,"ProximitytoHolefromRough",2005
143,143,"Shaun Micheel",81,NA,1470.333,161,157,"ProximitytoHolefromRough",2005
143,143,"Hidemichi Tanaka",106,NA,1960.417,213,62,"ProximitytoHolefromRough",2005
151,151,"Steve Allan",102,NA,2376.417,257,117,"ProximitytoHolefromRough",2005
151,151,"Steve Flesch",90,NA,1677,182,159,"ProximitytoHolefromRough",2005
151,151,"Matt Gogel",78,NA,1693.417,183,106,"ProximitytoHolefromRough",2005
151,151,"Mathias Gronberg",60,NA,1476.417,159,1,"ProximitytoHolefromRough",2005
151,151,"Jerry Kelly",101,NA,1953.917,211,71,"ProximitytoHolefromRough",2005
151,151,"Thomas Levet",54,NA,904,98,195,"ProximitytoHolefromRough",2005
151,151,"Davis Love III",80,NA,1586,171,48,"ProximitytoHolefromRough",2005
