"ProximitytoHolefromFringe_RANKTHISWEEK_2014","ProximitytoHolefromFringe_RANKLASTWEEK_2014","ProximitytoHolefromFringe_PLAYERNAME_2014","ProximitytoHolefromFringe_ROUNDS_2014","ProximitytoHolefromFringe_AVGDTP_2014","ProximitytoHolefromFringe_TOTALDISTANCEFEET_2014","ProximitytoHolefromFringe_OFSHOTS_2014","ProximitytoHolefromFringe_SCRAMBLINGRANK_2014","stat_name","year"
1,1,"Jamie Lovemark",64,NA,93.5,44,129,"ProximitytoHolefromFringe",2014
2,2,"Luke Donald",57,NA,80.25,34,38,"ProximitytoHolefromFringe",2014
2,2,"Matt Every",85,NA,147,63,82,"ProximitytoHolefromFringe",2014
2,2,"Rickie Fowler",91,NA,126.333,55,17,"ProximitytoHolefromFringe",2014
2,2,"William McGirt",96,NA,179.917,78,79,"ProximitytoHolefromFringe",2014
2,2,"Justin Rose",70,NA,117.25,50,31,"ProximitytoHolefromFringe",2014
2,2,"Mike Weir",69,NA,114.667,49,56,"ProximitytoHolefromFringe",2014
8,8,"Kevin Chappell",100,NA,221.083,91,114,"ProximitytoHolefromFringe",2014
8,8,"Zach Johnson",97,NA,199.75,84,36,"ProximitytoHolefromFringe",2014
8,8,"Chris Stroud",88,NA,186.583,77,18,"ProximitytoHolefromFringe",2014
11,11,"Ricky Barnes",92,NA,188.333,76,19,"ProximitytoHolefromFringe",2014
11,11,"Roberto Castro",76,NA,162.75,66,136,"ProximitytoHolefromFringe",2014
11,11,"Seung Yul Noh",92,NA,146.75,59,45,"ProximitytoHolefromFringe",2014
11,11,"Vijay Singh",83,NA,164,65,73,"ProximitytoHolefromFringe",2014
15,15,"Bud Cauley",56,NA,117,46,57,"ProximitytoHolefromFringe",2014
15,15,"Greg Chalmers",85,NA,221.083,86,65,"ProximitytoHolefromFringe",2014
15,15,"Ben Curtis",77,NA,163.333,64,126,"ProximitytoHolefromFringe",2014
15,15,"Charley Hoffman",93,NA,180.583,69,64,"ProximitytoHolefromFringe",2014
15,15,"Marc Leishman",81,NA,170.667,67,115,"ProximitytoHolefromFringe",2014
15,15,"David Lingmerth",80,NA,198.583,76,151,"ProximitytoHolefromFringe",2014
15,15,"Patrick Reed",92,NA,140.583,55,69,"ProximitytoHolefromFringe",2014
15,15,"Daniel Summerhays",98,NA,240.083,92,96,"ProximitytoHolefromFringe",2014
15,15,"Nick Watney",80,NA,170.083,66,132,"ProximitytoHolefromFringe",2014
15,15,"Mark Wilson",69,NA,137.417,54,138,"ProximitytoHolefromFringe",2014
25,25,"KJ Choi",80,NA,174.417,65,119,"ProximitytoHolefromFringe",2014
25,25,"Ben Crane",81,NA,195.417,73,75,"ProximitytoHolefromFringe",2014
25,25,"Graham DeLaet",80,NA,140.25,53,85,"ProximitytoHolefromFringe",2014
25,25,"Jim Furyk",84,NA,176.25,67,1,"ProximitytoHolefromFringe",2014
25,25,"JB Holmes",86,NA,190.75,72,89,"ProximitytoHolefromFringe",2014
25,25,"Ben Martin",80,NA,170.333,64,75,"ProximitytoHolefromFringe",2014
25,25,"George McNeill",79,NA,200.333,75,97,"ProximitytoHolefromFringe",2014
25,25,"Webb Simpson",87,NA,186.583,70,77,"ProximitytoHolefromFringe",2014
25,25,"Michael Thompson",74,NA,134.917,50,90,"ProximitytoHolefromFringe",2014
25,25,"Boo Weekley",73,NA,134,50,160,"ProximitytoHolefromFringe",2014
25,25,"Lee Westwood",57,NA,129.417,49,127,"ProximitytoHolefromFringe",2014
36,36,"Jason Bohn",81,NA,196.25,72,131,"ProximitytoHolefromFringe",2014
36,36,"Keegan Bradley",89,NA,173.833,64,14,"ProximitytoHolefromFringe",2014
36,36,"Brian Davis",93,NA,250.833,92,25,"ProximitytoHolefromFringe",2014
36,36,"Brendon de Jonge",109,NA,255.333,93,117,"ProximitytoHolefromFringe",2014
36,36,"Kevin Kisner",85,NA,221.833,80,122,"ProximitytoHolefromFringe",2014
36,36,"Hideki Matsuyama",82,NA,180.75,65,41,"ProximitytoHolefromFringe",2014
36,36,"Kevin Na",94,NA,202.083,73,4,"ProximitytoHolefromFringe",2014
36,36,"John Peterson",62,NA,214,79,134,"ProximitytoHolefromFringe",2014
36,36,"DA Points",75,NA,123.833,45,156,"ProximitytoHolefromFringe",2014
36,36,"Robert Streb",75,NA,179.417,66,80,"ProximitytoHolefromFringe",2014
36,36,"David Toms",64,NA,126.5,46,23,"ProximitytoHolefromFringe",2014
36,36,"Kevin Tway",64,NA,93.833,34,162,"ProximitytoHolefromFringe",2014
48,48,"Aaron Baddeley",74,NA,113.667,40,47,"ProximitytoHolefromFringe",2014
48,48,"Jonathan Byrd",76,NA,191.75,68,99,"ProximitytoHolefromFringe",2014
48,48,"Angel Cabrera",69,NA,210.083,75,161,"ProximitytoHolefromFringe",2014
