"ProximitytoHolefromOtherLocations_RANKTHISWEEK_2011","ProximitytoHolefromOtherLocations_RANKLASTWEEK_2011","ProximitytoHolefromOtherLocations_PLAYERNAME_2011","ProximitytoHolefromOtherLocations_ROUNDS_2011","ProximitytoHolefromOtherLocations_AVGDTP_2011","ProximitytoHolefromOtherLocations_TOTALDISTANCEFEET_2011","ProximitytoHolefromOtherLocations_OFSHOTS_2011","ProximitytoHolefromOtherLocations_SCRAMBLINGRANK_2011","stat_name","year"
1,1,"Jim Furyk",87,NA,6.412,106,76,"ProximitytoHolefromOtherLocations",2011
2,2,"Brandt Snedeker",85,NA,7.241,119,22,"ProximitytoHolefromOtherLocations",2011
3,3,"Alex Cejka",59,NA,4.974,75,111,"ProximitytoHolefromOtherLocations",2011
4,4,"Brian Gay",90,NA,8.155,122,7,"ProximitytoHolefromOtherLocations",2011
4,4,"Andres Gonzales",60,NA,6.548,98,169,"ProximitytoHolefromOtherLocations",2011
6,6,"Freddie Jacobson",92,NA,8.896,130,34,"ProximitytoHolefromOtherLocations",2011
7,7,"Aaron Baddeley",77,NA,6.373,92,55,"ProximitytoHolefromOtherLocations",2011
7,7,"Steve Marino",76,NA,7.817,113,97,"ProximitytoHolefromOtherLocations",2011
7,7,"Chris Riley",76,NA,9.707,140,20,"ProximitytoHolefromOtherLocations",2011
10,10,"Chad Campbell",99,NA,9.731,140,102,"ProximitytoHolefromOtherLocations",2011
10,10,"Michael Connell",76,NA,11.421,164,30,"ProximitytoHolefromOtherLocations",2011
10,10,"James Driscoll",71,NA,10.431,149,112,"ProximitytoHolefromOtherLocations",2011
10,10,"Jim Herman",69,NA,8.645,123,118,"ProximitytoHolefromOtherLocations",2011
10,10,"Justin Leonard",82,NA,10.507,151,18,"ProximitytoHolefromOtherLocations",2011
15,15,"Brendon de Jonge",105,NA,12.391,175,42,"ProximitytoHolefromOtherLocations",2011
15,15,"Harrison Frazar",58,NA,5.77,81,157,"ProximitytoHolefromOtherLocations",2011
15,15,"Kevin Na",84,NA,9.494,133,9,"ProximitytoHolefromOtherLocations",2011
15,15,"Steve Stricker",70,NA,5.888,83,2,"ProximitytoHolefromOtherLocations",2011
19,19,"Stephen Ames",69,NA,8.607,120,35,"ProximitytoHolefromOtherLocations",2011
19,19,"Jason Bohn",74,NA,8.75,122,83,"ProximitytoHolefromOtherLocations",2011
19,19,"Jason Day",76,NA,7.515,105,3,"ProximitytoHolefromOtherLocations",2011
19,19,"Kevin Kisner",70,NA,9.778,136,142,"ProximitytoHolefromOtherLocations",2011
19,19,"Phil Mickelson",79,NA,5.496,76,17,"ProximitytoHolefromOtherLocations",2011
19,19,"Nick OHern",89,NA,11.553,161,58,"ProximitytoHolefromOtherLocations",2011
25,25,"Woody Austin",59,NA,7.774,106,5,"ProximitytoHolefromOtherLocations",2011
25,25,"Nathan Green",81,NA,12.411,170,26,"ProximitytoHolefromOtherLocations",2011
25,25,"Matt McQuillan",59,NA,6.459,88,101,"ProximitytoHolefromOtherLocations",2011
25,25,"Shaun Micheel",77,NA,8.524,116,69,"ProximitytoHolefromOtherLocations",2011
29,29,"Greg Chalmers",88,NA,12.511,170,1,"ProximitytoHolefromOtherLocations",2011
29,29,"Paul Goydos",81,NA,9.459,127,130,"ProximitytoHolefromOtherLocations",2011
29,29,"Matt Kuchar",94,NA,8.191,111,13,"ProximitytoHolefromOtherLocations",2011
29,29,"DA Points",89,NA,9.4,127,77,"ProximitytoHolefromOtherLocations",2011
29,29,"Chris Stroud",88,NA,10.471,142,103,"ProximitytoHolefromOtherLocations",2011
29,29,"YE Yang",63,NA,4.9,66,23,"ProximitytoHolefromOtherLocations",2011
35,35,"Chris Couch",73,NA,10.158,136,27,"ProximitytoHolefromOtherLocations",2011
35,35,"Luke Donald",73,NA,6.117,82,8,"ProximitytoHolefromOtherLocations",2011
35,35,"Marc Leishman",87,NA,11.027,147,71,"ProximitytoHolefromOtherLocations",2011
35,35,"Spencer Levin",113,NA,10.538,141,41,"ProximitytoHolefromOtherLocations",2011
35,35,"Tim Petrovic",88,NA,13.6,182,38,"ProximitytoHolefromOtherLocations",2011
35,35,"John Rollins",85,NA,10.865,145,123,"ProximitytoHolefromOtherLocations",2011
41,41,"Shane Bertsch",62,NA,7.031,92,57,"ProximitytoHolefromOtherLocations",2011
41,41,"Ryuji Imada",83,NA,13.103,173,65,"ProximitytoHolefromOtherLocations",2011
41,41,"Bio Kim",71,NA,10.647,141,142,"ProximitytoHolefromOtherLocations",2011
41,41,"Jim Renner",65,NA,9.828,130,85,"ProximitytoHolefromOtherLocations",2011
41,41,"Bo Van Pelt",92,NA,8.982,118,68,"ProximitytoHolefromOtherLocations",2011
41,41,"Camilo Villegas",69,NA,7.357,97,127,"ProximitytoHolefromOtherLocations",2011
47,47,"Stuart Appleby",65,NA,8.755,113,128,"ProximitytoHolefromOtherLocations",2011
47,47,"Matt Bettencourt",84,NA,12.795,166,141,"ProximitytoHolefromOtherLocations",2011
47,47,"Rickie Fowler",84,NA,8.153,106,139,"ProximitytoHolefromOtherLocations",2011
47,47,"Charles Howell III",108,NA,13.886,181,5,"ProximitytoHolefromOtherLocations",2011
47,47,"Chris Kirk",87,NA,9.264,121,99,"ProximitytoHolefromOtherLocations",2011
47,47,"Jarrod Lyle",83,NA,9.632,125,104,"ProximitytoHolefromOtherLocations",2011
47,47,"George McNeill",69,NA,9.501,124,124,"ProximitytoHolefromOtherLocations",2011
47,47,"Zack Miller",86,NA,11.273,146,153,"ProximitytoHolefromOtherLocations",2011
47,47,"Aron Price",58,NA,9.762,127,137,"ProximitytoHolefromOtherLocations",2011
47,47,"Rory Sabbatini",85,NA,7.953,103,84,"ProximitytoHolefromOtherLocations",2011
47,47,"Jimmy Walker",79,NA,9.975,129,54,"ProximitytoHolefromOtherLocations",2011
58,58,"Jonathan Byrd",83,NA,9.515,122,106,"ProximitytoHolefromOtherLocations",2011
58,58,"Angel Cabrera",50,NA,5.147,66,176,"ProximitytoHolefromOtherLocations",2011
58,58,"Jason Dufner",78,NA,9.101,116,70,"ProximitytoHolefromOtherLocations",2011
58,58,"Steve Flesch",88,NA,13.897,178,108,"ProximitytoHolefromOtherLocations",2011
58,58,"Dustin Johnson",72,NA,6.316,81,181,"ProximitytoHolefromOtherLocations",2011
58,58,"Sung Kang",63,NA,7.995,103,115,"ProximitytoHolefromOtherLocations",2011
58,58,"Jerry Kelly",85,NA,9.488,122,14,"ProximitytoHolefromOtherLocations",2011
58,58,"Scott Piercy",78,NA,9.839,126,100,"ProximitytoHolefromOtherLocations",2011
58,58,"Daniel Summerhays",75,NA,10.659,136,138,"ProximitytoHolefromOtherLocations",2011
58,58,"Dean Wilson",62,NA,9.151,118,19,"ProximitytoHolefromOtherLocations",2011
68,68,"Keegan Bradley",91,NA,12.094,154,125,"ProximitytoHolefromOtherLocations",2011
