"ProximitytoHolefrom30yards_RANKTHISWEEK_2006","ProximitytoHolefrom30yards_RANKLASTWEEK_2006","ProximitytoHolefrom30yards_PLAYERNAME_2006","ProximitytoHolefrom30yards_ROUNDS_2006","ProximitytoHolefrom30yards_AVGDTP_2006","ProximitytoHolefrom30yards_TOTALDISTANCEFEET_2006","ProximitytoHolefrom30yards_OFSHOTS_2006","ProximitytoHolefrom30yards_SCRAMBLINGRANK_2006","stat_name","year"
1,1,"Justin Leonard",83,NA,380.833,44,77,"ProximitytoHolefrom30yards",2006
2,2,"Retief Goosen",68,NA,383.417,41,108,"ProximitytoHolefrom30yards",2006
3,3,"Stuart Appleby",83,NA,687,69,56,"ProximitytoHolefrom30yards",2006
3,3,"Steve Stricker",64,NA,385.917,39,2,"ProximitytoHolefrom30yards",2006
5,5,"Thomas Levet",53,NA,430.5,43,81,"ProximitytoHolefrom30yards",2006
6,6,"Fred Funk",106,NA,553.083,55,42,"ProximitytoHolefrom30yards",2006
7,7,"Doug Barron",74,NA,607.583,60,23,"ProximitytoHolefrom30yards",2006
7,7,"Tim Herron",82,NA,609.25,60,148,"ProximitytoHolefrom30yards",2006
9,9,"Pat Perez",50,NA,400.5,39,166,"ProximitytoHolefrom30yards",2006
10,10,"Michael Allen",84,NA,570.667,55,70,"ProximitytoHolefrom30yards",2006
11,11,"Chris Riley",86,NA,591.083,56,26,"ProximitytoHolefrom30yards",2006
12,12,"Tim Clark",80,NA,342.25,32,58,"ProximitytoHolefrom30yards",2006
13,13,"Padraig Harrington",54,NA,332.583,31,36,"ProximitytoHolefrom30yards",2006
13,13,"Shigeki Maruyama",94,NA,675.167,63,21,"ProximitytoHolefrom30yards",2006
13,13,"Bo Van Pelt",102,NA,699.583,65,99,"ProximitytoHolefrom30yards",2006
16,16,"Marco Dawson",87,NA,812.5,75,121,"ProximitytoHolefrom30yards",2006
16,16,"Chris DiMarco",83,NA,467.5,43,62,"ProximitytoHolefrom30yards",2006
16,16,"Rod Pampling",89,NA,532.75,49,85,"ProximitytoHolefrom30yards",2006
16,16,"Camilo Villegas",95,NA,615.917,57,123,"ProximitytoHolefrom30yards",2006
20,20,"Omar Uresti",61,NA,361.333,33,7,"ProximitytoHolefrom30yards",2006
21,21,"Rory Sabbatini",84,NA,587.167,53,50,"ProximitytoHolefrom30yards",2006
21,21,"Bob Tway",81,NA,578.333,52,147,"ProximitytoHolefrom30yards",2006
23,23,"Robert Gamez",94,NA,615.5,55,135,"ProximitytoHolefrom30yards",2006
23,23,"Frank Lickliter II",99,NA,985.833,88,16,"ProximitytoHolefrom30yards",2006
23,23,"Vijay Singh",103,NA,801.083,72,39,"ProximitytoHolefrom30yards",2006
26,26,"Luke Donald",66,NA,428.167,38,3,"ProximitytoHolefrom30yards",2006
26,26,"David Toms",76,NA,540.583,48,54,"ProximitytoHolefrom30yards",2006
28,28,"Greg Chalmers",71,NA,737,65,126,"ProximitytoHolefrom30yards",2006
28,28,"Ben Crane",85,NA,735.5,65,120,"ProximitytoHolefrom30yards",2006
28,28,"JB Holmes",81,NA,622.333,55,188,"ProximitytoHolefrom30yards",2006
28,28,"Steve Lowery",99,NA,825.583,73,111,"ProximitytoHolefrom30yards",2006
28,28,"Tom Pernice Jr",108,NA,916.833,81,80,"ProximitytoHolefrom30yards",2006
28,28,"Bubba Watson",83,NA,815.75,72,83,"ProximitytoHolefrom30yards",2006
34,34,"Phil Mickelson",74,NA,558,49,138,"ProximitytoHolefrom30yards",2006
34,34,"Arron Oberholser",82,NA,650.333,57,98,"ProximitytoHolefrom30yards",2006
36,36,"Woody Austin",107,NA,838.083,73,43,"ProximitytoHolefrom30yards",2006
36,36,"Bob Estes",85,NA,517.25,45,40,"ProximitytoHolefrom30yards",2006
36,36,"Scott Verplank",88,NA,528,46,12,"ProximitytoHolefrom30yards",2006
39,39,"Geoff Ogilvy",76,NA,681.75,59,69,"ProximitytoHolefrom30yards",2006
39,39,"Mike Weir",88,NA,670.917,58,79,"ProximitytoHolefrom30yards",2006
41,41,"Lucas Glover",105,NA,735.833,63,129,"ProximitytoHolefrom30yards",2006
41,41,"Jason Gore",86,NA,745.333,64,170,"ProximitytoHolefrom30yards",2006
41,41,"Jose Maria Olazabal",62,NA,444.083,38,95,"ProximitytoHolefrom30yards",2006
41,41,"Justin Rose",98,NA,628.167,54,84,"ProximitytoHolefrom30yards",2006
41,41,"Tiger Woods",55,NA,269.25,23,10,"ProximitytoHolefrom30yards",2006
46,46,"Billy Andrade",78,NA,457.167,39,72,"ProximitytoHolefrom30yards",2006
46,46,"Jonathan Byrd",66,NA,516.333,44,20,"ProximitytoHolefrom30yards",2006
46,46,"Brian Gay",107,NA,977.167,83,5,"ProximitytoHolefrom30yards",2006
46,46,"Kent Jones",103,NA,822.083,70,136,"ProximitytoHolefrom30yards",2006
46,46,"Stephen Leaney",84,NA,633.083,54,19,"ProximitytoHolefrom30yards",2006
51,51,"Stephen Ames",63,NA,448.667,38,58,"ProximitytoHolefrom30yards",2006
51,51,"Arjun Atwal",97,NA,864.167,73,113,"ProximitytoHolefrom30yards",2006
51,51,"Brad Faxon",78,NA,1005.833,85,110,"ProximitytoHolefrom30yards",2006
51,51,"DA Points",82,NA,792.417,67,131,"ProximitytoHolefrom30yards",2006
51,51,"Jason Schultz",77,NA,839.833,71,119,"ProximitytoHolefrom30yards",2006
56,56,"John Daly",51,NA,559.75,47,186,"ProximitytoHolefrom30yards",2006
57,57,"Ernie Els",69,NA,552.25,46,53,"ProximitytoHolefrom30yards",2006
57,57,"Sean OHair",100,NA,1136.75,95,139,"ProximitytoHolefrom30yards",2006
59,59,"Skip Kendall",72,NA,747.667,62,73,"ProximitytoHolefrom30yards",2006
59,59,"Bob May",65,NA,494.167,41,144,"ProximitytoHolefrom30yards",2006
61,61,"David Duval",71,NA,522.083,43,187,"ProximitytoHolefrom30yards",2006
61,61,"John Huston",74,NA,608.833,50,63,"ProximitytoHolefrom30yards",2006
61,61,"Billy Mayfair",94,NA,897.75,74,35,"ProximitytoHolefrom30yards",2006
61,61,"Jon Mills",68,NA,607.583,50,140,"ProximitytoHolefrom30yards",2006
61,61,"Joe Ogilvie",95,NA,765,63,45,"ProximitytoHolefrom30yards",2006
66,66,"Robert Damron",91,NA,673.083,55,100,"ProximitytoHolefrom30yards",2006
66,66,"Joe Durant",101,NA,945.583,77,133,"ProximitytoHolefrom30yards",2006
66,66,"Steve Flesch",119,NA,989.75,81,22,"ProximitytoHolefrom30yards",2006
66,66,"Tom Lehman",70,NA,562.583,46,155,"ProximitytoHolefrom30yards",2006
66,66,"Vaughn Taylor",88,NA,957.5,78,144,"ProximitytoHolefrom30yards",2006
71,71,"Bart Bryant",87,NA,617.167,50,142,"ProximitytoHolefrom30yards",2006
71,71,"Jeff Gove",91,NA,949.583,77,78,"ProximitytoHolefrom30yards",2006
71,71,"Bill Haas",99,NA,976,79,48,"ProximitytoHolefrom30yards",2006
71,71,"Charley Hoffman",100,NA,1013.75,82,137,"ProximitytoHolefrom30yards",2006
71,71,"Daisuke Maruyama",83,NA,615,50,104,"ProximitytoHolefrom30yards",2006
71,71,"Jimmy Walker",60,NA,652.25,53,175,"ProximitytoHolefrom30yards",2006
77,77,"Lee Janzen",79,NA,820.833,66,184,"ProximitytoHolefrom30yards",2006
77,77,"Zach Johnson",98,NA,794.583,64,103,"ProximitytoHolefrom30yards",2006
77,77,"Mark OMeara",52,NA,571.75,46,67,"ProximitytoHolefrom30yards",2006
80,80,"Olin Browne",108,NA,912.917,73,152,"ProximitytoHolefrom30yards",2006
80,80,"Paul Goydos",72,NA,711,57,25,"ProximitytoHolefrom30yards",2006
80,80,"Freddie Jacobson",56,NA,551.333,44,101,"ProximitytoHolefrom30yards",2006
80,80,"Heath Slocum",96,NA,735.583,59,141,"ProximitytoHolefrom30yards",2006
80,80,"Kevin Sutherland",100,NA,935.75,75,30,"ProximitytoHolefrom30yards",2006
85,85,"Mark Calcavecchia",94,NA,842.833,67,130,"ProximitytoHolefrom30yards",2006
85,85,"Brian Davis",92,NA,1108.25,88,49,"ProximitytoHolefrom30yards",2006
85,85,"Todd Fischer",101,NA,1110.083,88,117,"ProximitytoHolefrom30yards",2006
88,88,"Todd Hamilton",72,NA,673.083,53,191,"ProximitytoHolefrom30yards",2006
88,88,"Ryuji Imada",105,NA,1036.833,82,24,"ProximitytoHolefrom30yards",2006
88,88,"Trevor Immelman",86,NA,836.75,66,32,"ProximitytoHolefrom30yards",2006
88,88,"Larry Mize",53,NA,353.833,28,33,"ProximitytoHolefrom30yards",2006
88,88,"Jeff Sluman",101,NA,848.167,67,71,"ProximitytoHolefrom30yards",2006
88,88,"Nick Watney",97,NA,952.917,75,15,"ProximitytoHolefrom30yards",2006
88,88,"Ron Whittaker",81,NA,609.083,48,167,"ProximitytoHolefrom30yards",2006
