"ProximitytoHolefrom_RANKTHISWEEK_2007","ProximitytoHolefrom_RANKLASTWEEK_2007","ProximitytoHolefrom_PLAYERNAME_2007","ProximitytoHolefrom_ROUNDS_2007","ProximitytoHolefrom_AVGDTP_2007","ProximitytoHolefrom_TOTALDISTANCEFEET_2007","ProximitytoHolefrom_OFSHOTS_2007","ProximitytoHolefrom_SCRAMBLINGRANK_2007","stat_name","year"
1,1,"Chris Stroud",66,NA,215,83,124,"ProximitytoHolefrom",2007
2,2,"Steve Elkington",87,NA,345.667,126,32,"ProximitytoHolefrom",2007
2,2,"Jim Furyk",84,NA,255.833,92,29,"ProximitytoHolefrom",2007
2,2,"Tom Pernice Jr",104,NA,440.667,161,40,"ProximitytoHolefrom",2007
5,5,"Kent Jones",97,NA,375,133,129,"ProximitytoHolefrom",2007
5,5,"Phil Mickelson",73,NA,223.75,79,53,"ProximitytoHolefrom",2007
5,5,"Jeff Sluman",60,NA,178.667,64,187,"ProximitytoHolefrom",2007
8,8,"Rod Pampling",92,NA,353.167,117,76,"ProximitytoHolefrom",2007
8,8,"Rory Sabbatini",81,NA,354.25,117,2,"ProximitytoHolefrom",2007
10,10,"Mark Brooks",53,NA,196.75,63,33,"ProximitytoHolefrom",2007
10,10,"Sergio Garcia",68,NA,280.167,92,84,"ProximitytoHolefrom",2007
10,10,"Lee Janzen",66,NA,214.25,69,140,"ProximitytoHolefrom",2007
10,10,"Justin Leonard",95,NA,413.833,133,39,"ProximitytoHolefrom",2007
10,10,"Arron Oberholser",69,NA,279.25,90,46,"ProximitytoHolefrom",2007
10,10,"Brett Quigley",79,NA,308,99,190,"ProximitytoHolefrom",2007
16,16,"Ryan Armour",107,NA,518.583,163,152,"ProximitytoHolefrom",2007
16,16,"Trevor Immelman",74,NA,293.083,93,123,"ProximitytoHolefrom",2007
16,16,"Tom Lehman",62,NA,242.583,76,160,"ProximitytoHolefrom",2007
16,16,"Geoff Ogilvy",84,NA,396.833,124,111,"ProximitytoHolefrom",2007
16,16,"Corey Pavin",81,NA,413.417,131,14,"ProximitytoHolefrom",2007
16,16,"Kirk Triplett",77,NA,333,105,86,"ProximitytoHolefrom",2007
16,16,"Bo Van Pelt",104,NA,470.75,148,35,"ProximitytoHolefrom",2007
23,23,"Luke Donald",69,NA,256.5,78,97,"ProximitytoHolefrom",2007
23,23,"Ken Duke",112,NA,598.667,183,23,"ProximitytoHolefrom",2007
23,23,"JP Hayes",89,NA,451.5,139,60,"ProximitytoHolefrom",2007
23,23,"Tim Herron",98,NA,430.583,131,115,"ProximitytoHolefrom",2007
23,23,"Jerry Kelly",101,NA,450,137,78,"ProximitytoHolefrom",2007
23,23,"Rocco Mediate",72,NA,413.667,126,142,"ProximitytoHolefrom",2007
23,23,"Chris Riley",59,NA,312.167,95,1,"ProximitytoHolefrom",2007
23,23,"Vijay Singh",102,NA,452.25,138,61,"ProximitytoHolefrom",2007
23,23,"Steve Stricker",81,NA,353.917,109,21,"ProximitytoHolefrom",2007
32,32,"Bart Bryant",87,NA,455.333,137,59,"ProximitytoHolefrom",2007
32,32,"Alex Cejka",80,NA,421.083,125,11,"ProximitytoHolefrom",2007
32,32,"Brian Gay",107,NA,645.833,192,19,"ProximitytoHolefrom",2007
32,32,"Nathan Green",103,NA,474.167,142,22,"ProximitytoHolefrom",2007
32,32,"Charles Howell III",89,NA,322.917,97,133,"ProximitytoHolefrom",2007
32,32,"Shigeki Maruyama",84,NA,411.75,124,64,"ProximitytoHolefrom",2007
32,32,"Parker McLachlin",83,NA,464.5,141,56,"ProximitytoHolefrom",2007
32,32,"Nick OHern",72,NA,346.083,103,120,"ProximitytoHolefrom",2007
32,32,"Dicky Pride",71,NA,396.167,118,26,"ProximitytoHolefrom",2007
41,41,"Billy Andrade",88,NA,447.083,130,177,"ProximitytoHolefrom",2007
41,41,"Jeff Brehaut",59,NA,245.167,72,95,"ProximitytoHolefrom",2007
41,41,"Andrew Buckle",77,NA,396.75,117,91,"ProximitytoHolefrom",2007
41,41,"Stewart Cink",91,NA,392.167,116,107,"ProximitytoHolefrom",2007
41,41,"Steve Flesch",100,NA,543.667,161,82,"ProximitytoHolefrom",2007
41,41,"Padraig Harrington",64,NA,317.25,94,15,"ProximitytoHolefrom",2007
41,41,"Bob Heintz",85,NA,414.25,121,79,"ProximitytoHolefrom",2007
41,41,"JJ Henry",86,NA,319.417,94,184,"ProximitytoHolefrom",2007
41,41,"Zach Johnson",76,NA,357.417,105,30,"ProximitytoHolefrom",2007
41,41,"Craig Kanada",109,NA,519.333,151,48,"ProximitytoHolefrom",2007
41,41,"Doug LaBelle II",104,NA,495.833,144,34,"ProximitytoHolefrom",2007
41,41,"Greg Owen",81,NA,389.5,113,181,"ProximitytoHolefrom",2007
41,41,"Ian Poulter",63,NA,205.25,60,51,"ProximitytoHolefrom",2007
41,41,"Jason Schultz",63,NA,271.25,79,43,"ProximitytoHolefrom",2007
41,41,"Kevin Stadler",95,NA,488.417,143,186,"ProximitytoHolefrom",2007
41,41,"Kevin Sutherland",85,NA,368.333,109,101,"ProximitytoHolefrom",2007
41,41,"Jay Williamson",50,NA,314.417,92,89,"ProximitytoHolefrom",2007
58,58,"Aaron Baddeley",83,NA,368.333,106,25,"ProximitytoHolefrom",2007
58,58,"Michael Boyd",61,NA,277.75,79,73,"ProximitytoHolefrom",2007
58,58,"Jeff Gove",103,NA,485.833,140,151,"ProximitytoHolefrom",2007
58,58,"Paul Gow",70,NA,347.5,99,146,"ProximitytoHolefrom",2007
58,58,"Paul Goydos",60,NA,323.333,93,98,"ProximitytoHolefrom",2007
58,58,"Ryuji Imada",104,NA,416.5,119,48,"ProximitytoHolefrom",2007
58,58,"Paul Stankowski",52,NA,240,68,161,"ProximitytoHolefrom",2007
58,58,"Scott Verplank",82,NA,379,108,18,"ProximitytoHolefrom",2007
58,58,"Mike Weir",82,NA,398.417,115,70,"ProximitytoHolefrom",2007
67,67,"Eric Axley",107,NA,545.5,151,139,"ProximitytoHolefrom",2007
67,67,"DJ Brigman",67,NA,295.333,83,185,"ProximitytoHolefrom",2007
67,67,"Marco Dawson",73,NA,448.833,125,44,"ProximitytoHolefrom",2007
67,67,"Glen Day",85,NA,427.417,118,62,"ProximitytoHolefrom",2007
67,67,"Brendon de Jonge",76,NA,430.333,121,192,"ProximitytoHolefrom",2007
67,67,"Jason Dufner",100,NA,479.417,133,127,"ProximitytoHolefrom",2007
67,67,"Bob Estes",88,NA,463.667,128,105,"ProximitytoHolefrom",2007
67,67,"Retief Goosen",50,NA,225.75,63,154,"ProximitytoHolefrom",2007
67,67,"Mathias Gronberg",95,NA,543.5,152,122,"ProximitytoHolefrom",2007
67,67,"Troy Matteson",87,NA,469.917,132,121,"ProximitytoHolefrom",2007
67,67,"Shaun Micheel",91,NA,369.333,104,100,"ProximitytoHolefrom",2007
67,67,"Kevin Na",84,NA,561.25,156,3,"ProximitytoHolefrom",2007
67,67,"Joe Ogilvie",102,NA,581.833,164,104,"ProximitytoHolefrom",2007
67,67,"Jose Maria Olazabal",52,NA,217.083,61,140,"ProximitytoHolefrom",2007
67,67,"Kenny Perry",83,NA,517.917,146,58,"ProximitytoHolefrom",2007
67,67,"John Senden",97,NA,509.667,142,112,"ProximitytoHolefrom",2007
67,67,"Michael Sim",52,NA,335.083,94,8,"ProximitytoHolefrom",2007
67,67,"Chris Tidland",59,NA,301.333,85,126,"ProximitytoHolefrom",2007
67,67,"David Toms",80,NA,391.167,109,66,"ProximitytoHolefrom",2007
67,67,"Charles Warren",101,NA,572.333,158,157,"ProximitytoHolefrom",2007
67,67,"Dean Wilson",92,NA,390.667,109,52,"ProximitytoHolefrom",2007
88,88,"Rich Barcelo",80,NA,389.667,106,130,"ProximitytoHolefrom",2007
88,88,"Jason Bohn",57,NA,353.5,97,143,"ProximitytoHolefrom",2007
88,88,"Chad Campbell",96,NA,426.417,116,188,"ProximitytoHolefrom",2007
88,88,"KJ Choi",87,NA,381.5,103,9,"ProximitytoHolefrom",2007
88,88,"John Daly",59,NA,288.167,78,195,"ProximitytoHolefrom",2007
88,88,"Brian Davis",101,NA,543.583,148,47,"ProximitytoHolefrom",2007
88,88,"Harrison Frazar",88,NA,554.75,152,165,"ProximitytoHolefrom",2007
88,88,"Lucas Glover",98,NA,509.667,139,66,"ProximitytoHolefrom",2007
88,88,"Anthony Kim",93,NA,566.333,153,79,"ProximitytoHolefrom",2007
88,88,"Stephen Leaney",82,NA,426.25,115,50,"ProximitytoHolefrom",2007
88,88,"Steve Lowery",74,NA,403.667,111,125,"ProximitytoHolefrom",2007
88,88,"Ryan Moore",92,NA,483.333,132,87,"ProximitytoHolefrom",2007
88,88,"Sean OHair",98,NA,540.75,147,36,"ProximitytoHolefrom",2007
101,101,"Tim Clark",66,NA,396.583,105,4,"ProximitytoHolefrom",2007
101,101,"Bubba Dickerson",51,NA,330.083,88,178,"ProximitytoHolefrom",2007
101,101,"Jason Gore",86,NA,463.667,125,72,"ProximitytoHolefrom",2007
101,101,"Matt Hendrix",63,NA,355.667,94,193,"ProximitytoHolefrom",2007
101,101,"JB Holmes",71,NA,496.583,131,182,"ProximitytoHolefrom",2007
101,101,"Billy Mayfair",98,NA,423.417,113,74,"ProximitytoHolefrom",2007
