"GIRPuttingInside5_RANKTHISWEEK_2008","GIRPuttingInside5_RANKLASTWEEK_2008","GIRPuttingInside5_PLAYERNAME_2008","GIRPuttingInside5_ROUNDS_2008","GIRPuttingInside5_Pct_2008","GIRPuttingInside5_ATTEMPTS_2008","GIRPuttingInside5_PUTTSMADE_2008","stat_name","year"
1,1,"Alejandro Canizares",52,100,16,16,"GIRPuttingInside5",2008
2,2,"Tim Clark",90,97.78,45,44,"GIRPuttingInside5",2008
3,3,"Retief Goosen",59,95.24,21,20,"GIRPuttingInside5",2008
3,3,"Scott McCarron",63,95.24,21,20,"GIRPuttingInside5",2008
5,5,"Aaron Baddeley",76,94.87,39,37,"GIRPuttingInside5",2008
6,6,"Ian Poulter",51,94.44,18,17,"GIRPuttingInside5",2008
7,7,"Peter Lonard",92,93.18,44,41,"GIRPuttingInside5",2008
8,8,"Jerry Kelly",89,92.68,41,38,"GIRPuttingInside5",2008
9,9,"Brian Gay",102,92.59,54,50,"GIRPuttingInside5",2008
10,10,"Joe Ogilvie",100,91.53,59,54,"GIRPuttingInside5",2008
11,11,"Kenny Perry",97,91.3,46,42,"GIRPuttingInside5",2008
11,11,"Dean Wilson",109,91.3,46,42,"GIRPuttingInside5",2008
13,13,"Eric Axley",113,90.91,44,40,"GIRPuttingInside5",2008
13,13,"Doug LaBelle II",65,90.91,22,20,"GIRPuttingInside5",2008
15,15,"Parker McLachlin",88,90.24,41,37,"GIRPuttingInside5",2008
16,16,"Nathan Green",95,90.2,51,46,"GIRPuttingInside5",2008
17,17,"Paul Casey",55,90,20,18,"GIRPuttingInside5",2008
17,17,"Todd Demsey",80,90,40,36,"GIRPuttingInside5",2008
17,17,"Richard Johnson",60,90,20,18,"GIRPuttingInside5",2008
17,17,"Greg Kraft",63,90,30,27,"GIRPuttingInside5",2008
21,21,"Bill Haas",99,89.8,49,44,"GIRPuttingInside5",2008
22,22,"Jesper Parnevik",88,89.58,48,43,"GIRPuttingInside5",2008
23,23,"Shigeki Maruyama",50,89.47,19,17,"GIRPuttingInside5",2008
23,23,"Mark Wilson",107,89.47,57,51,"GIRPuttingInside5",2008
25,25,"Marco Dawson",64,89.29,28,25,"GIRPuttingInside5",2008
26,26,"Steve Allan",58,88.46,26,23,"GIRPuttingInside5",2008
26,26,"Omar Uresti",74,88.46,26,23,"GIRPuttingInside5",2008
28,28,"Dudley Hart",74,88.37,43,38,"GIRPuttingInside5",2008
28,28,"Anthony Kim",81,88.37,43,38,"GIRPuttingInside5",2008
30,30,"Kevin Sutherland",98,88.24,51,45,"GIRPuttingInside5",2008
31,31,"Brenden Pappas",66,88,25,22,"GIRPuttingInside5",2008
32,32,"Martin Laird",98,87.76,49,43,"GIRPuttingInside5",2008
32,32,"Jay Williamson",96,87.76,49,43,"GIRPuttingInside5",2008
34,34,"Stuart Appleby",87,87.5,40,35,"GIRPuttingInside5",2008
34,34,"Ken Duke",116,87.5,64,56,"GIRPuttingInside5",2008
36,36,"Brandt Jobe",52,87.1,31,27,"GIRPuttingInside5",2008
37,37,"Tommy Armour III",77,86.96,46,40,"GIRPuttingInside5",2008
38,38,"Bob Estes",90,86.84,38,33,"GIRPuttingInside5",2008
39,39,"Matt Jones",95,86.67,45,39,"GIRPuttingInside5",2008
39,39,"Kevin Stadler",90,86.67,45,39,"GIRPuttingInside5",2008
41,41,"Ryan Armour",87,86.36,44,38,"GIRPuttingInside5",2008
41,41,"Robert Garrigus",90,86.36,44,38,"GIRPuttingInside5",2008
41,41,"Travis Perkins",53,86.36,22,19,"GIRPuttingInside5",2008
44,44,"Ernie Els",51,86.21,29,25,"GIRPuttingInside5",2008
45,45,"Jason Day",81,86.11,36,31,"GIRPuttingInside5",2008
45,45,"Jin Park",85,86.11,36,31,"GIRPuttingInside5",2008
47,47,"Vaughn Taylor",103,85.96,57,49,"GIRPuttingInside5",2008
48,48,"KJ Choi",74,85.71,35,30,"GIRPuttingInside5",2008
48,48,"Daniel Chopra",84,85.71,35,30,"GIRPuttingInside5",2008
48,48,"Tom Pernice Jr",104,85.71,63,54,"GIRPuttingInside5",2008
48,48,"Ron Whittaker",54,85.71,14,12,"GIRPuttingInside5",2008
48,48,"Charlie Wi",97,85.71,49,42,"GIRPuttingInside5",2008
53,53,"Stewart Cink",87,85.37,41,35,"GIRPuttingInside5",2008
54,54,"Bart Bryant",81,85.29,34,29,"GIRPuttingInside5",2008
55,55,"Tom Scherrer",56,85.19,27,23,"GIRPuttingInside5",2008
56,56,"Freddie Jacobson",78,84.85,33,28,"GIRPuttingInside5",2008
57,57,"Ben Curtis",80,84.78,46,39,"GIRPuttingInside5",2008
58,58,"Charley Hoffman",94,84.75,59,50,"GIRPuttingInside5",2008
58,58,"Charles Howell III",101,84.75,59,50,"GIRPuttingInside5",2008
60,60,"Justin Bolli",87,84.62,39,33,"GIRPuttingInside5",2008
61,61,"Ryan Moore",72,84.38,32,27,"GIRPuttingInside5",2008
62,62,"Craig Kanada",65,84.21,19,16,"GIRPuttingInside5",2008
63,63,"Kevin Na",97,84,50,42,"GIRPuttingInside5",2008
64,64,"Sean OHair",81,83.87,31,26,"GIRPuttingInside5",2008
64,64,"Corey Pavin",69,83.87,31,26,"GIRPuttingInside5",2008
66,66,"Phil Mickelson",80,83.78,37,31,"GIRPuttingInside5",2008
67,67,"John Merrick",98,83.72,43,36,"GIRPuttingInside5",2008
68,68,"Cameron Beckman",87,83.67,49,41,"GIRPuttingInside5",2008
68,68,"John Mallinger",95,83.67,49,41,"GIRPuttingInside5",2008
70,70,"Angel Cabrera",55,83.33,24,20,"GIRPuttingInside5",2008
70,70,"Chad Collins",72,83.33,42,35,"GIRPuttingInside5",2008
70,70,"Ben Crane",86,83.33,36,30,"GIRPuttingInside5",2008
70,70,"Glen Day",64,83.33,30,25,"GIRPuttingInside5",2008
70,70,"Steve Flesch",95,83.33,54,45,"GIRPuttingInside5",2008
70,70,"Stephen Leaney",53,83.33,12,10,"GIRPuttingInside5",2008
70,70,"Pat Perez",93,83.33,48,40,"GIRPuttingInside5",2008
70,70,"DJ Trahan",94,83.33,48,40,"GIRPuttingInside5",2008
78,78,"Jason Gore",94,83.02,53,44,"GIRPuttingInside5",2008
79,79,"Stephen Ames",83,82.93,41,34,"GIRPuttingInside5",2008
79,79,"David Toms",70,82.93,41,34,"GIRPuttingInside5",2008
81,81,"Tommy Gainey",60,82.76,29,24,"GIRPuttingInside5",2008
81,81,"Geoff Ogilvy",65,82.76,29,24,"GIRPuttingInside5",2008
83,83,"Brad Adamonis",87,82.69,52,43,"GIRPuttingInside5",2008
84,84,"Davis Love III",78,82.61,46,38,"GIRPuttingInside5",2008
84,84,"Bob Sowards",61,82.61,23,19,"GIRPuttingInside5",2008
86,86,"Paul Goydos",78,82.5,40,33,"GIRPuttingInside5",2008
86,86,"Hunter Mahan",87,82.5,40,33,"GIRPuttingInside5",2008
88,88,"Zach Johnson",85,82.35,34,28,"GIRPuttingInside5",2008
88,88,"Nick OHern",82,82.35,34,28,"GIRPuttingInside5",2008
88,88,"Kevin Streelman",114,82.35,68,56,"GIRPuttingInside5",2008
91,91,"Lucas Glover",91,82.22,45,37,"GIRPuttingInside5",2008
91,91,"Jeff Maggert",86,82.22,45,37,"GIRPuttingInside5",2008
91,91,"Ryan Palmer",69,82.22,45,37,"GIRPuttingInside5",2008
94,94,"Johnson Wagner",83,82.14,28,23,"GIRPuttingInside5",2008
95,95,"Olin Browne",77,81.82,33,27,"GIRPuttingInside5",2008
95,95,"David Lutterus",59,81.82,22,18,"GIRPuttingInside5",2008
95,95,"Steve Marino",119,81.82,55,45,"GIRPuttingInside5",2008
95,95,"Tag Ridings",88,81.82,55,45,"GIRPuttingInside5",2008
95,95,"Jimmy Walker",73,81.82,33,27,"GIRPuttingInside5",2008
100,100,"Bob Tway",70,81.58,38,31,"GIRPuttingInside5",2008
101,101,"Gavin Coles",54,81.48,27,22,"GIRPuttingInside5",2008
101,101,"Padraig Harrington",52,81.48,27,22,"GIRPuttingInside5",2008
103,103,"Steve Elkington",84,81.25,48,39,"GIRPuttingInside5",2008
104,104,"Chris Stroud",81,81.08,37,30,"GIRPuttingInside5",2008
105,105,"Michael Allen",91,80.95,42,34,"GIRPuttingInside5",2008
106,106,"Chad Campbell",94,80.85,47,38,"GIRPuttingInside5",2008
106,106,"Nick Watney",96,80.85,47,38,"GIRPuttingInside5",2008
108,108,"James Driscoll",85,80.77,52,42,"GIRPuttingInside5",2008
109,109,"John Huston",56,80.65,31,25,"GIRPuttingInside5",2008
110,110,"Scott Sterling",89,80.56,36,29,"GIRPuttingInside5",2008
111,111,"Harrison Frazar",73,80.49,41,33,"GIRPuttingInside5",2008
111,111,"Jeff Overton",103,80.49,41,33,"GIRPuttingInside5",2008
111,111,"YE Yang",89,80.49,41,33,"GIRPuttingInside5",2008
114,114,"Rod Pampling",83,80.43,46,37,"GIRPuttingInside5",2008
115,115,"Dustin Johnson",92,80.36,56,45,"GIRPuttingInside5",2008
116,116,"JP Hayes",67,80,35,28,"GIRPuttingInside5",2008
116,116,"George McNeill",97,80,50,40,"GIRPuttingInside5",2008
116,116,"Nicholas Thompson",113,80,50,40,"GIRPuttingInside5",2008
119,119,"Billy Mayfair",103,79.55,44,35,"GIRPuttingInside5",2008
120,120,"JB Holmes",86,79.49,39,31,"GIRPuttingInside5",2008
121,121,"Sergio Garcia",72,79.41,34,27,"GIRPuttingInside5",2008
121,121,"Steve Lowery",74,79.41,34,27,"GIRPuttingInside5",2008
123,123,"Mark Calcavecchia",67,79.31,29,23,"GIRPuttingInside5",2008
124,124,"Mark Hensby",71,79.07,43,34,"GIRPuttingInside5",2008
124,124,"Troy Matteson",94,79.07,43,34,"GIRPuttingInside5",2008
126,126,"Shane Bertsch",96,79.03,62,49,"GIRPuttingInside5",2008
127,127,"David Duval",51,78.95,19,15,"GIRPuttingInside5",2008
127,127,"Chris Riley",51,78.95,19,15,"GIRPuttingInside5",2008
129,129,"Rich Beem",90,78.85,52,41,"GIRPuttingInside5",2008
130,130,"Boo Weekley",86,78.79,33,26,"GIRPuttingInside5",2008
131,131,"Woody Austin",109,78.72,47,37,"GIRPuttingInside5",2008
131,131,"Tim Herron",97,78.72,47,37,"GIRPuttingInside5",2008
131,131,"Tim Wilkinson",95,78.72,47,37,"GIRPuttingInside5",2008
134,134,"Brian Davis",108,78.69,61,48,"GIRPuttingInside5",2008
135,135,"Rory Sabbatini",77,78.13,32,25,"GIRPuttingInside5",2008
135,135,"Steve Stricker",75,78.13,32,25,"GIRPuttingInside5",2008
137,137,"Brandt Snedeker",85,78.05,41,32,"GIRPuttingInside5",2008
138,138,"John Rollins",94,78,50,39,"GIRPuttingInside5",2008
139,139,"Todd Hamilton",92,77.78,36,28,"GIRPuttingInside5",2008
139,139,"Cliff Kresge",84,77.78,45,35,"GIRPuttingInside5",2008
