"GIRPutting25_RANKTHISWEEK_2009","GIRPutting25_RANKLASTWEEK_2009","GIRPutting25_PLAYERNAME_2009","GIRPutting25_ROUNDS_2009","GIRPutting25_Pct_2009","GIRPutting25_ATTEMPTS_2009","GIRPutting25_PUTTSMADE_2009","stat_name","year"
1,1,"Ted Purdy",101,9.46,370,35,"GIRPutting25",2009
2,2,"Brad Faxon",59,9.19,185,17,"GIRPutting25",2009
3,3,"Ben Crane",93,8.54,328,28,"GIRPutting25",2009
4,4,"Kenny Perry",92,8.36,299,25,"GIRPutting25",2009
5,5,"Webb Simpson",94,8.09,309,25,"GIRPutting25",2009
6,6,"Lee Janzen",74,8.07,223,18,"GIRPutting25",2009
7,7,"Jeff Overton",92,7.8,295,23,"GIRPutting25",2009
7,7,"Charlie Wi",92,7.8,295,23,"GIRPutting25",2009
9,9,"Tiger Woods",64,7.61,197,15,"GIRPutting25",2009
10,10,"Greg Chalmers",85,7.52,266,20,"GIRPutting25",2009
11,11,"Jim Furyk",86,7.51,253,19,"GIRPutting25",2009
12,12,"Fred Couples",54,7.43,175,13,"GIRPutting25",2009
13,13,"Rod Pampling",72,7.38,244,18,"GIRPutting25",2009
14,14,"Nick OHern",90,7.35,340,25,"GIRPutting25",2009
15,15,"Johnson Wagner",81,7.26,303,22,"GIRPutting25",2009
16,16,"DA Points",99,7.14,364,26,"GIRPutting25",2009
17,17,"Spencer Levin",75,7.05,298,21,"GIRPutting25",2009
18,18,"Jason Day",61,7.04,199,14,"GIRPutting25",2009
19,19,"Cameron Beckman",87,7.02,299,21,"GIRPutting25",2009
20,20,"Joe Durant",62,7,200,14,"GIRPutting25",2009
21,21,"Ryuji Imada",85,6.98,258,18,"GIRPutting25",2009
22,22,"Steve Flesch",77,6.97,244,17,"GIRPutting25",2009
23,23,"Matt Kuchar",82,6.9,261,18,"GIRPutting25",2009
24,24,"Ben Curtis",63,6.86,204,14,"GIRPutting25",2009
24,24,"Jeff Klauk",97,6.86,408,28,"GIRPutting25",2009
26,26,"Kevin Sutherland",96,6.85,321,22,"GIRPutting25",2009
27,27,"Aaron Baddeley",66,6.83,205,14,"GIRPutting25",2009
27,27,"Parker McLachlin",71,6.83,249,17,"GIRPutting25",2009
29,29,"Patrick Sheehan",51,6.79,162,11,"GIRPutting25",2009
30,30,"John Merrick",91,6.77,266,18,"GIRPutting25",2009
30,30,"Matt Weibring",65,6.77,192,13,"GIRPutting25",2009
32,32,"Luke Donald",79,6.73,208,14,"GIRPutting25",2009
32,32,"Steve Stricker",81,6.73,223,15,"GIRPutting25",2009
34,34,"Bart Bryant",58,6.7,194,13,"GIRPutting25",2009
35,35,"James Nitties",86,6.69,314,21,"GIRPutting25",2009
36,36,"Brian Davis",103,6.63,332,22,"GIRPutting25",2009
36,36,"Tim Petrovic",97,6.63,347,23,"GIRPutting25",2009
38,38,"Ian Poulter",59,6.62,151,10,"GIRPutting25",2009
39,39,"Carl Pettersson",86,6.53,291,19,"GIRPutting25",2009
40,40,"Justin Rose",71,6.52,230,15,"GIRPutting25",2009
41,41,"Harrison Frazar",93,6.45,310,20,"GIRPutting25",2009
42,42,"Woody Austin",84,6.44,295,19,"GIRPutting25",2009
43,43,"Marc Turnesa",77,6.43,311,20,"GIRPutting25",2009
44,44,"Lucas Glover",93,6.4,297,19,"GIRPutting25",2009
45,45,"Geoff Ogilvy",78,6.39,219,14,"GIRPutting25",2009
46,46,"Hunter Mahan",94,6.38,298,19,"GIRPutting25",2009
46,46,"Ryan Moore",89,6.38,329,21,"GIRPutting25",2009
48,48,"Paul Goydos",79,6.37,251,16,"GIRPutting25",2009
49,49,"Kevin Stadler",65,6.36,220,14,"GIRPutting25",2009
50,50,"Phil Mickelson",66,6.29,175,11,"GIRPutting25",2009
51,51,"Adam Scott",53,6.21,177,11,"GIRPutting25",2009
52,52,"Davis Love III",89,6.15,309,19,"GIRPutting25",2009
53,53,"Robert Garrigus",83,6.12,278,17,"GIRPutting25",2009
54,54,"David Toms",98,6.1,295,18,"GIRPutting25",2009
55,55,"Joe Ogilvie",85,6.09,279,17,"GIRPutting25",2009
56,56,"Peter Lonard",86,6.07,313,19,"GIRPutting25",2009
57,57,"Bob Estes",78,6.02,266,16,"GIRPutting25",2009
57,57,"Pat Perez",74,6.02,249,15,"GIRPutting25",2009
59,59,"Daniel Chopra",89,6,300,18,"GIRPutting25",2009
60,60,"Bubba Watson",73,5.99,217,13,"GIRPutting25",2009
61,61,"Jason Dufner",90,5.96,302,18,"GIRPutting25",2009
62,62,"Kris Blanks",60,5.92,169,10,"GIRPutting25",2009
62,62,"Kevin Na",91,5.92,287,17,"GIRPutting25",2009
64,64,"DJ Trahan",96,5.9,339,20,"GIRPutting25",2009
65,65,"Mark Brooks",55,5.88,153,9,"GIRPutting25",2009
65,65,"Dustin Johnson",85,5.88,221,13,"GIRPutting25",2009
67,67,"Corey Pavin",73,5.86,222,13,"GIRPutting25",2009
68,68,"Tim Clark",81,5.85,188,11,"GIRPutting25",2009
68,68,"Mark Wilson",99,5.85,359,21,"GIRPutting25",2009
70,70,"Mike Weir",85,5.83,240,14,"GIRPutting25",2009
71,71,"Richard Johnson",85,5.79,311,18,"GIRPutting25",2009
71,71,"Jimmy Walker",74,5.79,242,14,"GIRPutting25",2009
73,73,"Bill Haas",91,5.75,348,20,"GIRPutting25",2009
74,74,"Greg Kraft",51,5.73,157,9,"GIRPutting25",2009
74,74,"Chez Reavie",81,5.73,262,15,"GIRPutting25",2009
76,76,"Steve Elkington",70,5.7,263,15,"GIRPutting25",2009
77,77,"Kirk Triplett",60,5.66,212,12,"GIRPutting25",2009
78,78,"Sergio Garcia",59,5.62,178,10,"GIRPutting25",2009
78,78,"David Mathis",82,5.62,267,15,"GIRPutting25",2009
80,80,"Brian Gay",96,5.61,303,17,"GIRPutting25",2009
81,81,"Dean Wilson",81,5.6,268,15,"GIRPutting25",2009
81,81,"Casey Wittenberg",71,5.6,232,13,"GIRPutting25",2009
83,83,"Gary Woodland",53,5.59,161,9,"GIRPutting25",2009
84,84,"Michael Allen",73,5.58,233,13,"GIRPutting25",2009
85,85,"Derek Fathauer",63,5.49,182,10,"GIRPutting25",2009
85,85,"John Rollins",92,5.49,328,18,"GIRPutting25",2009
87,87,"Scott Piercy",85,5.43,313,17,"GIRPutting25",2009
88,88,"Zach Johnson",94,5.4,315,17,"GIRPutting25",2009
89,89,"Todd Hamilton",83,5.39,241,13,"GIRPutting25",2009
90,90,"Steve Marino",98,5.38,353,19,"GIRPutting25",2009
90,90,"Andres Romero",58,5.38,186,10,"GIRPutting25",2009
92,92,"Leif Olson",51,5.36,168,9,"GIRPutting25",2009
93,93,"Michael Letzig",96,5.35,318,17,"GIRPutting25",2009
94,94,"Bob Heintz",59,5.32,188,10,"GIRPutting25",2009
95,95,"Chris Stroud",88,5.31,320,17,"GIRPutting25",2009
96,96,"Brendon de Jonge",90,5.3,302,16,"GIRPutting25",2009
96,96,"Jeff Quinney",78,5.3,264,14,"GIRPutting25",2009
98,98,"Tommy Armour III",58,5.29,189,10,"GIRPutting25",2009
99,99,"Chad Campbell",90,5.19,270,14,"GIRPutting25",2009
100,100,"Glen Day",79,5.17,271,14,"GIRPutting25",2009
100,100,"Scott McCarron",91,5.17,387,20,"GIRPutting25",2009
102,102,"Chris Riley",77,5.14,253,13,"GIRPutting25",2009
103,103,"Anthony Kim",76,5.12,215,11,"GIRPutting25",2009
104,104,"Rocco Mediate",79,5.1,255,13,"GIRPutting25",2009
105,105,"YE Yang",83,5.09,275,14,"GIRPutting25",2009
106,106,"Marc Leishman",91,5.08,354,18,"GIRPutting25",2009
107,107,"Matt Bettencourt",98,5.07,335,17,"GIRPutting25",2009
107,107,"George McNeill",82,5.07,276,14,"GIRPutting25",2009
109,109,"Ernie Els",70,5.03,199,10,"GIRPutting25",2009
110,110,"Martin Laird",72,4.96,262,13,"GIRPutting25",2009
111,111,"Jonathan Byrd",89,4.95,323,16,"GIRPutting25",2009
112,112,"Alex Cejka",82,4.94,263,13,"GIRPutting25",2009
112,112,"John Mallinger",90,4.94,263,13,"GIRPutting25",2009
114,114,"Kent Jones",73,4.92,264,13,"GIRPutting25",2009
115,115,"Angel Cabrera",55,4.86,144,7,"GIRPutting25",2009
116,116,"Billy Mayfair",83,4.85,309,15,"GIRPutting25",2009
117,117,"Stewart Cink",79,4.82,228,11,"GIRPutting25",2009
118,118,"Robert Allenby",71,4.8,229,11,"GIRPutting25",2009
119,119,"Rory Sabbatini",81,4.78,230,11,"GIRPutting25",2009
120,120,"Jerry Kelly",90,4.73,275,13,"GIRPutting25",2009
