"AveragePuttingDistanceGIR1Putts_RANKTHISWEEK_2010","AveragePuttingDistanceGIR1Putts_RANKLASTWEEK_2010","AveragePuttingDistanceGIR1Putts_PLAYERNAME_2010","AveragePuttingDistanceGIR1Putts_ROUNDS_2010","AveragePuttingDistanceGIR1Putts_AVG_2010","AveragePuttingDistanceGIR1Putts_DISTANCEFEET_2010","AveragePuttingDistanceGIR1Putts_TOTALPUTTS_2010","stat_name","year"
1,1,"Richard Johnson",90,NA,2635.917,212,"AveragePuttingDistanceGIR1Putts",2010
2,2,"David Lutterus",69,NA,1722.5,140,"AveragePuttingDistanceGIR1Putts",2010
2,2,"Chris Tidland",77,NA,2568.667,208,"AveragePuttingDistanceGIR1Putts",2010
4,4,"Stephen Ames",75,NA,2747.5,227,"AveragePuttingDistanceGIR1Putts",2010
4,4,"Shaun Micheel",70,NA,2059.833,171,"AveragePuttingDistanceGIR1Putts",2010
4,4,"Boo Weekley",88,NA,2591.583,214,"AveragePuttingDistanceGIR1Putts",2010
7,7,"Blake Adams",84,NA,2779.833,232,"AveragePuttingDistanceGIR1Putts",2010
7,7,"Andres Romero",73,NA,2594,216,"AveragePuttingDistanceGIR1Putts",2010
9,9,"Bill Lunde",79,NA,2109.333,177,"AveragePuttingDistanceGIR1Putts",2010
10,10,"KJ Choi",82,NA,2440,206,"AveragePuttingDistanceGIR1Putts",2010
10,10,"Chad Collins",87,NA,2632.167,223,"AveragePuttingDistanceGIR1Putts",2010
10,10,"Brad Faxon",58,NA,1697.75,143,"AveragePuttingDistanceGIR1Putts",2010
10,10,"Derek Lamely",81,NA,2064.583,175,"AveragePuttingDistanceGIR1Putts",2010
14,14,"Brent Delahoussaye",57,NA,1478.75,127,"AveragePuttingDistanceGIR1Putts",2010
14,14,"Charlie Wi",95,NA,3527,302,"AveragePuttingDistanceGIR1Putts",2010
16,16,"Trevor Immelman",55,NA,1302.667,113,"AveragePuttingDistanceGIR1Putts",2010
16,16,"Brett Quigley",96,NA,3080.083,268,"AveragePuttingDistanceGIR1Putts",2010
16,16,"Paul Stankowski",62,NA,2163.417,188,"AveragePuttingDistanceGIR1Putts",2010
16,16,"Brett Wetterich",54,NA,1777.25,154,"AveragePuttingDistanceGIR1Putts",2010
20,20,"Robert Allenby",76,NA,2422.5,212,"AveragePuttingDistanceGIR1Putts",2010
20,20,"Matt Every",60,NA,1850.083,162,"AveragePuttingDistanceGIR1Putts",2010
20,20,"Tom Gillis",97,NA,3494.167,305,"AveragePuttingDistanceGIR1Putts",2010
20,20,"Carl Pettersson",99,NA,3063.167,269,"AveragePuttingDistanceGIR1Putts",2010
20,20,"Ian Poulter",55,NA,1039.25,91,"AveragePuttingDistanceGIR1Putts",2010
20,20,"Johnson Wagner",85,NA,2594.5,228,"AveragePuttingDistanceGIR1Putts",2010
20,20,"Dean Wilson",54,NA,1754.25,154,"AveragePuttingDistanceGIR1Putts",2010
27,27,"Paul Casey",64,NA,1798.5,159,"AveragePuttingDistanceGIR1Putts",2010
27,27,"Mathew Goggin",85,NA,2344.167,207,"AveragePuttingDistanceGIR1Putts",2010
27,27,"Jeff Gove",57,NA,1382.833,122,"AveragePuttingDistanceGIR1Putts",2010
27,27,"Troy Merritt",86,NA,2888.917,254,"AveragePuttingDistanceGIR1Putts",2010
27,27,"Bryce Molder",84,NA,2549.25,225,"AveragePuttingDistanceGIR1Putts",2010
27,27,"DA Points",90,NA,2567,227,"AveragePuttingDistanceGIR1Putts",2010
27,27,"Jerod Turner",54,NA,1260.417,111,"AveragePuttingDistanceGIR1Putts",2010
27,27,"Mark Wilson",87,NA,2689.667,238,"AveragePuttingDistanceGIR1Putts",2010
35,35,"Michael Connell",89,NA,2864.667,254,"AveragePuttingDistanceGIR1Putts",2010
35,35,"Bob Estes",79,NA,2388,212,"AveragePuttingDistanceGIR1Putts",2010
35,35,"Freddie Jacobson",83,NA,2820.167,251,"AveragePuttingDistanceGIR1Putts",2010
35,35,"Scott McCarron",90,NA,2720.75,242,"AveragePuttingDistanceGIR1Putts",2010
35,35,"Kevin Sutherland",86,NA,2503.417,223,"AveragePuttingDistanceGIR1Putts",2010
40,40,"Ben Crane",85,NA,2552.417,229,"AveragePuttingDistanceGIR1Putts",2010
40,40,"Jason Day",82,NA,2543.583,228,"AveragePuttingDistanceGIR1Putts",2010
40,40,"Jay Williamson",76,NA,2106.5,188,"AveragePuttingDistanceGIR1Putts",2010
43,43,"Luke Donald",71,NA,2023.083,182,"AveragePuttingDistanceGIR1Putts",2010
43,43,"Nathan Green",86,NA,2693.083,243,"AveragePuttingDistanceGIR1Putts",2010
43,43,"Kevin Na",94,NA,2812.583,254,"AveragePuttingDistanceGIR1Putts",2010
43,43,"Brian Stuard",81,NA,2365.333,213,"AveragePuttingDistanceGIR1Putts",2010
43,43,"Cameron Tringale",55,NA,1407.25,127,"AveragePuttingDistanceGIR1Putts",2010
43,43,"YE Yang",72,NA,2075.833,188,"AveragePuttingDistanceGIR1Putts",2010
49,49,"Aaron Baddeley",94,NA,3225.667,293,"AveragePuttingDistanceGIR1Putts",2010
49,49,"Greg Chalmers",93,NA,3136.25,285,"AveragePuttingDistanceGIR1Putts",2010
49,49,"Chris Couch",66,NA,2248.667,205,"AveragePuttingDistanceGIR1Putts",2010
49,49,"Chris DiMarco",88,NA,2627.25,238,"AveragePuttingDistanceGIR1Putts",2010
49,49,"Retief Goosen",75,NA,1871.083,170,"AveragePuttingDistanceGIR1Putts",2010
49,49,"JP Hayes",79,NA,2431.083,221,"AveragePuttingDistanceGIR1Putts",2010
49,49,"Troy Matteson",84,NA,2304.25,210,"AveragePuttingDistanceGIR1Putts",2010
49,49,"Steve Stricker",73,NA,2204.75,201,"AveragePuttingDistanceGIR1Putts",2010
57,57,"Jason Bohn",84,NA,2801.167,256,"AveragePuttingDistanceGIR1Putts",2010
57,57,"Craig Bowden",56,NA,1296.583,119,"AveragePuttingDistanceGIR1Putts",2010
57,57,"Mark Calcavecchia",50,NA,1014.667,93,"AveragePuttingDistanceGIR1Putts",2010
57,57,"Stewart Cink",84,NA,2387.833,218,"AveragePuttingDistanceGIR1Putts",2010
57,57,"Ben Curtis",78,NA,2133.917,196,"AveragePuttingDistanceGIR1Putts",2010
57,57,"Martin Flores",75,NA,2079.833,191,"AveragePuttingDistanceGIR1Putts",2010
57,57,"Ryuji Imada",90,NA,2832.167,260,"AveragePuttingDistanceGIR1Putts",2010
57,57,"Skip Kendall",58,NA,1500.75,137,"AveragePuttingDistanceGIR1Putts",2010
57,57,"James Nitties",92,NA,2786.333,255,"AveragePuttingDistanceGIR1Putts",2010
57,57,"Sean OHair",84,NA,2038.167,187,"AveragePuttingDistanceGIR1Putts",2010
57,57,"Adam Scott",70,NA,1910,175,"AveragePuttingDistanceGIR1Putts",2010
68,68,"Tim Herron",79,NA,2206.333,204,"AveragePuttingDistanceGIR1Putts",2010
68,68,"Dustin Johnson",83,NA,2389.333,220,"AveragePuttingDistanceGIR1Putts",2010
68,68,"Justin Leonard",89,NA,2698,250,"AveragePuttingDistanceGIR1Putts",2010
68,68,"Steve Lowery",67,NA,1681.75,155,"AveragePuttingDistanceGIR1Putts",2010
68,68,"Jeff Maggert",76,NA,2019.5,187,"AveragePuttingDistanceGIR1Putts",2010
68,68,"Ryan Palmer",84,NA,2568.5,238,"AveragePuttingDistanceGIR1Putts",2010
68,68,"Aron Price",70,NA,2218.583,205,"AveragePuttingDistanceGIR1Putts",2010
68,68,"John Senden",103,NA,2829.917,261,"AveragePuttingDistanceGIR1Putts",2010
68,68,"Chris Stroud",90,NA,2398.083,221,"AveragePuttingDistanceGIR1Putts",2010
77,77,"Rich Barcelo",70,NA,1782.25,166,"AveragePuttingDistanceGIR1Putts",2010
77,77,"Henrik Bjornstad",72,NA,1810.75,169,"AveragePuttingDistanceGIR1Putts",2010
77,77,"Michael Bradley",77,NA,2107.083,196,"AveragePuttingDistanceGIR1Putts",2010
77,77,"Geoff Ogilvy",62,NA,2005,186,"AveragePuttingDistanceGIR1Putts",2010
77,77,"Jeff Overton",89,NA,2682.917,249,"AveragePuttingDistanceGIR1Putts",2010
77,77,"John Rollins",81,NA,2568.917,239,"AveragePuttingDistanceGIR1Putts",2010
