"AveragePuttingDistanceGIR3PlusPutts_RANKTHISWEEK_2009","AveragePuttingDistanceGIR3PlusPutts_RANKLASTWEEK_2009","AveragePuttingDistanceGIR3PlusPutts_PLAYERNAME_2009","AveragePuttingDistanceGIR3PlusPutts_ROUNDS_2009","AveragePuttingDistanceGIR3PlusPutts_AVG_2009","AveragePuttingDistanceGIR3PlusPutts_DISTANCEFEET_2009","AveragePuttingDistanceGIR3PlusPutts_TOTALPUTTS_2009","stat_name","year"
1,1,"David Duval",56,NA,86,1,"AveragePuttingDistanceGIR3PlusPutts",2009
2,2,"Matt Bettencourt",98,NA,85.917,1,"AveragePuttingDistanceGIR3PlusPutts",2009
3,3,"Vaughn Taylor",88,NA,161.333,2,"AveragePuttingDistanceGIR3PlusPutts",2009
4,4,"Billy Mayfair",83,NA,152.5,2,"AveragePuttingDistanceGIR3PlusPutts",2009
5,5,"Ryuji Imada",85,NA,70.167,1,"AveragePuttingDistanceGIR3PlusPutts",2009
6,6,"Nick Watney",86,NA,63.583,1,"AveragePuttingDistanceGIR3PlusPutts",2009
7,7,"Brad Adamonis",70,NA,62.833,1,"AveragePuttingDistanceGIR3PlusPutts",2009
8,8,"Padraig Harrington",66,NA,60.917,1,"AveragePuttingDistanceGIR3PlusPutts",2009
9,9,"Tom Lehman",55,NA,60.583,1,"AveragePuttingDistanceGIR3PlusPutts",2009
10,10,"Ricky Barnes",67,NA,59.5,1,"AveragePuttingDistanceGIR3PlusPutts",2009
11,11,"Chris DiMarco",97,NA,116.75,2,"AveragePuttingDistanceGIR3PlusPutts",2009
12,12,"Steve Flesch",77,NA,57.75,1,"AveragePuttingDistanceGIR3PlusPutts",2009
13,13,"Leif Olson",51,NA,54.833,1,"AveragePuttingDistanceGIR3PlusPutts",2009
14,14,"Rory Sabbatini",81,NA,54.083,1,"AveragePuttingDistanceGIR3PlusPutts",2009
15,15,"Paul Goydos",79,NA,52.833,1,"AveragePuttingDistanceGIR3PlusPutts",2009
16,16,"Jonathan Byrd",89,NA,51.833,1,"AveragePuttingDistanceGIR3PlusPutts",2009
17,17,"Jeff Quinney",78,NA,103.333,2,"AveragePuttingDistanceGIR3PlusPutts",2009
18,18,"George McNeill",82,NA,51.167,1,"AveragePuttingDistanceGIR3PlusPutts",2009
19,19,"Aaron Baddeley",66,NA,95.667,2,"AveragePuttingDistanceGIR3PlusPutts",2009
20,20,"John Merrick",91,NA,47.75,1,"AveragePuttingDistanceGIR3PlusPutts",2009
21,21,"Brian Davis",103,NA,47.5,1,"AveragePuttingDistanceGIR3PlusPutts",2009
22,22,"Nathan Green",104,NA,47.167,1,"AveragePuttingDistanceGIR3PlusPutts",2009
23,23,"Eric Axley",71,NA,46.5,1,"AveragePuttingDistanceGIR3PlusPutts",2009
24,24,"Tim Herron",87,NA,46.417,1,"AveragePuttingDistanceGIR3PlusPutts",2009
25,25,"Matt Kuchar",82,NA,46.167,1,"AveragePuttingDistanceGIR3PlusPutts",2009
26,26,"Jerry Kelly",90,NA,45,1,"AveragePuttingDistanceGIR3PlusPutts",2009
27,27,"Kevin Stadler",65,NA,44.917,1,"AveragePuttingDistanceGIR3PlusPutts",2009
28,28,"Mark Calcavecchia",72,NA,89.5,2,"AveragePuttingDistanceGIR3PlusPutts",2009
29,29,"Greg Owen",97,NA,131.667,3,"AveragePuttingDistanceGIR3PlusPutts",2009
30,30,"Hunter Mahan",94,NA,43.833,1,"AveragePuttingDistanceGIR3PlusPutts",2009
31,31,"Phil Mickelson",66,NA,87.167,2,"AveragePuttingDistanceGIR3PlusPutts",2009
32,32,"John Senden",100,NA,171.083,4,"AveragePuttingDistanceGIR3PlusPutts",2009
32,32,"Mark Wilson",99,NA,85.5,2,"AveragePuttingDistanceGIR3PlusPutts",2009
34,34,"Ian Poulter",59,NA,42.583,1,"AveragePuttingDistanceGIR3PlusPutts",2009
35,35,"Ken Duke",87,NA,41.5,1,"AveragePuttingDistanceGIR3PlusPutts",2009
35,35,"Troy Matteson",95,NA,41.5,1,"AveragePuttingDistanceGIR3PlusPutts",2009
37,37,"Kirk Triplett",60,NA,165.75,4,"AveragePuttingDistanceGIR3PlusPutts",2009
38,38,"Daniel Chopra",89,NA,40.833,1,"AveragePuttingDistanceGIR3PlusPutts",2009
39,39,"Pat Perez",74,NA,40.75,1,"AveragePuttingDistanceGIR3PlusPutts",2009
40,40,"Kevin Na",91,NA,40.417,1,"AveragePuttingDistanceGIR3PlusPutts",2009
41,41,"Briny Baird",89,NA,79.917,2,"AveragePuttingDistanceGIR3PlusPutts",2009
42,42,"Kent Jones",73,NA,39,1,"AveragePuttingDistanceGIR3PlusPutts",2009
42,42,"Casey Wittenberg",71,NA,39,1,"AveragePuttingDistanceGIR3PlusPutts",2009
44,44,"Brendon Todd",53,NA,77.333,2,"AveragePuttingDistanceGIR3PlusPutts",2009
45,45,"Glen Day",79,NA,76.75,2,"AveragePuttingDistanceGIR3PlusPutts",2009
46,46,"Tim Clark",81,NA,38.167,1,"AveragePuttingDistanceGIR3PlusPutts",2009
47,47,"YE Yang",83,NA,37.333,1,"AveragePuttingDistanceGIR3PlusPutts",2009
48,48,"Brandt Snedeker",81,NA,36.833,1,"AveragePuttingDistanceGIR3PlusPutts",2009
49,49,"Nicholas Thompson",96,NA,70.833,2,"AveragePuttingDistanceGIR3PlusPutts",2009
50,50,"Dustin Johnson",85,NA,67.167,2,"AveragePuttingDistanceGIR3PlusPutts",2009
51,51,"Kris Blanks",60,NA,33,1,"AveragePuttingDistanceGIR3PlusPutts",2009
52,52,"Michael Letzig",96,NA,32.417,1,"AveragePuttingDistanceGIR3PlusPutts",2009
