"PuttsperRoundRound1_RANKTHISWEEK_2009","PuttsperRoundRound1_RANKLASTWEEK_2009","PuttsperRoundRound1_PLAYERNAME_2009","PuttsperRoundRound1__2009","PuttsperRoundRound1_AVG_2009","PuttsperRoundRound1_TOTALPUTTS_2009","PuttsperRoundRound1_TOTALROUNDS_2009","stat_name","year"
1,1,"Ian Poulter",NA,27.44,439,16,"PuttsperRoundRound1",2009
2,2,"Bob Heintz",NA,27.61,497,18,"PuttsperRoundRound1",2009
3,3,"Parker McLachlin",NA,27.64,691,25,"PuttsperRoundRound1",2009
4,4,"Bob Estes",NA,27.74,638,23,"PuttsperRoundRound1",2009
5,5,"Jerry Kelly",NA,27.83,668,24,"PuttsperRoundRound1",2009
6,6,"Brad Faxon",NA,27.91,642,23,"PuttsperRoundRound1",2009
7,7,"Charlie Wi",NA,28.04,785,28,"PuttsperRoundRound1",2009
8,8,"Vaughn Taylor",NA,28.11,759,27,"PuttsperRoundRound1",2009
9,9,"Brian Gay",NA,28.15,732,26,"PuttsperRoundRound1",2009
10,10,"Michael Letzig",NA,28.19,761,27,"PuttsperRoundRound1",2009
10,10,"Pat Perez",NA,28.19,592,21,"PuttsperRoundRound1",2009
12,12,"Greg Chalmers",NA,28.21,677,24,"PuttsperRoundRound1",2009
13,13,"Aaron Baddeley",NA,28.27,622,22,"PuttsperRoundRound1",2009
14,14,"Mike Weir",NA,28.3,651,23,"PuttsperRoundRound1",2009
15,15,"Padraig Harrington",NA,28.32,538,19,"PuttsperRoundRound1",2009
15,15,"Justin Leonard",NA,28.32,708,25,"PuttsperRoundRound1",2009
17,17,"Luke Donald",NA,28.35,567,20,"PuttsperRoundRound1",2009
17,17,"Phil Mickelson",NA,28.35,482,17,"PuttsperRoundRound1",2009
19,19,"Chris DiMarco",NA,28.36,794,28,"PuttsperRoundRound1",2009
20,20,"Joe Ogilvie",NA,28.41,767,27,"PuttsperRoundRound1",2009
21,21,"Nathan Green",NA,28.45,825,29,"PuttsperRoundRound1",2009
21,21,"YE Yang",NA,28.45,626,22,"PuttsperRoundRound1",2009
23,23,"Johnson Wagner",NA,28.46,740,26,"PuttsperRoundRound1",2009
24,24,"Geoff Ogilvy",NA,28.47,541,19,"PuttsperRoundRound1",2009
25,25,"Bart Bryant",NA,28.5,456,16,"PuttsperRoundRound1",2009
25,25,"Paul Goydos",NA,28.5,684,24,"PuttsperRoundRound1",2009
27,27,"Ryuji Imada",NA,28.52,713,25,"PuttsperRoundRound1",2009
28,28,"Scott McCarron",NA,28.54,742,26,"PuttsperRoundRound1",2009
29,29,"Anthony Kim",NA,28.57,600,21,"PuttsperRoundRound1",2009
29,29,"Dean Wilson",NA,28.57,800,28,"PuttsperRoundRound1",2009
31,31,"Freddie Jacobson",NA,28.58,686,24,"PuttsperRoundRound1",2009
31,31,"John Rollins",NA,28.58,743,26,"PuttsperRoundRound1",2009
33,33,"Eric Axley",NA,28.59,829,29,"PuttsperRoundRound1",2009
34,34,"Steve Elkington",NA,28.61,658,23,"PuttsperRoundRound1",2009
34,34,"Bo Van Pelt",NA,28.61,801,28,"PuttsperRoundRound1",2009
36,36,"Lee Janzen",NA,28.62,601,21,"PuttsperRoundRound1",2009
37,37,"Angel Cabrera",NA,28.63,458,16,"PuttsperRoundRound1",2009
37,37,"Retief Goosen",NA,28.63,544,19,"PuttsperRoundRound1",2009
39,39,"Tim Herron",NA,28.7,775,27,"PuttsperRoundRound1",2009
39,39,"Mark Wilson",NA,28.7,775,27,"PuttsperRoundRound1",2009
41,41,"Ken Duke",NA,28.72,833,29,"PuttsperRoundRound1",2009
41,41,"George McNeill",NA,28.72,718,25,"PuttsperRoundRound1",2009
43,43,"Colt Knost",NA,28.73,632,22,"PuttsperRoundRound1",2009
43,43,"Tim Petrovic",NA,28.73,862,30,"PuttsperRoundRound1",2009
43,43,"Webb Simpson",NA,28.73,862,30,"PuttsperRoundRound1",2009
46,46,"Daniel Chopra",NA,28.75,805,28,"PuttsperRoundRound1",2009
46,46,"Jeff Klauk",NA,28.75,805,28,"PuttsperRoundRound1",2009
46,46,"Tiger Woods",NA,28.75,460,16,"PuttsperRoundRound1",2009
49,49,"Kevin Na",NA,28.76,719,25,"PuttsperRoundRound1",2009
50,50,"Steve Lowery",NA,28.78,777,27,"PuttsperRoundRound1",2009
51,51,"Tom Pernice Jr",NA,28.81,749,26,"PuttsperRoundRound1",2009
52,52,"David Duval",NA,28.82,634,22,"PuttsperRoundRound1",2009
52,52,"Rod Pampling",NA,28.82,634,22,"PuttsperRoundRound1",2009
52,52,"Ted Purdy",NA,28.82,807,28,"PuttsperRoundRound1",2009
55,55,"Lucas Glover",NA,28.85,750,26,"PuttsperRoundRound1",2009
56,56,"Corey Pavin",NA,28.86,606,21,"PuttsperRoundRound1",2009
56,56,"Steve Stricker",NA,28.86,606,21,"PuttsperRoundRound1",2009
58,58,"Jonathan Byrd",NA,28.88,693,24,"PuttsperRoundRound1",2009
58,58,"Brandt Snedeker",NA,28.88,722,25,"PuttsperRoundRound1",2009
60,60,"Harrison Frazar",NA,28.89,780,27,"PuttsperRoundRound1",2009
61,61,"Spencer Levin",NA,28.91,665,23,"PuttsperRoundRound1",2009
62,62,"Dustin Johnson",NA,28.92,694,24,"PuttsperRoundRound1",2009
63,63,"Jason Day",NA,28.93,434,15,"PuttsperRoundRound1",2009
64,64,"Ben Curtis",NA,28.94,492,17,"PuttsperRoundRound1",2009
65,65,"Chris Riley",NA,28.95,579,20,"PuttsperRoundRound1",2009
66,66,"James Nitties",NA,28.96,753,26,"PuttsperRoundRound1",2009
66,66,"Jeff Overton",NA,28.96,782,27,"PuttsperRoundRound1",2009
68,68,"Michael Allen",NA,29,609,21,"PuttsperRoundRound1",2009
68,68,"Stewart Cink",NA,29,609,21,"PuttsperRoundRound1",2009
68,68,"Ben Crane",NA,29,783,27,"PuttsperRoundRound1",2009
68,68,"Jim Furyk",NA,29,638,22,"PuttsperRoundRound1",2009
68,68,"Sergio Garcia",NA,29,464,16,"PuttsperRoundRound1",2009
68,68,"Mathew Goggin",NA,29,725,25,"PuttsperRoundRound1",2009
68,68,"Kenny Perry",NA,29,667,23,"PuttsperRoundRound1",2009
68,68,"Andres Romero",NA,29,551,19,"PuttsperRoundRound1",2009
68,68,"Kevin Sutherland",NA,29,754,26,"PuttsperRoundRound1",2009
68,68,"Bubba Watson",NA,29,667,23,"PuttsperRoundRound1",2009
78,78,"DA Points",NA,29.04,784,27,"PuttsperRoundRound1",2009
79,79,"Justin Rose",NA,29.1,611,21,"PuttsperRoundRound1",2009
80,80,"Cliff Kresge",NA,29.12,757,26,"PuttsperRoundRound1",2009
81,81,"Hunter Mahan",NA,29.13,699,24,"PuttsperRoundRound1",2009
82,82,"Jimmy Walker",NA,29.14,641,22,"PuttsperRoundRound1",2009
83,83,"John Merrick",NA,29.15,758,26,"PuttsperRoundRound1",2009
84,84,"Jarrod Lyle",NA,29.16,554,19,"PuttsperRoundRound1",2009
85,85,"Mark Calcavecchia",NA,29.17,671,23,"PuttsperRoundRound1",2009
85,85,"Matt Kuchar",NA,29.17,700,24,"PuttsperRoundRound1",2009
87,87,"Stephen Ames",NA,29.18,642,22,"PuttsperRoundRound1",2009
87,87,"Steve Marino",NA,29.18,817,28,"PuttsperRoundRound1",2009
89,89,"Matt Jones",NA,29.2,438,15,"PuttsperRoundRound1",2009
90,90,"Kris Blanks",NA,29.22,526,18,"PuttsperRoundRound1",2009
90,90,"Scott Verplank",NA,29.22,672,23,"PuttsperRoundRound1",2009
92,92,"Brian Davis",NA,29.23,906,31,"PuttsperRoundRound1",2009
92,92,"Kent Jones",NA,29.23,643,22,"PuttsperRoundRound1",2009
92,92,"Ryan Moore",NA,29.23,760,26,"PuttsperRoundRound1",2009
92,92,"Jeff Quinney",NA,29.23,760,26,"PuttsperRoundRound1",2009
96,96,"Jason Dufner",NA,29.24,731,25,"PuttsperRoundRound1",2009
97,97,"Kevin Streelman",NA,29.25,819,28,"PuttsperRoundRound1",2009
