"1PuttsperRound_RANKTHISWEEK_2010","1PuttsperRound_RANKLASTWEEK_2010","1PuttsperRound_PLAYERNAME_2010","1PuttsperRound_ROUNDS_2010","1PuttsperRound_AVG_2010","1PuttsperRound_TOTAL1PUTTS_2010","1PuttsperRound_TOTALROUNDS_2010","stat_name","year"
1,1,"Brian Gay",101,7.91,775,98,"1PuttsperRound",2010
2,2,"Brandt Snedeker",89,7.9,703,89,"1PuttsperRound",2010
3,3,"Ryuji Imada",90,7.71,694,90,"1PuttsperRound",2010
4,4,"Charlie Wi",95,7.68,730,95,"1PuttsperRound",2010
5,5,"Mike Weir",59,7.65,436,57,"1PuttsperRound",2010
6,6,"Greg Chalmers",93,7.56,703,93,"1PuttsperRound",2010
7,7,"Padraig Harrington",57,7.48,419,56,"1PuttsperRound",2010
8,8,"Michael Sim",64,7.41,467,63,"1PuttsperRound",2010
9,9,"Luke Donald",71,7.4,503,68,"1PuttsperRound",2010
10,10,"Kevin Na",94,7.39,687,93,"1PuttsperRound",2010
11,11,"Matt Jones",89,7.36,655,89,"1PuttsperRound",2010
12,12,"Pat Perez",90,7.34,661,90,"1PuttsperRound",2010
12,12,"Scott Verplank",74,7.34,536,73,"1PuttsperRound",2010
14,14,"JB Holmes",100,7.32,732,100,"1PuttsperRound",2010
14,14,"David Toms",86,7.32,622,85,"1PuttsperRound",2010
16,16,"Nathan Green",86,7.3,628,86,"1PuttsperRound",2010
17,17,"Zach Johnson",93,7.29,663,91,"1PuttsperRound",2010
18,18,"Aaron Baddeley",94,7.28,684,94,"1PuttsperRound",2010
19,19,"Tom Gillis",97,7.27,705,97,"1PuttsperRound",2010
19,19,"Justin Rose",78,7.27,567,78,"1PuttsperRound",2010
21,21,"Brian Davis",101,7.26,733,101,"1PuttsperRound",2010
22,22,"Matt Kuchar",97,7.24,688,95,"1PuttsperRound",2010
22,22,"Ryan Palmer",84,7.24,608,84,"1PuttsperRound",2010
24,24,"Webb Simpson",98,7.23,709,98,"1PuttsperRound",2010
25,25,"Freddie Jacobson",83,7.22,599,83,"1PuttsperRound",2010
26,26,"Steve Stricker",73,7.21,519,72,"1PuttsperRound",2010
27,27,"Jeff Quinney",91,7.2,655,91,"1PuttsperRound",2010
28,28,"Tim Clark",88,7.19,611,85,"1PuttsperRound",2010
29,29,"Phil Mickelson",76,7.18,546,76,"1PuttsperRound",2010
30,30,"Geoff Ogilvy",62,7.17,430,60,"1PuttsperRound",2010
31,31,"Jim Furyk",76,7.14,528,74,"1PuttsperRound",2010
32,32,"Daniel Chopra",74,7.12,527,74,"1PuttsperRound",2010
32,32,"Paul Goydos",78,7.12,555,78,"1PuttsperRound",2010
34,34,"Charley Hoffman",85,7.11,604,85,"1PuttsperRound",2010
35,35,"Ben Crane",85,7.1,582,82,"1PuttsperRound",2010
36,36,"Ryan Moore",80,7.09,560,79,"1PuttsperRound",2010
37,37,"Justin Leonard",89,7.07,622,88,"1PuttsperRound",2010
37,37,"Scott McCarron",90,7.07,636,90,"1PuttsperRound",2010
39,39,"Troy Merritt",86,7.06,607,86,"1PuttsperRound",2010
39,39,"Bo Van Pelt",104,7.06,734,104,"1PuttsperRound",2010
41,41,"Paul Casey",64,7.05,409,58,"1PuttsperRound",2010
41,41,"Chris Couch",66,7.05,465,66,"1PuttsperRound",2010
41,41,"Andres Romero",73,7.05,515,73,"1PuttsperRound",2010
44,44,"Retief Goosen",75,7.04,500,71,"1PuttsperRound",2010
44,44,"Rory McIlroy",54,7.04,366,52,"1PuttsperRound",2010
46,46,"Matt Bettencourt",91,7.03,640,91,"1PuttsperRound",2010
47,47,"Ian Poulter",55,7.02,344,49,"1PuttsperRound",2010
48,48,"Stuart Appleby",101,7.01,708,101,"1PuttsperRound",2010
49,49,"Rory Sabbatini",79,6.99,545,78,"1PuttsperRound",2010
50,50,"YE Yang",72,6.96,487,70,"1PuttsperRound",2010
51,51,"Michael Letzig",84,6.94,583,84,"1PuttsperRound",2010
52,52,"Jason Day",82,6.93,568,82,"1PuttsperRound",2010
52,52,"Ernie Els",72,6.93,485,70,"1PuttsperRound",2010
52,52,"Carl Pettersson",99,6.93,686,99,"1PuttsperRound",2010
52,52,"Camilo Villegas",78,6.93,499,72,"1PuttsperRound",2010
56,56,"Chad Collins",87,6.9,600,87,"1PuttsperRound",2010
56,56,"Marc Leishman",87,6.9,600,87,"1PuttsperRound",2010
56,56,"George McNeill",79,6.9,545,79,"1PuttsperRound",2010
59,59,"Rickie Fowler",98,6.89,675,98,"1PuttsperRound",2010
59,59,"Dustin Johnson",83,6.89,565,82,"1PuttsperRound",2010
59,59,"Bryce Molder",84,6.89,579,84,"1PuttsperRound",2010
62,62,"Jeff Overton",89,6.88,612,89,"1PuttsperRound",2010
62,62,"Scott Piercy",88,6.88,605,88,"1PuttsperRound",2010
64,64,"Matt Every",60,6.87,412,60,"1PuttsperRound",2010
65,65,"Nick Watney",91,6.86,604,88,"1PuttsperRound",2010
66,66,"Stephen Ames",75,6.85,507,74,"1PuttsperRound",2010
66,66,"Ricky Barnes",103,6.85,706,103,"1PuttsperRound",2010
66,66,"Stewart Cink",84,6.85,548,80,"1PuttsperRound",2010
66,66,"Tim Petrovic",105,6.85,719,105,"1PuttsperRound",2010
70,70,"Jason Bohn",84,6.79,570,84,"1PuttsperRound",2010
70,70,"James Driscoll",78,6.79,530,78,"1PuttsperRound",2010
70,70,"Kevin Streelman",90,6.79,611,90,"1PuttsperRound",2010
73,73,"Lee Janzen",77,6.77,521,77,"1PuttsperRound",2010
73,73,"John Mallinger",78,6.77,528,78,"1PuttsperRound",2010
75,75,"KJ Choi",82,6.74,553,82,"1PuttsperRound",2010
76,76,"Angel Cabrera",64,6.73,424,63,"1PuttsperRound",2010
76,76,"Steve Marino",81,6.73,545,81,"1PuttsperRound",2010
78,78,"Bob Estes",79,6.72,531,79,"1PuttsperRound",2010
78,78,"Vaughn Taylor",87,6.72,585,87,"1PuttsperRound",2010
80,80,"Martin Laird",91,6.7,610,91,"1PuttsperRound",2010
80,80,"Bubba Watson",77,6.7,516,77,"1PuttsperRound",2010
82,82,"Brad Faxon",58,6.69,388,58,"1PuttsperRound",2010
82,82,"Bill Haas",87,6.69,582,87,"1PuttsperRound",2010
84,84,"Hunter Mahan",85,6.68,561,84,"1PuttsperRound",2010
84,84,"Jimmy Walker",82,6.68,548,82,"1PuttsperRound",2010
86,86,"Jason Dufner",87,6.67,580,87,"1PuttsperRound",2010
86,86,"JP Hayes",79,6.67,527,79,"1PuttsperRound",2010
88,88,"Robert Allenby",76,6.66,493,74,"1PuttsperRound",2010
88,88,"James Nitties",92,6.66,613,92,"1PuttsperRound",2010
90,90,"Blake Adams",84,6.65,559,84,"1PuttsperRound",2010
90,90,"Chris DiMarco",88,6.65,585,88,"1PuttsperRound",2010
92,92,"Ben Curtis",78,6.64,518,78,"1PuttsperRound",2010
93,93,"Lucas Glover",75,6.62,490,74,"1PuttsperRound",2010
94,94,"Jonathan Byrd",85,6.61,562,85,"1PuttsperRound",2010
94,94,"Charles Howell III",103,6.61,681,103,"1PuttsperRound",2010
96,96,"Sean OHair",84,6.6,541,82,"1PuttsperRound",2010
97,97,"Steve Flesch",78,6.59,514,78,"1PuttsperRound",2010
98,98,"Alex Prugh",88,6.58,579,88,"1PuttsperRound",2010
98,98,"John Rollins",81,6.58,533,81,"1PuttsperRound",2010
98,98,"Vijay Singh",75,6.58,487,74,"1PuttsperRound",2010
101,101,"Rod Pampling",77,6.56,505,77,"1PuttsperRound",2010
101,101,"Roland Thatcher",72,6.56,472,72,"1PuttsperRound",2010
103,103,"Joe Ogilvie",99,6.55,648,99,"1PuttsperRound",2010
104,104,"Woody Austin",93,6.54,608,93,"1PuttsperRound",2010
105,105,"Will Ma Kenzie",72,6.53,470,72,"1PuttsperRound",2010
105,105,"Johnson Wagner",85,6.53,555,85,"1PuttsperRound",2010
107,107,"Michael Connell",89,6.52,580,89,"1PuttsperRound",2010
108,108,"David Duval",71,6.51,462,71,"1PuttsperRound",2010
109,109,"Shaun Micheel",70,6.5,455,70,"1PuttsperRound",2010
109,109,"Jeev Milkha Singh",59,6.5,364,56,"1PuttsperRound",2010
111,111,"Josh Teater",101,6.48,654,101,"1PuttsperRound",2010
112,112,"Tim Herron",79,6.46,510,79,"1PuttsperRound",2010
112,112,"Dean Wilson",54,6.46,349,54,"1PuttsperRound",2010
114,114,"Trevor Immelman",55,6.44,354,55,"1PuttsperRound",2010
114,114,"Derek Lamely",81,6.44,522,81,"1PuttsperRound",2010
114,114,"Chris Riley",73,6.44,470,73,"1PuttsperRound",2010
114,114,"Adam Scott",70,6.44,438,68,"1PuttsperRound",2010
118,118,"Chad Campbell",95,6.41,603,94,"1PuttsperRound",2010
118,118,"Martin Flores",75,6.41,481,75,"1PuttsperRound",2010
118,118,"Heath Slocum",97,6.41,622,97,"1PuttsperRound",2010
118,118,"Brian Stuard",81,6.41,519,81,"1PuttsperRound",2010
122,122,"Spencer Levin",110,6.4,704,110,"1PuttsperRound",2010
122,122,"Chris Tidland",77,6.4,493,77,"1PuttsperRound",2010
124,124,"Brett Wetterich",54,6.39,345,54,"1PuttsperRound",2010
125,125,"Ted Purdy",86,6.38,549,86,"1PuttsperRound",2010
126,126,"DA Points",90,6.37,573,90,"1PuttsperRound",2010
127,127,"Rich Barcelo",70,6.36,445,70,"1PuttsperRound",2010
128,128,"Sergio Garcia",58,6.35,330,52,"1PuttsperRound",2010
129,129,"Kenny Perry",69,6.34,431,68,"1PuttsperRound",2010
129,129,"Brett Quigley",96,6.34,609,96,"1PuttsperRound",2010
131,131,"Bill Lunde",79,6.33,500,79,"1PuttsperRound",2010
131,131,"DJ Trahan",92,6.33,582,92,"1PuttsperRound",2010
133,133,"Garrett Willis",82,6.29,516,82,"1PuttsperRound",2010
134,134,"Steve Elkington",74,6.28,465,74,"1PuttsperRound",2010
135,135,"Michael Bradley",77,6.26,482,77,"1PuttsperRound",2010
135,135,"Greg Owen",69,6.26,432,69,"1PuttsperRound",2010
137,137,"Briny Baird",87,6.25,544,87,"1PuttsperRound",2010
137,137,"Alex Cejka",81,6.25,506,81,"1PuttsperRound",2010
139,139,"Steve Wheatcroft",74,6.24,462,74,"1PuttsperRound",2010
140,140,"Kevin Sutherland",86,6.23,536,86,"1PuttsperRound",2010
141,141,"Kevin Stadler",86,6.21,534,86,"1PuttsperRound",2010
142,142,"Cameron Beckman",68,6.19,421,68,"1PuttsperRound",2010
143,143,"Mark Wilson",87,6.17,537,87,"1PuttsperRound",2010
144,144,"Jerry Kelly",99,6.16,610,99,"1PuttsperRound",2010
145,145,"Brendon de Jonge",114,6.15,701,114,"1PuttsperRound",2010
146,146,"Brenden Pappas",66,6.14,405,66,"1PuttsperRound",2010
