"3PlusPuttsperRound_RANKTHISWEEK_2016","3PlusPuttsperRound_RANKLASTWEEK_2016","3PlusPuttsperRound_PLAYERNAME_2016","3PlusPuttsperRound_ROUNDS_2016","3PlusPuttsperRound_AVG_2016","3PlusPuttsperRound_TOTAL3PUTTS_2016","3PlusPuttsperRound_TOTALROUNDS_2016","stat_name","year"
1,1,"Rory Sabbatini",40,0.15,6,40,"3PlusPuttsperRound",2016
2,2,"Matthew Fitzpatrick",23,0.1,2,20,"3PlusPuttsperRound",2016
3,3,"Charlie Beljan",26,0.08,2,26,"3PlusPuttsperRound",2016
3,3,"Sergio Garcia",28,0.08,2,25,"3PlusPuttsperRound",2016
5,5,"Stuart Appleby",39,0.05,2,39,"3PlusPuttsperRound",2016
5,5,"Morgan Hoffmann",43,0.05,2,43,"3PlusPuttsperRound",2016
5,5,"Lucas Lee",22,0.05,1,22,"3PlusPuttsperRound",2016
5,5,"Steve Marino",40,0.05,2,40,"3PlusPuttsperRound",2016
5,5,"Bernd Wiesberger",23,0.05,1,20,"3PlusPuttsperRound",2016
10,5,"Alex Cejka",47,0.04,2,47,"3PlusPuttsperRound",2016
10,15,"Jamie Donaldson",28,0.04,1,25,"3PlusPuttsperRound",2016
10,15,"Lucas Glover",53,0.04,2,53,"3PlusPuttsperRound",2016
10,5,"Andres Gonzales",46,0.04,2,46,"3PlusPuttsperRound",2016
10,38,"Hiroshi Iwata",51,0.04,2,51,"3PlusPuttsperRound",2016
10,15,"Whee Kim",54,0.04,2,54,"3PlusPuttsperRound",2016
10,15,"Kevin Na",52,0.04,2,49,"3PlusPuttsperRound",2016
10,15,"Charl Schwartzel",29,0.04,1,26,"3PlusPuttsperRound",2016
10,5,"Cameron Smith",45,0.04,2,45,"3PlusPuttsperRound",2016
10,15,"Chris Stroud",52,0.04,2,52,"3PlusPuttsperRound",2016
10,15,"Hudson Swafford",52,0.04,2,52,"3PlusPuttsperRound",2016
10,5,"Michael Thompson",46,0.04,2,46,"3PlusPuttsperRound",2016
22,23,"Shane Bertsch",30,0.03,1,30,"3PlusPuttsperRound",2016
22,38,"Scott Brown",59,0.03,2,59,"3PlusPuttsperRound",2016
22,23,"Ernie Els",34,0.03,1,34,"3PlusPuttsperRound",2016
22,23,"Matt Every",34,0.03,1,34,"3PlusPuttsperRound",2016
22,38,"Derek Fathauer",58,0.03,2,58,"3PlusPuttsperRound",2016
22,23,"Robert Garrigus",34,0.03,1,34,"3PlusPuttsperRound",2016
22,23,"Rhein Gibson",36,0.03,1,36,"3PlusPuttsperRound",2016
22,23,"George McNeill",33,0.03,1,33,"3PlusPuttsperRound",2016
22,23,"Carl Pettersson",31,0.03,1,31,"3PlusPuttsperRound",2016
22,23,"DA Points",32,0.03,1,32,"3PlusPuttsperRound",2016
22,23,"Ian Poulter",37,0.03,1,37,"3PlusPuttsperRound",2016
22,23,"Dicky Pride",33,0.03,1,33,"3PlusPuttsperRound",2016
22,23,"Sam Saunders",40,0.03,1,40,"3PlusPuttsperRound",2016
22,23,"Jordan Spieth",34,0.03,1,30,"3PlusPuttsperRound",2016
22,15,"Henrik Stenson",30,0.03,1,30,"3PlusPuttsperRound",2016
37,38,"Tyler Aldridge",53,0.02,1,53,"3PlusPuttsperRound",2016
37,38,"Brendon de Jonge",55,0.02,1,55,"3PlusPuttsperRound",2016
37,NA,"Graham DeLaet",50,0.02,1,50,"3PlusPuttsperRound",2016
37,38,"Jason Dufner",53,0.02,1,50,"3PlusPuttsperRound",2016
37,NA,"Tony Finau",49,0.02,1,49,"3PlusPuttsperRound",2016
37,38,"Fabian Gomez",49,0.02,1,46,"3PlusPuttsperRound",2016
37,23,"Emiliano Grillo",47,0.02,1,44,"3PlusPuttsperRound",2016
37,38,"Chesson Hadley",51,0.02,1,51,"3PlusPuttsperRound",2016
37,38,"Russell Henley",42,0.02,1,42,"3PlusPuttsperRound",2016
37,38,"JJ Henry",44,0.02,1,44,"3PlusPuttsperRound",2016
37,38,"John Huh",51,0.02,1,51,"3PlusPuttsperRound",2016
37,38,"Colt Knost",56,0.02,1,56,"3PlusPuttsperRound",2016
37,38,"Russell Knox",48,0.02,1,45,"3PlusPuttsperRound",2016
37,NA,"Scott Langley",41,0.02,1,41,"3PlusPuttsperRound",2016
37,38,"Danny Lee",53,0.02,1,50,"3PlusPuttsperRound",2016
37,38,"Jamie Lovemark",57,0.02,1,57,"3PlusPuttsperRound",2016
37,38,"Will Ma Kenzie",54,0.02,1,54,"3PlusPuttsperRound",2016
37,23,"Hunter Mahan",43,0.02,1,43,"3PlusPuttsperRound",2016
37,38,"Ben Martin",48,0.02,1,48,"3PlusPuttsperRound",2016
37,38,"Greg Owen",56,0.02,1,56,"3PlusPuttsperRound",2016
37,38,"Patrick Reed",53,0.02,1,49,"3PlusPuttsperRound",2016
37,38,"John Senden",48,0.02,1,48,"3PlusPuttsperRound",2016
37,23,"Vijay Singh",42,0.02,1,42,"3PlusPuttsperRound",2016
37,38,"Shawn Stefani",45,0.02,1,45,"3PlusPuttsperRound",2016
37,38,"Justin Thomas",53,0.02,1,50,"3PlusPuttsperRound",2016
37,NA,"Harold Varner III",58,0.02,1,58,"3PlusPuttsperRound",2016
37,38,"Boo Weekley",53,0.02,1,53,"3PlusPuttsperRound",2016
