"OverallPuttingAverage_RANKTHISWEEK_2006","OverallPuttingAverage_RANKLASTWEEK_2006","OverallPuttingAverage_PLAYERNAME_2006","OverallPuttingAverage_ROUNDS_2006","OverallPuttingAverage_AVG_2006","OverallPuttingAverage_OFPUTTS_2006","OverallPuttingAverage_OFHOLES_2006","stat_name","year"
1,1,"Aaron Baddeley",78,1.553,2125,1368,"OverallPuttingAverage",2006
2,2,"Brian Gay",107,1.558,3001,1926,"OverallPuttingAverage",2006
3,3,"Daniel Chopra",110,1.567,3019,1926,"OverallPuttingAverage",2006
4,4,"Steve Stricker",64,1.57,1752,1116,"OverallPuttingAverage",2006
5,5,"Paul Azinger",87,1.577,2469,1566,"OverallPuttingAverage",2006
6,6,"Rod Pampling",89,1.58,2389,1512,"OverallPuttingAverage",2006
7,7,"Ben Crane",85,1.581,2277,1440,"OverallPuttingAverage",2006
8,8,"Michael Allen",84,1.582,2392,1512,"OverallPuttingAverage",2006
9,9,"Brad Faxon",78,1.583,2223,1404,"OverallPuttingAverage",2006
10,10,"Luke Donald",66,1.586,1798,1134,"OverallPuttingAverage",2006
10,10,"Harrison Frazar",95,1.586,2598,1638,"OverallPuttingAverage",2006
12,12,"Nathan Green",108,1.587,2970,1872,"OverallPuttingAverage",2006
13,13,"Doug Barron",74,1.588,2086,1314,"OverallPuttingAverage",2006
13,13,"Todd Fischer",101,1.588,2830,1782,"OverallPuttingAverage",2006
13,13,"Shigeki Maruyama",94,1.588,2629,1656,"OverallPuttingAverage",2006
13,13,"Jesper Parnevik",84,1.588,2401,1512,"OverallPuttingAverage",2006
17,17,"Chris Riley",86,1.589,2346,1476,"OverallPuttingAverage",2006
18,18,"Stuart Appleby",83,1.59,2233,1404,"OverallPuttingAverage",2006
18,18,"Greg Chalmers",71,1.59,1918,1206,"OverallPuttingAverage",2006
20,20,"Marco Dawson",87,1.593,2494,1566,"OverallPuttingAverage",2006
20,20,"Vaughn Taylor",88,1.593,2523,1584,"OverallPuttingAverage",2006
22,22,"Ryan Moore",68,1.594,1865,1170,"OverallPuttingAverage",2006
