"PuttingfromInside5_RANKTHISWEEK_2010","PuttingfromInside5_RANKLASTWEEK_2010","PuttingfromInside5_PLAYERNAME_2010","PuttingfromInside5_ROUNDS_2010","PuttingfromInside5_Pct_2010","PuttingfromInside5_ATTEMPTS_2010","PuttingfromInside5_PUTTSMADE_2010","stat_name","year"
1,1,"Paul Casey",64,98.68,604,596,"PuttingfromInside5",2010
2,2,"Padraig Harrington",57,98.42,634,624,"PuttingfromInside5",2010
3,3,"Steve Elkington",74,98.23,849,834,"PuttingfromInside5",2010
4,4,"Luke Donald",71,98.22,731,718,"PuttingfromInside5",2010
5,5,"Brian Gay",101,97.97,1132,1109,"PuttingfromInside5",2010
6,6,"Retief Goosen",75,97.94,729,714,"PuttingfromInside5",2010
7,7,"Dean Wilson",54,97.85,652,638,"PuttingfromInside5",2010
8,8,"Jeff Quinney",91,97.84,1111,1087,"PuttingfromInside5",2010
9,9,"Ryan Palmer",84,97.75,977,955,"PuttingfromInside5",2010
10,10,"Carl Pettersson",99,97.74,1152,1126,"PuttingfromInside5",2010
11,11,"Greg Chalmers",93,97.73,1189,1162,"PuttingfromInside5",2010
11,11,"Jarrod Lyle",54,97.73,661,646,"PuttingfromInside5",2010
13,13,"Steve Stricker",73,97.69,778,760,"PuttingfromInside5",2010
14,14,"Jim Furyk",76,97.67,858,838,"PuttingfromInside5",2010
14,14,"Ryan Moore",80,97.67,860,840,"PuttingfromInside5",2010
16,16,"Charles Howell III",103,97.6,1294,1263,"PuttingfromInside5",2010
17,17,"Skip Kendall",58,97.55,694,677,"PuttingfromInside5",2010
17,17,"Webb Simpson",98,97.55,1304,1272,"PuttingfromInside5",2010
19,19,"Jeff Overton",89,97.54,977,953,"PuttingfromInside5",2010
20,20,"Stephen Ames",75,97.5,960,936,"PuttingfromInside5",2010
20,20,"Geoff Ogilvy",62,97.5,681,664,"PuttingfromInside5",2010
20,20,"Ian Poulter",55,97.5,480,468,"PuttingfromInside5",2010
23,23,"Chad Collins",87,97.49,1036,1010,"PuttingfromInside5",2010
24,24,"Michael Sim",64,97.45,746,727,"PuttingfromInside5",2010
25,25,"Ryuji Imada",90,97.38,1184,1153,"PuttingfromInside5",2010
26,26,"Jason Bohn",84,97.36,1061,1033,"PuttingfromInside5",2010
27,27,"Ben Curtis",78,97.31,965,939,"PuttingfromInside5",2010
28,28,"JJ Henry",92,97.3,1147,1116,"PuttingfromInside5",2010
29,29,"Chad Campbell",95,97.29,1181,1149,"PuttingfromInside5",2010
30,30,"Brendon de Jonge",114,97.27,1319,1283,"PuttingfromInside5",2010
30,30,"James Driscoll",78,97.27,1061,1032,"PuttingfromInside5",2010
32,32,"Mike Weir",59,97.24,579,563,"PuttingfromInside5",2010
33,33,"Matt Jones",89,97.23,1118,1087,"PuttingfromInside5",2010
33,33,"Scott Verplank",74,97.23,794,772,"PuttingfromInside5",2010
35,35,"Phil Mickelson",76,97.18,817,794,"PuttingfromInside5",2010
36,36,"Rickie Fowler",98,97.14,1187,1153,"PuttingfromInside5",2010
37,37,"Scott McCarron",90,97.13,1186,1152,"PuttingfromInside5",2010
38,38,"Chris Couch",66,97.12,832,808,"PuttingfromInside5",2010
39,39,"Michael Connell",89,97.09,1067,1036,"PuttingfromInside5",2010
40,40,"Paul Stankowski",62,97.06,749,727,"PuttingfromInside5",2010
41,41,"Matt Kuchar",97,97.04,1046,1015,"PuttingfromInside5",2010
42,42,"Nathan Green",86,97.01,1137,1103,"PuttingfromInside5",2010
43,43,"Spencer Levin",110,97,1431,1388,"PuttingfromInside5",2010
44,44,"Martin Laird",91,96.99,1128,1094,"PuttingfromInside5",2010
44,44,"David Toms",86,96.99,998,968,"PuttingfromInside5",2010
46,46,"Matt Bettencourt",91,96.95,982,952,"PuttingfromInside5",2010
47,47,"John Merrick",109,96.91,1360,1318,"PuttingfromInside5",2010
47,47,"Heath Slocum",97,96.91,1067,1034,"PuttingfromInside5",2010
49,49,"Brandt Snedeker",89,96.9,1031,999,"PuttingfromInside5",2010
50,50,"Vaughn Taylor",87,96.88,1123,1088,"PuttingfromInside5",2010
51,51,"Tim Clark",88,96.83,946,916,"PuttingfromInside5",2010
51,51,"Zach Johnson",93,96.83,1041,1008,"PuttingfromInside5",2010
51,51,"Andres Romero",73,96.83,1008,976,"PuttingfromInside5",2010
54,54,"Bo Van Pelt",104,96.82,1228,1189,"PuttingfromInside5",2010
55,55,"Rich Barcelo",70,96.76,834,807,"PuttingfromInside5",2010
55,55,"Ben Crane",85,96.76,925,895,"PuttingfromInside5",2010
57,57,"Alex Prugh",88,96.74,1135,1098,"PuttingfromInside5",2010
58,58,"Brent Delahoussaye",57,96.72,670,648,"PuttingfromInside5",2010
58,58,"Nick Watney",91,96.72,976,944,"PuttingfromInside5",2010
60,60,"Freddie Jacobson",83,96.7,1090,1054,"PuttingfromInside5",2010
61,61,"Troy Merritt",86,96.68,1053,1018,"PuttingfromInside5",2010
61,61,"Chris Riley",73,96.68,904,874,"PuttingfromInside5",2010
63,63,"Greg Kraft",52,96.67,571,552,"PuttingfromInside5",2010
64,64,"Bryce Molder",84,96.66,1019,985,"PuttingfromInside5",2010
65,65,"James Nitties",92,96.65,1136,1098,"PuttingfromInside5",2010
66,66,"Blake Adams",84,96.64,1100,1063,"PuttingfromInside5",2010
66,66,"Daniel Chopra",74,96.64,952,920,"PuttingfromInside5",2010
66,66,"Derek Lamely",81,96.64,923,892,"PuttingfromInside5",2010
69,69,"Kevin Na",94,96.62,1064,1028,"PuttingfromInside5",2010
70,70,"Justin Leonard",89,96.61,1032,997,"PuttingfromInside5",2010
70,70,"Kenny Perry",69,96.61,797,770,"PuttingfromInside5",2010
72,72,"Tom Pernice Jr",74,96.57,846,817,"PuttingfromInside5",2010
73,73,"Jerod Turner",54,96.56,581,561,"PuttingfromInside5",2010
