"Puttingfrom510_RANKTHISWEEK_2015","Puttingfrom510_RANKLASTWEEK_2015","Puttingfrom510_PLAYERNAME_2015","Puttingfrom510_ROUNDS_2015","Puttingfrom510_Pct_2015","Puttingfrom510_ATTEMPTS_2015","Puttingfrom510_PUTTSMADE_2015","stat_name","year"
1,1,"Brooks Koepka",84,65.52,290,190,"Puttingfrom510",2015
2,2,"Brendon Todd",96,64.73,292,189,"Puttingfrom510",2015
3,3,"Harris English",105,64.66,382,247,"Puttingfrom510",2015
4,4,"Troy Merritt",91,64.53,344,222,"Puttingfrom510",2015
5,5,"Brandt Snedeker",98,64.15,318,204,"Puttingfrom510",2015
6,6,"Jamie Donaldson",50,62.41,133,83,"Puttingfrom510",2015
7,7,"Greg Chalmers",58,62.33,146,91,"Puttingfrom510",2015
8,8,"Derek Fathauer",81,62.27,273,170,"Puttingfrom510",2015
9,9,"Kevin Kisner",104,62.21,389,242,"Puttingfrom510",2015
10,10,"Bryce Molder",91,62.15,317,197,"Puttingfrom510",2015
11,11,"Steve Wheatcroft",87,62.06,311,193,"Puttingfrom510",2015
12,12,"Ryan Palmer",80,62.01,229,142,"Puttingfrom510",2015
13,13,"Aaron Baddeley",76,61.71,269,166,"Puttingfrom510",2015
14,14,"Lee Westwood",56,61.6,125,77,"Puttingfrom510",2015
15,15,"Adam Hadwin",95,61.59,315,194,"Puttingfrom510",2015
16,16,"Justin Thomas",106,61.43,420,258,"Puttingfrom510",2015
17,17,"Robert Streb",110,61.32,393,241,"Puttingfrom510",2015
18,18,"Daniel Summerhays",101,60.88,363,221,"Puttingfrom510",2015
19,19,"Johnson Wagner",68,60.73,219,133,"Puttingfrom510",2015
20,20,"Brian Harman",90,60.65,310,188,"Puttingfrom510",2015
21,21,"Jim Herman",88,60.56,322,195,"Puttingfrom510",2015
22,22,"Russell Henley",87,60.53,266,161,"Puttingfrom510",2015
23,23,"Jimmy Walker",89,60.36,275,166,"Puttingfrom510",2015
24,24,"Zac Blair",108,60.34,348,210,"Puttingfrom510",2015
25,25,"Daniel Berger",97,60.3,330,199,"Puttingfrom510",2015
26,26,"Jason Day",75,60.18,221,133,"Puttingfrom510",2015
27,27,"KJ Choi",66,60.17,241,145,"Puttingfrom510",2015
28,28,"Jon Curran",83,60.16,251,151,"Puttingfrom510",2015
29,29,"Hunter Mahan",88,60.14,281,169,"Puttingfrom510",2015
30,30,"Kevin Na",98,60.13,301,181,"Puttingfrom510",2015
30,30,"Michael Thompson",83,60.13,301,181,"Puttingfrom510",2015
32,32,"Henrik Stenson",63,60.1,208,125,"Puttingfrom510",2015
33,33,"Sergio Garcia",59,60,125,75,"Puttingfrom510",2015
33,33,"Jordan Spieth",91,60,270,162,"Puttingfrom510",2015
35,35,"Danny Lee",120,59.91,449,269,"Puttingfrom510",2015
36,36,"Sangmoon Bae",98,59.85,411,246,"Puttingfrom510",2015
37,37,"Graham DeLaet",65,59.82,219,131,"Puttingfrom510",2015
38,38,"Charley Hoffman",97,59.81,316,189,"Puttingfrom510",2015
39,39,"Mark Hubbard",79,59.76,251,150,"Puttingfrom510",2015
40,40,"Chesson Hadley",101,59.75,400,239,"Puttingfrom510",2015
41,41,"Tom Hoge",83,59.74,313,187,"Puttingfrom510",2015
42,42,"Justin Rose",69,59.62,213,127,"Puttingfrom510",2015
43,43,"Nick Taylor",91,59.61,406,242,"Puttingfrom510",2015
44,44,"David Lingmerth",90,59.5,363,216,"Puttingfrom510",2015
45,45,"Eric Axley",57,59.43,175,104,"Puttingfrom510",2015
46,46,"Kyle Reifers",96,59.42,345,205,"Puttingfrom510",2015
47,47,"Ryan Moore",81,59.35,246,146,"Puttingfrom510",2015
48,48,"Davis Love III",51,59.31,145,86,"Puttingfrom510",2015
49,49,"Steven Bowditch",103,59.29,366,217,"Puttingfrom510",2015
50,50,"Luke Donald",71,59.19,223,132,"Puttingfrom510",2015
