"AveragePuttingDistanceAll1putts_RANKTHISWEEK_2013","AveragePuttingDistanceAll1putts_RANKLASTWEEK_2013","AveragePuttingDistanceAll1putts_PLAYERNAME_2013","AveragePuttingDistanceAll1putts_ROUNDS_2013","AveragePuttingDistanceAll1putts_AVG_2013","AveragePuttingDistanceAll1putts_DISTANCEFEET_2013","AveragePuttingDistanceAll1putts_TOTALPUTTS_2013","stat_name","year"
1,1,"Russell Henley",80,NA,3842.083,476,"AveragePuttingDistanceAll1putts",2013
2,2,"Charl Schwartzel",69,NA,3088.083,385,"AveragePuttingDistanceAll1putts",2013
3,3,"Stephen Ames",49,NA,2642.583,335,"AveragePuttingDistanceAll1putts",2013
4,4,"Sangmoon Bae",83,NA,4195.75,533,"AveragePuttingDistanceAll1putts",2013
4,4,"Nick Watney",88,NA,3735,479,"AveragePuttingDistanceAll1putts",2013
6,6,"Harris English",95,NA,4678.417,603,"AveragePuttingDistanceAll1putts",2013
6,6,"Ted Potter Jr",65,NA,3083.417,400,"AveragePuttingDistanceAll1putts",2013
8,8,"Bill Haas",85,NA,3568.333,467,"AveragePuttingDistanceAll1putts",2013
8,8,"JJ Henry",83,NA,3460.25,451,"AveragePuttingDistanceAll1putts",2013
8,8,"Jim Herman",59,NA,2118.083,275,"AveragePuttingDistanceAll1putts",2013
8,8,"Zach Johnson",84,NA,3552.667,464,"AveragePuttingDistanceAll1putts",2013
8,8,"Martin Kaymer",61,NA,2087.667,273,"AveragePuttingDistanceAll1putts",2013
8,8,"Ben Kohles",75,NA,3158.75,412,"AveragePuttingDistanceAll1putts",2013
8,8,"Doug LaBelle II",72,NA,3227.333,423,"AveragePuttingDistanceAll1putts",2013
15,15,"Angel Cabrera",73,NA,2843.667,376,"AveragePuttingDistanceAll1putts",2013
15,15,"James Driscoll",76,NA,3546.5,469,"AveragePuttingDistanceAll1putts",2013
15,15,"Rickie Fowler",75,NA,3330.667,439,"AveragePuttingDistanceAll1putts",2013
15,15,"Richard Lee",81,NA,3864.167,508,"AveragePuttingDistanceAll1putts",2013
15,15,"Brandt Snedeker",79,NA,3528.417,463,"AveragePuttingDistanceAll1putts",2013
15,15,"DJ Trahan",48,NA,1923,253,"AveragePuttingDistanceAll1putts",2013
15,15,"Johnson Wagner",64,NA,2631.667,347,"AveragePuttingDistanceAll1putts",2013
22,22,"Graham DeLaet",94,NA,4021.583,539,"AveragePuttingDistanceAll1putts",2013
22,22,"Ken Duke",87,NA,4030.417,538,"AveragePuttingDistanceAll1putts",2013
22,22,"Derek Ernst",58,NA,2406.75,320,"AveragePuttingDistanceAll1putts",2013
22,22,"Peter Hanson",45,NA,1957.667,261,"AveragePuttingDistanceAll1putts",2013
22,22,"Justin Hicks",79,NA,3293.25,437,"AveragePuttingDistanceAll1putts",2013
22,22,"Charley Hoffman",84,NA,3866,518,"AveragePuttingDistanceAll1putts",2013
