"AveragePuttingDistanceAll3Plusputts_RANKTHISWEEK_2005","AveragePuttingDistanceAll3Plusputts_RANKLASTWEEK_2005","AveragePuttingDistanceAll3Plusputts_PLAYERNAME_2005","AveragePuttingDistanceAll3Plusputts_ROUNDS_2005","AveragePuttingDistanceAll3Plusputts_AVG_2005","AveragePuttingDistanceAll3Plusputts_DISTANCEFEET_2005","AveragePuttingDistanceAll3Plusputts_TOTALPUTTS_2005","stat_name","year"
1,1,"Will Ma Kenzie",75,NA,148,2,"AveragePuttingDistanceAll3Plusputts",2005
2,2,"Brian Davis",75,NA,141.167,2,"AveragePuttingDistanceAll3Plusputts",2005
3,3,"John Daly",78,NA,138.083,2,"AveragePuttingDistanceAll3Plusputts",2005
4,4,"Charles Howell III",95,NA,68.583,1,"AveragePuttingDistanceAll3Plusputts",2005
5,5,"Robert Damron",89,NA,66.75,1,"AveragePuttingDistanceAll3Plusputts",2005
6,6,"Kevin Sutherland",89,NA,65.333,1,"AveragePuttingDistanceAll3Plusputts",2005
7,7,"Billy Mayfair",114,NA,64.75,1,"AveragePuttingDistanceAll3Plusputts",2005
8,8,"Rod Pampling",89,NA,61.25,1,"AveragePuttingDistanceAll3Plusputts",2005
9,9,"Brenden Pappas",51,NA,60.333,1,"AveragePuttingDistanceAll3Plusputts",2005
10,10,"Kevin Na",88,NA,60,1,"AveragePuttingDistanceAll3Plusputts",2005
11,11,"Patrick Sheehan",114,NA,56.417,1,"AveragePuttingDistanceAll3Plusputts",2005
11,11,"Kirk Triplett",55,NA,112.75,2,"AveragePuttingDistanceAll3Plusputts",2005
13,13,"Carl Pettersson",109,NA,54.25,1,"AveragePuttingDistanceAll3Plusputts",2005
14,14,"Tom Gillis",77,NA,54.167,1,"AveragePuttingDistanceAll3Plusputts",2005
15,15,"Davis Love III",80,NA,52.333,1,"AveragePuttingDistanceAll3Plusputts",2005
16,16,"Jeff Sluman",94,NA,103,2,"AveragePuttingDistanceAll3Plusputts",2005
17,17,"Jeff Hart",63,NA,50.583,1,"AveragePuttingDistanceAll3Plusputts",2005
18,18,"Bo Van Pelt",112,NA,201.25,4,"AveragePuttingDistanceAll3Plusputts",2005
19,19,"Tom Byrum",83,NA,49.917,1,"AveragePuttingDistanceAll3Plusputts",2005
20,20,"Dudley Hart",84,NA,49.667,1,"AveragePuttingDistanceAll3Plusputts",2005
21,21,"Paul Azinger",66,NA,48.083,1,"AveragePuttingDistanceAll3Plusputts",2005
22,22,"James Driscoll",73,NA,47.25,1,"AveragePuttingDistanceAll3Plusputts",2005
23,23,"Adam Scott",72,NA,46.917,1,"AveragePuttingDistanceAll3Plusputts",2005
23,23,"Steve Stricker",62,NA,46.917,1,"AveragePuttingDistanceAll3Plusputts",2005
25,25,"Heath Slocum",103,NA,46.25,1,"AveragePuttingDistanceAll3Plusputts",2005
26,26,"Michael Long",72,NA,45.833,1,"AveragePuttingDistanceAll3Plusputts",2005
27,27,"Paul Gow",78,NA,136.333,3,"AveragePuttingDistanceAll3Plusputts",2005
27,27,"Tjaart van der Walt",56,NA,45.417,1,"AveragePuttingDistanceAll3Plusputts",2005
29,29,"Jonathan Kaye",77,NA,45.083,1,"AveragePuttingDistanceAll3Plusputts",2005
30,30,"Dan Forsman",52,NA,44.333,1,"AveragePuttingDistanceAll3Plusputts",2005
31,31,"Hidemichi Tanaka",106,NA,132.417,3,"AveragePuttingDistanceAll3Plusputts",2005
32,32,"Tim Petrovic",97,NA,85.083,2,"AveragePuttingDistanceAll3Plusputts",2005
33,33,"Kenny Perry",82,NA,83.667,2,"AveragePuttingDistanceAll3Plusputts",2005
34,34,"Ted Purdy",122,NA,83.333,2,"AveragePuttingDistanceAll3Plusputts",2005
35,35,"Joey Sindelar",104,NA,40.583,1,"AveragePuttingDistanceAll3Plusputts",2005
36,36,"Ian Poulter",62,NA,121,3,"AveragePuttingDistanceAll3Plusputts",2005
37,37,"Neal Lancaster",95,NA,120,3,"AveragePuttingDistanceAll3Plusputts",2005
38,38,"Tag Ridings",93,NA,79.667,2,"AveragePuttingDistanceAll3Plusputts",2005
39,39,"Woody Austin",100,NA,155.75,4,"AveragePuttingDistanceAll3Plusputts",2005
40,40,"Stephen Leaney",89,NA,38.167,1,"AveragePuttingDistanceAll3Plusputts",2005
