"OnePuttPercentage_RANKTHISWEEK_2012","OnePuttPercentage_RANKLASTWEEK_2012","OnePuttPercentage_PLAYERNAME_2012","OnePuttPercentage_ROUNDS_2012","OnePuttPercentage_Pct_2012","OnePuttPercentage_OF1PUTTS_2012","OnePuttPercentage_OFHOLES_2012","stat_name","year"
1,1,"Brandt Snedeker",81,44.3,622,1404,"OnePuttPercentage",2012
2,2,"Aaron Baddeley",73,44.21,573,1296,"OnePuttPercentage",2012
3,3,"Greg Chalmers",88,43.3,678,1566,"OnePuttPercentage",2012
4,4,"YE Yang",64,42.92,479,1116,"OnePuttPercentage",2012
5,5,"Jonas Blixt",72,42.9,556,1296,"OnePuttPercentage",2012
6,6,"Phil Mickelson",79,42.76,608,1422,"OnePuttPercentage",2012
7,7,"Jason Day",57,42.63,422,990,"OnePuttPercentage",2012
8,8,"Zach Johnson",95,42.61,721,1692,"OnePuttPercentage",2012
9,9,"Ian Poulter",57,42.26,426,1008,"OnePuttPercentage",2012
10,10,"Padraig Harrington",67,41.89,475,1134,"OnePuttPercentage",2012
11,11,"Brian Gay",91,41.76,654,1566,"OnePuttPercentage",2012
12,12,"Carl Pettersson",92,41.73,691,1656,"OnePuttPercentage",2012
13,13,"Ryuji Imada",78,41.67,570,1368,"OnePuttPercentage",2012
14,14,"Charlie Wi",86,41.54,643,1548,"OnePuttPercentage",2012
15,15,"Tom Gillis",75,41.48,560,1350,"OnePuttPercentage",2012
16,16,"Kevin Na",80,41.28,587,1422,"OnePuttPercentage",2012
17,17,"Ben Crane",73,41.2,534,1296,"OnePuttPercentage",2012
18,18,"Rory Sabbatini",84,41.14,622,1512,"OnePuttPercentage",2012
19,19,"Robert Karlsson",54,41.13,385,936,"OnePuttPercentage",2012
20,20,"Pat Perez",81,41.07,584,1422,"OnePuttPercentage",2012
21,21,"Matt Kuchar",86,41.06,606,1476,"OnePuttPercentage",2012
22,22,"Geoff Ogilvy",73,40.97,531,1296,"OnePuttPercentage",2012
23,23,"Rory McIlroy",60,40.84,397,972,"OnePuttPercentage",2012
24,24,"Scott Piercy",95,40.82,698,1710,"OnePuttPercentage",2012
25,25,"Brian Harman",101,40.81,742,1818,"OnePuttPercentage",2012
26,26,"Spencer Levin",81,40.79,580,1422,"OnePuttPercentage",2012
27,27,"Bob Estes",78,40.74,572,1404,"OnePuttPercentage",2012
27,27,"Ryan Palmer",81,40.74,594,1458,"OnePuttPercentage",2012
29,29,"Dustin Johnson",70,40.71,491,1206,"OnePuttPercentage",2012
30,30,"Chris Couch",61,40.68,432,1062,"OnePuttPercentage",2012
31,31,"Ryan Moore",89,40.45,648,1602,"OnePuttPercentage",2012
32,32,"Keegan Bradley",90,40.4,640,1584,"OnePuttPercentage",2012
33,33,"Bo Van Pelt",84,40.36,603,1494,"OnePuttPercentage",2012
34,34,"John Daly",50,40.34,334,828,"OnePuttPercentage",2012
35,35,"Tommy Gainey",98,40.31,711,1764,"OnePuttPercentage",2012
36,36,"Harrison Frazar",56,40.23,391,972,"OnePuttPercentage",2012
37,37,"Webb Simpson",77,40.13,549,1368,"OnePuttPercentage",2012
38,38,"Michael Thompson",80,40.07,577,1440,"OnePuttPercentage",2012
39,39,"Tiger Woods",69,40.05,483,1206,"OnePuttPercentage",2012
40,40,"Sangmoon Bae",81,40.04,555,1386,"OnePuttPercentage",2012
40,40,"Jeff Overton",101,40.04,728,1818,"OnePuttPercentage",2012
42,42,"Derek Lamely",64,40.02,461,1152,"OnePuttPercentage",2012
43,43,"Luke Donald",63,39.96,446,1116,"OnePuttPercentage",2012
44,44,"Charl Schwartzel",56,39.92,388,972,"OnePuttPercentage",2012
45,45,"Jason Dufner",83,39.91,589,1476,"OnePuttPercentage",2012
46,46,"Ken Duke",104,39.8,745,1872,"OnePuttPercentage",2012
47,47,"Chris DiMarco",83,39.71,579,1458,"OnePuttPercentage",2012
48,48,"Justin Leonard",79,39.7,536,1350,"OnePuttPercentage",2012
49,49,"Stuart Appleby",75,39.67,507,1278,"OnePuttPercentage",2012
50,50,"Bud Cauley",99,39.56,705,1782,"OnePuttPercentage",2012
51,51,"Colt Knost",79,39.54,548,1386,"OnePuttPercentage",2012
52,52,"JJ Killeen",101,39.52,690,1746,"OnePuttPercentage",2012
52,52,"Bryce Molder",83,39.52,562,1422,"OnePuttPercentage",2012
54,54,"Graeme McDowell",55,39.51,384,972,"OnePuttPercentage",2012
55,55,"Jonathan Byrd",69,39.46,483,1224,"OnePuttPercentage",2012
55,55,"David Toms",60,39.46,412,1044,"OnePuttPercentage",2012
57,57,"Freddie Jacobson",61,39.44,426,1080,"OnePuttPercentage",2012
58,58,"Chris Stroud",86,39.41,610,1548,"OnePuttPercentage",2012
59,59,"Brian Davis",91,39.38,645,1638,"OnePuttPercentage",2012
60,60,"Gavin Coles",72,39.37,496,1260,"OnePuttPercentage",2012
60,60,"Tom Pernice Jr",62,39.37,411,1044,"OnePuttPercentage",2012
62,62,"Rickie Fowler",84,39.36,588,1494,"OnePuttPercentage",2012
63,63,"Sergio Garcia",57,39.29,396,1008,"OnePuttPercentage",2012
64,64,"David Mathis",83,39.09,570,1458,"OnePuttPercentage",2012
65,65,"Daniel Chopra",55,38.99,372,954,"OnePuttPercentage",2012
66,66,"Steve Stricker",73,38.97,491,1260,"OnePuttPercentage",2012
