"OnePuttPercentageRound1_RANKTHISWEEK_2014","OnePuttPercentageRound1_RANKLASTWEEK_2014","OnePuttPercentageRound1_PLAYERNAME_2014","OnePuttPercentageRound1_ROUNDS_2014","OnePuttPercentageRound1_Pct_2014","OnePuttPercentageRound1_OF1PUTTS_2014","OnePuttPercentageRound1_OFHOLES_2014","stat_name","year"
1,1,"Jordan Spieth",102,47.65,223,468,"OnePuttPercentageRound1",2014
2,2,"Brian Gay",81,46,207,450,"OnePuttPercentageRound1",2014
3,3,"Luke Donald",57,45.49,131,288,"OnePuttPercentageRound1",2014
4,4,"Greg Chalmers",85,44.67,201,450,"OnePuttPercentageRound1",2014
5,5,"JB Holmes",86,44.21,191,432,"OnePuttPercentageRound1",2014
6,6,"Charl Schwartzel",64,44.12,135,306,"OnePuttPercentageRound1",2014
7,7,"Brice Garnett",92,43.83,213,486,"OnePuttPercentageRound1",2014
8,8,"Aaron Baddeley",74,43.48,180,414,"OnePuttPercentageRound1",2014
9,9,"Tyrone Van Aswegen",79,43.29,187,432,"OnePuttPercentageRound1",2014
10,10,"Jason Day",54,42.86,108,252,"OnePuttPercentageRound1",2014
11,11,"Gonzalo Fdez Castano",83,42.82,185,432,"OnePuttPercentageRound1",2014
12,12,"KJ Choi",80,42.75,177,414,"OnePuttPercentageRound1",2014
13,13,"Charlie Wi",72,42.59,184,432,"OnePuttPercentageRound1",2014
14,14,"Andrew Loupe",65,42.33,160,378,"OnePuttPercentageRound1",2014
15,15,"Matt Kuchar",91,42.03,174,414,"OnePuttPercentageRound1",2014
16,16,"Rory McIlroy",66,42.01,121,288,"OnePuttPercentageRound1",2014
17,17,"Jonas Blixt",64,41.94,151,360,"OnePuttPercentageRound1",2014
17,17,"Robert Streb",75,41.94,151,360,"OnePuttPercentageRound1",2014
19,19,"Ryan Palmer",85,41.79,173,414,"OnePuttPercentageRound1",2014
20,20,"Chris Kirk",105,41.77,203,486,"OnePuttPercentageRound1",2014
21,21,"Mike Weir",69,41.67,180,432,"OnePuttPercentageRound1",2014
22,22,"Kevin Na",94,41.56,202,486,"OnePuttPercentageRound1",2014
23,23,"Lee Westwood",57,41.5,127,306,"OnePuttPercentageRound1",2014
