"OnePuttPercentageRound5_RANKTHISWEEK_2010","OnePuttPercentageRound5_RANKLASTWEEK_2010","OnePuttPercentageRound5_PLAYERNAME_2010","OnePuttPercentageRound5__2010","OnePuttPercentageRound5_Pct_2010","OnePuttPercentageRound5_OF1PUTTS_2010","OnePuttPercentageRound5_OFHOLES_2010","stat_name","year"
1,1,"Richard Johnson",NA,77.78,14,18,"OnePuttPercentageRound5",2010
2,2,"Brian Gay",NA,72.22,13,18,"OnePuttPercentageRound5",2010
2,2,"David Toms",NA,72.22,13,18,"OnePuttPercentageRound5",2010
4,4,"Chris Couch",NA,61.11,11,18,"OnePuttPercentageRound5",2010
4,4,"Pat Perez",NA,61.11,11,18,"OnePuttPercentageRound5",2010
4,4,"Jeff Quinney",NA,61.11,11,18,"OnePuttPercentageRound5",2010
7,7,"Chad Collins",NA,55.56,10,18,"OnePuttPercentageRound5",2010
7,7,"Brian Davis",NA,55.56,10,18,"OnePuttPercentageRound5",2010
7,7,"Lee Janzen",NA,55.56,10,18,"OnePuttPercentageRound5",2010
7,7,"Matt Kuchar",NA,55.56,10,18,"OnePuttPercentageRound5",2010
7,7,"Rod Pampling",NA,55.56,10,18,"OnePuttPercentageRound5",2010
7,7,"Garrett Willis",NA,55.56,10,18,"OnePuttPercentageRound5",2010
13,13,"Michael Bradley",NA,50,9,18,"OnePuttPercentageRound5",2010
13,13,"Greg Chalmers",NA,50,9,18,"OnePuttPercentageRound5",2010
13,13,"Billy Mayfair",NA,50,9,18,"OnePuttPercentageRound5",2010
13,13,"George McNeill",NA,50,9,18,"OnePuttPercentageRound5",2010
13,13,"Ryan Moore",NA,50,9,18,"OnePuttPercentageRound5",2010
13,13,"Alex Prugh",NA,50,9,18,"OnePuttPercentageRound5",2010
13,13,"Brandt Snedeker",NA,50,9,18,"OnePuttPercentageRound5",2010
13,13,"Jerod Turner",NA,50,9,18,"OnePuttPercentageRound5",2010
13,13,"Omar Uresti",NA,50,9,18,"OnePuttPercentageRound5",2010
