"GoingfortheGreen_RANKTHISWEEK_2006","GoingfortheGreen_RANKLASTWEEK_2006","GoingfortheGreen_PLAYERNAME_2006","GoingfortheGreen_ROUNDS_2006","GoingfortheGreen_Pct_2006","GoingfortheGreen_ATTEMPTS_2006","GoingfortheGreen_NONATTEMPTS_2006","GoingfortheGreen_RTPGOINGFORTHEGREEN_2006","GoingfortheGreen_RTPNOTGOINGFORTHEGRN_2006","stat_name","year"
1,1,"Chris Couch",75,68.99,178,80,-79,-6,"GoingfortheGreen",2006
2,2,"Tiger Woods",55,68.79,97,44,-71,-7,"GoingfortheGreen",2006
3,3,"Mathew Goggin",72,68.78,152,69,-76,7,"GoingfortheGreen",2006
4,4,"JB Holmes",81,68.6,166,76,-111,12,"GoingfortheGreen",2006
5,5,"Mathias Gronberg",92,67.42,209,101,-99,-5,"GoingfortheGreen",2006
6,6,"Phil Mickelson",74,67.37,128,62,-79,-2,"GoingfortheGreen",2006
7,7,"Nick Watney",97,66.57,233,117,-133,-7,"GoingfortheGreen",2006
8,8,"Bubba Watson",83,65.83,183,95,-117,7,"GoingfortheGreen",2006
9,9,"John Daly",51,65.68,111,58,-46,1,"GoingfortheGreen",2006
10,10,"Charley Hoffman",100,65.08,233,125,-144,1,"GoingfortheGreen",2006
11,11,"Robert Garrigus",85,64.95,189,102,-99,18,"GoingfortheGreen",2006
12,12,"Ernie Els",69,63.95,110,62,-70,-2,"GoingfortheGreen",2006
13,13,"Davis Love III",85,63.72,137,78,-67,-5,"GoingfortheGreen",2006
14,14,"Harrison Frazar",95,63.54,183,105,-112,1,"GoingfortheGreen",2006
15,15,"Vijay Singh",103,63.5,207,119,-137,-4,"GoingfortheGreen",2006
16,16,"Camilo Villegas",95,63.4,194,112,-119,14,"GoingfortheGreen",2006
17,17,"Greg Owen",79,62.79,162,96,-83,-14,"GoingfortheGreen",2006
18,18,"Ryan Palmer",101,62.09,190,116,-94,5,"GoingfortheGreen",2006
19,19,"Hunter Mahan",98,62.08,203,124,-104,1,"GoingfortheGreen",2006
20,20,"Retief Goosen",68,61.88,112,69,-63,0,"GoingfortheGreen",2006
21,21,"Fred Couples",52,61.86,73,45,-32,-2,"GoingfortheGreen",2006
22,22,"Jesper Parnevik",84,61.77,181,112,-114,-7,"GoingfortheGreen",2006
23,23,"Lucas Glover",105,61.65,209,130,-121,-24,"GoingfortheGreen",2006
24,24,"Charles Warren",93,61.44,196,123,-104,-12,"GoingfortheGreen",2006
25,25,"Sergio Garcia",59,61.35,100,63,-52,2,"GoingfortheGreen",2006
26,26,"Brett Wetterich",82,61.29,171,108,-104,3,"GoingfortheGreen",2006
27,27,"Scott Gutschewski",53,61.11,110,70,-59,9,"GoingfortheGreen",2006
28,28,"Jonathan Byrd",66,60.83,132,85,-73,-10,"GoingfortheGreen",2006
29,29,"Sean OHair",100,60.78,186,120,-105,5,"GoingfortheGreen",2006
30,30,"Bubba Dickerson",98,60.66,202,131,-86,12,"GoingfortheGreen",2006
31,31,"Jeff Overton",95,60.6,203,132,-100,-8,"GoingfortheGreen",2006
32,32,"Robert Allenby",79,59.47,135,92,-83,-3,"GoingfortheGreen",2006
33,33,"DJ Trahan",92,59.39,174,119,-80,-7,"GoingfortheGreen",2006
34,34,"Rich Beem",85,59.3,153,105,-84,-13,"GoingfortheGreen",2006
35,35,"David Howell",52,59.17,71,49,-25,-5,"GoingfortheGreen",2006
36,36,"Bill Haas",99,58.89,202,141,-121,4,"GoingfortheGreen",2006
37,37,"Troy Matteson",101,58.67,203,143,-108,-2,"GoingfortheGreen",2006
38,38,"Tag Ridings",103,58.33,203,145,-112,11,"GoingfortheGreen",2006
39,39,"Charles Howell III",96,58.12,179,129,-108,-5,"GoingfortheGreen",2006
40,40,"Nicholas Thompson",96,57.86,173,126,-85,11,"GoingfortheGreen",2006
41,41,"Eric Axley",91,57.43,174,129,-80,-5,"GoingfortheGreen",2006
42,42,"Steve Lowery",99,57.37,183,136,-111,-9,"GoingfortheGreen",2006
43,43,"Roger Tambellini",64,57.28,118,88,-57,-5,"GoingfortheGreen",2006
44,44,"Jonathan Kaye",95,57.23,190,142,-92,-7,"GoingfortheGreen",2006
45,45,"Matt Hansen",68,57.21,123,92,-56,2,"GoingfortheGreen",2006
46,46,"Craig Barlow",77,57.2,143,107,-102,1,"GoingfortheGreen",2006
47,47,"Adam Scott",70,56.9,99,75,-54,-7,"GoingfortheGreen",2006
48,48,"John Rollins",93,56.63,175,134,-113,-17,"GoingfortheGreen",2006
49,49,"Ryan Moore",68,56.6,120,92,-66,-13,"GoingfortheGreen",2006
50,50,"Joe Durant",101,56.35,213,165,-111,-19,"GoingfortheGreen",2006
51,51,"Aaron Baddeley",78,55.92,137,108,-74,-9,"GoingfortheGreen",2006
51,51,"Geoff Ogilvy",76,55.92,118,93,-67,-16,"GoingfortheGreen",2006
53,53,"Padraig Harrington",54,55.7,88,70,-54,-9,"GoingfortheGreen",2006
54,54,"Carlos Franco",86,55.67,167,133,-97,7,"GoingfortheGreen",2006
55,55,"Trevor Immelman",86,55.64,153,122,-100,-20,"GoingfortheGreen",2006
56,56,"Jose Maria Olazabal",62,55.33,83,67,-40,-17,"GoingfortheGreen",2006
57,57,"Ted Purdy",103,55.21,180,146,-100,-1,"GoingfortheGreen",2006
58,58,"Chris Smith",67,54.67,123,102,-68,-10,"GoingfortheGreen",2006
59,59,"Daniel Chopra",110,54.42,197,165,-128,-8,"GoingfortheGreen",2006
60,60,"Stuart Appleby",83,54.4,136,114,-80,-15,"GoingfortheGreen",2006
61,61,"Henrik Bjornstad",97,54.22,180,152,-86,5,"GoingfortheGreen",2006
61,61,"Pat Perez",50,54.22,90,76,-51,-11,"GoingfortheGreen",2006
63,63,"Paul Stankowski",70,54.08,126,107,-56,6,"GoingfortheGreen",2006
64,64,"Mark Calcavecchia",94,54,162,138,-72,-4,"GoingfortheGreen",2006
65,65,"Bo Van Pelt",102,53.95,191,163,-124,-5,"GoingfortheGreen",2006
66,66,"Tim Herron",82,53.92,117,100,-66,4,"GoingfortheGreen",2006
67,67,"Will Ma Kenzie",91,53.85,161,138,-102,-9,"GoingfortheGreen",2006
68,68,"Bernhard Langer",77,53.74,122,105,-61,-13,"GoingfortheGreen",2006
69,69,"Jason Gore",86,53.55,151,131,-73,0,"GoingfortheGreen",2006
70,70,"Rory Sabbatini",84,53.33,120,105,-63,-9,"GoingfortheGreen",2006
71,71,"Brian Davis",92,53.31,169,148,-68,-24,"GoingfortheGreen",2006
72,72,"James Driscoll",80,53.13,153,135,-81,0,"GoingfortheGreen",2006
72,72,"Wes Short Jr",96,53.13,178,157,-85,-2,"GoingfortheGreen",2006
74,74,"Kevin Sutherland",100,52.91,182,162,-111,7,"GoingfortheGreen",2006
75,75,"Carl Pettersson",95,52.75,144,129,-71,0,"GoingfortheGreen",2006
76,76,"Nathan Green",108,52.56,185,167,-105,-7,"GoingfortheGreen",2006
77,77,"Jeff Maggert",81,52.24,128,117,-48,0,"GoingfortheGreen",2006
78,78,"Arjun Atwal",97,52.12,160,147,-83,1,"GoingfortheGreen",2006
79,79,"Frank Lickliter II",99,52.11,173,159,-100,-16,"GoingfortheGreen",2006
80,80,"Ian Poulter",53,52.1,87,80,-43,-13,"GoingfortheGreen",2006
81,81,"Duffy Waldorf",96,52.02,167,154,-89,-10,"GoingfortheGreen",2006
82,82,"Kris Cox",83,51.59,146,137,-83,7,"GoingfortheGreen",2006
82,82,"Ian Leggatt",80,51.59,146,137,-64,1,"GoingfortheGreen",2006
84,84,"Jason Bohn",104,51.45,177,167,-104,-13,"GoingfortheGreen",2006
85,85,"Jason Schultz",77,51.19,129,123,-72,2,"GoingfortheGreen",2006
86,86,"Billy Mayfair",94,51.06,145,139,-70,-3,"GoingfortheGreen",2006
87,87,"Brian Bateman",69,50.92,111,107,-57,14,"GoingfortheGreen",2006
87,87,"Brandt Jobe",91,50.92,138,133,-75,-5,"GoingfortheGreen",2006
89,89,"Justin Rose",98,50.79,161,156,-91,-14,"GoingfortheGreen",2006
90,90,"Jeff Brehaut",100,50.75,170,165,-85,-22,"GoingfortheGreen",2006
91,91,"Ryan Hietala",61,50.53,96,94,-52,2,"GoingfortheGreen",2006
92,92,"Bob May",65,50.48,106,104,-46,-11,"GoingfortheGreen",2006
93,93,"David Duval",71,50.26,98,97,-50,-6,"GoingfortheGreen",2006
94,94,"Alex Cejka",93,50.16,155,154,-84,-6,"GoingfortheGreen",2006
95,95,"John Senden",96,49.83,151,152,-88,-18,"GoingfortheGreen",2006
96,96,"Kenny Perry",73,49.77,107,108,-51,-8,"GoingfortheGreen",2006
97,97,"Brett Quigley",109,49.72,177,179,-112,-25,"GoingfortheGreen",2006
98,98,"Tom Pernice Jr",108,49.69,161,163,-98,-27,"GoingfortheGreen",2006
99,99,"KJ Choi",93,49.65,141,143,-77,-13,"GoingfortheGreen",2006
100,100,"Vaughn Taylor",88,49.32,145,149,-90,-21,"GoingfortheGreen",2006
100,100,"Jimmy Walker",60,49.32,109,112,-62,-5,"GoingfortheGreen",2006
102,102,"Jeff Gove",91,49.23,159,164,-90,-4,"GoingfortheGreen",2006
103,103,"Danny Ellis",68,49.15,116,120,-59,-11,"GoingfortheGreen",2006
104,104,"Tom Lehman",70,49.1,82,85,-47,1,"GoingfortheGreen",2006
105,105,"Jon Mills",68,48.79,101,106,-57,2,"GoingfortheGreen",2006
106,106,"Freddie Jacobson",56,48.58,103,109,-47,-5,"GoingfortheGreen",2006
107,107,"Joe Ogilvie",95,48.47,143,152,-77,-12,"GoingfortheGreen",2006
108,108,"Tim Petrovic",95,48.15,156,168,-81,-2,"GoingfortheGreen",2006
109,109,"Alex Aragon",63,48.1,101,109,-52,18,"GoingfortheGreen",2006
110,110,"John Huston",74,47.79,119,130,-54,-3,"GoingfortheGreen",2006
111,111,"Daisuke Maruyama",83,47.78,129,141,-65,-17,"GoingfortheGreen",2006
112,112,"Steve Flesch",119,47.75,191,209,-97,3,"GoingfortheGreen",2006
113,113,"David Branshaw",98,47.73,168,184,-84,-20,"GoingfortheGreen",2006
114,114,"Stewart Cink",93,47.58,118,130,-67,-23,"GoingfortheGreen",2006
115,115,"Thomas Levet",53,47.57,88,97,-35,-1,"GoingfortheGreen",2006
116,116,"JJ Henry",96,47.47,141,156,-87,-14,"GoingfortheGreen",2006
117,117,"Briny Baird",81,47.41,128,142,-67,-32,"GoingfortheGreen",2006
118,118,"Rod Pampling",89,47.26,112,125,-58,-20,"GoingfortheGreen",2006
119,119,"Chad Campbell",91,47.23,111,124,-73,6,"GoingfortheGreen",2006
120,120,"Dean Wilson",115,46.49,159,183,-89,-15,"GoingfortheGreen",2006
121,121,"JL Lewis",57,46.39,90,104,-42,1,"GoingfortheGreen",2006
122,122,"DA Points",82,46.21,128,149,-62,6,"GoingfortheGreen",2006
123,123,"Woody Austin",107,46.2,164,191,-86,-22,"GoingfortheGreen",2006
124,124,"Heath Slocum",96,45.82,148,175,-71,-29,"GoingfortheGreen",2006
125,125,"Arron Oberholser",82,45.61,104,124,-61,-19,"GoingfortheGreen",2006
126,126,"Marco Dawson",87,45.6,145,173,-85,-16,"GoingfortheGreen",2006
127,127,"David Toms",76,45.22,104,126,-67,-15,"GoingfortheGreen",2006
128,128,"Patrick Sheehan",104,45.18,150,182,-71,7,"GoingfortheGreen",2006
129,129,"Stephen Ames",63,45.14,79,96,-55,-4,"GoingfortheGreen",2006
130,130,"David McKenzie",82,45.11,120,146,-57,2,"GoingfortheGreen",2006
131,131,"Bob Tway",81,44.96,116,142,-59,-12,"GoingfortheGreen",2006
132,132,"Luke Donald",66,44.87,70,86,-40,-15,"GoingfortheGreen",2006
133,133,"Kent Jones",103,44.86,157,193,-90,-22,"GoingfortheGreen",2006
134,134,"Shigeki Maruyama",94,44.78,133,164,-63,-16,"GoingfortheGreen",2006
135,135,"Paul Azinger",87,44.74,136,168,-82,-12,"GoingfortheGreen",2006
136,136,"Dudley Hart",83,44.72,110,136,-70,-6,"GoingfortheGreen",2006
137,137,"Shaun Micheel",96,44.67,134,166,-70,-20,"GoingfortheGreen",2006
138,138,"Mike Sposa",68,44.44,100,125,-62,2,"GoingfortheGreen",2006
139,139,"Brent Geiberger",99,44.41,151,189,-74,-11,"GoingfortheGreen",2006
140,140,"Mike Weir",88,44.35,110,138,-61,-18,"GoingfortheGreen",2006
141,141,"Ryuji Imada",105,43.88,147,188,-66,-30,"GoingfortheGreen",2006
142,142,"Bob Estes",85,43.45,126,164,-71,-16,"GoingfortheGreen",2006
143,143,"Ben Crane",85,43.44,106,138,-60,-10,"GoingfortheGreen",2006
144,144,"Jim Furyk",89,43.43,109,142,-72,-32,"GoingfortheGreen",2006
145,145,"Michael Allen",84,43.06,121,160,-80,-4,"GoingfortheGreen",2006
146,146,"Joey Sindelar",90,43,129,171,-64,-18,"GoingfortheGreen",2006
147,147,"Peter Lonard",77,42.41,95,129,-52,-12,"GoingfortheGreen",2006
148,148,"Billy Andrade",78,41.7,98,137,-48,-13,"GoingfortheGreen",2006
149,149,"Chris DiMarco",83,41.56,96,135,-46,-22,"GoingfortheGreen",2006
150,150,"Todd Hamilton",72,41.4,89,126,-38,-1,"GoingfortheGreen",2006
151,151,"Chris Riley",86,40.84,107,155,-59,-21,"GoingfortheGreen",2006
152,152,"Steve Elkington",52,40.76,75,109,-42,-16,"GoingfortheGreen",2006
153,153,"Jerry Kelly",100,40.69,129,188,-71,-19,"GoingfortheGreen",2006
154,154,"John Engler Jr",69,40.64,102,149,-47,-5,"GoingfortheGreen",2006
155,155,"Greg Chalmers",71,40.37,88,130,-38,15,"GoingfortheGreen",2006
156,156,"JP Hayes",55,39.7,79,120,-47,-35,"GoingfortheGreen",2006
157,157,"Jeff Sluman",101,39.44,127,195,-68,-18,"GoingfortheGreen",2006
158,158,"Richard Johnson",94,38.54,121,193,-61,-29,"GoingfortheGreen",2006
159,159,"Tjaart van der Walt",60,38.5,77,123,-41,-8,"GoingfortheGreen",2006
160,160,"Lee Janzen",79,38.38,104,167,-47,-22,"GoingfortheGreen",2006
161,161,"Ron Whittaker",81,38.32,105,169,-48,-23,"GoingfortheGreen",2006
162,162,"Robert Damron",91,38.27,124,200,-67,-23,"GoingfortheGreen",2006
163,163,"Scott Verplank",88,38.11,101,164,-55,-20,"GoingfortheGreen",2006
164,164,"Steve Stricker",64,38.1,72,117,-53,-26,"GoingfortheGreen",2006
165,165,"Steve Jones",83,38.08,99,161,-50,-10,"GoingfortheGreen",2006
166,166,"Zach Johnson",98,37.86,106,174,-64,-14,"GoingfortheGreen",2006
167,167,"Mark Wilson",79,37.59,106,176,-59,-27,"GoingfortheGreen",2006
168,168,"Len Mattiace",59,37.5,75,125,-37,-4,"GoingfortheGreen",2006
169,169,"Bart Bryant",87,37.23,102,172,-51,-16,"GoingfortheGreen",2006
170,170,"Omar Uresti",61,37.04,70,119,-39,-16,"GoingfortheGreen",2006
171,171,"Robert Gamez",94,36.73,108,186,-54,-10,"GoingfortheGreen",2006
172,172,"Tommy Armour III",65,36.71,76,131,-27,-6,"GoingfortheGreen",2006
173,173,"Tim Clark",80,36.4,83,145,-51,-40,"GoingfortheGreen",2006
174,174,"Doug Barron",74,36.23,96,169,-52,-11,"GoingfortheGreen",2006
175,175,"Vance Veazey",59,36.1,74,131,-48,-19,"GoingfortheGreen",2006
176,176,"Skip Kendall",72,35.59,84,152,-38,-28,"GoingfortheGreen",2006
176,176,"Justin Leonard",83,35.59,84,152,-41,-37,"GoingfortheGreen",2006
178,178,"Paul Goydos",72,35.48,88,160,-39,-42,"GoingfortheGreen",2006
178,178,"Kirk Triplett",58,35.48,66,120,-31,-21,"GoingfortheGreen",2006
180,180,"Todd Fischer",101,35.29,126,231,-70,-45,"GoingfortheGreen",2006
181,181,"Ben Curtis",86,34.85,84,157,-41,-31,"GoingfortheGreen",2006
182,182,"Brad Faxon",78,34.75,98,184,-49,-4,"GoingfortheGreen",2006
183,183,"Fred Funk",106,33.87,106,207,-47,-36,"GoingfortheGreen",2006
184,184,"Stephen Leaney",84,33.67,100,197,-55,-34,"GoingfortheGreen",2006
185,185,"Olin Browne",108,33.43,111,221,-62,-23,"GoingfortheGreen",2006
186,186,"Michael Connell",51,33.13,55,111,-27,-16,"GoingfortheGreen",2006
187,187,"Mark Brooks",90,32.4,93,194,-31,-17,"GoingfortheGreen",2006
188,188,"Hidemichi Tanaka",74,32.02,81,172,-36,7,"GoingfortheGreen",2006
189,189,"Corey Pavin",74,31,62,138,-31,-21,"GoingfortheGreen",2006
190,190,"Shane Bertsch",104,30.66,107,242,-58,-55,"GoingfortheGreen",2006
191,191,"Greg Kraft",79,30.6,82,186,-29,-36,"GoingfortheGreen",2006
192,192,"Jerry Smith",94,30.09,99,230,-46,-34,"GoingfortheGreen",2006
193,193,"John Cook",67,29.91,64,150,-28,-17,"GoingfortheGreen",2006
194,194,"Brian Gay",107,29.53,114,272,-62,-55,"GoingfortheGreen",2006
195,195,"Larry Mize",53,28.4,46,116,-23,-5,"GoingfortheGreen",2006
196,196,"Mark OMeara",52,23.78,34,109,-12,-24,"GoingfortheGreen",2006
