"Total1PuttsInside5_RANKTHISWEEK_2013","Total1PuttsInside5_RANKLASTWEEK_2013","Total1PuttsInside5_PLAYERNAME_2013","Total1PuttsInside5_ROUNDS_2013","Total1PuttsInside5_TOTAL_2013","Total1PuttsInside5_TOTALFORALLDISTANCES_2013","Total1PuttsInside5_PCTOFALL1PUTTS_2013","stat_name","year"
1,1,"Roberto Castro",97,337,579,58.2,"Total1PuttsInside5",2013
2,2,"Brendon de Jonge",110,335,656,51.1,"Total1PuttsInside5",2013
3,3,"Brian Davis",91,334,634,52.7,"Total1PuttsInside5",2013
3,3,"Brian Gay",79,334,589,56.7,"Total1PuttsInside5",2013
5,5,"Charles Howell III",87,329,596,55.2,"Total1PuttsInside5",2013
5,5,"Chris Stroud",88,329,596,55.2,"Total1PuttsInside5",2013
7,7,"Justin Leonard",86,326,571,57.1,"Total1PuttsInside5",2013
8,8,"Chris Kirk",89,318,643,49.5,"Total1PuttsInside5",2013
9,9,"Nicholas Thompson",99,304,589,51.6,"Total1PuttsInside5",2013
10,10,"Stuart Appleby",88,303,576,52.6,"Total1PuttsInside5",2013
11,11,"Brian Harman",89,302,552,54.7,"Total1PuttsInside5",2013
12,12,"Matt Every",89,299,593,50.4,"Total1PuttsInside5",2013
13,13,"Martin Flores",83,298,554,53.8,"Total1PuttsInside5",2013
14,14,"Patrick Reed",83,297,558,53.2,"Total1PuttsInside5",2013
15,15,"Harris English",95,293,603,48.6,"Total1PuttsInside5",2013
16,16,"Jonas Blixt",76,292,513,56.9,"Total1PuttsInside5",2013
17,17,"Daniel Summerhays",83,289,554,52.2,"Total1PuttsInside5",2013
18,18,"Jason Kokrak",78,286,517,55.3,"Total1PuttsInside5",2013
18,18,"Bryce Molder",82,286,540,53,"Total1PuttsInside5",2013
20,20,"Gary Woodland",94,285,574,49.7,"Total1PuttsInside5",2013
21,21,"Matt Jones",83,284,519,54.7,"Total1PuttsInside5",2013
22,22,"Boo Weekley",100,282,531,53.1,"Total1PuttsInside5",2013
23,23,"Matt Kuchar",93,281,520,54,"Total1PuttsInside5",2013
23,23,"Brendan Steele",86,281,520,54,"Total1PuttsInside5",2013
25,25,"Ken Duke",87,275,538,51.1,"Total1PuttsInside5",2013
25,25,"Cameron Tringale",80,275,525,52.4,"Total1PuttsInside5",2013
27,27,"Aaron Baddeley",68,274,477,57.4,"Total1PuttsInside5",2013
27,27,"Jeff Overton",78,274,543,50.5,"Total1PuttsInside5",2013
29,29,"Graham DeLaet",94,273,539,50.6,"Total1PuttsInside5",2013
30,30,"Billy Horschel",96,272,595,45.7,"Total1PuttsInside5",2013
31,31,"David Hearn",88,271,554,48.9,"Total1PuttsInside5",2013
32,32,"Greg Chalmers",77,270,547,49.4,"Total1PuttsInside5",2013
33,33,"William McGirt",75,268,507,52.9,"Total1PuttsInside5",2013
33,33,"Jimmy Walker",84,268,552,48.6,"Total1PuttsInside5",2013
35,35,"Tommy Gainey",84,267,535,49.9,"Total1PuttsInside5",2013
36,36,"Webb Simpson",92,265,512,51.8,"Total1PuttsInside5",2013
37,37,"Bob Estes",66,263,461,57,"Total1PuttsInside5",2013
37,37,"Ryan Palmer",79,263,518,50.8,"Total1PuttsInside5",2013
39,39,"Keegan Bradley",88,260,505,51.5,"Total1PuttsInside5",2013
40,40,"Rory Sabbatini",86,259,508,51,"Total1PuttsInside5",2013
41,41,"Jordan Spieth",82,258,515,50.1,"Total1PuttsInside5",2013
41,41,"Charlie Wi",75,258,500,51.6,"Total1PuttsInside5",2013
43,43,"Steven Bowditch",67,255,443,57.6,"Total1PuttsInside5",2013
44,44,"Jason Day",86,254,464,54.7,"Total1PuttsInside5",2013
44,44,"John Huh",88,254,506,50.2,"Total1PuttsInside5",2013
46,46,"Luke Guthrie",82,252,482,52.3,"Total1PuttsInside5",2013
47,47,"Scott Langley",79,251,455,55.2,"Total1PuttsInside5",2013
48,48,"James Hahn",78,250,469,53.3,"Total1PuttsInside5",2013
49,49,"Camilo Villegas",79,248,472,52.5,"Total1PuttsInside5",2013
50,50,"Jim Furyk",80,247,448,55.1,"Total1PuttsInside5",2013
51,51,"Kevin Chappell",80,245,464,52.8,"Total1PuttsInside5",2013
51,51,"Richard Lee",81,245,508,48.2,"Total1PuttsInside5",2013
51,51,"DA Points",87,245,488,50.2,"Total1PuttsInside5",2013
54,54,"Sangmoon Bae",83,244,533,45.8,"Total1PuttsInside5",2013
55,55,"Charley Hoffman",84,243,518,46.9,"Total1PuttsInside5",2013
56,56,"Jerry Kelly",75,242,462,52.4,"Total1PuttsInside5",2013
57,57,"Marc Leishman",77,241,458,52.6,"Total1PuttsInside5",2013
58,58,"Scott Stallings",79,240,491,48.9,"Total1PuttsInside5",2013
59,59,"Chad Campbell",78,239,470,50.9,"Total1PuttsInside5",2013
59,59,"John Merrick",79,239,458,52.2,"Total1PuttsInside5",2013
59,59,"Phil Mickelson",78,239,461,51.8,"Total1PuttsInside5",2013
59,59,"Kevin Streelman",86,239,476,50.2,"Total1PuttsInside5",2013
63,63,"Erik Compton",74,237,469,50.5,"Total1PuttsInside5",2013
63,63,"Kevin Stadler",83,237,470,50.4,"Total1PuttsInside5",2013
65,65,"Brad Fritsch",81,236,475,49.7,"Total1PuttsInside5",2013
66,66,"Hunter Mahan",91,233,457,51,"Total1PuttsInside5",2013
66,66,"Josh Teater",86,233,440,53,"Total1PuttsInside5",2013
68,68,"Tom Gillis",69,232,433,53.6,"Total1PuttsInside5",2013
68,68,"Nick Watney",88,232,479,48.4,"Total1PuttsInside5",2013
70,70,"Zach Johnson",84,231,464,49.8,"Total1PuttsInside5",2013
70,70,"John Rollins",77,231,452,51.1,"Total1PuttsInside5",2013
72,72,"Brandt Snedeker",79,230,463,49.7,"Total1PuttsInside5",2013
73,73,"James Driscoll",76,229,469,48.8,"Total1PuttsInside5",2013
73,73,"Scott Piercy",78,229,434,52.8,"Total1PuttsInside5",2013
75,75,"Chez Reavie",72,228,460,49.6,"Total1PuttsInside5",2013
76,76,"Casey Wittenberg",72,226,439,51.5,"Total1PuttsInside5",2013
77,77,"Jason Bohn",70,225,479,47,"Total1PuttsInside5",2013
77,77,"Seung Yul Noh",71,225,411,54.7,"Total1PuttsInside5",2013
79,79,"Brian Stuard",78,224,431,52,"Total1PuttsInside5",2013
80,80,"Bill Haas",85,222,467,47.5,"Total1PuttsInside5",2013
80,80,"David Lingmerth",68,222,426,52.1,"Total1PuttsInside5",2013
82,82,"Rickie Fowler",75,221,439,50.3,"Total1PuttsInside5",2013
82,82,"Pat Perez",69,221,427,51.8,"Total1PuttsInside5",2013
82,82,"Carl Pettersson",82,221,447,49.4,"Total1PuttsInside5",2013
85,85,"Jason Dufner",78,218,429,50.8,"Total1PuttsInside5",2013
85,85,"JJ Henry",83,218,451,48.3,"Total1PuttsInside5",2013
87,87,"Greg Owen",73,217,418,51.9,"Total1PuttsInside5",2013
88,88,"KJ Choi",85,216,445,48.5,"Total1PuttsInside5",2013
88,88,"David Lynn",70,216,408,52.9,"Total1PuttsInside5",2013
90,90,"Scott Brown",65,215,378,56.9,"Total1PuttsInside5",2013
90,90,"Ryan Moore",72,215,411,52.3,"Total1PuttsInside5",2013
90,90,"Tag Ridings",69,215,392,54.8,"Total1PuttsInside5",2013
93,93,"Ricky Barnes",74,214,406,52.7,"Total1PuttsInside5",2013
93,93,"Robert Streb",75,214,425,50.4,"Total1PuttsInside5",2013
95,95,"Russell Henley",80,213,476,44.7,"Total1PuttsInside5",2013
95,95,"Troy Matteson",68,213,401,53.1,"Total1PuttsInside5",2013
97,97,"Dicky Pride",71,212,404,52.5,"Total1PuttsInside5",2013
97,97,"Andres Romero",63,212,387,54.8,"Total1PuttsInside5",2013
99,99,"Colt Knost",69,211,412,51.2,"Total1PuttsInside5",2013
99,99,"George McNeill",68,211,432,48.8,"Total1PuttsInside5",2013
101,101,"Ben Crane",62,208,405,51.4,"Total1PuttsInside5",2013
101,101,"Trevor Immelman",73,208,390,53.3,"Total1PuttsInside5",2013
103,103,"Jeff Maggert",63,206,396,52,"Total1PuttsInside5",2013
103,103,"Mike Weir",60,206,373,55.2,"Total1PuttsInside5",2013
105,105,"Bud Cauley",67,205,373,55,"Total1PuttsInside5",2013
106,106,"DH Lee",65,204,397,51.4,"Total1PuttsInside5",2013
106,106,"Lee Williams",62,204,360,56.7,"Total1PuttsInside5",2013
108,108,"Henrik Norlander",70,203,392,51.8,"Total1PuttsInside5",2013
108,108,"John Senden",79,203,392,51.8,"Total1PuttsInside5",2013
110,110,"Cameron Percy",68,202,395,51.1,"Total1PuttsInside5",2013
111,111,"Justin Hicks",79,199,437,45.5,"Total1PuttsInside5",2013
111,111,"Luke List",65,199,369,53.9,"Total1PuttsInside5",2013
111,111,"Michael Thompson",66,199,364,54.7,"Total1PuttsInside5",2013
114,114,"David Mathis",71,197,403,48.9,"Total1PuttsInside5",2013
115,115,"Ted Potter Jr",65,194,400,48.5,"Total1PuttsInside5",2013
