"Total1Putts2025_RANKTHISWEEK_2012","Total1Putts2025_RANKLASTWEEK_2012","Total1Putts2025_PLAYERNAME_2012","Total1Putts2025_ROUNDS_2012","Total1Putts2025_TOTAL_2012","Total1Putts2025_TOTALFORALLDISTANCES_2012","Total1Putts2025_PCTOFALL1PUTTS_2012","stat_name","year"
1,1,"Tommy Gainey",98,27,653,4.1,"Total1Putts2025",2012
1,1,"Scott Piercy",95,27,623,4.3,"Total1Putts2025",2012
3,3,"JJ Killeen",101,26,629,4.1,"Total1Putts2025",2012
4,4,"Ken Duke",104,25,679,3.7,"Total1Putts2025",2012
4,4,"William McGirt",96,25,536,4.7,"Total1Putts2025",2012
6,6,"Martin Flores",95,24,581,4.1,"Total1Putts2025",2012
7,7,"Brendon de Jonge",115,22,691,3.2,"Total1Putts2025",2012
7,7,"Brian Harman",101,22,638,3.4,"Total1Putts2025",2012
9,9,"Ben Crane",73,21,464,4.5,"Total1Putts2025",2012
10,10,"Ryan Moore",89,20,577,3.5,"Total1Putts2025",2012
10,10,"Jimmy Walker",101,20,630,3.2,"Total1Putts2025",2012
12,12,"Cameron Beckman",81,17,466,3.6,"Total1Putts2025",2012
12,12,"Stewart Cink",71,17,361,4.7,"Total1Putts2025",2012
12,12,"James Driscoll",83,17,512,3.3,"Total1Putts2025",2012
12,12,"Matt Kuchar",86,17,504,3.4,"Total1Putts2025",2012
12,12,"George McNeill",85,17,510,3.3,"Total1Putts2025",2012
12,12,"Bryce Molder",83,17,508,3.3,"Total1Putts2025",2012
12,12,"Jeff Overton",101,17,695,2.4,"Total1Putts2025",2012
12,12,"Charlie Wi",86,17,536,3.2,"Total1Putts2025",2012
20,20,"Ricky Barnes",92,16,536,3,"Total1Putts2025",2012
20,20,"Brian Davis",91,16,600,2.7,"Total1Putts2025",2012
20,20,"Chris DiMarco",83,16,524,3.1,"Total1Putts2025",2012
20,20,"David Hearn",95,16,607,2.6,"Total1Putts2025",2012
20,20,"JB Holmes",90,16,562,2.8,"Total1Putts2025",2012
20,20,"Webb Simpson",77,16,486,3.3,"Total1Putts2025",2012
20,20,"Kevin Streelman",89,16,529,3,"Total1Putts2025",2012
27,27,"Jason Dufner",83,15,466,3.2,"Total1Putts2025",2012
27,27,"Chris Kirk",93,15,590,2.5,"Total1Putts2025",2012
27,27,"Hunter Mahan",88,15,408,3.7,"Total1Putts2025",2012
27,27,"Sean OHair",84,15,484,3.1,"Total1Putts2025",2012
27,27,"Nick OHern",78,15,467,3.2,"Total1Putts2025",2012
27,27,"DA Points",88,15,537,2.8,"Total1Putts2025",2012
27,27,"Vijay Singh",99,15,549,2.7,"Total1Putts2025",2012
27,27,"Brandt Snedeker",81,15,513,2.9,"Total1Putts2025",2012
27,27,"Bo Van Pelt",84,15,491,3.1,"Total1Putts2025",2012
36,36,"Chad Campbell",84,14,464,3,"Total1Putts2025",2012
36,36,"Gary Christian",91,14,492,2.8,"Total1Putts2025",2012
36,36,"Tom Gillis",75,14,510,2.7,"Total1Putts2025",2012
36,36,"John Huh",99,14,594,2.4,"Total1Putts2025",2012
36,36,"Troy Kelly",68,14,352,4,"Total1Putts2025",2012
36,36,"Spencer Levin",81,14,487,2.9,"Total1Putts2025",2012
