"3PuttAvoidance_RANKTHISWEEK_2008","3PuttAvoidance_RANKLASTWEEK_2008","3PuttAvoidance_PLAYERNAME_2008","3PuttAvoidance_ROUNDS_2008","3PuttAvoidance_Pct_2008","3PuttAvoidance_TOTAL3PUTTS_2008","3PuttAvoidance_TOTALHOLESOVERALL_2008","stat_name","year"
1,1,"Craig Kanada",65,1.62,19,1170,"3PuttAvoidance",2008
2,2,"Aaron Baddeley",76,1.75,23,1314,"3PuttAvoidance",2008
2,2,"Bob Tway",70,1.75,22,1260,"3PuttAvoidance",2008
4,4,"Daniel Chopra",84,1.81,27,1494,"3PuttAvoidance",2008
5,5,"Glen Day",64,1.82,21,1152,"3PuttAvoidance",2008
6,6,"Brian Gay",102,1.85,34,1836,"3PuttAvoidance",2008
7,7,"Chad Collins",72,1.93,25,1296,"3PuttAvoidance",2008
8,8,"Chris Riley",51,1.96,18,918,"3PuttAvoidance",2008
9,9,"Marco Dawson",64,2.08,24,1152,"3PuttAvoidance",2008
10,10,"Ben Curtis",80,2.15,31,1440,"3PuttAvoidance",2008
11,11,"John Mallinger",95,2.16,37,1710,"3PuttAvoidance",2008
12,12,"Shane Bertsch",96,2.2,38,1728,"3PuttAvoidance",2008
13,13,"Tim Wilkinson",95,2.22,38,1710,"3PuttAvoidance",2008
14,14,"Alejandro Canizares",52,2.24,21,936,"3PuttAvoidance",2008
15,15,"Ken Duke",116,2.25,47,2088,"3PuttAvoidance",2008
16,16,"Gavin Coles",54,2.26,22,972,"3PuttAvoidance",2008
17,17,"Patrick Sheehan",124,2.28,51,2232,"3PuttAvoidance",2008
18,18,"James Driscoll",85,2.29,35,1530,"3PuttAvoidance",2008
18,18,"Ryuji Imada",80,2.29,33,1440,"3PuttAvoidance",2008
20,20,"Corey Pavin",69,2.33,29,1242,"3PuttAvoidance",2008
21,21,"Parker McLachlin",88,2.34,37,1584,"3PuttAvoidance",2008
22,22,"Brett Quigley",80,2.36,34,1440,"3PuttAvoidance",2008
22,22,"Mike Weir",88,2.36,37,1566,"3PuttAvoidance",2008
24,24,"Matt Kuchar",88,2.4,38,1584,"3PuttAvoidance",2008
25,25,"Todd Hamilton",92,2.42,40,1656,"3PuttAvoidance",2008
26,26,"Nick OHern",82,2.43,35,1440,"3PuttAvoidance",2008
26,26,"Geoff Ogilvy",65,2.43,28,1152,"3PuttAvoidance",2008
28,28,"Stewart Cink",87,2.47,36,1458,"3PuttAvoidance",2008
29,29,"Doug LaBelle II",65,2.48,29,1170,"3PuttAvoidance",2008
30,30,"Brad Elder",67,2.49,30,1206,"3PuttAvoidance",2008
30,30,"Marc Turnesa",87,2.49,39,1566,"3PuttAvoidance",2008
32,32,"Justin Leonard",101,2.51,43,1710,"3PuttAvoidance",2008
33,33,"Jim Furyk",95,2.54,43,1692,"3PuttAvoidance",2008
34,34,"Eric Axley",113,2.56,52,2034,"3PuttAvoidance",2008
35,35,"Stephen Ames",83,2.57,38,1476,"3PuttAvoidance",2008
36,36,"Steve Elkington",84,2.58,39,1512,"3PuttAvoidance",2008
37,37,"Richard Johnson",60,2.59,28,1080,"3PuttAvoidance",2008
