"3PuttAvoidanceRound2_RANKTHISWEEK_2008","3PuttAvoidanceRound2_RANKLASTWEEK_2008","3PuttAvoidanceRound2_PLAYERNAME_2008","3PuttAvoidanceRound2__2008","3PuttAvoidanceRound2_Pct_2008","3PuttAvoidanceRound2_TOTAL3PUTTS_2008","3PuttAvoidanceRound2_TOTALHOLES_2008","stat_name","year"
1,1,"Bob Tway",NA,1.11,4,360,"3PuttAvoidanceRound2",2008
2,2,"Chris Riley",NA,1.39,4,288,"3PuttAvoidanceRound2",2008
3,3,"Brian Gay",NA,1.48,8,540,"3PuttAvoidanceRound2",2008
4,4,"Ben Curtis",NA,1.52,6,396,"3PuttAvoidanceRound2",2008
4,4,"Craig Kanada",NA,1.52,6,396,"3PuttAvoidanceRound2",2008
6,6,"Marc Turnesa",NA,1.72,9,522,"3PuttAvoidanceRound2",2008
7,7,"Marco Dawson",NA,1.75,6,342,"3PuttAvoidanceRound2",2008
8,8,"Rocco Mediate",NA,1.78,8,450,"3PuttAvoidanceRound2",2008
8,8,"Sean OHair",NA,1.78,8,450,"3PuttAvoidanceRound2",2008
10,10,"Ryuji Imada",NA,1.85,8,432,"3PuttAvoidanceRound2",2008
10,10,"Parker McLachlin",NA,1.85,9,486,"3PuttAvoidanceRound2",2008
12,12,"John Mallinger",NA,1.92,9,468,"3PuttAvoidanceRound2",2008
12,12,"Brett Rumford",NA,1.92,9,468,"3PuttAvoidanceRound2",2008
14,14,"Corey Pavin",NA,1.94,7,360,"3PuttAvoidanceRound2",2008
15,15,"Tom Lehman",NA,1.96,6,306,"3PuttAvoidanceRound2",2008
16,16,"Bob Estes",NA,1.98,10,504,"3PuttAvoidanceRound2",2008
17,17,"Jim Furyk",NA,2,9,450,"3PuttAvoidanceRound2",2008
18,18,"Stuart Appleby",NA,2.02,8,396,"3PuttAvoidanceRound2",2008
19,19,"Charles Howell III",NA,2.04,11,540,"3PuttAvoidanceRound2",2008
19,19,"Kevin Stadler",NA,2.04,11,540,"3PuttAvoidanceRound2",2008
21,21,"Glen Day",NA,2.05,7,342,"3PuttAvoidanceRound2",2008
21,21,"David Toms",NA,2.05,7,342,"3PuttAvoidanceRound2",2008
23,23,"Ben Crane",NA,2.08,9,432,"3PuttAvoidanceRound2",2008
23,23,"Omar Uresti",NA,2.08,9,432,"3PuttAvoidanceRound2",2008
25,25,"Carl Pettersson",NA,2.11,11,522,"3PuttAvoidanceRound2",2008
26,26,"Daniel Chopra",NA,2.14,10,468,"3PuttAvoidanceRound2",2008
26,26,"Ian Poulter",NA,2.14,5,234,"3PuttAvoidanceRound2",2008
26,26,"Jeff Quinney",NA,2.14,10,468,"3PuttAvoidanceRound2",2008
29,29,"Steve Elkington",NA,2.17,9,414,"3PuttAvoidanceRound2",2008
30,30,"Shane Bertsch",NA,2.18,11,504,"3PuttAvoidanceRound2",2008
30,30,"Dustin Johnson",NA,2.18,11,504,"3PuttAvoidanceRound2",2008
32,32,"Ken Duke",NA,2.19,13,594,"3PuttAvoidanceRound2",2008
33,33,"Richard Johnson",NA,2.22,8,360,"3PuttAvoidanceRound2",2008
33,33,"Brett Quigley",NA,2.22,10,450,"3PuttAvoidanceRound2",2008
33,33,"Patrick Sheehan",NA,2.22,14,630,"3PuttAvoidanceRound2",2008
36,36,"Briny Baird",NA,2.3,12,522,"3PuttAvoidanceRound2",2008
36,36,"Nathan Green",NA,2.3,12,522,"3PuttAvoidanceRound2",2008
36,36,"Tim Wilkinson",NA,2.3,12,522,"3PuttAvoidanceRound2",2008
39,39,"Chad Collins",NA,2.31,10,432,"3PuttAvoidanceRound2",2008
40,40,"Lucas Glover",NA,2.35,11,468,"3PuttAvoidanceRound2",2008
40,40,"Chris Stroud",NA,2.35,11,468,"3PuttAvoidanceRound2",2008
42,42,"Aaron Baddeley",NA,2.38,9,378,"3PuttAvoidanceRound2",2008
42,42,"Todd Hamilton",NA,2.38,12,504,"3PuttAvoidanceRound2",2008
