"FairwayProximity_RANKTHISWEEK_2006","FairwayProximity_RANKLASTWEEK_2006","FairwayProximity_PLAYERNAME_2006","FairwayProximity_ROUNDS_2006","FairwayProximity_AVG_2006","FairwayProximity_ATTEMPTS_2006","FairwayProximity_TOTALDISTANCEFEET_2006","FairwayProximity_RELATIVETOPAR_2006","stat_name","year"
1,1,"Tiger Woods",55,NA,498,13548.667,-101,"FairwayProximity",2006
2,2,"Stewart Cink",93,NA,968,27580.917,-114,"FairwayProximity",2006
2,2,"Phil Mickelson",74,NA,596,16997.333,-86,"FairwayProximity",2006
2,2,"Kenny Perry",73,NA,846,24078.917,-52,"FairwayProximity",2006
5,5,"Scott Verplank",88,NA,1020,29172.75,-87,"FairwayProximity",2006
6,6,"Chad Campbell",91,NA,891,25636.25,-58,"FairwayProximity",2006
6,6,"Jim Furyk",89,NA,1019,29328.75,-175,"FairwayProximity",2006
8,8,"Tim Clark",80,NA,835,24239.333,-66,"FairwayProximity",2006
9,9,"Justin Rose",98,NA,1178,34242.25,-121,"FairwayProximity",2006
9,9,"Heath Slocum",96,NA,1239,36040,-66,"FairwayProximity",2006
11,11,"Steve Stricker",64,NA,733,21515.5,-114,"FairwayProximity",2006
12,12,"Adam Scott",70,NA,692,20351.417,-99,"FairwayProximity",2006
13,13,"Robert Garrigus",85,NA,933,27515.833,-38,"FairwayProximity",2006
13,13,"Omar Uresti",61,NA,733,21646.75,-49,"FairwayProximity",2006
15,15,"Chris DiMarco",83,NA,833,24734.417,-43,"FairwayProximity",2006
15,15,"Bob May",65,NA,712,21142.583,-45,"FairwayProximity",2006
17,17,"Fred Funk",106,NA,1287,38273.5,-73,"FairwayProximity",2006
17,17,"Jerry Smith",94,NA,1223,36424.417,-78,"FairwayProximity",2006
19,19,"Robert Gamez",94,NA,1183,35387.833,-60,"FairwayProximity",2006
20,20,"Woody Austin",107,NA,1222,36641.917,-88,"FairwayProximity",2006
20,20,"Zach Johnson",98,NA,1090,32690,-101,"FairwayProximity",2006
22,22,"Trevor Immelman",86,NA,986,29715.5,-124,"FairwayProximity",2006
22,22,"Brett Wetterich",82,NA,972,29324.083,-101,"FairwayProximity",2006
24,24,"Retief Goosen",68,NA,593,17925.083,-57,"FairwayProximity",2006
24,24,"Arron Oberholser",82,NA,832,25156.167,-84,"FairwayProximity",2006
26,26,"Brian Gay",107,NA,1425,43221.75,-143,"FairwayProximity",2006
26,26,"Joey Sindelar",90,NA,1074,32605.25,-53,"FairwayProximity",2006
28,28,"Corey Pavin",74,NA,818,24885.75,-53,"FairwayProximity",2006
29,29,"Stephen Leaney",84,NA,1091,33304.25,-101,"FairwayProximity",2006
29,29,"Davis Love III",85,NA,723,22068.167,-84,"FairwayProximity",2006
29,29,"Rory Sabbatini",84,NA,806,24590,-67,"FairwayProximity",2006
29,29,"David Toms",76,NA,866,26392.667,-90,"FairwayProximity",2006
33,33,"JP Hayes",55,NA,711,21749.667,-35,"FairwayProximity",2006
34,34,"Stephen Ames",63,NA,601,18442.833,-67,"FairwayProximity",2006
34,34,"Ernie Els",69,NA,594,18230.167,-68,"FairwayProximity",2006
34,34,"JJ Henry",96,NA,1029,31596.083,-90,"FairwayProximity",2006
34,34,"Brandt Jobe",91,NA,954,29249.833,-75,"FairwayProximity",2006
34,34,"John Senden",96,NA,1086,33332,-103,"FairwayProximity",2006
34,34,"Jeff Sluman",101,NA,1145,35135.333,-93,"FairwayProximity",2006
34,34,"Kirk Triplett",58,NA,721,22116.417,-38,"FairwayProximity",2006
41,41,"David Duval",71,NA,657,20192.583,-14,"FairwayProximity",2006
41,41,"Scott Gutschewski",53,NA,619,19045,-31,"FairwayProximity",2006
41,41,"Skip Kendall",72,NA,860,26480.5,-69,"FairwayProximity",2006
44,44,"Alex Cejka",93,NA,1097,33792.583,-79,"FairwayProximity",2006
44,44,"Kris Cox",83,NA,951,29328.167,-52,"FairwayProximity",2006
44,44,"Charles Warren",93,NA,1107,34117.917,-78,"FairwayProximity",2006
47,47,"Tommy Armour III",65,NA,733,22653.75,-25,"FairwayProximity",2006
47,47,"JB Holmes",81,NA,776,23982.333,-61,"FairwayProximity",2006
47,47,"Shaun Micheel",96,NA,1037,32098,-98,"FairwayProximity",2006
47,47,"Mark Wilson",79,NA,1032,31911.833,-85,"FairwayProximity",2006
51,51,"Robert Allenby",79,NA,838,25991.25,-79,"FairwayProximity",2006
51,51,"Olin Browne",108,NA,1247,38644.75,-78,"FairwayProximity",2006
51,51,"Bart Bryant",87,NA,1050,32517.75,-58,"FairwayProximity",2006
51,51,"Jose Maria Olazabal",62,NA,526,16293.75,-48,"FairwayProximity",2006
51,51,"Bubba Watson",83,NA,873,27037.5,-89,"FairwayProximity",2006
