"LeftRoughProximity_RANKTHISWEEK_2005","LeftRoughProximity_RANKLASTWEEK_2005","LeftRoughProximity_PLAYERNAME_2005","LeftRoughProximity_ROUNDS_2005","LeftRoughProximity_AVG_2005","LeftRoughProximity_ATTEMPTS_2005","LeftRoughProximity_TOTALDISTANCEFEET_2005","LeftRoughProximity_RELATIVETOPAR_2005","stat_name","year"
1,1,"David Hearn",68,NA,65,2299.083,15,"LeftRoughProximity",2005
2,2,"Fred Couples",72,NA,70,2493.5,10,"LeftRoughProximity",2005
3,3,"Vijay Singh",111,NA,167,6061.083,-9,"LeftRoughProximity",2005
4,4,"Jeff Hart",63,NA,49,1792.083,1,"LeftRoughProximity",2005
5,5,"Marco Dawson",82,NA,125,4578.833,12,"LeftRoughProximity",2005
6,6,"Tjaart van der Walt",56,NA,56,2076.083,2,"LeftRoughProximity",2005
7,7,"Mario Tiziani",67,NA,94,3495.083,13,"LeftRoughProximity",2005
8,8,"Darron Stiles",78,NA,83,3141.083,3,"LeftRoughProximity",2005
9,9,"Loren Roberts",54,NA,53,2010.5,7,"LeftRoughProximity",2005
10,10,"Doug Barron",70,NA,91,3459.5,16,"LeftRoughProximity",2005
10,10,"Robert Damron",89,NA,95,3607.667,19,"LeftRoughProximity",2005
12,12,"Fred Funk",102,NA,90,3424.833,14,"LeftRoughProximity",2005
13,13,"Zach Johnson",96,NA,116,4458.75,25,"LeftRoughProximity",2005
14,14,"Bernhard Langer",67,NA,78,3005.75,-5,"LeftRoughProximity",2005
14,14,"Justin Rose",99,NA,170,6541.5,17,"LeftRoughProximity",2005
16,16,"Jason Bohn",91,NA,138,5372.75,8,"LeftRoughProximity",2005
17,17,"Briny Baird",98,NA,118,4632.083,6,"LeftRoughProximity",2005
18,18,"Ian Poulter",62,NA,55,2164.583,8,"LeftRoughProximity",2005
19,19,"Jonathan Byrd",103,NA,144,5704.5,9,"LeftRoughProximity",2005
19,19,"Arron Oberholser",65,NA,81,3203.667,3,"LeftRoughProximity",2005
21,21,"Glen Hnatiuk",59,NA,76,3022.083,-1,"LeftRoughProximity",2005
21,21,"Bo Van Pelt",112,NA,169,6712.917,15,"LeftRoughProximity",2005
23,23,"Rich Beem",66,NA,80,3192.333,16,"LeftRoughProximity",2005
24,24,"John Cook",72,NA,82,3282.833,12,"LeftRoughProximity",2005
24,24,"Neal Lancaster",95,NA,167,6674.25,25,"LeftRoughProximity",2005
24,24,"Joey Snyder III",102,NA,134,5360.917,22,"LeftRoughProximity",2005
27,27,"Jay Williamson",53,NA,64,2563.25,12,"LeftRoughProximity",2005
28,28,"Brian Davis",75,NA,57,2301,12,"LeftRoughProximity",2005
28,28,"Bill Glasson",54,NA,80,3223.583,13,"LeftRoughProximity",2005
28,28,"Dennis Paulson",63,NA,99,3994.25,20,"LeftRoughProximity",2005
31,31,"Stuart Appleby",84,NA,110,4445,3,"LeftRoughProximity",2005
31,31,"Brendan Jones",81,NA,139,5616.083,12,"LeftRoughProximity",2005
31,31,"Hidemichi Tanaka",106,NA,149,6018.167,22,"LeftRoughProximity",2005
34,34,"Aaron Baddeley",84,NA,140,5677.917,12,"LeftRoughProximity",2005
34,34,"Todd Hamilton",94,NA,115,4662.417,24,"LeftRoughProximity",2005
34,34,"Bob Heintz",67,NA,117,4746.5,22,"LeftRoughProximity",2005
34,34,"Ted Purdy",122,NA,150,6087.917,12,"LeftRoughProximity",2005
38,38,"Richard Johnson",50,NA,69,2808.417,9,"LeftRoughProximity",2005
38,38,"Rory Sabbatini",81,NA,127,5165.667,22,"LeftRoughProximity",2005
40,40,"Glen Day",80,NA,142,5802,14,"LeftRoughProximity",2005
