"RightRoughProximity_RANKTHISWEEK_2011","RightRoughProximity_RANKLASTWEEK_2011","RightRoughProximity_PLAYERNAME_2011","RightRoughProximity_ROUNDS_2011","RightRoughProximity_AVG_2011","RightRoughProximity_ATTEMPTS_2011","RightRoughProximity_TOTALDISTANCEFEET_2011","RightRoughProximity_RELATIVETOPAR_2011","stat_name","year"
1,1,"Graeme McDowell",50,NA,54,1798.083,-7,"RightRoughProximity",2011
2,2,"Woody Austin",59,NA,78,2734.333,3,"RightRoughProximity",2011
3,3,"Shane Bertsch",62,NA,73,2657.083,-3,"RightRoughProximity",2011
4,4,"Michael Bradley",74,NA,111,4077,9,"RightRoughProximity",2011
5,5,"Shaun Micheel",77,NA,131,4867.75,29,"RightRoughProximity",2011
6,6,"Sergio Garcia",61,NA,87,3267.25,-3,"RightRoughProximity",2011
6,6,"Carl Pettersson",95,NA,140,5262.167,4,"RightRoughProximity",2011
8,8,"Brandt Snedeker",85,NA,109,4185.583,9,"RightRoughProximity",2011
9,9,"Joe Durant",71,NA,84,3235.917,17,"RightRoughProximity",2011
10,10,"Davis Love III",70,NA,76,2933.75,7,"RightRoughProximity",2011
11,11,"Stewart Cink",72,NA,93,3608.667,-6,"RightRoughProximity",2011
12,12,"Stuart Appleby",65,NA,123,4821.75,13,"RightRoughProximity",2011
12,12,"Rory Sabbatini",85,NA,138,5410.5,2,"RightRoughProximity",2011
14,14,"Michael Connell",76,NA,89,3512.333,18,"RightRoughProximity",2011
15,15,"Charley Hoffman",93,NA,140,5539.333,6,"RightRoughProximity",2011
16,16,"Bubba Watson",85,NA,124,4922.167,7,"RightRoughProximity",2011
17,17,"Chad Campbell",99,NA,142,5684.75,18,"RightRoughProximity",2011
17,17,"Jim Herman",69,NA,120,4798.917,12,"RightRoughProximity",2011
19,19,"Bill Lunde",92,NA,146,5855.083,14,"RightRoughProximity",2011
20,20,"Jason Bohn",74,NA,81,3250.417,17,"RightRoughProximity",2011
20,20,"Geoff Ogilvy",69,NA,101,4057.333,10,"RightRoughProximity",2011
22,22,"David Duval",67,NA,102,4109.083,21,"RightRoughProximity",2011
22,22,"Bobby Gates",82,NA,144,5791.833,19,"RightRoughProximity",2011
24,24,"David Toms",78,NA,99,4018.667,1,"RightRoughProximity",2011
25,25,"Kevin Stadler",88,NA,95,3863.833,9,"RightRoughProximity",2011
25,25,"Vaughn Taylor",89,NA,143,5813.25,24,"RightRoughProximity",2011
27,27,"Steven Bowditch",86,NA,139,5668.583,12,"RightRoughProximity",2011
27,27,"Hunter Mahan",92,NA,120,4892.333,20,"RightRoughProximity",2011
29,29,"Stephen Ames",69,NA,99,4043.25,6,"RightRoughProximity",2011
29,29,"Dustin Johnson",72,NA,112,4572.333,0,"RightRoughProximity",2011
31,31,"Kris Blanks",92,NA,148,6053.417,16,"RightRoughProximity",2011
31,31,"Billy Mayfair",94,NA,136,5562.333,6,"RightRoughProximity",2011
33,33,"Kevin Na",84,NA,114,4675.583,14,"RightRoughProximity",2011
34,34,"Chris DiMarco",93,NA,148,6075.25,28,"RightRoughProximity",2011
35,35,"David Hearn",88,NA,164,6747.917,32,"RightRoughProximity",2011
35,35,"Brandt Jobe",100,NA,143,5884.167,11,"RightRoughProximity",2011
35,35,"Ian Poulter",52,NA,59,2430.917,-1,"RightRoughProximity",2011
35,35,"Webb Simpson",98,NA,134,5513.917,11,"RightRoughProximity",2011
39,39,"Scott Piercy",78,NA,152,6268.417,26,"RightRoughProximity",2011
