"PuttsMadePerEventOver20_RANKTHISWEEK_2006","PuttsMadePerEventOver20_RANKLASTWEEK_2006","PuttsMadePerEventOver20_PLAYERNAME_2006","PuttsMadePerEventOver20_ROUNDS_2006","PuttsMadePerEventOver20_PUTTSMADE_2006","stat_name","year"
1,1,"David Howell",52,2.5,"PuttsMadePerEventOver20",2006
2,2,"Jose Maria Olazabal",62,2.1,"PuttsMadePerEventOver20",2006
2,2,"Brett Quigley",109,2.1,"PuttsMadePerEventOver20",2006
2,2,"Adam Scott",70,2.1,"PuttsMadePerEventOver20",2006
5,5,"JJ Henry",96,2,"PuttsMadePerEventOver20",2006
5,5,"Richard Johnson",94,2,"PuttsMadePerEventOver20",2006
5,5,"Tom Pernice Jr",108,2,"PuttsMadePerEventOver20",2006
5,5,"David Toms",76,2,"PuttsMadePerEventOver20",2006
5,5,"Tiger Woods",55,2,"PuttsMadePerEventOver20",2006
10,10,"Stewart Cink",93,1.9,"PuttsMadePerEventOver20",2006
10,10,"Ben Curtis",86,1.9,"PuttsMadePerEventOver20",2006
10,10,"Jim Furyk",89,1.9,"PuttsMadePerEventOver20",2006
10,10,"Brent Geiberger",99,1.9,"PuttsMadePerEventOver20",2006
10,10,"Arron Oberholser",82,1.9,"PuttsMadePerEventOver20",2006
10,10,"Chris Smith",67,1.9,"PuttsMadePerEventOver20",2006
10,10,"Vaughn Taylor",88,1.9,"PuttsMadePerEventOver20",2006
10,10,"Mark Wilson",79,1.9,"PuttsMadePerEventOver20",2006
18,18,"Robert Allenby",79,1.8,"PuttsMadePerEventOver20",2006
18,18,"Stuart Appleby",83,1.8,"PuttsMadePerEventOver20",2006
18,18,"KJ Choi",93,1.8,"PuttsMadePerEventOver20",2006
18,18,"Ernie Els",69,1.8,"PuttsMadePerEventOver20",2006
18,18,"Retief Goosen",68,1.8,"PuttsMadePerEventOver20",2006
18,18,"Tom Lehman",70,1.8,"PuttsMadePerEventOver20",2006
18,18,"Davis Love III",85,1.8,"PuttsMadePerEventOver20",2006
18,18,"Rod Pampling",89,1.8,"PuttsMadePerEventOver20",2006
18,18,"Ian Poulter",53,1.8,"PuttsMadePerEventOver20",2006
18,18,"Chris Riley",86,1.8,"PuttsMadePerEventOver20",2006
18,18,"Dean Wilson",115,1.8,"PuttsMadePerEventOver20",2006
29,29,"Craig Barlow",77,1.7,"PuttsMadePerEventOver20",2006
29,29,"Marco Dawson",87,1.7,"PuttsMadePerEventOver20",2006
29,29,"Steve Elkington",52,1.7,"PuttsMadePerEventOver20",2006
29,29,"Brad Faxon",78,1.7,"PuttsMadePerEventOver20",2006
29,29,"Nathan Green",108,1.7,"PuttsMadePerEventOver20",2006
29,29,"Trevor Immelman",86,1.7,"PuttsMadePerEventOver20",2006
29,29,"David McKenzie",82,1.7,"PuttsMadePerEventOver20",2006
29,29,"Vijay Singh",103,1.7,"PuttsMadePerEventOver20",2006
29,29,"Steve Stricker",64,1.7,"PuttsMadePerEventOver20",2006
38,38,"Aaron Baddeley",78,1.6,"PuttsMadePerEventOver20",2006
38,38,"Jonathan Byrd",66,1.6,"PuttsMadePerEventOver20",2006
38,38,"Steve Flesch",119,1.6,"PuttsMadePerEventOver20",2006
38,38,"Brian Gay",107,1.6,"PuttsMadePerEventOver20",2006
38,38,"Mathias Gronberg",92,1.6,"PuttsMadePerEventOver20",2006
38,38,"Hunter Mahan",98,1.6,"PuttsMadePerEventOver20",2006
38,38,"Ted Purdy",103,1.6,"PuttsMadePerEventOver20",2006
45,45,"Olin Browne",108,1.5,"PuttsMadePerEventOver20",2006
45,45,"Ben Crane",85,1.5,"PuttsMadePerEventOver20",2006
45,45,"David Duval",71,1.5,"PuttsMadePerEventOver20",2006
45,45,"Carlos Franco",86,1.5,"PuttsMadePerEventOver20",2006
45,45,"Fred Funk",106,1.5,"PuttsMadePerEventOver20",2006
45,45,"Brandt Jobe",91,1.5,"PuttsMadePerEventOver20",2006
45,45,"Kent Jones",103,1.5,"PuttsMadePerEventOver20",2006
45,45,"Shigeki Maruyama",94,1.5,"PuttsMadePerEventOver20",2006
45,45,"Larry Mize",53,1.5,"PuttsMadePerEventOver20",2006
45,45,"Mark OMeara",52,1.5,"PuttsMadePerEventOver20",2006
45,45,"Geoff Ogilvy",76,1.5,"PuttsMadePerEventOver20",2006
45,45,"Ryan Palmer",101,1.5,"PuttsMadePerEventOver20",2006
45,45,"Corey Pavin",74,1.5,"PuttsMadePerEventOver20",2006
45,45,"Tim Petrovic",95,1.5,"PuttsMadePerEventOver20",2006
45,45,"John Rollins",93,1.5,"PuttsMadePerEventOver20",2006
45,45,"Heath Slocum",96,1.5,"PuttsMadePerEventOver20",2006
61,61,"Briny Baird",81,1.4,"PuttsMadePerEventOver20",2006
61,61,"Tim Clark",80,1.4,"PuttsMadePerEventOver20",2006
61,61,"Luke Donald",66,1.4,"PuttsMadePerEventOver20",2006
61,61,"Bob Estes",85,1.4,"PuttsMadePerEventOver20",2006
61,61,"Mathew Goggin",72,1.4,"PuttsMadePerEventOver20",2006
61,61,"JP Hayes",55,1.4,"PuttsMadePerEventOver20",2006
61,61,"JB Holmes",81,1.4,"PuttsMadePerEventOver20",2006
61,61,"Freddie Jacobson",56,1.4,"PuttsMadePerEventOver20",2006
