"Par5GoingfortheGreen_RANKTHISWEEK_2007","Par5GoingfortheGreen_RANKLASTWEEK_2007","Par5GoingfortheGreen_PLAYERNAME_2007","Par5GoingfortheGreen_ROUNDS_2007","Par5GoingfortheGreen_Pct_2007","Par5GoingfortheGreen_ATTEMPTS_2007","Par5GoingfortheGreen_NONATTEMPTS_2007","stat_name","year"
1,1,"JB Holmes",71,71.84,148,58,"Par5GoingfortheGreen",2007
2,2,"Phil Mickelson",73,69.23,108,48,"Par5GoingfortheGreen",2007
3,3,"Tiger Woods",63,68.18,90,42,"Par5GoingfortheGreen",2007
4,4,"Adam Scott",69,68.02,117,55,"Par5GoingfortheGreen",2007
5,5,"Ernie Els",59,67.65,92,44,"Par5GoingfortheGreen",2007
6,6,"Bill Haas",93,66.92,178,88,"Par5GoingfortheGreen",2007
7,7,"Anthony Kim",93,66.8,163,81,"Par5GoingfortheGreen",2007
8,8,"Robert Garrigus",95,66.55,185,93,"Par5GoingfortheGreen",2007
9,9,"Aaron Baddeley",83,66.5,133,67,"Par5GoingfortheGreen",2007
10,10,"John Daly",59,66.45,103,52,"Par5GoingfortheGreen",2007
11,11,"Bubba Watson",80,65.75,144,75,"Par5GoingfortheGreen",2007
12,12,"Brett Wetterich",88,65.71,138,72,"Par5GoingfortheGreen",2007
13,13,"Vijay Singh",102,64.34,157,87,"Par5GoingfortheGreen",2007
14,14,"Mathias Gronberg",95,64.24,185,103,"Par5GoingfortheGreen",2007
15,15,"Steve Allan",63,64.2,113,63,"Par5GoingfortheGreen",2007
16,16,"Charles Warren",101,63.7,186,106,"Par5GoingfortheGreen",2007
17,17,"Rod Pampling",92,63.51,141,81,"Par5GoingfortheGreen",2007
18,18,"Jeff Overton",60,62.92,112,66,"Par5GoingfortheGreen",2007
19,19,"DJ Trahan",99,62.77,177,105,"Par5GoingfortheGreen",2007
20,20,"Robert Allenby",90,62.73,138,82,"Par5GoingfortheGreen",2007
21,21,"Sergio Garcia",68,62.65,104,62,"Par5GoingfortheGreen",2007
22,22,"Camilo Villegas",82,62.38,131,79,"Par5GoingfortheGreen",2007
23,23,"Troy Matteson",87,62.29,147,89,"Par5GoingfortheGreen",2007
24,24,"Sean OHair",98,61.74,163,101,"Par5GoingfortheGreen",2007
25,25,"Davis Love III",66,61.39,97,61,"Par5GoingfortheGreen",2007
26,26,"Mike Weir",82,60,108,72,"Par5GoingfortheGreen",2007
27,27,"Pat Perez",84,59.89,109,73,"Par5GoingfortheGreen",2007
28,28,"Mathew Goggin",97,59.71,166,112,"Par5GoingfortheGreen",2007
29,29,"Jonathan Byrd",73,59.6,118,80,"Par5GoingfortheGreen",2007
30,30,"Steve Marino",106,59.46,176,120,"Par5GoingfortheGreen",2007
31,31,"Matt Hendrix",63,59.14,110,76,"Par5GoingfortheGreen",2007
32,32,"Rich Beem",89,58.9,129,90,"Par5GoingfortheGreen",2007
33,33,"Johnson Wagner",97,58.8,167,117,"Par5GoingfortheGreen",2007
34,34,"Lucas Glover",98,58.71,155,109,"Par5GoingfortheGreen",2007
