"RoughProximity_RANKTHISWEEK_2014","RoughProximity_RANKLASTWEEK_2014","RoughProximity_PLAYERNAME_2014","RoughProximity_ROUNDS_2014","RoughProximity_AVG_2014","RoughProximity_TOTALDISTANCEINCHES_2014","RoughProximity_ATTEMPTS_2014","RoughProximity_TOTALDISTANCEFEET_2014","RoughProximity_RELATIVETOPAR_2014","stat_name","year"
1,1,"Jamie Lovemark",64,NA,93066,212,7755.5,18,"RoughProximity",2014
2,2,"Brooks Koepka",56,NA,75186,166,6265.5,5,"RoughProximity",2014
3,3,"Paul Casey",56,NA,72590,159,6049.167,21,"RoughProximity",2014
4,4,"Vijay Singh",83,NA,130087,284,10840.583,33,"RoughProximity",2014
5,5,"Bubba Watson",76,NA,101387,217,8448.917,9,"RoughProximity",2014
6,6,"Ken Duke",80,NA,97905,208,8158.75,37,"RoughProximity",2014
7,7,"Marc Leishman",81,NA,124209,261,10350.75,34,"RoughProximity",2014
8,8,"Freddie Jacobson",91,NA,141043,295,11753.583,25,"RoughProximity",2014
9,9,"Sergio Garcia",61,NA,67687,141,5640.583,-2,"RoughProximity",2014
10,10,"Jim Furyk",84,NA,78717,163,6559.75,17,"RoughProximity",2014
10,10,"Ryan Palmer",85,NA,128877,267,10739.75,3,"RoughProximity",2014
12,12,"John Peterson",62,NA,84776,175,7064.667,28,"RoughProximity",2014
13,13,"Kyle Stanley",87,NA,124226,256,10352.167,43,"RoughProximity",2014
13,13,"David Toms",64,NA,68341,141,5695.083,14,"RoughProximity",2014
15,15,"Jason Bohn",81,NA,116687,240,9723.917,33,"RoughProximity",2014
15,15,"Phil Mickelson",71,NA,91904,189,7658.667,7,"RoughProximity",2014
17,17,"Charles Howell III",106,NA,215818,440,17984.833,21,"RoughProximity",2014
18,18,"Geoff Ogilvy",84,NA,139938,285,11661.5,26,"RoughProximity",2014
19,19,"Martin Flores",85,NA,136222,276,11351.833,31,"RoughProximity",2014
19,19,"Brian Harman",111,NA,183631,372,15302.583,47,"RoughProximity",2014
21,21,"Jeff Maggert",54,NA,68815,139,5734.583,21,"RoughProximity",2014
22,22,"Dustin Johnson",58,NA,88870,179,7405.833,13,"RoughProximity",2014
22,22,"Boo Weekley",73,NA,84261,170,7021.75,12,"RoughProximity",2014
24,24,"Brendan Steele",89,NA,125323,252,10443.583,39,"RoughProximity",2014
25,25,"Tyrone Van Aswegen",79,NA,134403,270,11200.25,54,"RoughProximity",2014
26,26,"Retief Goosen",94,NA,163216,327,13601.333,41,"RoughProximity",2014
26,26,"Hunter Mahan",88,NA,114732,230,9561,28,"RoughProximity",2014
28,28,"Charlie Beljan",76,NA,131589,263,10965.75,40,"RoughProximity",2014
28,28,"Troy Merritt",62,NA,102072,204,8506,51,"RoughProximity",2014
30,30,"Troy Matteson",62,NA,101283,202,8440.25,51,"RoughProximity",2014
30,30,"Seung Yul Noh",92,NA,148270,296,12355.833,30,"RoughProximity",2014
30,30,"Jimmy Walker",98,NA,162204,324,13517,4,"RoughProximity",2014
33,33,"Carl Pettersson",91,NA,169975,338,14164.583,26,"RoughProximity",2014
33,33,"Justin Rose",70,NA,101673,202,8472.75,15,"RoughProximity",2014
33,33,"Nick Watney",80,NA,90562,180,7546.833,23,"RoughProximity",2014
36,36,"Stewart Cink",91,NA,137542,273,11461.833,30,"RoughProximity",2014
36,36,"Billy Hurley III",86,NA,102226,203,8518.833,23,"RoughProximity",2014
36,36,"George McNeill",79,NA,119041,236,9920.083,22,"RoughProximity",2014
39,39,"Hideki Matsuyama",82,NA,121317,240,10109.75,21,"RoughProximity",2014
40,40,"Angel Cabrera",69,NA,126577,250,10548.083,13,"RoughProximity",2014
40,40,"Charley Hoffman",93,NA,143223,283,11935.25,13,"RoughProximity",2014
40,40,"Adam Scott",68,NA,96102,190,8008.5,1,"RoughProximity",2014
43,43,"Hudson Swafford",75,NA,103854,205,8654.5,25,"RoughProximity",2014
44,44,"YE Yang",79,NA,110914,218,9242.833,34,"RoughProximity",2014
45,45,"Morgan Hoffmann",103,NA,200887,394,16740.583,82,"RoughProximity",2014
45,45,"Shawn Stefani",60,NA,104576,205,8714.667,30,"RoughProximity",2014
45,45,"Josh Teater",90,NA,138330,271,11527.5,28,"RoughProximity",2014
45,45,"Bo Van Pelt",83,NA,108133,212,9011.083,29,"RoughProximity",2014
49,49,"Kevin Chappell",100,NA,127121,249,10593.417,32,"RoughProximity",2014
49,49,"Harris English",95,NA,140580,275,11715,29,"RoughProximity",2014
49,49,"John Merrick",87,NA,99107,194,8258.917,15,"RoughProximity",2014
49,49,"Kevin Na",94,NA,143584,281,11965.333,19,"RoughProximity",2014
53,53,"William McGirt",96,NA,152441,298,12703.417,33,"RoughProximity",2014
54,54,"Andrew Loupe",65,NA,119036,232,9919.667,27,"RoughProximity",2014
54,54,"Andres Romero",81,NA,154360,301,12863.333,28,"RoughProximity",2014
54,54,"Nicholas Thompson",85,NA,113399,221,9449.917,48,"RoughProximity",2014
57,57,"Zach Johnson",97,NA,128086,249,10673.833,28,"RoughProximity",2014
57,57,"Kevin Tway",64,NA,95600,186,7966.667,32,"RoughProximity",2014
59,59,"Tim Clark",75,NA,86738,168,7228.167,34,"RoughProximity",2014
59,59,"Kevin Stadler",90,NA,112035,217,9336.25,39,"RoughProximity",2014
61,61,"Greg Chalmers",85,NA,153027,296,12752.25,29,"RoughProximity",2014
61,61,"Chesson Hadley",84,NA,139680,270,11640,47,"RoughProximity",2014
61,61,"Scott Stallings",77,NA,134028,259,11169,56,"RoughProximity",2014
64,64,"Luke Guthrie",85,NA,146472,282,12206,25,"RoughProximity",2014
64,64,"Sean OHair",77,NA,148046,285,12337.167,49,"RoughProximity",2014
64,64,"Kevin Streelman",79,NA,90372,174,7531,40,"RoughProximity",2014
67,67,"Bill Haas",107,NA,145514,280,12126.167,30,"RoughProximity",2014
67,67,"Charlie Wi",72,NA,134075,258,11172.917,15,"RoughProximity",2014
69,69,"Brian Davis",93,NA,143892,276,11991,36,"RoughProximity",2014
69,69,"Davis Love III",74,NA,121288,233,10107.333,28,"RoughProximity",2014
69,69,"John Senden",99,NA,138105,265,11508.75,32,"RoughProximity",2014
69,69,"Brandt Snedeker",89,NA,109887,211,9157.25,19,"RoughProximity",2014
