"AverageDistanceofPuttsmade_RANKTHISWEEK_2009","AverageDistanceofPuttsmade_RANKLASTWEEK_2009","AverageDistanceofPuttsmade_PLAYERNAME_2009","AverageDistanceofPuttsmade_ROUNDS_2009","AverageDistanceofPuttsmade_AVG_2009","AverageDistanceofPuttsmade_TOTALDISTINCHES_2009","AverageDistanceofPuttsmade_TOTALROUNDS_2009","AverageDistanceofPuttsmade_AVGDIST_2009","AverageDistanceofPuttsmade_BESTROUND_2009","stat_name","year"
1,1,"Greg Chalmers",85,NA,70200,71,NA,NA,"AverageDistanceofPuttsmade",2009
2,2,"Matt Bettencourt",98,NA,85577,87,NA,NA,"AverageDistanceofPuttsmade",2009
3,3,"Brian Gay",96,NA,78978,82,NA,NA,"AverageDistanceofPuttsmade",2009
3,3,"Ted Purdy",101,NA,85665,89,NA,NA,"AverageDistanceofPuttsmade",2009
5,5,"Ben Crane",93,NA,76992,80,NA,NA,"AverageDistanceofPuttsmade",2009
6,6,"Parker McLachlin",71,NA,64404,67,NA,NA,"AverageDistanceofPuttsmade",2009
6,6,"Webb Simpson",94,NA,83582,87,NA,NA,"AverageDistanceofPuttsmade",2009
8,8,"Brad Faxon",59,NA,49918,52,NA,NA,"AverageDistanceofPuttsmade",2009
9,9,"Joe Ogilvie",85,NA,73528,77,NA,NA,"AverageDistanceofPuttsmade",2009
10,10,"Ben Curtis",63,NA,44820,47,NA,NA,"AverageDistanceofPuttsmade",2009
10,10,"Kevin Na",91,NA,74428,78,NA,NA,"AverageDistanceofPuttsmade",2009
12,12,"Luke Donald",79,NA,58151,61,NA,NA,"AverageDistanceofPuttsmade",2009
13,13,"Martin Laird",72,NA,58949,62,NA,NA,"AverageDistanceofPuttsmade",2009
14,14,"Matt Kuchar",82,NA,67419,71,NA,NA,"AverageDistanceofPuttsmade",2009
15,15,"Stephen Ames",77,NA,54004,57,NA,NA,"AverageDistanceofPuttsmade",2009
15,15,"Woody Austin",84,NA,71962,76,NA,NA,"AverageDistanceofPuttsmade",2009
17,17,"Hunter Mahan",94,NA,70922,75,NA,NA,"AverageDistanceofPuttsmade",2009
18,18,"Kenny Perry",92,NA,68770,73,NA,NA,"AverageDistanceofPuttsmade",2009
19,19,"Aaron Baddeley",66,NA,54529,58,NA,NA,"AverageDistanceofPuttsmade",2009
20,20,"David Mathis",82,NA,64822,69,NA,NA,"AverageDistanceofPuttsmade",2009
20,20,"Geoff Ogilvy",78,NA,54488,58,NA,NA,"AverageDistanceofPuttsmade",2009
20,20,"Jeff Overton",92,NA,71391,76,NA,NA,"AverageDistanceofPuttsmade",2009
23,23,"Dean Wilson",81,NA,65686,70,NA,NA,"AverageDistanceofPuttsmade",2009
24,24,"Pat Perez",74,NA,58069,62,NA,NA,"AverageDistanceofPuttsmade",2009
25,25,"Ryuji Imada",85,NA,64310,69,NA,NA,"AverageDistanceofPuttsmade",2009
25,25,"Charlie Wi",92,NA,73656,79,NA,NA,"AverageDistanceofPuttsmade",2009
27,27,"Bob Heintz",59,NA,47403,51,NA,NA,"AverageDistanceofPuttsmade",2009
28,28,"Tim Clark",81,NA,54776,59,NA,NA,"AverageDistanceofPuttsmade",2009
28,28,"Bo Van Pelt",100,NA,76107,82,NA,NA,"AverageDistanceofPuttsmade",2009
30,30,"Brandt Snedeker",81,NA,60102,65,NA,NA,"AverageDistanceofPuttsmade",2009
31,31,"Marc Leishman",91,NA,76655,83,NA,NA,"AverageDistanceofPuttsmade",2009
31,31,"Ryan Moore",89,NA,69264,75,NA,NA,"AverageDistanceofPuttsmade",2009
33,33,"Jason Day",61,NA,46146,50,NA,NA,"AverageDistanceofPuttsmade",2009
33,33,"Dustin Johnson",85,NA,59078,64,NA,NA,"AverageDistanceofPuttsmade",2009
35,35,"James Nitties",86,NA,70046,76,NA,NA,"AverageDistanceofPuttsmade",2009
35,35,"Mike Weir",85,NA,61753,67,NA,NA,"AverageDistanceofPuttsmade",2009
37,37,"Jeff Klauk",97,NA,81011,88,NA,NA,"AverageDistanceofPuttsmade",2009
38,38,"Nick OHern",90,NA,78177,85,NA,NA,"AverageDistanceofPuttsmade",2009
38,38,"Mark Wilson",99,NA,80955,88,NA,NA,"AverageDistanceofPuttsmade",2009
40,40,"Andres Romero",58,NA,39520,43,NA,NA,"AverageDistanceofPuttsmade",2009
41,41,"Tiger Woods",64,NA,44083,48,NA,NA,"AverageDistanceofPuttsmade",2009
42,42,"Jerry Kelly",90,NA,70627,77,NA,NA,"AverageDistanceofPuttsmade",2009
43,43,"Rod Pampling",72,NA,58622,64,NA,NA,"AverageDistanceofPuttsmade",2009
43,43,"Carl Pettersson",86,NA,67776,74,NA,NA,"AverageDistanceofPuttsmade",2009
45,45,"Nathan Green",104,NA,84222,92,NA,NA,"AverageDistanceofPuttsmade",2009
46,46,"Nick Watney",86,NA,62098,68,NA,NA,"AverageDistanceofPuttsmade",2009
47,47,"Sean OHair",80,NA,52899,58,NA,NA,"AverageDistanceofPuttsmade",2009
48,48,"Aron Price",89,NA,70160,77,NA,NA,"AverageDistanceofPuttsmade",2009
