"RyderCupWorldPoints_RANKTHISWEEK_2015","RyderCupWorldPoints_RANKLASTWEEK_2015","RyderCupWorldPoints_PLAYERNAME_2015","RyderCupWorldPoints__2015","RyderCupWorldPoints_POINTS_2015","stat_name","year"
1,1,"Henrik Stenson",NA,77.69,"RyderCupWorldPoints",2015
2,2,"Thorbjorn Olesen",NA,44,"RyderCupWorldPoints",2015
3,38,"Matthew Fitzpatrick",NA,41.59,"RyderCupWorldPoints",2015
4,3,"Lee Slattery",NA,39.37,"RyderCupWorldPoints",2015
5,4,"Justin Rose",NA,31.85,"RyderCupWorldPoints",2015
6,5,"Rikard Karlberg",NA,31.09,"RyderCupWorldPoints",2015
7,13,"Soren Kjeldsen",NA,28.14,"RyderCupWorldPoints",2015
8,6,"Rory McIlroy",NA,26.05,"RyderCupWorldPoints",2015
9,7,"Thomas Pieters",NA,24,"RyderCupWorldPoints",2015
10,8,"Graeme Storm",NA,21.34,"RyderCupWorldPoints",2015
11,80,"Shane Lowry",NA,18.29,"RyderCupWorldPoints",2015
12,9,"David Horsey",NA,15.54,"RyderCupWorldPoints",2015
13,10,"Joakim Lagergren",NA,15.09,"RyderCupWorldPoints",2015
14,11,"Martin Kaymer",NA,14.4,"RyderCupWorldPoints",2015
15,20,"Chris Wood",NA,14.36,"RyderCupWorldPoints",2015
16,NA,"Benjamin Hebert",NA,13.64,"RyderCupWorldPoints",2015
17,12,"Sebastien Gros",NA,13,"RyderCupWorldPoints",2015
18,15,"Eduardo De La Riva",NA,12,"RyderCupWorldPoints",2015
19,14,"Pelle Edberg",NA,12,"RyderCupWorldPoints",2015
20,16,"Matteo Delpodio",NA,12,"RyderCupWorldPoints",2015
21,28,"Gary Boyd",NA,12,"RyderCupWorldPoints",2015
22,NA,"Tom Murray",NA,12,"RyderCupWorldPoints",2015
23,17,"Bernd Wiesberger",NA,11.6,"RyderCupWorldPoints",2015
24,18,"Lucas Bjerregaard",NA,11.44,"RyderCupWorldPoints",2015
25,19,"Jamie Donaldson",NA,9.96,"RyderCupWorldPoints",2015
26,89,"Luke Donald",NA,9.47,"RyderCupWorldPoints",2015
27,90,"Michael Lorenzo Vera",NA,9.42,"RyderCupWorldPoints",2015
28,21,"Jens Fahrbring",NA,9.29,"RyderCupWorldPoints",2015
29,32,"Peter Hanson",NA,8.78,"RyderCupWorldPoints",2015
30,22,"Ben Evans",NA,8.7,"RyderCupWorldPoints",2015
31,23,"Josh Loughrey",NA,8.6,"RyderCupWorldPoints",2015
32,24,"Magnus Carlsson",NA,8.38,"RyderCupWorldPoints",2015
33,25,"David Drysdale",NA,8.22,"RyderCupWorldPoints",2015
34,26,"Mikko Korhonen",NA,8.05,"RyderCupWorldPoints",2015
35,27,"Mads Sogaard",NA,7.8,"RyderCupWorldPoints",2015
36,52,"Rich Bland",NA,7.76,"RyderCupWorldPoints",2015
37,55,"Tommy Fleetwood",NA,7.66,"RyderCupWorldPoints",2015
38,79,"Anthony Wall",NA,7.55,"RyderCupWorldPoints",2015
39,48,"Romain Wattel",NA,7.21,"RyderCupWorldPoints",2015
40,NA,"Nino Bertasio",NA,7.2,"RyderCupWorldPoints",2015
41,29,"James Morrison",NA,7.02,"RyderCupWorldPoints",2015
42,30,"Bradley Dredge",NA,6.99,"RyderCupWorldPoints",2015
43,40,"Michael Hoey",NA,6.96,"RyderCupWorldPoints",2015
44,46,"Eddie Pepperell",NA,6.72,"RyderCupWorldPoints",2015
45,NA,"Oliver Fisher",NA,6.62,"RyderCupWorldPoints",2015
46,31,"Alejandro Canizares",NA,6.47,"RyderCupWorldPoints",2015
47,50,"Simon Wakefield",NA,6.27,"RyderCupWorldPoints",2015
48,34,"Daan Huizing",NA,6,"RyderCupWorldPoints",2015
49,33,"James Robinson",NA,6,"RyderCupWorldPoints",2015
50,35,"Ross Fisher",NA,5.85,"RyderCupWorldPoints",2015
51,51,"Ian Poulter",NA,5.69,"RyderCupWorldPoints",2015
52,36,"Tapio Pulkkanen",NA,5.6,"RyderCupWorldPoints",2015
53,37,"Danny Willett",NA,5.59,"RyderCupWorldPoints",2015
54,39,"Thomas Linard",NA,5.58,"RyderCupWorldPoints",2015
55,41,"Pablo Martin Benavides",NA,5.52,"RyderCupWorldPoints",2015
56,42,"James Heath",NA,5.52,"RyderCupWorldPoints",2015
57,43,"Oskar Henningsson",NA,5.52,"RyderCupWorldPoints",2015
58,78,"Kristoffer Broberg",NA,5.46,"RyderCupWorldPoints",2015
59,45,"Morten Orum Madsen",NA,5.28,"RyderCupWorldPoints",2015
60,44,"Maximilian Kieffer",NA,5.28,"RyderCupWorldPoints",2015
61,64,"David Howell",NA,5.2,"RyderCupWorldPoints",2015
62,47,"Florian Fritsch",NA,5.19,"RyderCupWorldPoints",2015
63,NA,"Julien Quesne",NA,4.86,"RyderCupWorldPoints",2015
64,49,"Borja Virto Astudillo",NA,4.66,"RyderCupWorldPoints",2015
65,81,"Paul Dunne",NA,4.5,"RyderCupWorldPoints",2015
66,73,"Johan Edfors",NA,4.32,"RyderCupWorldPoints",2015
67,82,"Graeme McDowell",NA,4.28,"RyderCupWorldPoints",2015
68,53,"John Parry",NA,4.2,"RyderCupWorldPoints",2015
69,54,"Eirik Tage Johansen",NA,4.13,"RyderCupWorldPoints",2015
70,NA,"Mark Haastrup",NA,4,"RyderCupWorldPoints",2015
72,57,"Borja Etchart",NA,4,"RyderCupWorldPoints",2015
73,88,"Joost Luiten",NA,3.99,"RyderCupWorldPoints",2015
74,84,"Sam Walker",NA,3.97,"RyderCupWorldPoints",2015
75,58,"Rafa Cabrera Bello",NA,3.92,"RyderCupWorldPoints",2015
76,NA,"Max Orrin",NA,3.9,"RyderCupWorldPoints",2015
77,97,"Simon Griffiths",NA,3.87,"RyderCupWorldPoints",2015
78,59,"Ricardo Santos",NA,3.76,"RyderCupWorldPoints",2015
79,61,"Edouard Dubois",NA,3.76,"RyderCupWorldPoints",2015
80,60,"Sebastian Soderberg",NA,3.76,"RyderCupWorldPoints",2015
81,62,"Callum Shinkwin",NA,3.71,"RyderCupWorldPoints",2015
82,63,"George Murray",NA,3.71,"RyderCupWorldPoints",2015
83,116,"Edouard Espana",NA,3.62,"RyderCupWorldPoints",2015
85,66,"Daniel Lokke",NA,3.6,"RyderCupWorldPoints",2015
86,67,"Javier Colomo",NA,3.56,"RyderCupWorldPoints",2015
87,68,"Scott Jamieson",NA,3.56,"RyderCupWorldPoints",2015
88,NA,"Tyrrell Hatton",NA,3.56,"RyderCupWorldPoints",2015
89,NA,"Robert Karlsson",NA,3.56,"RyderCupWorldPoints",2015
90,NA,"Robert Coles",NA,3.24,"RyderCupWorldPoints",2015
91,69,"Paul Lawrie",NA,3.24,"RyderCupWorldPoints",2015
92,NA,"Garrick Porteous",NA,3.24,"RyderCupWorldPoints",2015
93,70,"Matthew Nixon",NA,3.22,"RyderCupWorldPoints",2015
94,71,"Damien Perrier",NA,3.2,"RyderCupWorldPoints",2015
95,72,"Tom Lewis",NA,3.16,"RyderCupWorldPoints",2015
96,133,"Andrew Johnston",NA,3.07,"RyderCupWorldPoints",2015
97,74,"Joel Sjoholm",NA,3.02,"RyderCupWorldPoints",2015
98,75,"Mikko Ilonen",NA,3,"RyderCupWorldPoints",2015
99,115,"Marc Warren",NA,2.98,"RyderCupWorldPoints",2015
100,77,"Miguel Angel Jimenez",NA,2.88,"RyderCupWorldPoints",2015
101,76,"Roope Kakko",NA,2.88,"RyderCupWorldPoints",2015
102,120,"Francesco Molinari",NA,2.72,"RyderCupWorldPoints",2015
103,NA,"Lee Westwood",NA,2.7,"RyderCupWorldPoints",2015
104,NA,"Alexander Levy",NA,2.7,"RyderCupWorldPoints",2015
105,83,"Stephen Gallacher",NA,2.69,"RyderCupWorldPoints",2015
107,86,"Clement Berardo",NA,2.59,"RyderCupWorldPoints",2015
108,87,"Sergio Garcia",NA,2.56,"RyderCupWorldPoints",2015
109,135,"Gregory Bourdy",NA,2.51,"RyderCupWorldPoints",2015
110,134,"Robert Rock",NA,2.51,"RyderCupWorldPoints",2015
111,143,"Niall Turner",NA,2.44,"RyderCupWorldPoints",2015
112,91,"Bjorn Akesson",NA,2.34,"RyderCupWorldPoints",2015
113,NA,"Ryan Evans",NA,2.28,"RyderCupWorldPoints",2015
114,92,"Nick Dougherty",NA,2.11,"RyderCupWorldPoints",2015
115,94,"Peter Lawrie",NA,2.1,"RyderCupWorldPoints",2015
116,93,"Jason Barnes",NA,2.1,"RyderCupWorldPoints",2015
117,95,"Filippo Bergamaschi",NA,2.07,"RyderCupWorldPoints",2015
118,96,"Ricardo Gouveia",NA,2.07,"RyderCupWorldPoints",2015
119,98,"Seve Benson",NA,1.97,"RyderCupWorldPoints",2015
120,100,"Rhys Davies",NA,1.82,"RyderCupWorldPoints",2015
121,99,"Emilio Cuartero Blanco",NA,1.82,"RyderCupWorldPoints",2015
122,NA,"Steven Tiley",NA,1.8,"RyderCupWorldPoints",2015
123,101,"Chris Doak",NA,1.8,"RyderCupWorldPoints",2015
124,102,"Lasse Jensen",NA,1.8,"RyderCupWorldPoints",2015
125,NA,"Niall Kearney",NA,1.8,"RyderCupWorldPoints",2015
127,104,"James Frazer",NA,1.73,"RyderCupWorldPoints",2015
128,105,"Andy Sullivan",NA,1.68,"RyderCupWorldPoints",2015
130,108,"Raphael Marguery",NA,1.6,"RyderCupWorldPoints",2015
131,112,"Jack Doherty",NA,1.56,"RyderCupWorldPoints",2015
132,113,"Hugues Joannes",NA,1.56,"RyderCupWorldPoints",2015
133,109,"Chris Selfridge",NA,1.56,"RyderCupWorldPoints",2015
134,110,"David Law",NA,1.56,"RyderCupWorldPoints",2015
135,111,"Peter Whiteford",NA,1.56,"RyderCupWorldPoints",2015
136,114,"Soren Hansen",NA,1.54,"RyderCupWorldPoints",2015
137,119,"Gregory Havret",NA,1.53,"RyderCupWorldPoints",2015
138,117,"Raphael Jacquelin",NA,1.53,"RyderCupWorldPoints",2015
139,118,"Bernhard Langer",NA,1.53,"RyderCupWorldPoints",2015
140,121,"Nicolas Colsaerts",NA,1.48,"RyderCupWorldPoints",2015
141,122,"Andrea Pavan",NA,1.44,"RyderCupWorldPoints",2015
142,NA,"Stuart Manley",NA,1.38,"RyderCupWorldPoints",2015
143,123,"Steven Brown",NA,1.38,"RyderCupWorldPoints",2015
144,124,"Chris Hanson",NA,1.38,"RyderCupWorldPoints",2015
145,NA,"Joel Stalter",NA,1.38,"RyderCupWorldPoints",2015
147,126,"Kevin Hesbois",NA,1.32,"RyderCupWorldPoints",2015
148,127,"Victor Dubuisson",NA,1.32,"RyderCupWorldPoints",2015
149,128,"Jerome Lando Casanova",NA,1.3,"RyderCupWorldPoints",2015
150,129,"Matthew Southgate",NA,1.3,"RyderCupWorldPoints",2015
151,130,"Alessandro Tadini",NA,1.28,"RyderCupWorldPoints",2015
152,131,"Brian Davis",NA,1.28,"RyderCupWorldPoints",2015
153,132,"Simon Thornton",NA,1.27,"RyderCupWorldPoints",2015
154,136,"Robert Dinwiddie",NA,1.27,"RyderCupWorldPoints",2015
155,NA,"Padraig Harrington",NA,1.24,"RyderCupWorldPoints",2015
156,138,"Lorenzo Gagli",NA,1.22,"RyderCupWorldPoints",2015
157,137,"Mikael Lundberg",NA,1.22,"RyderCupWorldPoints",2015
158,139,"Jeff Winther",NA,1.22,"RyderCupWorldPoints",2015
159,140,"Lionel Weber",NA,1.21,"RyderCupWorldPoints",2015
160,NA,"Fredrik Andersson Hed",NA,1.2,"RyderCupWorldPoints",2015
161,142,"Jens Dantorp",NA,1.2,"RyderCupWorldPoints",2015
162,141,"Alexander Bjork",NA,1.2,"RyderCupWorldPoints",2015
163,144,"Rhys Enoch",NA,1.2,"RyderCupWorldPoints",2015
166,148,"Andrew McCarthy",NA,1.2,"RyderCupWorldPoints",2015
