"Total3PuttsInside5_RANKTHISWEEK_2005","Total3PuttsInside5_RANKLASTWEEK_2005","Total3PuttsInside5_PLAYERNAME_2005","Total3PuttsInside5_ROUNDS_2005","Total3PuttsInside5_TOTAL3PUTTSINSIDE5_2005","Total3PuttsInside5_TOTAL3PUTTS_2005","stat_name","year"
1,1,"Will Ma Kenzie",75,3,58,"Total3PuttsInside5",2005
2,2,"Mark Brooks",72,2,32,"Total3PuttsInside5",2005
2,2,"Daniel Chopra",108,2,50,"Total3PuttsInside5",2005
2,2,"Brian Davis",75,2,54,"Total3PuttsInside5",2005
2,2,"Dan Forsman",52,2,29,"Total3PuttsInside5",2005
2,2,"Bob Heintz",67,2,34,"Total3PuttsInside5",2005
2,2,"Jerry Kelly",101,2,32,"Total3PuttsInside5",2005
2,2,"JL Lewis",98,2,46,"Total3PuttsInside5",2005
2,2,"Joe Ogilvie",103,2,44,"Total3PuttsInside5",2005
2,2,"Greg Owen",84,2,46,"Total3PuttsInside5",2005
2,2,"John Senden",101,2,41,"Total3PuttsInside5",2005
2,2,"Dean Wilson",86,2,31,"Total3PuttsInside5",2005
13,13,"Steve Allan",102,1,79,"Total3PuttsInside5",2005
13,13,"Chris Anderson",66,1,26,"Total3PuttsInside5",2005
13,13,"Billy Andrade",83,1,37,"Total3PuttsInside5",2005
13,13,"Woody Austin",100,1,59,"Total3PuttsInside5",2005
13,13,"Rich Beem",66,1,29,"Total3PuttsInside5",2005
13,13,"Jason Bohn",91,1,33,"Total3PuttsInside5",2005
13,13,"Danny Briggs",70,1,43,"Total3PuttsInside5",2005
13,13,"Bart Bryant",91,1,36,"Total3PuttsInside5",2005
13,13,"Tom Byrum",83,1,41,"Total3PuttsInside5",2005
13,13,"Jim Carter",62,1,29,"Total3PuttsInside5",2005
13,13,"Alex Cejka",84,1,47,"Total3PuttsInside5",2005
13,13,"Paul Claxton",79,1,35,"Total3PuttsInside5",2005
13,13,"Jose Coceres",56,1,40,"Total3PuttsInside5",2005
13,13,"Gavin Coles",70,1,30,"Total3PuttsInside5",2005
13,13,"Fred Couples",72,1,29,"Total3PuttsInside5",2005
13,13,"Glen Day",80,1,39,"Total3PuttsInside5",2005
13,13,"Chris DiMarco",83,1,20,"Total3PuttsInside5",2005
13,13,"Harrison Frazar",105,1,49,"Total3PuttsInside5",2005
13,13,"Tom Gillis",77,1,37,"Total3PuttsInside5",2005
13,13,"Mathias Gronberg",60,1,49,"Total3PuttsInside5",2005
13,13,"Hunter Haas",83,1,36,"Total3PuttsInside5",2005
13,13,"Todd Hamilton",94,1,32,"Total3PuttsInside5",2005
13,13,"Scott Hend",75,1,63,"Total3PuttsInside5",2005
13,13,"Mark Hensby",70,1,30,"Total3PuttsInside5",2005
13,13,"Tim Herron",100,1,41,"Total3PuttsInside5",2005
13,13,"John Huston",90,1,49,"Total3PuttsInside5",2005
13,13,"Lee Janzen",75,1,40,"Total3PuttsInside5",2005
13,13,"Steve Jones",56,1,29,"Total3PuttsInside5",2005
13,13,"Jonathan Kaye",77,1,35,"Total3PuttsInside5",2005
13,13,"Hank Kuehne",84,1,42,"Total3PuttsInside5",2005
13,13,"Thomas Levet",54,1,37,"Total3PuttsInside5",2005
13,13,"Frank Lickliter II",100,1,52,"Total3PuttsInside5",2005
13,13,"Hunter Mahan",103,1,42,"Total3PuttsInside5",2005
13,13,"Shaun Micheel",81,1,37,"Total3PuttsInside5",2005
13,13,"Larry Mize",54,1,26,"Total3PuttsInside5",2005
13,13,"Mark OMeara",66,1,23,"Total3PuttsInside5",2005
13,13,"Ryan Palmer",101,1,40,"Total3PuttsInside5",2005
13,13,"Brenden Pappas",51,1,24,"Total3PuttsInside5",2005
13,13,"Corey Pavin",77,1,26,"Total3PuttsInside5",2005
13,13,"Pat Perez",89,1,47,"Total3PuttsInside5",2005
13,13,"Tim Petrovic",97,1,43,"Total3PuttsInside5",2005
13,13,"Carl Pettersson",109,1,43,"Total3PuttsInside5",2005
13,13,"DA Points",94,1,52,"Total3PuttsInside5",2005
13,13,"Justin Rose",99,1,54,"Total3PuttsInside5",2005
13,13,"Rory Sabbatini",81,1,38,"Total3PuttsInside5",2005
13,13,"Jeff Sluman",94,1,41,"Total3PuttsInside5",2005
13,13,"Joey Snyder III",102,1,47,"Total3PuttsInside5",2005
13,13,"Kevin Sutherland",89,1,46,"Total3PuttsInside5",2005
13,13,"Kirk Triplett",55,1,19,"Total3PuttsInside5",2005
13,13,"Mike Weir",71,1,27,"Total3PuttsInside5",2005
13,13,"Mark Wilson",74,1,34,"Total3PuttsInside5",2005
