"Total3Putts510_RANKTHISWEEK_2011","Total3Putts510_RANKLASTWEEK_2011","Total3Putts510_PLAYERNAME_2011","Total3Putts510_ROUNDS_2011","Total3Putts510_TOTAL3PUTTS510_2011","Total3Putts510_TOTAL3PUTTS_2011","stat_name","year"
1,1,"Joseph Bramlett",73,5,48,"Total3Putts510",2011
1,1,"Steve Flesch",88,5,36,"Total3Putts510",2011
1,1,"Charley Hoffman",93,5,41,"Total3Putts510",2011
1,1,"Billy Mayfair",94,5,60,"Total3Putts510",2011
1,1,"Zack Miller",86,5,61,"Total3Putts510",2011
1,1,"Jeff Overton",92,5,35,"Total3Putts510",2011
1,1,"Adam Scott",60,5,34,"Total3Putts510",2011
8,8,"Matt Bettencourt",84,4,43,"Total3Putts510",2011
8,8,"Rickie Fowler",84,4,35,"Total3Putts510",2011
8,8,"Tom Gillis",55,4,43,"Total3Putts510",2011
8,8,"Ryuji Imada",83,4,40,"Total3Putts510",2011
8,8,"Brandt Jobe",100,4,56,"Total3Putts510",2011
8,8,"Bio Kim",71,4,37,"Total3Putts510",2011
8,8,"Pat Perez",76,4,41,"Total3Putts510",2011
8,8,"Andres Romero",77,4,36,"Total3Putts510",2011
8,8,"Webb Simpson",98,4,33,"Total3Putts510",2011
8,8,"Kyle Stanley",98,4,56,"Total3Putts510",2011
8,8,"Roland Thatcher",67,4,38,"Total3Putts510",2011
19,19,"Aaron Baddeley",77,3,27,"Total3Putts510",2011
19,19,"Shane Bertsch",62,3,27,"Total3Putts510",2011
19,19,"Alex Cejka",59,3,30,"Total3Putts510",2011
19,19,"Brian Davis",105,3,45,"Total3Putts510",2011
19,19,"Robert Garrigus",83,3,48,"Total3Putts510",2011
19,19,"Fabian Gomez",84,3,43,"Total3Putts510",2011
19,19,"Kevin Kisner",70,3,22,"Total3Putts510",2011
19,19,"Hunter Mahan",92,3,49,"Total3Putts510",2011
19,19,"Phil Mickelson",79,3,34,"Total3Putts510",2011
19,19,"Joe Ogilvie",75,3,29,"Total3Putts510",2011
19,19,"Geoff Ogilvy",69,3,28,"Total3Putts510",2011
19,19,"Martin Piller",63,3,30,"Total3Putts510",2011
19,19,"Justin Rose",79,3,33,"Total3Putts510",2011
19,19,"Kevin Stadler",88,3,43,"Total3Putts510",2011
19,19,"Boo Weekley",66,3,61,"Total3Putts510",2011
