"Par4EagleLeaders_RANKTHISWEEK_2009","Par4EagleLeaders_RANKLASTWEEK_2009","Par4EagleLeaders_PLAYERNAME_2009","Par4EagleLeaders_ROUNDS_2009","Par4EagleLeaders_TOTAL_2009","Par4EagleLeaders_TOTALPAR4HOLES_2009","Par4EagleLeaders_TOTALHOLEOUTS_2009","stat_name","year"
1,1,"Bob Estes",78,4,843,3,"Par4EagleLeaders",2009
1,1,"Jeff Overton",92,4,992,NA,"Par4EagleLeaders",2009
1,1,"Heath Slocum",95,4,1042,4,"Par4EagleLeaders",2009
1,1,"Bubba Watson",73,4,778,4,"Par4EagleLeaders",2009
5,5,"Steve Elkington",70,3,734,3,"Par4EagleLeaders",2009
5,5,"Paul Goydos",79,3,870,2,"Par4EagleLeaders",2009
5,5,"Tim Herron",87,3,950,1,"Par4EagleLeaders",2009
5,5,"Charley Hoffman",97,3,1038,1,"Par4EagleLeaders",2009
5,5,"Zach Johnson",94,3,1016,1,"Par4EagleLeaders",2009
5,5,"Dustin Johnson",85,3,904,2,"Par4EagleLeaders",2009
5,5,"John Merrick",91,3,988,3,"Par4EagleLeaders",2009
5,5,"Greg Owen",97,3,1060,1,"Par4EagleLeaders",2009
5,5,"DA Points",99,3,1068,1,"Par4EagleLeaders",2009
14,14,"Jason Bohn",88,2,946,2,"Par4EagleLeaders",2009
14,14,"Jonathan Byrd",89,2,938,1,"Par4EagleLeaders",2009
14,14,"Chad Campbell",90,2,982,1,"Par4EagleLeaders",2009
14,14,"Stewart Cink",79,2,818,2,"Par4EagleLeaders",2009
14,14,"Ben Crane",93,2,1005,2,"Par4EagleLeaders",2009
14,14,"Ken Duke",87,2,920,2,"Par4EagleLeaders",2009
14,14,"Ernie Els",70,2,726,1,"Par4EagleLeaders",2009
14,14,"Jim Furyk",86,2,898,2,"Par4EagleLeaders",2009
14,14,"Bill Haas",91,2,982,NA,"Par4EagleLeaders",2009
14,14,"JJ Henry",97,2,1074,1,"Par4EagleLeaders",2009
14,14,"Jeff Klauk",97,2,1036,2,"Par4EagleLeaders",2009
14,14,"Marc Leishman",91,2,1000,2,"Par4EagleLeaders",2009
14,14,"Davis Love III",89,2,952,2,"Par4EagleLeaders",2009
14,14,"Bill Lunde",83,2,908,1,"Par4EagleLeaders",2009
14,14,"Steve Marino",98,2,1082,2,"Par4EagleLeaders",2009
14,14,"Troy Matteson",95,2,1024,1,"Par4EagleLeaders",2009
14,14,"George McNeill",82,2,900,NA,"Par4EagleLeaders",2009
14,14,"Sean OHair",80,2,838,1,"Par4EagleLeaders",2009
14,14,"Scott Piercy",85,2,906,1,"Par4EagleLeaders",2009
14,14,"Chez Reavie",81,2,888,2,"Par4EagleLeaders",2009
14,14,"Chris Riley",77,2,844,1,"Par4EagleLeaders",2009
14,14,"Webb Simpson",94,2,1014,2,"Par4EagleLeaders",2009
14,14,"Vijay Singh",71,2,764,1,"Par4EagleLeaders",2009
14,14,"Kevin Sutherland",96,2,1010,NA,"Par4EagleLeaders",2009
14,14,"Camilo Villegas",76,2,785,2,"Par4EagleLeaders",2009
14,14,"Jimmy Walker",74,2,797,2,"Par4EagleLeaders",2009
14,14,"Charles Warren",63,2,668,2,"Par4EagleLeaders",2009
14,14,"Tiger Woods",64,2,676,2,"Par4EagleLeaders",2009
42,42,"Aaron Baddeley",66,1,702,1,"Par4EagleLeaders",2009
42,42,"Briny Baird",89,1,970,1,"Par4EagleLeaders",2009
42,42,"Brian Bateman",55,1,590,1,"Par4EagleLeaders",2009
42,42,"Rich Beem",77,1,826,1,"Par4EagleLeaders",2009
42,42,"Matt Bettencourt",98,1,1058,NA,"Par4EagleLeaders",2009
42,42,"Mark Brooks",55,1,588,1,"Par4EagleLeaders",2009
42,42,"Bart Bryant",58,1,638,1,"Par4EagleLeaders",2009
42,42,"Mark Calcavecchia",72,1,776,NA,"Par4EagleLeaders",2009
42,42,"Greg Chalmers",85,1,926,NA,"Par4EagleLeaders",2009
42,42,"Fred Couples",54,1,582,1,"Par4EagleLeaders",2009
42,42,"Brian Davis",103,1,1126,1,"Par4EagleLeaders",2009
42,42,"Glen Day",79,1,850,NA,"Par4EagleLeaders",2009
42,42,"Jason Day",61,1,654,NA,"Par4EagleLeaders",2009
42,42,"Chris DiMarco",97,1,1066,1,"Par4EagleLeaders",2009
42,42,"Jason Dufner",90,1,968,1,"Par4EagleLeaders",2009
42,42,"Derek Fathauer",63,1,678,1,"Par4EagleLeaders",2009
42,42,"Harrison Frazar",93,1,1022,1,"Par4EagleLeaders",2009
42,42,"Jason Gore",74,1,794,1,"Par4EagleLeaders",2009
42,42,"Nathan Green",104,1,1136,1,"Par4EagleLeaders",2009
42,42,"JB Holmes",74,1,804,1,"Par4EagleLeaders",2009
42,42,"Anthony Kim",76,1,816,1,"Par4EagleLeaders",2009
42,42,"Colt Knost",71,1,762,NA,"Par4EagleLeaders",2009
42,42,"Matt Kuchar",82,1,876,1,"Par4EagleLeaders",2009
42,42,"Martin Laird",72,1,782,1,"Par4EagleLeaders",2009
42,42,"Justin Leonard",95,1,1002,NA,"Par4EagleLeaders",2009
42,42,"Michael Letzig",96,1,1031,1,"Par4EagleLeaders",2009
42,42,"Peter Lonard",86,1,936,1,"Par4EagleLeaders",2009
42,42,"Steve Lowery",83,1,890,1,"Par4EagleLeaders",2009
42,42,"Jarrod Lyle",65,1,700,1,"Par4EagleLeaders",2009
42,42,"Billy Mayfair",83,1,896,1,"Par4EagleLeaders",2009
42,42,"Scott McCarron",91,1,980,1,"Par4EagleLeaders",2009
42,42,"Phil Mickelson",66,1,678,1,"Par4EagleLeaders",2009
42,42,"Ryan Palmer",78,1,838,NA,"Par4EagleLeaders",2009
42,42,"Rod Pampling",72,1,766,1,"Par4EagleLeaders",2009
42,42,"Corey Pavin",73,1,784,1,"Par4EagleLeaders",2009
42,42,"Tom Pernice Jr",82,1,866,1,"Par4EagleLeaders",2009
42,42,"Kenny Perry",92,1,996,1,"Par4EagleLeaders",2009
42,42,"Carl Pettersson",86,1,948,1,"Par4EagleLeaders",2009
42,42,"Ian Poulter",59,1,606,1,"Par4EagleLeaders",2009
42,42,"Rick Price",54,1,568,NA,"Par4EagleLeaders",2009
42,42,"Brett Quigley",92,1,988,1,"Par4EagleLeaders",2009
42,42,"Tag Ridings",50,1,548,1,"Par4EagleLeaders",2009
42,42,"John Rollins",92,1,980,1,"Par4EagleLeaders",2009
42,42,"Andres Romero",58,1,622,NA,"Par4EagleLeaders",2009
42,42,"Justin Rose",71,1,768,1,"Par4EagleLeaders",2009
42,42,"Rory Sabbatini",81,1,866,1,"Par4EagleLeaders",2009
42,42,"Patrick Sheehan",51,1,550,1,"Par4EagleLeaders",2009
42,42,"Brandt Snedeker",81,1,880,1,"Par4EagleLeaders",2009
42,42,"Kevin Stadler",65,1,702,NA,"Par4EagleLeaders",2009
42,42,"Kevin Streelman",97,1,1066,1,"Par4EagleLeaders",2009
42,42,"Steve Stricker",81,1,852,1,"Par4EagleLeaders",2009
42,42,"Chris Stroud",88,1,963,1,"Par4EagleLeaders",2009
42,42,"Vaughn Taylor",88,1,966,1,"Par4EagleLeaders",2009
42,42,"Nicholas Thompson",96,1,1022,1,"Par4EagleLeaders",2009
42,42,"DJ Trahan",96,1,1038,NA,"Par4EagleLeaders",2009
42,42,"Bo Van Pelt",100,1,1076,1,"Par4EagleLeaders",2009
42,42,"Scott Verplank",88,1,980,1,"Par4EagleLeaders",2009
42,42,"Brian Vranesh",51,1,554,NA,"Par4EagleLeaders",2009
42,42,"Matt Weibring",65,1,710,1,"Par4EagleLeaders",2009
42,42,"Charlie Wi",92,1,992,1,"Par4EagleLeaders",2009
42,42,"Dean Wilson",81,1,866,1,"Par4EagleLeaders",2009
42,42,"Mark Wilson",99,1,1074,1,"Par4EagleLeaders",2009
42,42,"YE Yang",83,1,898,1,"Par4EagleLeaders",2009
