"ConsecutivePar3Birdies_RANKTHISWEEK_2016","ConsecutivePar3Birdies_RANKLASTWEEK_2016","ConsecutivePar3Birdies_PLAYERNAME_2016","ConsecutivePar3Birdies_EVENTS_2016","ConsecutivePar3Birdies_NUMBEROFHOLES_2016","stat_name","year"
1,1,"Smylie Kaufman",16,5,"ConsecutivePar3Birdies",2016
2,2,"Jonas Blixt",16,4,"ConsecutivePar3Birdies",2016
2,2,"Jason Bohn",11,4,"ConsecutivePar3Birdies",2016
2,2,"Fabian Gomez",15,4,"ConsecutivePar3Birdies",2016
2,2,"Adam Hadwin",16,4,"ConsecutivePar3Birdies",2016
2,2,"Kevin Na",14,4,"ConsecutivePar3Birdies",2016
2,2,"Greg Owen",18,4,"ConsecutivePar3Birdies",2016
2,2,"Dawie van der Walt",16,4,"ConsecutivePar3Birdies",2016
9,9,"Tyler Aldridge",18,3,"ConsecutivePar3Birdies",2016
9,9,"Aaron Baddeley",15,3,"ConsecutivePar3Birdies",2016
9,9,"Ricky Barnes",18,3,"ConsecutivePar3Birdies",2016
9,9,"Steven Bowditch",14,3,"ConsecutivePar3Birdies",2016
9,9,"Roberto Castro",16,3,"ConsecutivePar3Birdies",2016
9,9,"Alex Cejka",15,3,"ConsecutivePar3Birdies",2016
9,9,"KJ Choi",14,3,"ConsecutivePar3Birdies",2016
9,9,"Stewart Cink",14,3,"ConsecutivePar3Birdies",2016
9,9,"Brice Garnett",9,3,"ConsecutivePar3Birdies",2016
9,9,"Robert Garrigus",11,3,"ConsecutivePar3Birdies",2016
9,9,"Andres Gonzales",17,3,"ConsecutivePar3Birdies",2016
9,49,"Jason Gore",15,3,"ConsecutivePar3Birdies",2016
9,9,"Brandon Hagy",2,3,"ConsecutivePar3Birdies",2016
9,9,"David Hearn",18,3,"ConsecutivePar3Birdies",2016
9,9,"Tim Herron",7,3,"ConsecutivePar3Birdies",2016
9,9,"John Huh",16,3,"ConsecutivePar3Birdies",2016
9,9,"Freddie Jacobson",16,3,"ConsecutivePar3Birdies",2016
9,9,"Zach Johnson",12,3,"ConsecutivePar3Birdies",2016
9,9,"Matt Jones",15,3,"ConsecutivePar3Birdies",2016
9,9,"Jerry Kelly",12,3,"ConsecutivePar3Birdies",2016
9,9,"Whee Kim",18,3,"ConsecutivePar3Birdies",2016
9,9,"Patton Kizzire",16,3,"ConsecutivePar3Birdies",2016
9,9,"Colt Knost",15,3,"ConsecutivePar3Birdies",2016
9,9,"Anirban Lahiri",13,3,"ConsecutivePar3Birdies",2016
9,9,"Shane Lowry",10,3,"ConsecutivePar3Birdies",2016
9,9,"Will Ma Kenzie",17,3,"ConsecutivePar3Birdies",2016
9,9,"Peter Malnati",19,3,"ConsecutivePar3Birdies",2016
9,9,"Troy Merritt",14,3,"ConsecutivePar3Birdies",2016
9,9,"Phil Mickelson",11,3,"ConsecutivePar3Birdies",2016
9,9,"Ryan Moore",11,3,"ConsecutivePar3Birdies",2016
9,9,"Robby Ormand",1,3,"ConsecutivePar3Birdies",2016
9,9,"Jeff Overton",17,3,"ConsecutivePar3Birdies",2016
9,9,"Pat Perez",11,3,"ConsecutivePar3Birdies",2016
9,9,"Scott Pinckney",18,3,"ConsecutivePar3Birdies",2016
9,9,"DA Points",11,3,"ConsecutivePar3Birdies",2016
9,49,"Justin Rose",10,3,"ConsecutivePar3Birdies",2016
9,9,"Xander Schauffele",2,3,"ConsecutivePar3Birdies",2016
9,9,"Justin Thomas",15,3,"ConsecutivePar3Birdies",2016
9,9,"David Toms",11,3,"ConsecutivePar3Birdies",2016
9,9,"Camilo Villegas",16,3,"ConsecutivePar3Birdies",2016
9,9,"Nick Watney",5,3,"ConsecutivePar3Birdies",2016
9,9,"Tim Wilkinson",11,3,"ConsecutivePar3Birdies",2016
51,49,"Thomas Aiken",13,2,"ConsecutivePar3Birdies",2016
51,49,"Robert Allenby",16,2,"ConsecutivePar3Birdies",2016
51,49,"Byeong Hun An",7,2,"ConsecutivePar3Birdies",2016
51,49,"Abraham Ancer",11,2,"ConsecutivePar3Birdies",2016
51,49,"Kiradech Aphibarnrat",5,2,"ConsecutivePar3Birdies",2016
51,49,"Stuart Appleby",13,2,"ConsecutivePar3Birdies",2016
51,49,"Wu Ashun",1,2,"ConsecutivePar3Birdies",2016
51,49,"Eric Axley",3,2,"ConsecutivePar3Birdies",2016
51,49,"Blayne Barber",16,2,"ConsecutivePar3Birdies",2016
51,49,"Cameron Beckman",7,2,"ConsecutivePar3Birdies",2016
51,49,"Daniel Berger",15,2,"ConsecutivePar3Birdies",2016
51,49,"Shane Bertsch",9,2,"ConsecutivePar3Birdies",2016
51,49,"Zac Blair",18,2,"ConsecutivePar3Birdies",2016
51,49,"Ryan Blaum",1,2,"ConsecutivePar3Birdies",2016
51,49,"Keegan Bradley",14,2,"ConsecutivePar3Birdies",2016
51,49,"Scott Brown",17,2,"ConsecutivePar3Birdies",2016
51,49,"Bronson Burgoon",17,2,"ConsecutivePar3Birdies",2016
51,49,"Angel Cabrera",13,2,"ConsecutivePar3Birdies",2016
51,49,"Chad Campbell",18,2,"ConsecutivePar3Birdies",2016
51,49,"Rafael Campos",2,2,"ConsecutivePar3Birdies",2016
51,49,"Paul Casey",11,2,"ConsecutivePar3Birdies",2016
51,49,"Rodolfo Cazaubon",3,2,"ConsecutivePar3Birdies",2016
51,49,"Kevin Chappell",14,2,"ConsecutivePar3Birdies",2016
51,49,"Chad Collins",16,2,"ConsecutivePar3Birdies",2016
51,49,"Austin Connelly",3,2,"ConsecutivePar3Birdies",2016
51,49,"Austin Cook",1,2,"ConsecutivePar3Birdies",2016
51,49,"Ben Crane",17,2,"ConsecutivePar3Birdies",2016
51,49,"Jon Curran",18,2,"ConsecutivePar3Birdies",2016
51,49,"Brendon de Jonge",19,2,"ConsecutivePar3Birdies",2016
51,49,"Graham DeLaet",14,2,"ConsecutivePar3Birdies",2016
51,49,"Andrew Dodt",2,2,"ConsecutivePar3Birdies",2016
51,49,"Jamie Donaldson",8,2,"ConsecutivePar3Birdies",2016
51,49,"Jason Dufner",15,2,"ConsecutivePar3Birdies",2016
51,49,"Ken Duke",9,2,"ConsecutivePar3Birdies",2016
51,233,"Ernie Els",10,2,"ConsecutivePar3Birdies",2016
51,49,"Harris English",15,2,"ConsecutivePar3Birdies",2016
51,233,"Derek Ernst",12,2,"ConsecutivePar3Birdies",2016
51,49,"Matt Every",14,2,"ConsecutivePar3Birdies",2016
51,49,"Derek Fathauer",18,2,"ConsecutivePar3Birdies",2016
51,49,"Gonzalo Fdez Castano",2,2,"ConsecutivePar3Birdies",2016
51,49,"Tony Finau",15,2,"ConsecutivePar3Birdies",2016
51,49,"Ross Fisher",2,2,"ConsecutivePar3Birdies",2016
51,49,"Matthew Fitzpatrick",7,2,"ConsecutivePar3Birdies",2016
51,49,"Steve Flesch",3,2,"ConsecutivePar3Birdies",2016
51,49,"Rickie Fowler",12,2,"ConsecutivePar3Birdies",2016
51,49,"Fred Funk",4,2,"ConsecutivePar3Birdies",2016
51,49,"Tommy Gainey",4,2,"ConsecutivePar3Birdies",2016
51,49,"Sergio Garcia",8,2,"ConsecutivePar3Birdies",2016
51,49,"Brian Gay",8,2,"ConsecutivePar3Birdies",2016
51,49,"Rhein Gibson",13,2,"ConsecutivePar3Birdies",2016
51,49,"Tom Gillis",7,2,"ConsecutivePar3Birdies",2016
51,49,"Lucas Glover",16,2,"ConsecutivePar3Birdies",2016
51,49,"Retief Goosen",10,2,"ConsecutivePar3Birdies",2016
51,49,"Emiliano Grillo",13,2,"ConsecutivePar3Birdies",2016
51,49,"Bill Haas",12,2,"ConsecutivePar3Birdies",2016
51,49,"Chesson Hadley",16,2,"ConsecutivePar3Birdies",2016
51,49,"James Hahn",15,2,"ConsecutivePar3Birdies",2016
51,49,"Brian Harman",18,2,"ConsecutivePar3Birdies",2016
51,49,"Padraig Harrington",11,2,"ConsecutivePar3Birdies",2016
51,49,"JJ Henry",14,2,"ConsecutivePar3Birdies",2016
51,49,"Jim Herman",17,2,"ConsecutivePar3Birdies",2016
51,49,"Justin Hicks",10,2,"ConsecutivePar3Birdies",2016
51,49,"Charley Hoffman",14,2,"ConsecutivePar3Birdies",2016
51,49,"Morgan Hoffmann",15,2,"ConsecutivePar3Birdies",2016
51,49,"Tom Hoge",15,2,"ConsecutivePar3Birdies",2016
51,49,"JB Holmes",10,2,"ConsecutivePar3Birdies",2016
51,49,"Billy Horschel",12,2,"ConsecutivePar3Birdies",2016
51,49,"Charles Howell III",17,2,"ConsecutivePar3Birdies",2016
51,49,"Ryo Ishikawa",6,2,"ConsecutivePar3Birdies",2016
51,49,"Hiroshi Iwata",18,2,"ConsecutivePar3Birdies",2016
51,49,"Thongchai Jaidee",6,2,"ConsecutivePar3Birdies",2016
51,49,"Sung Kang",16,2,"ConsecutivePar3Birdies",2016
51,49,"Martin Kaymer",6,2,"ConsecutivePar3Birdies",2016
51,49,"KT Kim",2,2,"ConsecutivePar3Birdies",2016
51,49,"Si Woo Kim",19,2,"ConsecutivePar3Birdies",2016
51,49,"Michael Kim",18,2,"ConsecutivePar3Birdies",2016
51,49,"Kevin Kisner",14,2,"ConsecutivePar3Birdies",2016
51,49,"Soren Kjeldsen",5,2,"ConsecutivePar3Birdies",2016
51,49,"Russell Knox",14,2,"ConsecutivePar3Birdies",2016
51,49,"Jason Kokrak",17,2,"ConsecutivePar3Birdies",2016
51,49,"Kelly Kraft",12,2,"ConsecutivePar3Birdies",2016
51,49,"Matt Kuchar",12,2,"ConsecutivePar3Birdies",2016
51,49,"Martin Laird",13,2,"ConsecutivePar3Birdies",2016
51,49,"Andrew Landry",9,2,"ConsecutivePar3Birdies",2016
51,49,"Scott Langley",13,2,"ConsecutivePar3Birdies",2016
51,49,"DH Lee",13,2,"ConsecutivePar3Birdies",2016
51,49,"Danny Lee",16,2,"ConsecutivePar3Birdies",2016
51,49,"Richard Lee",2,2,"ConsecutivePar3Birdies",2016
51,49,"Lucas Lee",9,2,"ConsecutivePar3Birdies",2016
51,49,"Marc Leishman",12,2,"ConsecutivePar3Birdies",2016
51,49,"Justin Leonard",8,2,"ConsecutivePar3Birdies",2016
51,49,"Ben Leong",1,2,"ConsecutivePar3Birdies",2016
51,49,"Spencer Levin",19,2,"ConsecutivePar3Birdies",2016
51,49,"Frank Lickliter II",4,2,"ConsecutivePar3Birdies",2016
51,49,"David Lingmerth",15,2,"ConsecutivePar3Birdies",2016
51,49,"Andrew Loupe",16,2,"ConsecutivePar3Birdies",2016
51,49,"Davis Love III",11,2,"ConsecutivePar3Birdies",2016
51,49,"Jamie Lovemark",17,2,"ConsecutivePar3Birdies",2016
51,49,"Jarrod Lyle",7,2,"ConsecutivePar3Birdies",2016
51,49,"Hunter Mahan",14,2,"ConsecutivePar3Birdies",2016
51,49,"Steve Marino",14,2,"ConsecutivePar3Birdies",2016
51,49,"Prayad Marksaeng",1,2,"ConsecutivePar3Birdies",2016
51,49,"Nick Mason",1,2,"ConsecutivePar3Birdies",2016
51,49,"Hideki Matsuyama",12,2,"ConsecutivePar3Birdies",2016
51,49,"Billy Mayfair",3,2,"ConsecutivePar3Birdies",2016
51,49,"Lee McCoy",1,2,"ConsecutivePar3Birdies",2016
51,49,"Graeme McDowell",11,2,"ConsecutivePar3Birdies",2016
51,49,"William McGirt",15,2,"ConsecutivePar3Birdies",2016
51,49,"Rory McIlroy",9,2,"ConsecutivePar3Birdies",2016
