"ConsecutiveHolesBelowPar_RANKTHISWEEK_2007","ConsecutiveHolesBelowPar_RANKLASTWEEK_2007","ConsecutiveHolesBelowPar_PLAYERNAME_2007","ConsecutiveHolesBelowPar_EVENTS_2007","ConsecutiveHolesBelowPar_NUMBEROFHOLES_2007","stat_name","year"
1,1,"Stephen Ames",23,7,"ConsecutiveHolesBelowPar",2007
1,1,"Anthony Kim",26,7,"ConsecutiveHolesBelowPar",2007
1,1,"Brandt Snedeker",29,7,"ConsecutiveHolesBelowPar",2007
1,1,"Mark Wilson",25,7,"ConsecutiveHolesBelowPar",2007
5,5,"Bob Estes",28,6,"ConsecutiveHolesBelowPar",2007
5,5,"Jeff Maggert",26,6,"ConsecutiveHolesBelowPar",2007
5,5,"David Toms",22,6,"ConsecutiveHolesBelowPar",2007
5,5,"Tiger Woods",16,6,"ConsecutiveHolesBelowPar",2007
9,9,"Tommy Armour III",24,5,"ConsecutiveHolesBelowPar",2007
9,9,"Arjun Atwal",12,5,"ConsecutiveHolesBelowPar",2007
9,9,"Woody Austin",27,5,"ConsecutiveHolesBelowPar",2007
9,9,"Jason Bohn",17,5,"ConsecutiveHolesBelowPar",2007
9,9,"Craig Bowden",25,5,"ConsecutiveHolesBelowPar",2007
9,9,"Jeff Brehaut",21,5,"ConsecutiveHolesBelowPar",2007
9,9,"Chad Campbell",28,5,"ConsecutiveHolesBelowPar",2007
9,9,"KJ Choi",25,5,"ConsecutiveHolesBelowPar",2007
9,9,"Jose Coceres",17,5,"ConsecutiveHolesBelowPar",2007
9,9,"John Daly",24,5,"ConsecutiveHolesBelowPar",2007
9,9,"Jason Dufner",32,5,"ConsecutiveHolesBelowPar",2007
9,9,"David Duval",7,5,"ConsecutiveHolesBelowPar",2007
9,9,"Ernie Els",16,5,"ConsecutiveHolesBelowPar",2007
9,9,"Steve Flesch",31,5,"ConsecutiveHolesBelowPar",2007
9,9,"Robert Gamez",30,5,"ConsecutiveHolesBelowPar",2007
9,9,"Robert Garrigus",28,5,"ConsecutiveHolesBelowPar",2007
9,9,"Tom Gillis",3,5,"ConsecutiveHolesBelowPar",2007
9,9,"Jason Gore",27,5,"ConsecutiveHolesBelowPar",2007
9,9,"Paul Goydos",19,5,"ConsecutiveHolesBelowPar",2007
9,9,"JP Hayes",28,5,"ConsecutiveHolesBelowPar",2007
9,9,"Charley Hoffman",30,5,"ConsecutiveHolesBelowPar",2007
9,9,"JB Holmes",24,5,"ConsecutiveHolesBelowPar",2007
9,9,"Freddie Jacobson",20,5,"ConsecutiveHolesBelowPar",2007
9,9,"Craig Kanada",34,5,"ConsecutiveHolesBelowPar",2007
9,9,"Danny King",1,5,"ConsecutiveHolesBelowPar",2007
9,9,"Brad Lardon",3,5,"ConsecutiveHolesBelowPar",2007
9,9,"Stephen Leaney",26,5,"ConsecutiveHolesBelowPar",2007
9,9,"Jarrod Lyle",24,5,"ConsecutiveHolesBelowPar",2007
9,9,"Daisuke Maruyama",28,5,"ConsecutiveHolesBelowPar",2007
9,9,"Parker McLachlin",28,5,"ConsecutiveHolesBelowPar",2007
9,9,"Phil Mickelson",22,5,"ConsecutiveHolesBelowPar",2007
9,9,"Ryan Moore",28,5,"ConsecutiveHolesBelowPar",2007
9,9,"Kevin Na",27,5,"ConsecutiveHolesBelowPar",2007
9,9,"Jose Maria Olazabal",16,5,"ConsecutiveHolesBelowPar",2007
9,9,"Tom Pernice Jr",31,5,"ConsecutiveHolesBelowPar",2007
9,9,"Dicky Pride",25,5,"ConsecutiveHolesBelowPar",2007
9,9,"Michael Putnam",29,5,"ConsecutiveHolesBelowPar",2007
9,9,"Adam Scott",19,5,"ConsecutiveHolesBelowPar",2007
