"DrivingPct240260Measured_RANKTHISWEEK_2007","DrivingPct240260Measured_RANKLASTWEEK_2007","DrivingPct240260Measured_PLAYERNAME_2007","DrivingPct240260Measured_ROUNDS_2007","DrivingPct240260Measured_Pct_2007","DrivingPct240260Measured_TOTALDRIVESFOR240260_2007","DrivingPct240260Measured_TOTALDRVSOVERALL_2007","DrivingPct240260Measured_RELATIVETOPAR_2007","stat_name","year"
1,1,"Gavin Coles",87,31.93,53,166,-0.04,"DrivingPct240260Measured",2007
2,2,"Brian Gay",107,28.64,59,206,0.14,"DrivingPct240260Measured",2007
3,3,"Corey Pavin",81,24.68,38,154,-0.08,"DrivingPct240260Measured",2007
4,4,"Paul Goydos",60,24.53,26,106,0.12,"DrivingPct240260Measured",2007
5,5,"Mark Brooks",53,23.4,22,94,0.18,"DrivingPct240260Measured",2007
6,6,"Fred Funk",65,22.64,24,106,0.08,"DrivingPct240260Measured",2007
7,7,"Craig Bowden",78,22.37,34,152,0.03,"DrivingPct240260Measured",2007
8,8,"Dean Wilson",92,20.12,33,164,0.3,"DrivingPct240260Measured",2007
9,9,"Michael Boyd",61,19.3,22,114,0.18,"DrivingPct240260Measured",2007
10,10,"Doug LaBelle II",104,19,38,200,0.11,"DrivingPct240260Measured",2007
11,11,"Jose Maria Olazabal",52,18.75,15,80,0.07,"DrivingPct240260Measured",2007
12,12,"Kirk Triplett",77,18.67,28,150,-0.11,"DrivingPct240260Measured",2007
13,13,"Craig Kanada",109,17.48,36,206,0.08,"DrivingPct240260Measured",2007
14,14,"Zach Johnson",76,17.21,21,122,0,"DrivingPct240260Measured",2007
15,15,"Jose Coceres",50,17.05,15,88,0.2,"DrivingPct240260Measured",2007
16,16,"Stephen Leaney",82,16.88,27,160,0.07,"DrivingPct240260Measured",2007
17,17,"Jerry Kelly",101,16.87,28,166,0.18,"DrivingPct240260Measured",2007
18,18,"Shigeki Maruyama",84,16.27,27,166,0.19,"DrivingPct240260Measured",2007
19,19,"Paul Gow",70,15.91,21,132,0.19,"DrivingPct240260Measured",2007
20,20,"Matt Kuchar",85,15.82,25,158,-0.16,"DrivingPct240260Measured",2007
21,21,"Rocco Mediate",72,15.49,22,142,-0.09,"DrivingPct240260Measured",2007
22,22,"Scott Verplank",82,15.38,20,130,-0.15,"DrivingPct240260Measured",2007
23,23,"Stephen Ames",81,15.08,19,126,0.11,"DrivingPct240260Measured",2007
24,24,"Tim Clark",66,14.81,16,108,-0.13,"DrivingPct240260Measured",2007
25,25,"Ben Curtis",80,14.71,20,136,0.3,"DrivingPct240260Measured",2007
26,26,"Chris DiMarco",79,14.62,19,130,0.11,"DrivingPct240260Measured",2007
27,27,"Brian Davis",101,14.43,28,194,0.36,"DrivingPct240260Measured",2007
28,28,"Nick OHern",72,14.29,16,112,0.25,"DrivingPct240260Measured",2007
29,29,"Dicky Pride",71,14.18,19,134,0.16,"DrivingPct240260Measured",2007
30,30,"Tom Pernice Jr",104,14.13,26,184,0.19,"DrivingPct240260Measured",2007
31,31,"John Mallinger",96,14.06,27,192,0.22,"DrivingPct240260Measured",2007
32,32,"Jim Furyk",84,13.97,19,136,0,"DrivingPct240260Measured",2007
33,33,"Richard Johnson",93,13.74,25,182,0.2,"DrivingPct240260Measured",2007
34,34,"Bob Estes",88,13.69,23,168,-0.13,"DrivingPct240260Measured",2007
34,34,"Robert Gamez",88,13.69,23,168,0,"DrivingPct240260Measured",2007
36,36,"Bart Bryant",87,13.13,21,160,-0.19,"DrivingPct240260Measured",2007
37,37,"Anders Hansen",55,12.82,10,78,0,"DrivingPct240260Measured",2007
38,38,"Glen Day",85,12.35,20,162,0.15,"DrivingPct240260Measured",2007
39,39,"Steve Stricker",81,12.12,16,132,-0.25,"DrivingPct240260Measured",2007
40,40,"KJ Choi",87,11.97,17,142,0,"DrivingPct240260Measured",2007
41,41,"Heath Slocum",101,11.86,23,194,-0.09,"DrivingPct240260Measured",2007
42,42,"Jeff Quinney",95,11.83,22,186,0.09,"DrivingPct240260Measured",2007
43,43,"Chris Riley",59,11.82,13,110,-0.31,"DrivingPct240260Measured",2007
44,44,"Justin Leonard",95,11.8,21,178,0,"DrivingPct240260Measured",2007
45,45,"Bob Heintz",85,11.73,19,162,0.11,"DrivingPct240260Measured",2007
45,45,"Mark Wilson",87,11.73,19,162,0.16,"DrivingPct240260Measured",2007
47,47,"Jeff Maggert",79,11.39,18,158,0.06,"DrivingPct240260Measured",2007
48,48,"Craig Lile",77,11.33,17,150,-0.06,"DrivingPct240260Measured",2007
49,49,"Luke Donald",69,11.32,12,106,0.25,"DrivingPct240260Measured",2007
50,50,"Arron Oberholser",69,11.11,12,108,-0.08,"DrivingPct240260Measured",2007
51,51,"Ryuji Imada",104,10.94,21,192,0.14,"DrivingPct240260Measured",2007
52,52,"Tom Byrum",50,10.87,10,92,0,"DrivingPct240260Measured",2007
53,53,"Steve Elkington",87,10.76,17,158,0.06,"DrivingPct240260Measured",2007
54,54,"Michael Sim",52,10.58,11,104,-0.09,"DrivingPct240260Measured",2007
55,55,"Billy Mayfair",98,10.56,19,180,0.26,"DrivingPct240260Measured",2007
56,56,"Vaughn Taylor",91,10.39,16,154,0,"DrivingPct240260Measured",2007
57,57,"Jeff Brehaut",59,10.38,11,106,0.64,"DrivingPct240260Measured",2007
58,58,"Billy Andrade",88,10.23,18,176,-0.11,"DrivingPct240260Measured",2007
59,59,"Joe Ogilvie",102,9.9,19,192,0.16,"DrivingPct240260Measured",2007
60,60,"Nathan Green",103,9.68,18,186,0.22,"DrivingPct240260Measured",2007
60,60,"Brandt Snedeker",105,9.68,18,186,0,"DrivingPct240260Measured",2007
62,62,"Ken Duke",112,9.62,20,208,0,"DrivingPct240260Measured",2007
63,63,"Tripp Isenhour",86,9.38,15,160,0.27,"DrivingPct240260Measured",2007
63,63,"Jeff Sluman",60,9.38,9,96,0.44,"DrivingPct240260Measured",2007
65,65,"Kent Jones",97,9.28,18,194,0.11,"DrivingPct240260Measured",2007
66,66,"Tom Lehman",62,9.26,10,108,0.5,"DrivingPct240260Measured",2007
67,67,"Ryan Armour",107,9.22,19,206,0.21,"DrivingPct240260Measured",2007
68,68,"Rod Pampling",92,9.21,14,152,0.07,"DrivingPct240260Measured",2007
69,69,"Lee Janzen",66,9.17,11,120,0.09,"DrivingPct240260Measured",2007
70,70,"Tommy Armour III",81,9.09,14,154,-0.14,"DrivingPct240260Measured",2007
71,71,"Chad Campbell",96,8.97,14,156,0.14,"DrivingPct240260Measured",2007
72,72,"Chris Stroud",66,8.87,11,124,0.09,"DrivingPct240260Measured",2007
73,73,"Retief Goosen",50,8.82,6,68,0.17,"DrivingPct240260Measured",2007
74,74,"Jason Bohn",57,8.77,10,114,0.1,"DrivingPct240260Measured",2007
75,75,"David Toms",80,8.73,11,126,-0.18,"DrivingPct240260Measured",2007
76,76,"Shaun Micheel",91,8.55,13,152,-0.23,"DrivingPct240260Measured",2007
77,77,"Johnson Wagner",97,8.42,16,190,0,"DrivingPct240260Measured",2007
78,78,"Steve Flesch",100,8.33,16,192,-0.06,"DrivingPct240260Measured",2007
78,78,"Padraig Harrington",64,8.33,8,96,0.13,"DrivingPct240260Measured",2007
78,78,"Trevor Immelman",74,8.33,9,108,0.33,"DrivingPct240260Measured",2007
78,78,"Jesper Parnevik",88,8.33,14,168,-0.21,"DrivingPct240260Measured",2007
82,82,"Mark Hensby",81,8.23,13,158,0,"DrivingPct240260Measured",2007
83,83,"Jarrod Lyle",77,8.22,12,146,0.08,"DrivingPct240260Measured",2007
83,83,"Joey Sindelar",75,8.22,12,146,0.33,"DrivingPct240260Measured",2007
85,85,"Aaron Baddeley",83,8.09,11,136,0.36,"DrivingPct240260Measured",2007
86,86,"Jay Williamson",50,8,8,100,0.38,"DrivingPct240260Measured",2007
87,87,"Ian Poulter",63,7.95,7,88,0,"DrivingPct240260Measured",2007
87,87,"Charlie Wi",90,7.95,14,176,0.07,"DrivingPct240260Measured",2007
89,89,"Cliff Kresge",107,7.94,17,214,0.18,"DrivingPct240260Measured",2007
90,90,"Freddie Jacobson",70,7.86,11,140,0.09,"DrivingPct240260Measured",2007
91,91,"Jeff Gove",103,7.77,16,206,0.19,"DrivingPct240260Measured",2007
92,92,"Tim Petrovic",106,7.69,16,208,-0.06,"DrivingPct240260Measured",2007
93,93,"Darron Stiles",65,7.63,9,118,0,"DrivingPct240260Measured",2007
94,94,"Parker McLachlin",83,7.59,12,158,0.17,"DrivingPct240260Measured",2007
95,95,"Duffy Waldorf",69,7.46,10,134,0,"DrivingPct240260Measured",2007
96,96,"JP Hayes",89,7.3,13,178,0.08,"DrivingPct240260Measured",2007
97,97,"David Branshaw",83,7.23,12,166,0.08,"DrivingPct240260Measured",2007
98,98,"Joe Durant",88,7.14,11,154,0.09,"DrivingPct240260Measured",2007
98,98,"Frank Lickliter II",95,7.14,13,182,0.46,"DrivingPct240260Measured",2007
100,100,"Cameron Beckman",96,7.07,13,184,0.08,"DrivingPct240260Measured",2007
101,101,"Marco Dawson",73,7.04,10,142,0,"DrivingPct240260Measured",2007
102,102,"Tim Herron",98,6.98,12,172,0.58,"DrivingPct240260Measured",2007
103,103,"Hunter Mahan",91,6.96,11,158,0,"DrivingPct240260Measured",2007
104,104,"Andrew Buckle",77,6.85,10,146,0.3,"DrivingPct240260Measured",2007
105,105,"Eric Axley",107,6.8,14,206,0.29,"DrivingPct240260Measured",2007
106,106,"Jason Dufner",100,6.77,13,192,0.54,"DrivingPct240260Measured",2007
107,107,"Steve Lowery",74,6.76,10,148,0.5,"DrivingPct240260Measured",2007
108,108,"Jonathan Byrd",73,6.72,9,134,0.56,"DrivingPct240260Measured",2007
109,109,"Carl Pettersson",111,6.63,13,196,0.08,"DrivingPct240260Measured",2007
110,110,"Chris Couch",76,6.58,10,152,-0.3,"DrivingPct240260Measured",2007
111,111,"Kevin Na",84,6.55,11,168,0.09,"DrivingPct240260Measured",2007
112,112,"Steve Wheatcroft",73,6.52,9,138,0.22,"DrivingPct240260Measured",2007
113,113,"Bryce Molder",56,6.48,7,108,-0.14,"DrivingPct240260Measured",2007
114,114,"Michael Putnam",96,6.4,11,172,0,"DrivingPct240260Measured",2007
114,114,"Vijay Singh",102,6.4,11,172,-0.27,"DrivingPct240260Measured",2007
116,116,"Tom Johnson",74,6.25,9,144,0.22,"DrivingPct240260Measured",2007
116,116,"Sean OHair",98,6.25,11,176,0.36,"DrivingPct240260Measured",2007
118,118,"Peter Lonard",85,6.21,10,161,0.2,"DrivingPct240260Measured",2007
119,119,"Woody Austin",95,6.18,11,178,-0.18,"DrivingPct240260Measured",2007
119,119,"John Rollins",102,6.18,11,178,0.27,"DrivingPct240260Measured",2007
121,121,"Troy Matteson",87,6.17,10,162,0.2,"DrivingPct240260Measured",2007
122,122,"Stewart Cink",91,6.08,9,148,0,"DrivingPct240260Measured",2007
123,123,"Todd Hamilton",76,6.06,8,132,0.63,"DrivingPct240260Measured",2007
124,124,"Tag Ridings",52,6,6,100,0.17,"DrivingPct240260Measured",2007
125,125,"DJ Brigman",67,5.93,7,118,-0.14,"DrivingPct240260Measured",2007
126,126,"Briny Baird",115,5.86,13,222,0.38,"DrivingPct240260Measured",2007
127,127,"Will Ma Kenzie",100,5.73,11,192,0.18,"DrivingPct240260Measured",2007
128,128,"Michael Allen",74,5.71,8,140,0.13,"DrivingPct240260Measured",2007
129,129,"JJ Henry",86,5.63,8,142,-0.25,"DrivingPct240260Measured",2007
130,130,"Brendon de Jonge",76,5.56,8,144,0.13,"DrivingPct240260Measured",2007
130,130,"Henrik Stenson",52,5.56,4,72,0.75,"DrivingPct240260Measured",2007
132,132,"Brett Quigley",79,5.3,7,132,-0.14,"DrivingPct240260Measured",2007
133,133,"Bob Tway",103,5.26,10,190,0.1,"DrivingPct240260Measured",2007
134,134,"Rich Barcelo",80,5.13,8,156,0.5,"DrivingPct240260Measured",2007
135,135,"Phil Mickelson",73,5.08,6,118,-0.33,"DrivingPct240260Measured",2007
136,136,"Ryan Palmer",91,5.06,9,178,0.11,"DrivingPct240260Measured",2007
137,137,"Daisuke Maruyama",86,4.88,8,164,0.25,"DrivingPct240260Measured",2007
138,138,"Davis Love III",66,4.55,5,110,0.4,"DrivingPct240260Measured",2007
138,138,"Jim Rutledge",59,4.55,5,110,0.4,"DrivingPct240260Measured",2007
138,138,"Chris Tidland",59,4.55,5,110,-0.6,"DrivingPct240260Measured",2007
138,138,"Tiger Woods",63,4.55,4,88,0.75,"DrivingPct240260Measured",2007
142,142,"Alex Cejka",80,4.49,7,156,0.14,"DrivingPct240260Measured",2007
142,142,"John Senden",97,4.49,8,178,0.5,"DrivingPct240260Measured",2007
144,144,"Rory Sabbatini",81,4.48,6,134,0.33,"DrivingPct240260Measured",2007
144,144,"Mike Weir",82,4.48,6,134,0.33,"DrivingPct240260Measured",2007
146,146,"Mark Calcavecchia",93,4.43,7,158,0,"DrivingPct240260Measured",2007
146,146,"Greg Owen",81,4.43,7,158,0.43,"DrivingPct240260Measured",2007
148,148,"Robert Allenby",90,4.32,7,162,0.29,"DrivingPct240260Measured",2007
149,149,"Jeff Overton",60,4.31,5,116,0.2,"DrivingPct240260Measured",2007
150,150,"Steve Allan",63,4.24,5,118,0.2,"DrivingPct240260Measured",2007
151,151,"DJ Trahan",99,4.12,8,194,0,"DrivingPct240260Measured",2007
152,152,"Kevin Stadler",95,4.02,7,174,0.29,"DrivingPct240260Measured",2007
153,153,"Geoff Ogilvy",84,3.91,5,128,0.2,"DrivingPct240260Measured",2007
154,154,"Rich Beem",89,3.9,6,154,0.5,"DrivingPct240260Measured",2007
154,154,"Kevin Sutherland",85,3.9,6,154,0,"DrivingPct240260Measured",2007
156,156,"Craig Barlow",52,3.85,4,104,0.5,"DrivingPct240260Measured",2007
157,157,"John Daly",59,3.77,4,106,0.25,"DrivingPct240260Measured",2007
158,158,"Ted Purdy",102,3.65,7,192,0.29,"DrivingPct240260Measured",2007
159,159,"Lucas Glover",98,3.61,6,166,0.17,"DrivingPct240260Measured",2007
160,160,"Sergio Garcia",68,3.57,4,112,0.25,"DrivingPct240260Measured",2007
160,160,"Ryan Moore",92,3.57,6,168,0.17,"DrivingPct240260Measured",2007
160,160,"Pat Perez",84,3.57,5,140,0,"DrivingPct240260Measured",2007
163,163,"Justin Rose",63,3.49,3,86,-0.33,"DrivingPct240260Measured",2007
164,164,"John Merrick",92,3.41,6,176,0,"DrivingPct240260Measured",2007
165,165,"Stuart Appleby",74,3.39,4,118,0,"DrivingPct240260Measured",2007
165,165,"Jason Schultz",63,3.39,4,118,-0.25,"DrivingPct240260Measured",2007
167,167,"Brett Wetterich",88,3.33,5,150,0.2,"DrivingPct240260Measured",2007
168,168,"Mathew Goggin",97,3.23,6,186,0.17,"DrivingPct240260Measured",2007
169,169,"Brian Bateman",55,3.19,3,94,0,"DrivingPct240260Measured",2007
170,170,"Paul Stankowski",52,3.13,3,96,0.67,"DrivingPct240260Measured",2007
171,171,"Jaco Van Zyl",51,3.06,3,98,0.33,"DrivingPct240260Measured",2007
172,172,"Steve Marino",106,3,6,200,-0.17,"DrivingPct240260Measured",2007
173,173,"Charles Warren",101,2.97,6,202,0.5,"DrivingPct240260Measured",2007
174,174,"Bo Van Pelt",104,2.94,6,204,0.33,"DrivingPct240260Measured",2007
174,174,"Boo Weekley",101,2.94,5,170,0,"DrivingPct240260Measured",2007
176,176,"Kyle Reifers",71,2.9,4,138,0,"DrivingPct240260Measured",2007
177,177,"George McNeill",95,2.87,5,174,0.2,"DrivingPct240260Measured",2007
178,178,"Bill Haas",93,2.81,5,178,0.4,"DrivingPct240260Measured",2007
179,179,"Camilo Villegas",82,2.78,4,144,-0.25,"DrivingPct240260Measured",2007
180,180,"Kenny Perry",83,2.53,4,158,0.75,"DrivingPct240260Measured",2007
180,180,"Nick Watney",87,2.53,4,158,0,"DrivingPct240260Measured",2007
182,182,"Harrison Frazar",88,2.44,4,164,0.25,"DrivingPct240260Measured",2007
