"DrivingPctMeasured_RANKTHISWEEK_2011","DrivingPctMeasured_RANKLASTWEEK_2011","DrivingPctMeasured_PLAYERNAME_2011","DrivingPctMeasured_ROUNDS_2011","DrivingPctMeasured_Pct_2011","DrivingPctMeasured_TOTALDRIVESFOR_2011","DrivingPctMeasured_TOTALDRVSOVERALL_2011","DrivingPctMeasured_RELATIVETOPAR_2011","stat_name","year"
1,1,"Nick OHern",89,5.42,9,166,0.33,"DrivingPctMeasured",2011
2,2,"Kevin Na",84,5.13,8,156,0.25,"DrivingPctMeasured",2011
3,3,"Justin Leonard",82,5,8,160,0.63,"DrivingPctMeasured",2011
4,4,"Nathan Green",81,4.67,7,150,0.14,"DrivingPctMeasured",2011
5,5,"JP Hayes",56,4.63,5,108,0,"DrivingPctMeasured",2011
6,6,"Jason Bohn",74,4.41,6,136,0.33,"DrivingPctMeasured",2011
7,7,"Steve Flesch",88,4.17,7,168,0.29,"DrivingPctMeasured",2011
8,8,"Anthony Kim",72,4.1,5,122,0.8,"DrivingPctMeasured",2011
9,9,"Michael Connell",76,3.95,6,152,1,"DrivingPctMeasured",2011
10,10,"Aron Price",58,3.85,4,104,0.25,"DrivingPctMeasured",2011
11,11,"Paul Goydos",81,3.7,6,162,0.33,"DrivingPctMeasured",2011
12,12,"Brian Gay",90,3.66,6,164,0.17,"DrivingPctMeasured",2011
13,13,"Matt Bettencourt",84,3.57,6,168,0.17,"DrivingPctMeasured",2011
14,14,"Kent Jones",76,3.52,5,142,0.2,"DrivingPctMeasured",2011
15,15,"Chris Riley",76,3.47,5,144,0.6,"DrivingPctMeasured",2011
16,16,"Daniel Summerhays",75,3.42,5,146,0.8,"DrivingPctMeasured",2011
17,17,"Trevor Immelman",84,3.38,5,148,0.4,"DrivingPctMeasured",2011
18,18,"Chris DiMarco",93,3.37,6,178,0,"DrivingPctMeasured",2011
19,19,"Robert Allenby",84,3.33,5,150,0,"DrivingPctMeasured",2011
20,20,"Ernie Els",71,3.28,4,122,0,"DrivingPctMeasured",2011
21,21,"Vijay Singh",79,3.25,5,154,0.2,"DrivingPctMeasured",2011
22,22,"Dean Wilson",62,3.23,4,124,-0.5,"DrivingPctMeasured",2011
23,23,"Matt Kuchar",94,3.21,5,156,0,"DrivingPctMeasured",2011
24,24,"YE Yang",63,3.19,3,94,0.33,"DrivingPctMeasured",2011
25,25,"Jarrod Lyle",83,3.16,5,158,0.4,"DrivingPctMeasured",2011
26,26,"Kevin Kisner",70,3.13,4,128,0.5,"DrivingPctMeasured",2011
26,26,"Bryce Molder",82,3.13,5,160,-0.2,"DrivingPctMeasured",2011
28,28,"Sean OHair",71,3.03,4,132,0.25,"DrivingPctMeasured",2011
29,29,"Ryuji Imada",83,3.01,5,166,-0.2,"DrivingPctMeasured",2011
29,29,"Tim Petrovic",88,3.01,5,166,1.2,"DrivingPctMeasured",2011
31,31,"Greg Chalmers",88,2.98,5,168,-0.4,"DrivingPctMeasured",2011
32,32,"Briny Baird",60,2.88,3,104,1,"DrivingPctMeasured",2011
33,33,"Alex Cejka",59,2.83,3,106,0.67,"DrivingPctMeasured",2011
34,34,"Kris Blanks",92,2.78,5,180,0.2,"DrivingPctMeasured",2011
35,35,"Shaun Micheel",77,2.74,4,146,0.75,"DrivingPctMeasured",2011
36,36,"Jason Dufner",78,2.7,4,148,0,"DrivingPctMeasured",2011
37,37,"Graeme McDowell",50,2.56,2,78,0,"DrivingPctMeasured",2011
38,38,"Chris Stroud",88,2.38,4,168,0,"DrivingPctMeasured",2011
39,39,"Bio Kim",71,2.31,3,130,0.33,"DrivingPctMeasured",2011
