"LeftRoughTendency_RANKTHISWEEK_2013","LeftRoughTendency_RANKLASTWEEK_2013","LeftRoughTendency_PLAYERNAME_2013","LeftRoughTendency_ROUNDS_2013","LeftRoughTendency_Pct_2013","LeftRoughTendency_TOTALLEFTROUGH_2013","LeftRoughTendency_POSSIBLEFWYS_2013","LeftRoughTendency_RELATIVETOPAR_2013","stat_name","year"
1,1,"Ken Duke",87,8.05,84,1043,0.1,"LeftRoughTendency",2013
2,2,"DH Lee",65,8.63,69,800,0.03,"LeftRoughTendency",2013
3,3,"Bryce Molder",82,8.86,87,982,0.11,"LeftRoughTendency",2013
4,4,"Steve Stricker",51,9.18,45,490,0,"LeftRoughTendency",2013
5,5,"Darron Stiles",51,9.28,54,582,0.22,"LeftRoughTendency",2013
6,6,"Mark Wilson",56,9.48,66,696,-0.03,"LeftRoughTendency",2013
7,7,"George McNeill",68,9.67,86,889,0.1,"LeftRoughTendency",2013
8,8,"Tiger Woods",61,9.78,58,593,-0.1,"LeftRoughTendency",2013
9,9,"John Huh",88,9.91,104,1049,0.07,"LeftRoughTendency",2013
10,10,"Graeme McDowell",53,10.04,52,518,0.06,"LeftRoughTendency",2013
11,11,"Jordan Spieth",82,10.11,94,930,0.03,"LeftRoughTendency",2013
12,12,"Roberto Castro",97,10.15,118,1163,-0.01,"LeftRoughTendency",2013
13,13,"Hunter Mahan",91,10.2,97,951,0.08,"LeftRoughTendency",2013
14,14,"Justin Hicks",79,10.26,94,916,0.17,"LeftRoughTendency",2013
15,15,"Jim Furyk",80,10.35,92,889,0.13,"LeftRoughTendency",2013
16,16,"Rod Pampling",46,10.45,51,488,0.27,"LeftRoughTendency",2013
17,17,"Scott Langley",79,10.56,94,890,0.06,"LeftRoughTendency",2013
18,18,"Ben Kohles",75,10.63,91,856,0.18,"LeftRoughTendency",2013
19,19,"Tim Clark",64,10.7,64,598,0.11,"LeftRoughTendency",2013
20,20,"Colt Knost",69,10.74,86,801,0.2,"LeftRoughTendency",2013
21,21,"Brendon de Jonge",110,10.75,144,1339,0.1,"LeftRoughTendency",2013
22,22,"KJ Choi",85,10.84,95,876,-0.01,"LeftRoughTendency",2013
23,23,"Matt Jones",83,10.88,105,965,0.1,"LeftRoughTendency",2013
23,23,"Nick Watney",88,10.88,110,1011,0.05,"LeftRoughTendency",2013
25,25,"Aaron Watkins",46,10.91,53,486,0.09,"LeftRoughTendency",2013
26,26,"Boo Weekley",100,10.92,126,1154,0.13,"LeftRoughTendency",2013
27,27,"Josh Teater",86,11.02,92,835,0.13,"LeftRoughTendency",2013
28,28,"Greg Chalmers",77,11.06,106,958,0.01,"LeftRoughTendency",2013
29,29,"Charles Howell III",87,11.14,123,1104,-0.12,"LeftRoughTendency",2013
29,29,"Charlie Wi",75,11.14,102,916,0.11,"LeftRoughTendency",2013
31,31,"David Hearn",88,11.15,113,1013,0.14,"LeftRoughTendency",2013
32,32,"Scott Brown",65,11.3,86,761,0.15,"LeftRoughTendency",2013
33,33,"Ryan Moore",72,11.31,90,796,0.04,"LeftRoughTendency",2013
34,34,"David Mathis",71,11.32,97,857,0.14,"LeftRoughTendency",2013
35,35,"Dicky Pride",71,11.36,93,819,0.1,"LeftRoughTendency",2013
36,36,"Henrik Stenson",65,11.37,69,607,-0.01,"LeftRoughTendency",2013
37,37,"Harris English",95,11.43,129,1129,0.05,"LeftRoughTendency",2013
38,38,"Brandt Jobe",62,11.46,84,733,-0.07,"LeftRoughTendency",2013
