"RightRoughTendency_RANKTHISWEEK_2006","RightRoughTendency_RANKLASTWEEK_2006","RightRoughTendency_PLAYERNAME_2006","RightRoughTendency_ROUNDS_2006","RightRoughTendency_Pct_2006","RightRoughTendency_TOTALRIGHTROUGH_2006","RightRoughTendency_POSSIBLEFWYS_2006","RightRoughTendency_RELATIVETOPAR_2006","stat_name","year"
1,1,"Olin Browne",108,6.99,92,1316,0.24,"RightRoughTendency",2006
2,2,"Larry Mize",53,7.04,46,653,0.37,"RightRoughTendency",2006
3,3,"Fred Funk",106,7.26,92,1268,0.17,"RightRoughTendency",2006
4,4,"Jeff Maggert",81,8.13,85,1046,0.26,"RightRoughTendency",2006
5,5,"Daisuke Maruyama",83,8.27,91,1101,0.21,"RightRoughTendency",2006
6,6,"Omar Uresti",61,8.53,70,821,0.24,"RightRoughTendency",2006
7,7,"Tim Clark",80,8.63,78,904,0.15,"RightRoughTendency",2006
8,8,"Joe Durant",101,8.97,126,1405,0.17,"RightRoughTendency",2006
9,9,"Alex Cejka",93,9.54,121,1268,0.13,"RightRoughTendency",2006
10,10,"Padraig Harrington",54,9.77,52,532,0.12,"RightRoughTendency",2006
11,11,"Kirk Triplett",58,9.81,74,754,0.18,"RightRoughTendency",2006
12,12,"Luke Donald",66,9.89,65,657,0.25,"RightRoughTendency",2006
13,13,"Greg Kraft",79,9.91,101,1019,0.24,"RightRoughTendency",2006
14,14,"John Cook",67,9.95,87,874,0.2,"RightRoughTendency",2006
15,15,"Heath Slocum",96,9.98,124,1243,0.23,"RightRoughTendency",2006
16,16,"Paul Goydos",72,10,100,1000,0.21,"RightRoughTendency",2006
17,17,"Doug Barron",74,10.02,102,1018,0.14,"RightRoughTendency",2006
18,18,"Kevin Sutherland",100,10.1,135,1336,0.1,"RightRoughTendency",2006
19,19,"Kenny Perry",73,10.14,88,868,0.1,"RightRoughTendency",2006
20,20,"Bob May",65,10.22,88,861,0.09,"RightRoughTendency",2006
21,21,"Robert Gamez",94,10.28,132,1284,0.33,"RightRoughTendency",2006
22,22,"Mike Sposa",68,10.36,94,907,0.27,"RightRoughTendency",2006
23,23,"Nicholas Thompson",96,10.49,133,1268,0.15,"RightRoughTendency",2006
24,24,"Shane Bertsch",104,10.51,149,1418,0.19,"RightRoughTendency",2006
24,24,"Brian Davis",92,10.51,132,1256,0.17,"RightRoughTendency",2006
26,26,"Skip Kendall",72,10.56,100,947,0.2,"RightRoughTendency",2006
27,27,"Justin Rose",98,10.65,135,1268,0.07,"RightRoughTendency",2006
28,28,"Joey Sindelar",90,10.67,125,1171,0.19,"RightRoughTendency",2006
29,29,"Mathias Gronberg",92,10.7,133,1243,0.11,"RightRoughTendency",2006
30,30,"Jim Furyk",89,10.78,109,1011,0.09,"RightRoughTendency",2006
31,31,"Steve Stricker",64,10.79,81,751,0.12,"RightRoughTendency",2006
32,32,"Briny Baird",81,10.81,116,1073,0.04,"RightRoughTendency",2006
33,33,"Eric Axley",91,10.82,134,1239,0.04,"RightRoughTendency",2006
34,34,"Todd Fischer",101,10.9,150,1376,0.06,"RightRoughTendency",2006
35,35,"Greg Owen",79,10.91,108,990,0.07,"RightRoughTendency",2006
36,36,"Marco Dawson",87,10.96,133,1213,0.01,"RightRoughTendency",2006
37,37,"Stephen Leaney",84,10.97,128,1167,0.14,"RightRoughTendency",2006
38,38,"Mark Brooks",90,10.98,130,1184,0.18,"RightRoughTendency",2006
39,39,"Peter Lonard",77,11.03,105,952,0.22,"RightRoughTendency",2006
39,39,"Will Ma Kenzie",91,11.03,135,1224,0.1,"RightRoughTendency",2006
41,41,"Bob Tway",81,11.04,114,1033,0.15,"RightRoughTendency",2006
42,42,"Kent Jones",103,11.05,149,1348,0.07,"RightRoughTendency",2006
43,43,"Jerry Kelly",100,11.25,144,1280,0.22,"RightRoughTendency",2006
44,44,"Justin Leonard",83,11.28,112,993,0.2,"RightRoughTendency",2006
45,45,"Steve Elkington",52,11.31,77,681,0.09,"RightRoughTendency",2006
46,46,"Chris Riley",86,11.43,124,1085,0.28,"RightRoughTendency",2006
47,47,"Ben Crane",85,11.47,109,950,0.14,"RightRoughTendency",2006
48,48,"Hunter Mahan",98,11.48,150,1307,0.22,"RightRoughTendency",2006
49,49,"Corey Pavin",74,11.57,103,890,0.16,"RightRoughTendency",2006
50,50,"Ryan Moore",68,11.62,99,852,0.09,"RightRoughTendency",2006
51,51,"Mark OMeara",52,11.64,71,610,0.14,"RightRoughTendency",2006
52,52,"Arjun Atwal",97,11.65,154,1322,0.12,"RightRoughTendency",2006
52,52,"Sean OHair",100,11.65,137,1176,0.11,"RightRoughTendency",2006
54,54,"David Duval",71,11.68,93,796,0.13,"RightRoughTendency",2006
54,54,"Billy Mayfair",94,11.68,137,1173,0.08,"RightRoughTendency",2006
56,56,"Brian Bateman",69,11.71,106,905,0.11,"RightRoughTendency",2006
56,56,"Mark Wilson",79,11.71,124,1059,0.13,"RightRoughTendency",2006
58,58,"Jeff Gove",91,11.73,142,1211,0,"RightRoughTendency",2006
58,58,"Ian Poulter",53,11.73,69,588,0.04,"RightRoughTendency",2006
60,60,"JP Hayes",55,11.86,91,767,0.22,"RightRoughTendency",2006
61,61,"Duffy Waldorf",96,12,150,1250,0.05,"RightRoughTendency",2006
62,62,"Carlos Franco",86,12.01,144,1199,0.09,"RightRoughTendency",2006
63,63,"David McKenzie",82,12.03,134,1114,0.2,"RightRoughTendency",2006
64,64,"Jon Mills",68,12.04,111,922,0.23,"RightRoughTendency",2006
65,65,"Tommy Armour III",65,12.06,102,846,0.12,"RightRoughTendency",2006
65,65,"JL Lewis",57,12.06,96,796,0.17,"RightRoughTendency",2006
65,65,"Joe Ogilvie",95,12.06,150,1244,0.05,"RightRoughTendency",2006
68,68,"Charles Warren",93,12.11,145,1197,0.04,"RightRoughTendency",2006
69,69,"Scott Verplank",88,12.17,125,1027,0.18,"RightRoughTendency",2006
70,70,"Billy Andrade",78,12.18,115,944,0,"RightRoughTendency",2006
71,71,"Bart Bryant",87,12.26,127,1036,0.11,"RightRoughTendency",2006
72,72,"DJ Trahan",92,12.32,151,1226,0.25,"RightRoughTendency",2006
73,73,"Patrick Sheehan",104,12.34,172,1394,0.12,"RightRoughTendency",2006
74,74,"Scott Gutschewski",53,12.38,88,711,0.2,"RightRoughTendency",2006
75,75,"Matt Hansen",68,12.4,114,919,0.09,"RightRoughTendency",2006
76,76,"Robert Allenby",79,12.44,106,852,0.03,"RightRoughTendency",2006
76,76,"Jason Bohn",104,12.44,170,1367,0.16,"RightRoughTendency",2006
76,76,"Ben Curtis",86,12.44,125,1005,0.2,"RightRoughTendency",2006
76,76,"Tom Pernice Jr",108,12.44,166,1334,0.18,"RightRoughTendency",2006
80,80,"Jonathan Byrd",66,12.46,107,859,0.02,"RightRoughTendency",2006
80,80,"Frank Lickliter II",99,12.46,168,1348,0.09,"RightRoughTendency",2006
80,80,"DA Points",82,12.46,139,1116,0.25,"RightRoughTendency",2006
83,83,"David Branshaw",98,12.47,170,1363,0.22,"RightRoughTendency",2006
84,84,"Davis Love III",85,12.53,112,894,-0.01,"RightRoughTendency",2006
85,85,"Bubba Dickerson",98,12.56,168,1338,0.25,"RightRoughTendency",2006
86,86,"Jeff Sluman",101,12.58,159,1264,0.08,"RightRoughTendency",2006
87,87,"Steve Flesch",119,12.6,195,1548,0.15,"RightRoughTendency",2006
87,87,"Richard Johnson",94,12.6,161,1278,0.2,"RightRoughTendency",2006
89,89,"Jesper Parnevik",84,12.61,144,1142,0.05,"RightRoughTendency",2006
90,90,"Ted Purdy",103,12.62,157,1244,0.08,"RightRoughTendency",2006
90,90,"Paul Stankowski",70,12.62,123,975,0.08,"RightRoughTendency",2006
92,92,"Lee Janzen",79,12.64,135,1068,0.11,"RightRoughTendency",2006
93,93,"Jeff Brehaut",100,12.65,169,1336,0.07,"RightRoughTendency",2006
94,94,"Steve Jones",83,12.68,138,1088,0.07,"RightRoughTendency",2006
95,95,"Mike Weir",88,12.71,122,960,0.07,"RightRoughTendency",2006
96,96,"Brent Geiberger",99,12.86,174,1353,0.08,"RightRoughTendency",2006
96,96,"Hidemichi Tanaka",74,12.86,131,1019,0.22,"RightRoughTendency",2006
98,98,"John Senden",96,12.93,157,1214,0.01,"RightRoughTendency",2006
99,99,"Bernhard Langer",77,12.95,119,919,0.12,"RightRoughTendency",2006
99,99,"Carl Pettersson",95,12.95,147,1135,0.18,"RightRoughTendency",2006
101,101,"Lucas Glover",105,12.96,165,1273,0.11,"RightRoughTendency",2006
101,101,"David Toms",76,12.96,113,872,0.09,"RightRoughTendency",2006
101,101,"Tjaart van der Walt",60,12.96,103,795,0.1,"RightRoughTendency",2006
104,104,"Chris Smith",67,12.97,121,933,0.16,"RightRoughTendency",2006
105,105,"John Rollins",93,13.03,158,1213,0.1,"RightRoughTendency",2006
106,106,"Dean Wilson",115,13.08,191,1460,0.12,"RightRoughTendency",2006
107,107,"Stephen Ames",63,13.11,88,671,0.05,"RightRoughTendency",2006
107,107,"Steve Lowery",99,13.11,166,1266,0.11,"RightRoughTendency",2006
109,109,"Mathew Goggin",72,13.12,121,922,0.17,"RightRoughTendency",2006
110,110,"Zach Johnson",98,13.14,143,1088,0.16,"RightRoughTendency",2006
111,111,"Ryuji Imada",105,13.26,181,1365,0.11,"RightRoughTendency",2006
112,112,"Ryan Palmer",101,13.29,176,1324,0.23,"RightRoughTendency",2006
113,113,"Nathan Green",108,13.32,182,1366,0.13,"RightRoughTendency",2006
114,114,"Freddie Jacobson",56,13.41,105,783,0.06,"RightRoughTendency",2006
115,115,"Tom Lehman",70,13.42,97,723,0.13,"RightRoughTendency",2006
116,116,"Brian Gay",107,13.44,200,1488,0.12,"RightRoughTendency",2006
117,117,"Ron Whittaker",81,13.53,149,1101,0.23,"RightRoughTendency",2006
118,118,"Chris DiMarco",83,13.54,125,923,0.04,"RightRoughTendency",2006
119,119,"Bill Haas",99,13.55,181,1336,0.08,"RightRoughTendency",2006
120,120,"Dudley Hart",83,13.57,155,1142,0.13,"RightRoughTendency",2006
121,121,"Phil Mickelson",74,13.65,101,740,-0.05,"RightRoughTendency",2006
122,122,"Tim Petrovic",95,13.7,174,1270,0.13,"RightRoughTendency",2006
123,123,"Mark Calcavecchia",94,13.75,161,1171,0.09,"RightRoughTendency",2006
124,124,"Ian Leggatt",80,13.79,146,1059,0.11,"RightRoughTendency",2006
125,125,"Wes Short Jr",96,13.81,178,1289,0.3,"RightRoughTendency",2006
126,126,"Michael Allen",84,13.88,163,1174,0.07,"RightRoughTendency",2006
127,127,"Nick Watney",97,13.9,184,1324,0.11,"RightRoughTendency",2006
128,128,"Rich Beem",85,13.93,138,991,0.18,"RightRoughTendency",2006
128,128,"Shigeki Maruyama",94,13.93,171,1228,0.13,"RightRoughTendency",2006
130,130,"Geoff Ogilvy",76,13.95,106,760,0.24,"RightRoughTendency",2006
131,131,"Sergio Garcia",59,14.01,81,578,0.11,"RightRoughTendency",2006
132,132,"Michael Connell",51,14.05,94,669,0.17,"RightRoughTendency",2006
133,133,"Troy Matteson",101,14.06,198,1408,0.1,"RightRoughTendency",2006
134,134,"Vaughn Taylor",88,14.11,158,1120,0.11,"RightRoughTendency",2006
135,135,"Jerry Smith",94,14.12,181,1282,0.19,"RightRoughTendency",2006
136,136,"Robert Damron",91,14.27,181,1268,0.13,"RightRoughTendency",2006
137,137,"Chris Couch",75,14.29,145,1015,0.12,"RightRoughTendency",2006
138,138,"Daniel Chopra",110,14.35,206,1436,-0.02,"RightRoughTendency",2006
139,139,"Arron Oberholser",82,14.41,135,937,0.13,"RightRoughTendency",2006
140,140,"Camilo Villegas",95,14.43,175,1213,0.07,"RightRoughTendency",2006
141,141,"Danny Ellis",68,14.45,129,893,0.11,"RightRoughTendency",2006
142,142,"Fred Couples",52,14.5,77,531,0.09,"RightRoughTendency",2006
143,143,"Rod Pampling",89,14.56,142,975,0.22,"RightRoughTendency",2006
144,144,"Rory Sabbatini",84,14.57,144,988,0.12,"RightRoughTendency",2006
145,145,"Woody Austin",107,14.67,202,1377,0.15,"RightRoughTendency",2006
146,146,"Henrik Bjornstad",97,14.69,195,1327,0.14,"RightRoughTendency",2006
147,147,"Craig Barlow",77,14.74,138,936,0.14,"RightRoughTendency",2006
148,148,"David Howell",52,14.75,64,434,0.3,"RightRoughTendency",2006
149,149,"Tim Herron",82,14.79,138,933,0.09,"RightRoughTendency",2006
150,150,"Ryan Hietala",61,14.82,122,823,0.1,"RightRoughTendency",2006
150,150,"Jose Maria Olazabal",62,14.82,87,587,0.08,"RightRoughTendency",2006
152,152,"JJ Henry",96,14.86,176,1184,0.05,"RightRoughTendency",2006
152,152,"Jonathan Kaye",95,14.86,191,1285,0.09,"RightRoughTendency",2006
154,154,"Thomas Levet",53,15.01,103,686,0.22,"RightRoughTendency",2006
155,155,"Robert Garrigus",85,15.03,174,1158,0.06,"RightRoughTendency",2006
156,156,"Brett Wetterich",82,15.05,163,1083,0.15,"RightRoughTendency",2006
157,157,"Harrison Frazar",95,15.16,184,1214,0.11,"RightRoughTendency",2006
