"MissedFairwayPercentOther_RANKTHISWEEK_2012","MissedFairwayPercentOther_RANKLASTWEEK_2012","MissedFairwayPercentOther_PLAYERNAME_2012","MissedFairwayPercentOther_ROUNDS_2012","MissedFairwayPercentOther_Pct_2012","MissedFairwayPercentOther_TOTALMISSED_2012","MissedFairwayPercentOther_TOTALFWYS_2012","MissedFairwayPercentOther_RELATIVETOPAR_2012","stat_name","year"
1,1,"David Toms",60,0.16,1,611,-1,"MissedFairwayPercentOther",2012
2,2,"Hunter Mahan",88,0.78,7,892,0.14,"MissedFairwayPercentOther",2012
3,3,"Charl Schwartzel",56,0.91,5,552,0.4,"MissedFairwayPercentOther",2012
4,4,"Tim Clark",60,1.01,7,695,0.14,"MissedFairwayPercentOther",2012
5,5,"Tiger Woods",69,1.2,8,666,0.13,"MissedFairwayPercentOther",2012
6,6,"John Senden",81,1.29,11,855,0.36,"MissedFairwayPercentOther",2012
7,7,"Kyle Reifers",86,1.37,14,1023,0.64,"MissedFairwayPercentOther",2012
8,8,"Steve Stricker",73,1.46,11,754,0.36,"MissedFairwayPercentOther",2012
9,9,"Louis Oosthuizen",65,1.49,10,670,1.2,"MissedFairwayPercentOther",2012
10,10,"Graeme McDowell",55,1.51,8,531,0.38,"MissedFairwayPercentOther",2012
11,11,"John Huh",99,1.52,18,1185,0.56,"MissedFairwayPercentOther",2012
12,12,"Roberto Castro",92,1.53,16,1044,0.81,"MissedFairwayPercentOther",2012
13,13,"Rod Pampling",88,1.57,15,958,0.73,"MissedFairwayPercentOther",2012
14,14,"Mark Wilson",84,1.59,15,941,0.6,"MissedFairwayPercentOther",2012
15,15,"Ben Curtis",62,1.64,11,669,1,"MissedFairwayPercentOther",2012
16,16,"William McGirt",96,1.65,18,1092,0.67,"MissedFairwayPercentOther",2012
17,17,"Jim Furyk",85,1.66,15,905,0.47,"MissedFairwayPercentOther",2012
18,18,"Gary Christian",91,1.72,18,1044,0.89,"MissedFairwayPercentOther",2012
19,19,"Brian Davis",91,1.74,19,1095,0.47,"MissedFairwayPercentOther",2012
20,20,"Matt Kuchar",86,1.75,16,912,0.31,"MissedFairwayPercentOther",2012
21,21,"Jerry Kelly",84,1.78,18,1013,1.11,"MissedFairwayPercentOther",2012
22,22,"Justin Rose",69,1.91,14,733,0.57,"MissedFairwayPercentOther",2012
23,23,"Heath Slocum",93,1.92,20,1043,0.3,"MissedFairwayPercentOther",2012
24,24,"Zach Johnson",95,1.95,20,1028,0.85,"MissedFairwayPercentOther",2012
24,24,"YE Yang",64,1.95,13,668,1.15,"MissedFairwayPercentOther",2012
26,26,"Jeff Overton",101,1.96,25,1274,0.76,"MissedFairwayPercentOther",2012
27,27,"Ernie Els",80,2.01,18,895,0.56,"MissedFairwayPercentOther",2012
28,28,"KJ Choi",71,2.04,16,784,0.56,"MissedFairwayPercentOther",2012
29,29,"Brendon de Jonge",115,2.05,29,1413,0.55,"MissedFairwayPercentOther",2012
30,30,"Russell Knox",72,2.06,16,778,0.63,"MissedFairwayPercentOther",2012
31,31,"Chris DiMarco",83,2.1,21,999,0.76,"MissedFairwayPercentOther",2012
32,32,"Bill Haas",79,2.12,18,849,0.33,"MissedFairwayPercentOther",2012
33,33,"Freddie Jacobson",61,2.13,13,611,1,"MissedFairwayPercentOther",2012
33,33,"Adam Scott",59,2.13,12,564,0.92,"MissedFairwayPercentOther",2012
35,35,"Sangmoon Bae",81,2.15,17,790,0.82,"MissedFairwayPercentOther",2012
35,35,"Colt Knost",79,2.15,20,929,1.05,"MissedFairwayPercentOther",2012
37,37,"Rory McIlroy",60,2.16,12,556,0.5,"MissedFairwayPercentOther",2012
38,38,"Johnson Wagner",88,2.17,23,1061,0.57,"MissedFairwayPercentOther",2012
39,39,"Scott Dunlap",57,2.18,14,641,0.36,"MissedFairwayPercentOther",2012
40,40,"Boo Weekley",74,2.23,18,806,0.72,"MissedFairwayPercentOther",2012
41,41,"Rocco Mediate",70,2.24,18,805,0.67,"MissedFairwayPercentOther",2012
42,42,"Will Claxton",99,2.27,27,1192,0.7,"MissedFairwayPercentOther",2012
43,43,"Alexandre Rocha",62,2.29,16,698,0.44,"MissedFairwayPercentOther",2012
44,44,"John Mallinger",74,2.3,20,871,0.8,"MissedFairwayPercentOther",2012
45,45,"Dicky Pride",62,2.35,16,680,0.31,"MissedFairwayPercentOther",2012
46,46,"Ryo Ishikawa",54,2.36,12,508,0.42,"MissedFairwayPercentOther",2012
47,47,"Chris Kirk",93,2.38,28,1178,0.61,"MissedFairwayPercentOther",2012
48,48,"Richard Lee",71,2.39,19,795,0.74,"MissedFairwayPercentOther",2012
49,49,"Billy Horschel",63,2.4,16,667,0.63,"MissedFairwayPercentOther",2012
50,50,"Jeff Maggert",83,2.41,26,1081,0.27,"MissedFairwayPercentOther",2012
51,51,"Greg Chalmers",88,2.42,25,1032,0.6,"MissedFairwayPercentOther",2012
51,51,"Padraig Harrington",67,2.42,15,619,0.33,"MissedFairwayPercentOther",2012
51,51,"Pat Perez",81,2.42,23,951,0.78,"MissedFairwayPercentOther",2012
