"ScramblingRoughRTPScore_RANKTHISWEEK_2010","ScramblingRoughRTPScore_RANKLASTWEEK_2010","ScramblingRoughRTPScore_PLAYERNAME_2010","ScramblingRoughRTPScore_ROUNDS_2010","ScramblingRoughRTPScore_AVGRTP_2010","ScramblingRoughRTPScore_TOTALHOLES_2010","ScramblingRoughRTPScore_TOTALRTP_2010","stat_name","year"
1,1,"Jim Furyk",76,0.305,141,43,"ScramblingRoughRTPScore",2010
2,2,"Jeev Milkha Singh",59,0.31,113,35,"ScramblingRoughRTPScore",2010
3,3,"Steve Stricker",73,0.317,126,40,"ScramblingRoughRTPScore",2010
4,4,"Kevin Na",94,0.324,219,71,"ScramblingRoughRTPScore",2010
5,5,"Justin Rose",78,0.325,163,53,"ScramblingRoughRTPScore",2010
6,6,"Luke Donald",71,0.326,135,44,"ScramblingRoughRTPScore",2010
6,6,"Retief Goosen",75,0.326,132,43,"ScramblingRoughRTPScore",2010
8,8,"Brian Gay",101,0.34,191,65,"ScramblingRoughRTPScore",2010
9,9,"Dean Wilson",54,0.345,119,41,"ScramblingRoughRTPScore",2010
10,10,"Padraig Harrington",57,0.347,121,42,"ScramblingRoughRTPScore",2010
11,11,"Kenny Perry",69,0.354,113,40,"ScramblingRoughRTPScore",2010
12,12,"David Toms",86,0.366,164,60,"ScramblingRoughRTPScore",2010
13,13,"Stewart Cink",84,0.367,150,55,"ScramblingRoughRTPScore",2010
14,14,"Omar Uresti",74,0.368,144,53,"ScramblingRoughRTPScore",2010
15,15,"Steve Elkington",74,0.375,144,54,"ScramblingRoughRTPScore",2010
16,16,"Bob Estes",79,0.378,156,59,"ScramblingRoughRTPScore",2010
17,17,"Bo Van Pelt",104,0.382,173,66,"ScramblingRoughRTPScore",2010
18,18,"Ryan Moore",80,0.386,153,59,"ScramblingRoughRTPScore",2010
19,19,"Tom Gillis",97,0.388,240,93,"ScramblingRoughRTPScore",2010
20,20,"Matt Kuchar",97,0.389,175,68,"ScramblingRoughRTPScore",2010
21,21,"Charles Howell III",103,0.392,209,82,"ScramblingRoughRTPScore",2010
22,22,"Tim Clark",88,0.399,158,63,"ScramblingRoughRTPScore",2010
23,23,"KJ Choi",82,0.4,145,58,"ScramblingRoughRTPScore",2010
24,24,"Paul Casey",64,0.402,107,43,"ScramblingRoughRTPScore",2010
24,24,"Sergio Garcia",58,0.402,92,37,"ScramblingRoughRTPScore",2010
24,24,"Charley Hoffman",85,0.402,199,80,"ScramblingRoughRTPScore",2010
27,27,"Chad Collins",87,0.403,154,62,"ScramblingRoughRTPScore",2010
28,28,"Brian Davis",101,0.407,226,92,"ScramblingRoughRTPScore",2010
29,29,"Ryuji Imada",90,0.409,208,85,"ScramblingRoughRTPScore",2010
29,29,"Shaun Micheel",70,0.409,110,45,"ScramblingRoughRTPScore",2010
31,31,"Sean OHair",84,0.411,158,65,"ScramblingRoughRTPScore",2010
32,32,"Ian Poulter",55,0.412,97,40,"ScramblingRoughRTPScore",2010
33,33,"Ernie Els",72,0.413,138,57,"ScramblingRoughRTPScore",2010
34,34,"Jason Dufner",87,0.417,175,73,"ScramblingRoughRTPScore",2010
35,35,"Chris Riley",73,0.422,116,49,"ScramblingRoughRTPScore",2010
36,36,"Jerry Kelly",99,0.424,165,70,"ScramblingRoughRTPScore",2010
37,37,"Scott McCarron",90,0.425,207,88,"ScramblingRoughRTPScore",2010
37,37,"Michael Sim",64,0.425,127,54,"ScramblingRoughRTPScore",2010
39,39,"Greg Chalmers",93,0.426,230,98,"ScramblingRoughRTPScore",2010
39,39,"Jason Day",82,0.426,176,75,"ScramblingRoughRTPScore",2010
41,41,"Tom Pernice Jr",74,0.427,131,56,"ScramblingRoughRTPScore",2010
42,42,"DA Points",90,0.428,194,83,"ScramblingRoughRTPScore",2010
43,43,"Brandt Snedeker",89,0.431,209,90,"ScramblingRoughRTPScore",2010
44,44,"Tim Petrovic",105,0.433,180,78,"ScramblingRoughRTPScore",2010
45,45,"Nick Watney",91,0.434,166,72,"ScramblingRoughRTPScore",2010
45,45,"Mike Weir",59,0.434,113,49,"ScramblingRoughRTPScore",2010
47,47,"Cliff Kresge",50,0.436,94,41,"ScramblingRoughRTPScore",2010
47,47,"Billy Mayfair",78,0.436,140,61,"ScramblingRoughRTPScore",2010
49,49,"Boo Weekley",88,0.438,153,67,"ScramblingRoughRTPScore",2010
50,50,"John Mallinger",78,0.439,155,68,"ScramblingRoughRTPScore",2010
