"ScramblingFringeRTPScore_RANKTHISWEEK_2016","ScramblingFringeRTPScore_RANKLASTWEEK_2016","ScramblingFringeRTPScore_PLAYERNAME_2016","ScramblingFringeRTPScore_ROUNDS_2016","ScramblingFringeRTPScore_AVGRTP_2016","ScramblingFringeRTPScore_TOTALHOLES_2016","ScramblingFringeRTPScore_TOTALRTP_2016","stat_name","year"
1,1,"Andy Sullivan",25,-0.2,10,-2,"ScramblingFringeRTPScore",2016
2,2,"Matthew Fitzpatrick",23,-0.167,6,-1,"ScramblingFringeRTPScore",2016
3,3,"Francesco Molinari",36,-0.133,30,-4,"ScramblingFringeRTPScore",2016
4,3,"David Toms",38,-0.129,31,-4,"ScramblingFringeRTPScore",2016
5,6,"Miguel Angel Carballo",24,-0.125,24,-3,"ScramblingFringeRTPScore",2016
5,5,"Kevin Kisner",49,-0.125,24,-3,"ScramblingFringeRTPScore",2016
7,6,"Robert Streb",51,-0.12,25,-3,"ScramblingFringeRTPScore",2016
8,10,"Andres Romero",22,-0.107,28,-3,"ScramblingFringeRTPScore",2016
9,8,"Rory McIlroy",37,-0.105,19,-2,"ScramblingFringeRTPScore",2016
10,22,"Steven Bowditch",40,-0.1,20,-2,"ScramblingFringeRTPScore",2016
10,8,"Justin Thomas",53,-0.1,20,-2,"ScramblingFringeRTPScore",2016
12,12,"Chris Kirk",51,-0.097,31,-3,"ScramblingFringeRTPScore",2016
13,11,"Jamie Lovemark",57,-0.095,42,-4,"ScramblingFringeRTPScore",2016
14,20,"Brian Harman",60,-0.091,33,-3,"ScramblingFringeRTPScore",2016
15,14,"Jonas Blixt",46,-0.088,34,-3,"ScramblingFringeRTPScore",2016
15,12,"Patrick Reed",53,-0.088,34,-3,"ScramblingFringeRTPScore",2016
17,14,"Jeff Overton",51,-0.079,38,-3,"ScramblingFringeRTPScore",2016
18,18,"Chad Collins",45,-0.077,39,-3,"ScramblingFringeRTPScore",2016
18,16,"Retief Goosen",37,-0.077,26,-2,"ScramblingFringeRTPScore",2016
18,16,"Padraig Harrington",38,-0.077,26,-2,"ScramblingFringeRTPScore",2016
21,19,"Dicky Pride",33,-0.071,28,-2,"ScramblingFringeRTPScore",2016
22,21,"Scott Pinckney",53,-0.059,34,-2,"ScramblingFringeRTPScore",2016
23,22,"Adam Scott",39,-0.056,18,-1,"ScramblingFringeRTPScore",2016
24,42,"Kevin Chappell",49,-0.05,40,-2,"ScramblingFringeRTPScore",2016
25,49,"Mark Hubbard",73,-0.049,61,-3,"ScramblingFringeRTPScore",2016
25,26,"Si Woo Kim",63,-0.049,41,-2,"ScramblingFringeRTPScore",2016
27,27,"Jason Day",36,-0.048,21,-1,"ScramblingFringeRTPScore",2016
28,28,"Brice Garnett",29,-0.045,22,-1,"ScramblingFringeRTPScore",2016
28,130,"Vaughn Taylor",30,-0.045,22,-1,"ScramblingFringeRTPScore",2016
30,29,"Boo Weekley",53,-0.043,47,-2,"ScramblingFringeRTPScore",2016
31,31,"Zac Blair",56,-0.041,49,-2,"ScramblingFringeRTPScore",2016
32,24,"DH Lee",35,-0.04,25,-1,"ScramblingFringeRTPScore",2016
33,33,"Jordan Spieth",34,-0.037,27,-1,"ScramblingFringeRTPScore",2016
34,35,"Brooks Koepka",39,-0.034,29,-1,"ScramblingFringeRTPScore",2016
35,35,"James Hahn",45,-0.031,32,-1,"ScramblingFringeRTPScore",2016
36,34,"Harris English",51,-0.03,33,-1,"ScramblingFringeRTPScore",2016
37,38,"Robert Garrigus",34,-0.029,34,-1,"ScramblingFringeRTPScore",2016
38,39,"Harold Varner III",58,-0.028,36,-1,"ScramblingFringeRTPScore",2016
39,51,"Jason Gore",51,-0.027,37,-1,"ScramblingFringeRTPScore",2016
40,41,"David Hearn",55,-0.026,39,-1,"ScramblingFringeRTPScore",2016
40,39,"Camilo Villegas",50,-0.026,39,-1,"ScramblingFringeRTPScore",2016
42,44,"Erik Compton",45,-0.024,41,-1,"ScramblingFringeRTPScore",2016
43,45,"Aaron Baddeley",51,-0.022,46,-1,"ScramblingFringeRTPScore",2016
44,46,"Roberto Castro",55,-0.02,50,-1,"ScramblingFringeRTPScore",2016
44,47,"Derek Fathauer",58,-0.02,51,-1,"ScramblingFringeRTPScore",2016
44,31,"Spencer Levin",62,-0.02,50,-1,"ScramblingFringeRTPScore",2016
44,51,"John Senden",48,-0.02,50,-1,"ScramblingFringeRTPScore",2016
48,49,"Chez Reavie",56,-0.018,55,-1,"ScramblingFringeRTPScore",2016
49,47,"Tyler Aldridge",53,0,51,0,"ScramblingFringeRTPScore",2016
49,51,"Stuart Appleby",39,0,31,0,"ScramblingFringeRTPScore",2016
49,30,"Daniel Berger",52,0,27,0,"ScramblingFringeRTPScore",2016
49,51,"Jason Bohn",37,0,21,0,"ScramblingFringeRTPScore",2016
49,92,"Alex Cejka",47,0,35,0,"ScramblingFringeRTPScore",2016
49,51,"Jamie Donaldson",28,0,17,0,"ScramblingFringeRTPScore",2016
49,90,"Tony Finau",49,0,44,0,"ScramblingFringeRTPScore",2016
