"Scrambling2030ydsRTPScore_RANKTHISWEEK_2008","Scrambling2030ydsRTPScore_RANKLASTWEEK_2008","Scrambling2030ydsRTPScore_PLAYERNAME_2008","Scrambling2030ydsRTPScore_ROUNDS_2008","Scrambling2030ydsRTPScore_AVGRTP_2008","Scrambling2030ydsRTPScore_TOTALHOLES_2008","Scrambling2030ydsRTPScore_TOTALRTP_2008","stat_name","year"
1,1,"Steve Stricker",75,0.319,72,23,"Scrambling2030ydsRTPScore",2008
2,2,"David Duval",51,0.321,53,17,"Scrambling2030ydsRTPScore",2008
3,3,"Sergio Garcia",72,0.347,49,17,"Scrambling2030ydsRTPScore",2008
4,4,"Chris Riley",51,0.356,59,21,"Scrambling2030ydsRTPScore",2008
5,5,"Mike Weir",88,0.361,72,26,"Scrambling2030ydsRTPScore",2008
6,6,"Briny Baird",113,0.373,83,31,"Scrambling2030ydsRTPScore",2008
7,7,"Glen Day",64,0.387,62,24,"Scrambling2030ydsRTPScore",2008
8,8,"Cameron Beckman",87,0.389,72,28,"Scrambling2030ydsRTPScore",2008
9,9,"Steve Marino",119,0.393,112,44,"Scrambling2030ydsRTPScore",2008
10,10,"Eric Axley",113,0.395,129,51,"Scrambling2030ydsRTPScore",2008
11,11,"Stuart Appleby",87,0.397,68,27,"Scrambling2030ydsRTPScore",2008
12,12,"Retief Goosen",59,0.4,50,20,"Scrambling2030ydsRTPScore",2008
13,13,"Matt Kuchar",88,0.404,89,36,"Scrambling2030ydsRTPScore",2008
13,13,"Shigeki Maruyama",50,0.404,57,23,"Scrambling2030ydsRTPScore",2008
15,15,"Brett Quigley",80,0.407,86,35,"Scrambling2030ydsRTPScore",2008
16,16,"Craig Kanada",65,0.413,80,33,"Scrambling2030ydsRTPScore",2008
17,17,"Tim Wilkinson",95,0.416,89,37,"Scrambling2030ydsRTPScore",2008
18,18,"Tim Herron",97,0.419,105,44,"Scrambling2030ydsRTPScore",2008
19,19,"Kevin Sutherland",98,0.42,100,42,"Scrambling2030ydsRTPScore",2008
20,20,"Gavin Coles",54,0.425,40,17,"Scrambling2030ydsRTPScore",2008
21,21,"Steve Flesch",95,0.429,84,36,"Scrambling2030ydsRTPScore",2008
22,22,"Charlie Wi",97,0.43,86,37,"Scrambling2030ydsRTPScore",2008
