"ApproachesLeftRoughRTPScore_RANKTHISWEEK_2013","ApproachesLeftRoughRTPScore_RANKLASTWEEK_2013","ApproachesLeftRoughRTPScore_PLAYERNAME_2013","ApproachesLeftRoughRTPScore_ROUNDS_2013","ApproachesLeftRoughRTPScore_AVGRTP_2013","stat_name","year"
1,1,"Rory McIlroy",56,-0.197,"ApproachesLeftRoughRTPScore",2013
2,2,"Sergio Garcia",65,-0.082,"ApproachesLeftRoughRTPScore",2013
3,3,"Bubba Watson",76,-0.057,"ApproachesLeftRoughRTPScore",2013
4,4,"Steve Stricker",51,-0.048,"ApproachesLeftRoughRTPScore",2013
5,5,"Luke Donald",60,-0.028,"ApproachesLeftRoughRTPScore",2013
6,6,"Jimmy Walker",84,-0.021,"ApproachesLeftRoughRTPScore",2013
7,7,"Mark Wilson",56,-0.019,"ApproachesLeftRoughRTPScore",2013
8,8,"Justin Rose",62,-0.015,"ApproachesLeftRoughRTPScore",2013
8,8,"Kevin Stadler",83,-0.015,"ApproachesLeftRoughRTPScore",2013
10,10,"Bo Van Pelt",72,-0.014,"ApproachesLeftRoughRTPScore",2013
11,11,"Robert Garrigus",69,-0.009,"ApproachesLeftRoughRTPScore",2013
12,12,"Chris Kirk",89,-0.008,"ApproachesLeftRoughRTPScore",2013
13,13,"Freddie Jacobson",63,0,"ApproachesLeftRoughRTPScore",2013
14,14,"Charles Howell III",87,0.008,"ApproachesLeftRoughRTPScore",2013
15,15,"Peter Hanson",45,0.013,"ApproachesLeftRoughRTPScore",2013
15,15,"Patrick Reed",83,0.013,"ApproachesLeftRoughRTPScore",2013
17,17,"Padraig Harrington",52,0.018,"ApproachesLeftRoughRTPScore",2013
18,18,"Jason Dufner",78,0.019,"ApproachesLeftRoughRTPScore",2013
19,19,"Tiger Woods",61,0.021,"ApproachesLeftRoughRTPScore",2013
20,20,"Aaron Baddeley",68,0.023,"ApproachesLeftRoughRTPScore",2013
21,21,"Adam Scott",61,0.025,"ApproachesLeftRoughRTPScore",2013
22,22,"Ernie Els",63,0.029,"ApproachesLeftRoughRTPScore",2013
23,23,"Brandt Snedeker",79,0.032,"ApproachesLeftRoughRTPScore",2013
24,24,"Gary Woodland",94,0.033,"ApproachesLeftRoughRTPScore",2013
25,25,"KJ Choi",85,0.034,"ApproachesLeftRoughRTPScore",2013
26,26,"Ian Poulter",59,0.036,"ApproachesLeftRoughRTPScore",2013
27,27,"Cameron Tringale",80,0.04,"ApproachesLeftRoughRTPScore",2013
28,28,"Martin Kaymer",61,0.041,"ApproachesLeftRoughRTPScore",2013
28,28,"Jin Park",52,0.041,"ApproachesLeftRoughRTPScore",2013
30,30,"Charley Hoffman",84,0.042,"ApproachesLeftRoughRTPScore",2013
31,31,"Phil Mickelson",78,0.045,"ApproachesLeftRoughRTPScore",2013
31,31,"Ted Potter Jr",65,0.045,"ApproachesLeftRoughRTPScore",2013
33,33,"Bill Haas",85,0.046,"ApproachesLeftRoughRTPScore",2013
34,34,"Jim Herman",59,0.047,"ApproachesLeftRoughRTPScore",2013
34,34,"Chris Stroud",88,0.047,"ApproachesLeftRoughRTPScore",2013
34,34,"Brian Stuard",78,0.047,"ApproachesLeftRoughRTPScore",2013
37,37,"Matt Kuchar",93,0.048,"ApproachesLeftRoughRTPScore",2013
38,38,"Dustin Johnson",71,0.053,"ApproachesLeftRoughRTPScore",2013
39,39,"Charlie Wi",75,0.055,"ApproachesLeftRoughRTPScore",2013
40,40,"Brandt Jobe",62,0.059,"ApproachesLeftRoughRTPScore",2013
41,41,"Seung Yul Noh",71,0.06,"ApproachesLeftRoughRTPScore",2013
42,42,"Angel Cabrera",73,0.063,"ApproachesLeftRoughRTPScore",2013
42,42,"Jerry Kelly",75,0.063,"ApproachesLeftRoughRTPScore",2013
44,44,"Charl Schwartzel",69,0.065,"ApproachesLeftRoughRTPScore",2013
45,45,"Matt Every",89,0.066,"ApproachesLeftRoughRTPScore",2013
45,45,"John Rollins",77,0.066,"ApproachesLeftRoughRTPScore",2013
47,47,"James Driscoll",76,0.068,"ApproachesLeftRoughRTPScore",2013
48,48,"Chez Reavie",72,0.069,"ApproachesLeftRoughRTPScore",2013
49,49,"Sangmoon Bae",83,0.07,"ApproachesLeftRoughRTPScore",2013
50,50,"Ricky Barnes",74,0.071,"ApproachesLeftRoughRTPScore",2013
50,50,"Jason Kokrak",78,0.071,"ApproachesLeftRoughRTPScore",2013
52,52,"Daniel Summerhays",83,0.072,"ApproachesLeftRoughRTPScore",2013
53,53,"George McNeill",68,0.073,"ApproachesLeftRoughRTPScore",2013
54,54,"Bobby Gates",49,0.075,"ApproachesLeftRoughRTPScore",2013
54,54,"Morgan Hoffmann",64,0.075,"ApproachesLeftRoughRTPScore",2013
56,56,"Ben Crane",62,0.076,"ApproachesLeftRoughRTPScore",2013
56,56,"Henrik Stenson",65,0.076,"ApproachesLeftRoughRTPScore",2013
56,56,"Lee Westwood",70,0.076,"ApproachesLeftRoughRTPScore",2013
59,59,"DH Lee",65,0.077,"ApproachesLeftRoughRTPScore",2013
60,60,"Kevin Chappell",80,0.08,"ApproachesLeftRoughRTPScore",2013
61,61,"Stewart Cink",71,0.083,"ApproachesLeftRoughRTPScore",2013
61,61,"Jason Day",86,0.083,"ApproachesLeftRoughRTPScore",2013
63,63,"Charlie Beljan",62,0.084,"ApproachesLeftRoughRTPScore",2013
63,63,"Kevin Streelman",86,0.084,"ApproachesLeftRoughRTPScore",2013
65,65,"Shawn Stefani",63,0.085,"ApproachesLeftRoughRTPScore",2013
66,66,"Bryce Molder",82,0.088,"ApproachesLeftRoughRTPScore",2013
66,66,"Andres Romero",63,0.088,"ApproachesLeftRoughRTPScore",2013
68,68,"Martin Flores",83,0.089,"ApproachesLeftRoughRTPScore",2013
68,68,"Troy Matteson",68,0.089,"ApproachesLeftRoughRTPScore",2013
68,68,"Scott Piercy",78,0.089,"ApproachesLeftRoughRTPScore",2013
71,71,"Martin Laird",68,0.09,"ApproachesLeftRoughRTPScore",2013
71,71,"Jordan Spieth",82,0.09,"ApproachesLeftRoughRTPScore",2013
73,73,"Josh Teater",86,0.091,"ApproachesLeftRoughRTPScore",2013
74,74,"Stuart Appleby",88,0.092,"ApproachesLeftRoughRTPScore",2013
75,75,"Geoff Ogilvy",57,0.095,"ApproachesLeftRoughRTPScore",2013
76,76,"Zach Johnson",84,0.096,"ApproachesLeftRoughRTPScore",2013
77,77,"John Merrick",79,0.097,"ApproachesLeftRoughRTPScore",2013
78,78,"Russell Henley",80,0.098,"ApproachesLeftRoughRTPScore",2013
78,78,"Ryo Ishikawa",72,0.098,"ApproachesLeftRoughRTPScore",2013
80,80,"Robert Karlsson",56,0.099,"ApproachesLeftRoughRTPScore",2013
