"ApproachesRightRoughRTPScore_RANKTHISWEEK_2005","ApproachesRightRoughRTPScore_RANKLASTWEEK_2005","ApproachesRightRoughRTPScore_PLAYERNAME_2005","ApproachesRightRoughRTPScore_ROUNDS_2005","ApproachesRightRoughRTPScore_AVGRTP_2005","stat_name","year"
1,1,"Phil Mickelson",81,-0.033,"ApproachesRightRoughRTPScore",2005
1,1,"Tiger Woods",76,-0.033,"ApproachesRightRoughRTPScore",2005
3,3,"Justin Rose",99,-0.026,"ApproachesRightRoughRTPScore",2005
4,4,"Geoff Ogilvy",97,-0.019,"ApproachesRightRoughRTPScore",2005
5,5,"Dan Forsman",52,-0.014,"ApproachesRightRoughRTPScore",2005
6,6,"Joey Snyder III",102,0,"ApproachesRightRoughRTPScore",2005
6,6,"Mario Tiziani",67,0,"ApproachesRightRoughRTPScore",2005
8,8,"Phillip Price",77,0.009,"ApproachesRightRoughRTPScore",2005
9,9,"Vijay Singh",111,0.011,"ApproachesRightRoughRTPScore",2005
10,10,"Hidemichi Tanaka",106,0.017,"ApproachesRightRoughRTPScore",2005
11,11,"Daniel Chopra",108,0.02,"ApproachesRightRoughRTPScore",2005
12,12,"Stuart Appleby",84,0.023,"ApproachesRightRoughRTPScore",2005
13,13,"Ryuji Imada",78,0.025,"ApproachesRightRoughRTPScore",2005
14,14,"Joe Durant",81,0.026,"ApproachesRightRoughRTPScore",2005
15,15,"Fred Couples",72,0.029,"ApproachesRightRoughRTPScore",2005
15,15,"Charles Howell III",95,0.029,"ApproachesRightRoughRTPScore",2005
17,17,"Sergio Garcia",73,0.03,"ApproachesRightRoughRTPScore",2005
18,18,"Mathias Gronberg",60,0.037,"ApproachesRightRoughRTPScore",2005
19,19,"Arjun Atwal",65,0.04,"ApproachesRightRoughRTPScore",2005
20,20,"Brett Wetterich",76,0.041,"ApproachesRightRoughRTPScore",2005
21,21,"Tag Ridings",93,0.044,"ApproachesRightRoughRTPScore",2005
22,22,"Jose Maria Olazabal",55,0.045,"ApproachesRightRoughRTPScore",2005
23,23,"DJ Trahan",81,0.047,"ApproachesRightRoughRTPScore",2005
24,24,"Peter Lonard",85,0.05,"ApproachesRightRoughRTPScore",2005
24,24,"Bo Van Pelt",112,0.05,"ApproachesRightRoughRTPScore",2005
26,26,"Briny Baird",98,0.051,"ApproachesRightRoughRTPScore",2005
27,27,"Carlos Franco",78,0.056,"ApproachesRightRoughRTPScore",2005
28,28,"Doug Barron",70,0.06,"ApproachesRightRoughRTPScore",2005
29,29,"Billy Mayfair",114,0.061,"ApproachesRightRoughRTPScore",2005
30,30,"Ben Crane",78,0.063,"ApproachesRightRoughRTPScore",2005
31,31,"Tim Herron",100,0.069,"ApproachesRightRoughRTPScore",2005
32,32,"Jeff Brehaut",71,0.07,"ApproachesRightRoughRTPScore",2005
33,33,"DA Points",94,0.075,"ApproachesRightRoughRTPScore",2005
34,34,"Brenden Pappas",51,0.076,"ApproachesRightRoughRTPScore",2005
34,34,"Adam Scott",72,0.076,"ApproachesRightRoughRTPScore",2005
36,36,"Kirk Triplett",55,0.077,"ApproachesRightRoughRTPScore",2005
37,37,"Luke Donald",67,0.079,"ApproachesRightRoughRTPScore",2005
37,37,"Zach Johnson",96,0.079,"ApproachesRightRoughRTPScore",2005
39,39,"Kenny Perry",82,0.08,"ApproachesRightRoughRTPScore",2005
39,39,"Kevin Sutherland",89,0.08,"ApproachesRightRoughRTPScore",2005
41,41,"Ted Purdy",122,0.081,"ApproachesRightRoughRTPScore",2005
41,41,"Bob Tway",87,0.081,"ApproachesRightRoughRTPScore",2005
43,43,"Steve Allan",102,0.085,"ApproachesRightRoughRTPScore",2005
44,44,"Brad Faxon",75,0.088,"ApproachesRightRoughRTPScore",2005
44,44,"Kevin Na",88,0.088,"ApproachesRightRoughRTPScore",2005
46,46,"Scott Gutschewski",86,0.09,"ApproachesRightRoughRTPScore",2005
47,47,"Jay Haas",54,0.091,"ApproachesRightRoughRTPScore",2005
48,48,"Tim Clark",92,0.092,"ApproachesRightRoughRTPScore",2005
48,48,"Hunter Haas",83,0.092,"ApproachesRightRoughRTPScore",2005
