"FairwayApproachRTPScore_RANKTHISWEEK_2016","FairwayApproachRTPScore_RANKLASTWEEK_2016","FairwayApproachRTPScore_PLAYERNAME_2016","FairwayApproachRTPScore_ROUNDS_2016","FairwayApproachRTPScore_AVGRTP_2016","stat_name","year"
1,1,"Adam Scott",39,-0.239,"FairwayApproachRTPScore",2016
2,4,"Rickie Fowler",42,-0.183,"FairwayApproachRTPScore",2016
3,2,"Hideki Matsuyama",40,-0.182,"FairwayApproachRTPScore",2016
4,6,"Phil Mickelson",37,-0.172,"FairwayApproachRTPScore",2016
5,3,"Byeong Hun An",23,-0.171,"FairwayApproachRTPScore",2016
6,7,"Bubba Watson",30,-0.17,"FairwayApproachRTPScore",2016
7,8,"Jason Day",36,-0.164,"FairwayApproachRTPScore",2016
8,9,"Dustin Johnson",37,-0.163,"FairwayApproachRTPScore",2016
9,5,"JB Holmes",39,-0.161,"FairwayApproachRTPScore",2016
10,11,"Kevin Kisner",49,-0.15,"FairwayApproachRTPScore",2016
11,12,"Jordan Spieth",34,-0.149,"FairwayApproachRTPScore",2016
12,13,"Jimmy Walker",43,-0.148,"FairwayApproachRTPScore",2016
13,22,"Justin Rose",35,-0.144,"FairwayApproachRTPScore",2016
14,17,"Bryce Molder",50,-0.135,"FairwayApproachRTPScore",2016
15,14,"Charles Howell III",63,-0.134,"FairwayApproachRTPScore",2016
15,18,"Zach Johnson",42,-0.134,"FairwayApproachRTPScore",2016
17,19,"Charley Hoffman",49,-0.132,"FairwayApproachRTPScore",2016
18,20,"Charl Schwartzel",29,-0.131,"FairwayApproachRTPScore",2016
18,20,"Brandt Snedeker",47,-0.131,"FairwayApproachRTPScore",2016
20,24,"Marc Leishman",41,-0.128,"FairwayApproachRTPScore",2016
20,28,"Rory McIlroy",37,-0.128,"FairwayApproachRTPScore",2016
20,10,"Henrik Stenson",30,-0.128,"FairwayApproachRTPScore",2016
23,15,"Patrick Reed",53,-0.127,"FairwayApproachRTPScore",2016
24,27,"William McGirt",54,-0.126,"FairwayApproachRTPScore",2016
25,28,"Smylie Kaufman",57,-0.121,"FairwayApproachRTPScore",2016
26,16,"Kelly Kraft",35,-0.12,"FairwayApproachRTPScore",2016
27,25,"Tim Wilkinson",40,-0.119,"FairwayApproachRTPScore",2016
28,42,"Andrew Loupe",50,-0.118,"FairwayApproachRTPScore",2016
29,25,"Robert Garrigus",34,-0.117,"FairwayApproachRTPScore",2016
29,31,"Kevin Na",52,-0.117,"FairwayApproachRTPScore",2016
29,31,"Steve Stricker",25,-0.117,"FairwayApproachRTPScore",2016
32,35,"Fabian Gomez",49,-0.115,"FairwayApproachRTPScore",2016
33,31,"Adam Hadwin",53,-0.114,"FairwayApproachRTPScore",2016
34,36,"Ricky Barnes",57,-0.112,"FairwayApproachRTPScore",2016
34,30,"Ollie Schniederjans",23,-0.112,"FairwayApproachRTPScore",2016
36,34,"Daniel Berger",52,-0.111,"FairwayApproachRTPScore",2016
36,37,"Troy Merritt",41,-0.111,"FairwayApproachRTPScore",2016
38,40,"Chez Reavie",56,-0.11,"FairwayApproachRTPScore",2016
38,23,"Jhonattan Vegas",49,-0.11,"FairwayApproachRTPScore",2016
40,42,"Alex Cejka",47,-0.108,"FairwayApproachRTPScore",2016
40,37,"Bill Haas",42,-0.108,"FairwayApproachRTPScore",2016
42,46,"Patton Kizzire",57,-0.107,"FairwayApproachRTPScore",2016
43,44,"Roberto Castro",55,-0.105,"FairwayApproachRTPScore",2016
44,50,"Lucas Glover",53,-0.102,"FairwayApproachRTPScore",2016
44,64,"David Lingmerth",54,-0.102,"FairwayApproachRTPScore",2016
46,48,"Spencer Levin",62,-0.097,"FairwayApproachRTPScore",2016
47,52,"Matt Kuchar",46,-0.096,"FairwayApproachRTPScore",2016
47,40,"Johnson Wagner",44,-0.096,"FairwayApproachRTPScore",2016
49,54,"Freddie Jacobson",54,-0.095,"FairwayApproachRTPScore",2016
49,37,"Jamie Lovemark",57,-0.095,"FairwayApproachRTPScore",2016
51,49,"Nick Taylor",57,-0.094,"FairwayApproachRTPScore",2016
52,60,"Aaron Baddeley",51,-0.092,"FairwayApproachRTPScore",2016
52,60,"KJ Choi",47,-0.092,"FairwayApproachRTPScore",2016
54,73,"Chesson Hadley",51,-0.091,"FairwayApproachRTPScore",2016
54,64,"Russell Henley",42,-0.091,"FairwayApproachRTPScore",2016
54,46,"Michael Thompson",46,-0.091,"FairwayApproachRTPScore",2016
57,52,"Ryan Moore",40,-0.089,"FairwayApproachRTPScore",2016
57,54,"Camilo Villegas",50,-0.089,"FairwayApproachRTPScore",2016
59,56,"Emiliano Grillo",47,-0.088,"FairwayApproachRTPScore",2016
59,60,"David Hearn",55,-0.088,"FairwayApproachRTPScore",2016
59,56,"Kevin Streelman",46,-0.088,"FairwayApproachRTPScore",2016
62,71,"Retief Goosen",37,-0.087,"FairwayApproachRTPScore",2016
62,86,"Danny Lee",53,-0.087,"FairwayApproachRTPScore",2016
62,67,"Scott Piercy",45,-0.087,"FairwayApproachRTPScore",2016
65,66,"Si Woo Kim",63,-0.086,"FairwayApproachRTPScore",2016
65,69,"Russell Knox",48,-0.086,"FairwayApproachRTPScore",2016
67,45,"Webb Simpson",34,-0.085,"FairwayApproachRTPScore",2016
68,73,"Shane Bertsch",30,-0.082,"FairwayApproachRTPScore",2016
68,56,"Ben Martin",48,-0.082,"FairwayApproachRTPScore",2016
68,80,"Kyle Reifers",63,-0.082,"FairwayApproachRTPScore",2016
68,80,"Dawie van der Walt",48,-0.082,"FairwayApproachRTPScore",2016
72,76,"Brice Garnett",29,-0.081,"FairwayApproachRTPScore",2016
72,76,"Chris Kirk",51,-0.081,"FairwayApproachRTPScore",2016
72,69,"Harold Varner III",58,-0.081,"FairwayApproachRTPScore",2016
75,72,"Sean OHair",45,-0.08,"FairwayApproachRTPScore",2016
76,67,"Luke Donald",49,-0.079,"FairwayApproachRTPScore",2016
76,80,"Jim Herman",55,-0.079,"FairwayApproachRTPScore",2016
78,51,"Brian Stuard",24,-0.078,"FairwayApproachRTPScore",2016
79,98,"Paul Casey",39,-0.076,"FairwayApproachRTPScore",2016
80,76,"Blayne Barber",44,-0.075,"FairwayApproachRTPScore",2016
80,89,"Ryan Palmer",46,-0.075,"FairwayApproachRTPScore",2016
80,73,"John Senden",48,-0.075,"FairwayApproachRTPScore",2016
80,101,"Scott Stallings",46,-0.075,"FairwayApproachRTPScore",2016
80,89,"Brendan Steele",48,-0.075,"FairwayApproachRTPScore",2016
80,60,"David Toms",38,-0.075,"FairwayApproachRTPScore",2016
86,94,"Jon Curran",55,-0.074,"FairwayApproachRTPScore",2016
86,94,"Luke Guthrie",31,-0.074,"FairwayApproachRTPScore",2016
88,96,"Sergio Garcia",28,-0.073,"FairwayApproachRTPScore",2016
88,96,"John Huh",51,-0.073,"FairwayApproachRTPScore",2016
90,89,"Jonas Blixt",46,-0.072,"FairwayApproachRTPScore",2016
91,76,"Jason Bohn",37,-0.071,"FairwayApproachRTPScore",2016
91,98,"Jamie Donaldson",28,-0.071,"FairwayApproachRTPScore",2016
91,86,"Ernie Els",34,-0.071,"FairwayApproachRTPScore",2016
91,83,"Henrik Norlander",41,-0.071,"FairwayApproachRTPScore",2016
91,83,"Patrick Rodgers",49,-0.071,"FairwayApproachRTPScore",2016
96,89,"Kyle Stanley",57,-0.07,"FairwayApproachRTPScore",2016
97,103,"Kevin Chappell",49,-0.069,"FairwayApproachRTPScore",2016
97,89,"Tom Hoge",47,-0.069,"FairwayApproachRTPScore",2016
99,105,"Mark Hubbard",73,-0.068,"FairwayApproachRTPScore",2016
99,112,"Jeff Overton",51,-0.068,"FairwayApproachRTPScore",2016
101,105,"Stuart Appleby",39,-0.067,"FairwayApproachRTPScore",2016
101,86,"Chad Campbell",54,-0.067,"FairwayApproachRTPScore",2016
101,56,"Rob Oppenheim",37,-0.067,"FairwayApproachRTPScore",2016
101,118,"Greg Owen",56,-0.067,"FairwayApproachRTPScore",2016
105,110,"Billy Horschel",45,-0.065,"FairwayApproachRTPScore",2016
105,103,"Jason Kokrak",52,-0.065,"FairwayApproachRTPScore",2016
107,112,"Brooks Koepka",39,-0.064,"FairwayApproachRTPScore",2016
108,115,"Jason Dufner",53,-0.063,"FairwayApproachRTPScore",2016
108,83,"Martin Laird",46,-0.063,"FairwayApproachRTPScore",2016
108,115,"Hudson Swafford",52,-0.063,"FairwayApproachRTPScore",2016
108,108,"Tyrone Van Aswegen",67,-0.063,"FairwayApproachRTPScore",2016
112,118,"Graeme McDowell",33,-0.062,"FairwayApproachRTPScore",2016
112,118,"Seung Yul Noh",54,-0.062,"FairwayApproachRTPScore",2016
114,110,"Harris English",51,-0.061,"FairwayApproachRTPScore",2016
114,101,"Martin Piller",37,-0.061,"FairwayApproachRTPScore",2016
116,108,"Padraig Harrington",38,-0.06,"FairwayApproachRTPScore",2016
116,107,"Peter Malnati",53,-0.06,"FairwayApproachRTPScore",2016
118,124,"DJ Trahan",23,-0.058,"FairwayApproachRTPScore",2016
119,98,"Tyler Aldridge",53,-0.057,"FairwayApproachRTPScore",2016
119,124,"Vaughn Taylor",30,-0.057,"FairwayApproachRTPScore",2016
121,129,"Stewart Cink",45,-0.056,"FairwayApproachRTPScore",2016
121,129,"Sung Kang",51,-0.056,"FairwayApproachRTPScore",2016
121,129,"Andy Sullivan",25,-0.056,"FairwayApproachRTPScore",2016
121,129,"Daniel Summerhays",55,-0.056,"FairwayApproachRTPScore",2016
121,115,"Will Wilcox",47,-0.056,"FairwayApproachRTPScore",2016
126,124,"Cameron Tringale",47,-0.055,"FairwayApproachRTPScore",2016
127,133,"Andrew Landry",24,-0.054,"FairwayApproachRTPScore",2016
128,123,"Luke List",51,-0.053,"FairwayApproachRTPScore",2016
128,112,"Shane Lowry",35,-0.053,"FairwayApproachRTPScore",2016
128,124,"Justin Thomas",53,-0.053,"FairwayApproachRTPScore",2016
128,142,"Gary Woodland",45,-0.053,"FairwayApproachRTPScore",2016
132,118,"Graham DeLaet",50,-0.052,"FairwayApproachRTPScore",2016
132,118,"Derek Fathauer",58,-0.052,"FairwayApproachRTPScore",2016
132,135,"Cameron Percy",22,-0.052,"FairwayApproachRTPScore",2016
135,124,"Brett Stegmaier",57,-0.051,"FairwayApproachRTPScore",2016
136,137,"Bernd Wiesberger",23,-0.05,"FairwayApproachRTPScore",2016
137,136,"Brendon de Jonge",55,-0.049,"FairwayApproachRTPScore",2016
138,139,"Thomas Aiken",42,-0.047,"FairwayApproachRTPScore",2016
