"BestRoundsin60sStreak_RANKTHISWEEK_2015","BestRoundsin60sStreak_RANKLASTWEEK_2015","BestRoundsin60sStreak_PLAYERNAME_2015","BestRoundsin60sStreak__2015","BestRoundsin60sStreak_CAREERBESTSTREAK_2015","BestRoundsin60sStreak_BESTYTDSTREAK_2015","BestRoundsin60sStreak_CURRENTSTREAK_2015","stat_name","year"
1,1,"Bob Estes",NA,17,NA,NA,"BestRoundsin60sStreak",2015
2,2,"Charles Howell III",NA,16,6,NA,"BestRoundsin60sStreak",2015
3,3,"Chris DiMarco",NA,14,NA,NA,"BestRoundsin60sStreak",2015
3,3,"Scott Hoch",NA,14,NA,NA,"BestRoundsin60sStreak",2015
3,3,"Johnson Wagner",NA,14,14,NA,"BestRoundsin60sStreak",2015
3,3,"Tiger Woods",NA,14,3,NA,"BestRoundsin60sStreak",2015
7,7,"Brendon de Jonge",NA,13,7,NA,"BestRoundsin60sStreak",2015
7,7,"Harrison Frazar",NA,13,1,NA,"BestRoundsin60sStreak",2015
7,7,"Chris Kirk",NA,13,5,NA,"BestRoundsin60sStreak",2015
7,7,"Davis Love III",NA,13,4,NA,"BestRoundsin60sStreak",2015
7,7,"Scott Piercy",NA,13,9,NA,"BestRoundsin60sStreak",2015
7,7,"Webb Simpson",NA,13,5,NA,"BestRoundsin60sStreak",2015
13,13,"Briny Baird",NA,12,NA,NA,"BestRoundsin60sStreak",2015
13,13,"Joe Durant",NA,12,NA,NA,"BestRoundsin60sStreak",2015
13,13,"Billy Horschel",NA,12,4,NA,"BestRoundsin60sStreak",2015
13,13,"Shigeki Maruyama",NA,12,NA,NA,"BestRoundsin60sStreak",2015
13,13,"Mark OMeara",NA,12,1,NA,"BestRoundsin60sStreak",2015
13,13,"Tim Petrovic",NA,12,2,NA,"BestRoundsin60sStreak",2015
13,13,"Chris Riley",NA,12,1,NA,"BestRoundsin60sStreak",2015
13,13,"Kevin Sutherland",NA,12,NA,NA,"BestRoundsin60sStreak",2015
13,13,"David Toms",NA,12,5,NA,"BestRoundsin60sStreak",2015
22,22,"Brian Bateman",NA,11,NA,NA,"BestRoundsin60sStreak",2015
22,22,"Steven Bowditch",NA,11,9,NA,"BestRoundsin60sStreak",2015
22,22,"Jonathan Byrd",NA,11,5,NA,"BestRoundsin60sStreak",2015
22,22,"Ben Crane",NA,11,2,NA,"BestRoundsin60sStreak",2015
22,22,"Jason Day",NA,11,11,NA,"BestRoundsin60sStreak",2015
22,22,"David Edwards",NA,11,NA,NA,"BestRoundsin60sStreak",2015
22,22,"Jim Furyk",NA,11,7,NA,"BestRoundsin60sStreak",2015
22,22,"JP Hayes",NA,11,NA,NA,"BestRoundsin60sStreak",2015
22,22,"Jerry Kelly",NA,11,5,NA,"BestRoundsin60sStreak",2015
22,22,"Bernhard Langer",NA,11,NA,NA,"BestRoundsin60sStreak",2015
22,22,"Bruce Lietzke",NA,11,NA,NA,"BestRoundsin60sStreak",2015
22,22,"Mark McCumber",NA,11,NA,NA,"BestRoundsin60sStreak",2015
22,22,"Rory McIlroy",NA,11,4,NA,"BestRoundsin60sStreak",2015
22,22,"Jerry Pate",NA,11,NA,NA,"BestRoundsin60sStreak",2015
22,22,"Kenny Perry",NA,11,4,NA,"BestRoundsin60sStreak",2015
22,22,"John Senden",NA,11,3,NA,"BestRoundsin60sStreak",2015
22,22,"Scott Verplank",NA,11,1,NA,"BestRoundsin60sStreak",2015
39,39,"Woody Austin",NA,10,1,NA,"BestRoundsin60sStreak",2015
39,39,"Chad Campbell",NA,10,4,NA,"BestRoundsin60sStreak",2015
39,39,"Fred Couples",NA,10,NA,NA,"BestRoundsin60sStreak",2015
39,39,"Brian Davis",NA,10,6,NA,"BestRoundsin60sStreak",2015
39,39,"Steve Flesch",NA,10,2,NA,"BestRoundsin60sStreak",2015
39,39,"Carlos Franco",NA,10,NA,NA,"BestRoundsin60sStreak",2015
39,39,"David Frost",NA,10,NA,NA,"BestRoundsin60sStreak",2015
39,39,"Fred Funk",NA,10,3,NA,"BestRoundsin60sStreak",2015
39,39,"Robert Gamez",NA,10,NA,NA,"BestRoundsin60sStreak",2015
39,39,"Lucas Glover",NA,10,4,NA,"BestRoundsin60sStreak",2015
39,39,"Retief Goosen",NA,10,2,NA,"BestRoundsin60sStreak",2015
39,39,"Zach Johnson",NA,10,7,NA,"BestRoundsin60sStreak",2015
39,39,"Matt Kuchar",NA,10,4,NA,"BestRoundsin60sStreak",2015
39,39,"Rocco Mediate",NA,10,NA,NA,"BestRoundsin60sStreak",2015
39,39,"Corey Pavin",NA,10,NA,NA,"BestRoundsin60sStreak",2015
39,39,"David Peoples",NA,10,NA,NA,"BestRoundsin60sStreak",2015
39,39,"Tom Pernice Jr",NA,10,NA,NA,"BestRoundsin60sStreak",2015
39,39,"Carl Pettersson",NA,10,5,NA,"BestRoundsin60sStreak",2015
39,39,"Mike Reid",NA,10,NA,NA,"BestRoundsin60sStreak",2015
39,39,"Loren Roberts",NA,10,NA,NA,"BestRoundsin60sStreak",2015
39,39,"Gene Sauers",NA,10,NA,NA,"BestRoundsin60sStreak",2015
39,39,"Tom Sieckmann",NA,10,NA,NA,"BestRoundsin60sStreak",2015
39,39,"Joey Sindelar",NA,10,NA,NA,"BestRoundsin60sStreak",2015
39,39,"Chris Smith",NA,10,3,NA,"BestRoundsin60sStreak",2015
39,39,"Brandt Snedeker",NA,10,5,NA,"BestRoundsin60sStreak",2015
39,39,"Kevin Streelman",NA,10,5,NA,"BestRoundsin60sStreak",2015
39,39,"Jhonattan Vegas",NA,10,3,NA,"BestRoundsin60sStreak",2015
39,39,"Grant Waite",NA,10,NA,NA,"BestRoundsin60sStreak",2015
67,67,"Billy Andrade",NA,9,NA,NA,"BestRoundsin60sStreak",2015
67,67,"Stuart Appleby",NA,9,7,NA,"BestRoundsin60sStreak",2015
67,67,"Tommy Armour III",NA,9,NA,NA,"BestRoundsin60sStreak",2015
67,67,"Aaron Baddeley",NA,9,3,NA,"BestRoundsin60sStreak",2015
67,67,"Cameron Beckman",NA,9,1,NA,"BestRoundsin60sStreak",2015
67,67,"Notah Begay III",NA,9,NA,NA,"BestRoundsin60sStreak",2015
67,67,"Bart Bryant",NA,9,NA,NA,"BestRoundsin60sStreak",2015
67,67,"Brad Bryant",NA,9,NA,NA,"BestRoundsin60sStreak",2015
67,67,"Mark Calcavecchia",NA,9,NA,NA,"BestRoundsin60sStreak",2015
67,67,"Bud Cauley",NA,9,NA,NA,"BestRoundsin60sStreak",2015
67,67,"KJ Choi",NA,9,3,NA,"BestRoundsin60sStreak",2015
67,67,"Stewart Cink",NA,9,3,NA,"BestRoundsin60sStreak",2015
67,67,"Lennie Clements",NA,9,NA,NA,"BestRoundsin60sStreak",2015
67,67,"Ernie Els",NA,9,2,NA,"BestRoundsin60sStreak",2015
67,67,"Rickie Fowler",NA,9,9,NA,"BestRoundsin60sStreak",2015
67,67,"Sergio Garcia",NA,9,4,NA,"BestRoundsin60sStreak",2015
67,67,"Brian Gay",NA,9,NA,NA,"BestRoundsin60sStreak",2015
67,67,"Paul Goydos",NA,9,1,NA,"BestRoundsin60sStreak",2015
67,67,"Jay Haas",NA,9,NA,NA,"BestRoundsin60sStreak",2015
67,67,"Bill Haas",NA,9,4,NA,"BestRoundsin60sStreak",2015
67,67,"Padraig Harrington",NA,9,2,NA,"BestRoundsin60sStreak",2015
67,67,"Justin Hicks",NA,9,2,NA,"BestRoundsin60sStreak",2015
67,67,"John Huston",NA,9,NA,NA,"BestRoundsin60sStreak",2015
67,67,"Tom Lehman",NA,9,1,NA,"BestRoundsin60sStreak",2015
67,67,"Justin Leonard",NA,9,4,NA,"BestRoundsin60sStreak",2015
67,67,"Steve Marino",NA,9,NA,NA,"BestRoundsin60sStreak",2015
67,67,"Troy Matteson",NA,9,2,NA,"BestRoundsin60sStreak",2015
67,67,"Blaine McCallister",NA,9,NA,NA,"BestRoundsin60sStreak",2015
67,67,"Phil Mickelson",NA,9,4,NA,"BestRoundsin60sStreak",2015
67,67,"Francesco Molinari",NA,9,5,NA,"BestRoundsin60sStreak",2015
67,67,"Gil Morgan",NA,9,NA,NA,"BestRoundsin60sStreak",2015
67,67,"Kevin Na",NA,9,3,NA,"BestRoundsin60sStreak",2015
67,67,"Greg Norman",NA,9,NA,NA,"BestRoundsin60sStreak",2015
67,67,"Jesper Parnevik",NA,9,NA,NA,"BestRoundsin60sStreak",2015
67,67,"Chris Perry",NA,9,NA,NA,"BestRoundsin60sStreak",2015
67,67,"Heath Slocum",NA,9,2,NA,"BestRoundsin60sStreak",2015
67,67,"Jeff Sluman",NA,9,NA,NA,"BestRoundsin60sStreak",2015
67,67,"Steve Stricker",NA,9,2,NA,"BestRoundsin60sStreak",2015
67,67,"Hal Sutton",NA,9,NA,NA,"BestRoundsin60sStreak",2015
67,67,"Nicholas Thompson",NA,9,4,NA,"BestRoundsin60sStreak",2015
67,67,"Brendon Todd",NA,9,6,NA,"BestRoundsin60sStreak",2015
67,67,"Kirk Triplett",NA,9,NA,NA,"BestRoundsin60sStreak",2015
67,67,"Bob Tway",NA,9,NA,NA,"BestRoundsin60sStreak",2015
67,67,"Mike Weir",NA,9,1,NA,"BestRoundsin60sStreak",2015
67,67,"Mark Wilson",NA,9,4,NA,"BestRoundsin60sStreak",2015
112,112,"John Adams",NA,8,NA,NA,"BestRoundsin60sStreak",2015
112,112,"Robert Allenby",NA,8,2,NA,"BestRoundsin60sStreak",2015
112,112,"Paul Azinger",NA,8,NA,NA,"BestRoundsin60sStreak",2015
112,112,"Ian Baker Finch",NA,8,NA,NA,"BestRoundsin60sStreak",2015
112,112,"Andy Bean",NA,8,NA,NA,"BestRoundsin60sStreak",2015
112,112,"Matt Bettencourt",NA,8,2,NA,"BestRoundsin60sStreak",2015
112,112,"Jason Bohn",NA,8,7,NA,"BestRoundsin60sStreak",2015
112,112,"Keegan Bradley",NA,8,3,NA,"BestRoundsin60sStreak",2015
112,112,"Rex Caldwell",NA,8,NA,NA,"BestRoundsin60sStreak",2015
112,112,"Jim Carter",NA,8,NA,NA,"BestRoundsin60sStreak",2015
112,112,"Bobby Clampett",NA,8,NA,NA,"BestRoundsin60sStreak",2015
112,112,"Tim Clark",NA,8,3,NA,"BestRoundsin60sStreak",2015
112,112,"Russ Cochran",NA,8,NA,NA,"BestRoundsin60sStreak",2015
112,112,"Chad Collins",NA,8,7,NA,"BestRoundsin60sStreak",2015
112,112,"John Cook",NA,8,NA,NA,"BestRoundsin60sStreak",2015
112,112,"Ken Duke",NA,8,5,NA,"BestRoundsin60sStreak",2015
112,112,"David Duval",NA,8,1,NA,"BestRoundsin60sStreak",2015
112,112,"Matt Every",NA,8,4,NA,"BestRoundsin60sStreak",2015
112,112,"Bob Gilder",NA,8,NA,NA,"BestRoundsin60sStreak",2015
112,112,"Bill Glasson",NA,8,NA,NA,"BestRoundsin60sStreak",2015
112,112,"Hubert Green",NA,8,NA,NA,"BestRoundsin60sStreak",2015
112,112,"Ken Green",NA,8,NA,NA,"BestRoundsin60sStreak",2015
112,112,"Donnie Hammond",NA,8,NA,NA,"BestRoundsin60sStreak",2015
112,112,"Dudley Hart",NA,8,2,NA,"BestRoundsin60sStreak",2015
112,112,"Mark Hayes",NA,8,NA,NA,"BestRoundsin60sStreak",2015
112,112,"Jim Herman",NA,8,4,NA,"BestRoundsin60sStreak",2015
112,112,"Charley Hoffman",NA,8,4,NA,"BestRoundsin60sStreak",2015
112,112,"Mike Hulbert",NA,8,NA,NA,"BestRoundsin60sStreak",2015
112,112,"Hale Irwin",NA,8,NA,NA,"BestRoundsin60sStreak",2015
112,112,"Dustin Johnson",NA,8,4,NA,"BestRoundsin60sStreak",2015
112,112,"Steve Jones",NA,8,NA,NA,"BestRoundsin60sStreak",2015
112,112,"Matt Jones",NA,8,4,NA,"BestRoundsin60sStreak",2015
112,112,"Tom Kite",NA,8,NA,NA,"BestRoundsin60sStreak",2015
112,112,"Jeff Klauk",NA,8,NA,NA,"BestRoundsin60sStreak",2015
112,112,"Greg Kraft",NA,8,NA,NA,"BestRoundsin60sStreak",2015
112,112,"Martin Laird",NA,8,8,NA,"BestRoundsin60sStreak",2015
112,112,"Danny Lee",NA,8,8,NA,"BestRoundsin60sStreak",2015
112,112,"Ian Leggatt",NA,8,NA,NA,"BestRoundsin60sStreak",2015
112,112,"Marc Leishman",NA,8,3,NA,"BestRoundsin60sStreak",2015
112,112,"Spencer Levin",NA,8,5,NA,"BestRoundsin60sStreak",2015
