"YTDRoundsin60sStreak_RANKTHISWEEK_2009","YTDRoundsin60sStreak_RANKLASTWEEK_2009","YTDRoundsin60sStreak_PLAYERNAME_2009","YTDRoundsin60sStreak__2009","YTDRoundsin60sStreak_BESTSTREAK_2009","stat_name","year"
1,1,"David Toms",NA,12,"YTDRoundsin60sStreak",2009
2,2,"Ben Crane",NA,11,"YTDRoundsin60sStreak",2009
3,3,"Brian Davis",NA,10,"YTDRoundsin60sStreak",2009
3,3,"Chris DiMarco",NA,10,"YTDRoundsin60sStreak",2009
3,3,"James Nitties",NA,10,"YTDRoundsin60sStreak",2009
3,3,"Tom Pernice Jr",NA,10,"YTDRoundsin60sStreak",2009
7,7,"Rickie Fowler",NA,9,"YTDRoundsin60sStreak",2009
7,7,"Padraig Harrington",NA,9,"YTDRoundsin60sStreak",2009
7,7,"Steve Marino",NA,9,"YTDRoundsin60sStreak",2009
10,10,"Chad Campbell",NA,8,"YTDRoundsin60sStreak",2009
10,10,"Charley Hoffman",NA,8,"YTDRoundsin60sStreak",2009
10,10,"Zach Johnson",NA,8,"YTDRoundsin60sStreak",2009
10,10,"Jeff Klauk",NA,8,"YTDRoundsin60sStreak",2009
10,10,"Chris Riley",NA,8,"YTDRoundsin60sStreak",2009
10,10,"Webb Simpson",NA,8,"YTDRoundsin60sStreak",2009
10,10,"Tiger Woods",NA,8,"YTDRoundsin60sStreak",2009
17,17,"Michael Allen",NA,7,"YTDRoundsin60sStreak",2009
17,17,"Stephen Ames",NA,7,"YTDRoundsin60sStreak",2009
17,17,"Tim Clark",NA,7,"YTDRoundsin60sStreak",2009
17,17,"James Driscoll",NA,7,"YTDRoundsin60sStreak",2009
17,17,"Steve Elkington",NA,7,"YTDRoundsin60sStreak",2009
17,17,"Paul Goydos",NA,7,"YTDRoundsin60sStreak",2009
17,17,"Bill Haas",NA,7,"YTDRoundsin60sStreak",2009
17,17,"Tim Herron",NA,7,"YTDRoundsin60sStreak",2009
17,17,"Cliff Kresge",NA,7,"YTDRoundsin60sStreak",2009
17,17,"Michael Letzig",NA,7,"YTDRoundsin60sStreak",2009
17,17,"David Mathis",NA,7,"YTDRoundsin60sStreak",2009
17,17,"Scott McCarron",NA,7,"YTDRoundsin60sStreak",2009
17,17,"Ryan Moore",NA,7,"YTDRoundsin60sStreak",2009
17,17,"Geoff Ogilvy",NA,7,"YTDRoundsin60sStreak",2009
17,17,"John Senden",NA,7,"YTDRoundsin60sStreak",2009
17,17,"Vijay Singh",NA,7,"YTDRoundsin60sStreak",2009
17,17,"Steve Stricker",NA,7,"YTDRoundsin60sStreak",2009
34,34,"Briny Baird",NA,6,"YTDRoundsin60sStreak",2009
34,34,"Greg Chalmers",NA,6,"YTDRoundsin60sStreak",2009
34,34,"Bob Estes",NA,6,"YTDRoundsin60sStreak",2009
34,34,"Jim Furyk",NA,6,"YTDRoundsin60sStreak",2009
34,34,"Lucas Glover",NA,6,"YTDRoundsin60sStreak",2009
34,34,"Ryuji Imada",NA,6,"YTDRoundsin60sStreak",2009
34,34,"Jerry Kelly",NA,6,"YTDRoundsin60sStreak",2009
34,34,"Matt Kuchar",NA,6,"YTDRoundsin60sStreak",2009
34,34,"Martin Laird",NA,6,"YTDRoundsin60sStreak",2009
34,34,"Danny Lee",NA,6,"YTDRoundsin60sStreak",2009
34,34,"Justin Leonard",NA,6,"YTDRoundsin60sStreak",2009
34,34,"Bill Lunde",NA,6,"YTDRoundsin60sStreak",2009
34,34,"Hunter Mahan",NA,6,"YTDRoundsin60sStreak",2009
34,34,"Billy Mayfair",NA,6,"YTDRoundsin60sStreak",2009
34,34,"Sean OHair",NA,6,"YTDRoundsin60sStreak",2009
34,34,"Pat Perez",NA,6,"YTDRoundsin60sStreak",2009
34,34,"Kenny Perry",NA,6,"YTDRoundsin60sStreak",2009
34,34,"Ted Purdy",NA,6,"YTDRoundsin60sStreak",2009
34,34,"Brett Quigley",NA,6,"YTDRoundsin60sStreak",2009
34,34,"Chez Reavie",NA,6,"YTDRoundsin60sStreak",2009
34,34,"Andres Romero",NA,6,"YTDRoundsin60sStreak",2009
34,34,"Patrick Sheehan",NA,6,"YTDRoundsin60sStreak",2009
34,34,"Brandt Snedeker",NA,6,"YTDRoundsin60sStreak",2009
34,34,"Scott Verplank",NA,6,"YTDRoundsin60sStreak",2009
34,34,"Matt Weibring",NA,6,"YTDRoundsin60sStreak",2009
59,59,"Robert Allenby",NA,5,"YTDRoundsin60sStreak",2009
59,59,"Woody Austin",NA,5,"YTDRoundsin60sStreak",2009
59,59,"Aaron Baddeley",NA,5,"YTDRoundsin60sStreak",2009
59,59,"Cameron Beckman",NA,5,"YTDRoundsin60sStreak",2009
59,59,"Matt Bettencourt",NA,5,"YTDRoundsin60sStreak",2009
59,59,"Jason Bohn",NA,5,"YTDRoundsin60sStreak",2009
59,59,"Alex Cejka",NA,5,"YTDRoundsin60sStreak",2009
59,59,"Stewart Cink",NA,5,"YTDRoundsin60sStreak",2009
59,59,"Ben Curtis",NA,5,"YTDRoundsin60sStreak",2009
59,59,"Jason Day",NA,5,"YTDRoundsin60sStreak",2009
59,59,"Luke Donald",NA,5,"YTDRoundsin60sStreak",2009
59,59,"Harrison Frazar",NA,5,"YTDRoundsin60sStreak",2009
59,59,"Robert Garrigus",NA,5,"YTDRoundsin60sStreak",2009
59,59,"Brian Gay",NA,5,"YTDRoundsin60sStreak",2009
59,59,"Nathan Green",NA,5,"YTDRoundsin60sStreak",2009
59,59,"JJ Henry",NA,5,"YTDRoundsin60sStreak",2009
59,59,"Charles Howell III",NA,5,"YTDRoundsin60sStreak",2009
59,59,"Freddie Jacobson",NA,5,"YTDRoundsin60sStreak",2009
59,59,"Dustin Johnson",NA,5,"YTDRoundsin60sStreak",2009
59,59,"Anthony Kim",NA,5,"YTDRoundsin60sStreak",2009
59,59,"Marc Leishman",NA,5,"YTDRoundsin60sStreak",2009
59,59,"Frank Lickliter II",NA,5,"YTDRoundsin60sStreak",2009
59,59,"Jamie Lovemark",NA,5,"YTDRoundsin60sStreak",2009
59,59,"Troy Matteson",NA,5,"YTDRoundsin60sStreak",2009
59,59,"George McNeill",NA,5,"YTDRoundsin60sStreak",2009
59,59,"John Merrick",NA,5,"YTDRoundsin60sStreak",2009
59,59,"Bryce Molder",NA,5,"YTDRoundsin60sStreak",2009
59,59,"Kevin Na",NA,5,"YTDRoundsin60sStreak",2009
59,59,"Nick OHern",NA,5,"YTDRoundsin60sStreak",2009
59,59,"Leif Olson",NA,5,"YTDRoundsin60sStreak",2009
59,59,"Greg Owen",NA,5,"YTDRoundsin60sStreak",2009
59,59,"Tim Petrovic",NA,5,"YTDRoundsin60sStreak",2009
59,59,"Scott Piercy",NA,5,"YTDRoundsin60sStreak",2009
59,59,"DA Points",NA,5,"YTDRoundsin60sStreak",2009
59,59,"Aron Price",NA,5,"YTDRoundsin60sStreak",2009
59,59,"Justin Rose",NA,5,"YTDRoundsin60sStreak",2009
59,59,"Heath Slocum",NA,5,"YTDRoundsin60sStreak",2009
59,59,"Jeff Sluman",NA,5,"YTDRoundsin60sStreak",2009
59,59,"Chris Stroud",NA,5,"YTDRoundsin60sStreak",2009
59,59,"Kevin Sutherland",NA,5,"YTDRoundsin60sStreak",2009
59,59,"DJ Trahan",NA,5,"YTDRoundsin60sStreak",2009
59,59,"Bo Van Pelt",NA,5,"YTDRoundsin60sStreak",2009
59,59,"Boo Weekley",NA,5,"YTDRoundsin60sStreak",2009
102,102,"Rich Beem",NA,4,"YTDRoundsin60sStreak",2009
102,102,"Angel Cabrera",NA,4,"YTDRoundsin60sStreak",2009
102,102,"Paul Casey",NA,4,"YTDRoundsin60sStreak",2009
102,102,"KJ Choi",NA,4,"YTDRoundsin60sStreak",2009
102,102,"Chris Couch",NA,4,"YTDRoundsin60sStreak",2009
102,102,"Fred Couples",NA,4,"YTDRoundsin60sStreak",2009
102,102,"Marco Dawson",NA,4,"YTDRoundsin60sStreak",2009
102,102,"Brendon de Jonge",NA,4,"YTDRoundsin60sStreak",2009
102,102,"Jason Dufner",NA,4,"YTDRoundsin60sStreak",2009
102,102,"Joe Durant",NA,4,"YTDRoundsin60sStreak",2009
102,102,"Steve Flesch",NA,4,"YTDRoundsin60sStreak",2009
102,102,"Retief Goosen",NA,4,"YTDRoundsin60sStreak",2009
102,102,"Mathias Gronberg",NA,4,"YTDRoundsin60sStreak",2009
102,102,"Scott Gutschewski",NA,4,"YTDRoundsin60sStreak",2009
102,102,"Richard Johnson",NA,4,"YTDRoundsin60sStreak",2009
102,102,"Matt Jones",NA,4,"YTDRoundsin60sStreak",2009
102,102,"Tom Lehman",NA,4,"YTDRoundsin60sStreak",2009
102,102,"Spencer Levin",NA,4,"YTDRoundsin60sStreak",2009
102,102,"Peter Lonard",NA,4,"YTDRoundsin60sStreak",2009
102,102,"Steve Lowery",NA,4,"YTDRoundsin60sStreak",2009
102,102,"Will Ma Kenzie",NA,4,"YTDRoundsin60sStreak",2009
102,102,"John Mallinger",NA,4,"YTDRoundsin60sStreak",2009
102,102,"Parker McLachlin",NA,4,"YTDRoundsin60sStreak",2009
102,102,"Rocco Mediate",NA,4,"YTDRoundsin60sStreak",2009
102,102,"Phil Mickelson",NA,4,"YTDRoundsin60sStreak",2009
102,102,"Arron Oberholser",NA,4,"YTDRoundsin60sStreak",2009
102,102,"Jeff Overton",NA,4,"YTDRoundsin60sStreak",2009
102,102,"Ryan Palmer",NA,4,"YTDRoundsin60sStreak",2009
102,102,"Corey Pavin",NA,4,"YTDRoundsin60sStreak",2009
102,102,"Ian Poulter",NA,4,"YTDRoundsin60sStreak",2009
102,102,"Jeff Quinney",NA,4,"YTDRoundsin60sStreak",2009
102,102,"Tag Ridings",NA,4,"YTDRoundsin60sStreak",2009
102,102,"Loren Roberts",NA,4,"YTDRoundsin60sStreak",2009
102,102,"John Rollins",NA,4,"YTDRoundsin60sStreak",2009
102,102,"Rory Sabbatini",NA,4,"YTDRoundsin60sStreak",2009
102,102,"Jeev Milkha Singh",NA,4,"YTDRoundsin60sStreak",2009
102,102,"Kevin Stadler",NA,4,"YTDRoundsin60sStreak",2009
102,102,"Kyle Stanley",NA,4,"YTDRoundsin60sStreak",2009
102,102,"Scott Sterling",NA,4,"YTDRoundsin60sStreak",2009
102,102,"Kevin Streelman",NA,4,"YTDRoundsin60sStreak",2009
102,102,"Vaughn Taylor",NA,4,"YTDRoundsin60sStreak",2009
102,102,"Nicholas Thompson",NA,4,"YTDRoundsin60sStreak",2009
102,102,"Kirk Triplett",NA,4,"YTDRoundsin60sStreak",2009
102,102,"Omar Uresti",NA,4,"YTDRoundsin60sStreak",2009
102,102,"Johnson Wagner",NA,4,"YTDRoundsin60sStreak",2009
102,102,"Jimmy Walker",NA,4,"YTDRoundsin60sStreak",2009
102,102,"Charles Warren",NA,4,"YTDRoundsin60sStreak",2009
102,102,"Bubba Watson",NA,4,"YTDRoundsin60sStreak",2009
102,102,"Mike Weir",NA,4,"YTDRoundsin60sStreak",2009
102,102,"Charlie Wi",NA,4,"YTDRoundsin60sStreak",2009
102,102,"Garrett Willis",NA,4,"YTDRoundsin60sStreak",2009
102,102,"Dean Wilson",NA,4,"YTDRoundsin60sStreak",2009
102,102,"Mark Wilson",NA,4,"YTDRoundsin60sStreak",2009
102,102,"Casey Wittenberg",NA,4,"YTDRoundsin60sStreak",2009
102,102,"YE Yang",NA,4,"YTDRoundsin60sStreak",2009
157,157,"Brad Adamonis",NA,3,"YTDRoundsin60sStreak",2009
157,157,"Tommy Armour III",NA,3,"YTDRoundsin60sStreak",2009
157,157,"Eric Axley",NA,3,"YTDRoundsin60sStreak",2009
157,157,"David Berganio Jr",NA,3,"YTDRoundsin60sStreak",2009
157,157,"Ronnie Black",NA,3,"YTDRoundsin60sStreak",2009
157,157,"Kris Blanks",NA,3,"YTDRoundsin60sStreak",2009
157,157,"Michael Bradley",NA,3,"YTDRoundsin60sStreak",2009
157,157,"Mark Brooks",NA,3,"YTDRoundsin60sStreak",2009
