"BestSubParRoundsStreak_RANKTHISWEEK_2006","BestSubParRoundsStreak_RANKLASTWEEK_2006","BestSubParRoundsStreak_PLAYERNAME_2006","BestSubParRoundsStreak__2006","BestSubParRoundsStreak_CAREERBESTSTREAK_2006","BestSubParRoundsStreak_BESTYTDSTREAK_2006","BestSubParRoundsStreak_CURRENTSTREAK_2006","stat_name","year"
1,1,"Tim Petrovic",NA,26,9,NA,"BestSubParRoundsStreak",2006
2,2,"Jeff Sluman",NA,23,6,NA,"BestSubParRoundsStreak",2006
3,3,"Tim Clark",NA,22,4,NA,"BestSubParRoundsStreak",2006
3,3,"Fred Couples",NA,22,3,NA,"BestSubParRoundsStreak",2006
3,3,"Scott McCarron",NA,22,4,NA,"BestSubParRoundsStreak",2006
6,6,"Stuart Appleby",NA,21,7,NA,"BestSubParRoundsStreak",2006
6,6,"Bob Estes",NA,21,4,NA,"BestSubParRoundsStreak",2006
6,6,"Scott Verplank",NA,21,8,NA,"BestSubParRoundsStreak",2006
9,9,"Jay Don Blake",NA,20,NA,NA,"BestSubParRoundsStreak",2006
9,9,"Joey Sindelar",NA,20,5,NA,"BestSubParRoundsStreak",2006
11,11,"Joe Durant",NA,19,10,NA,"BestSubParRoundsStreak",2006
11,11,"Jesper Parnevik",NA,19,7,NA,"BestSubParRoundsStreak",2006
11,11,"Dan Pohl",NA,19,NA,NA,"BestSubParRoundsStreak",2006
14,14,"Glen Day",NA,18,2,NA,"BestSubParRoundsStreak",2006
14,14,"Chris DiMarco",NA,18,6,NA,"BestSubParRoundsStreak",2006
14,14,"Retief Goosen",NA,18,9,NA,"BestSubParRoundsStreak",2006
14,14,"Charles Howell III",NA,18,8,NA,"BestSubParRoundsStreak",2006
14,14,"Craig Parry",NA,18,4,NA,"BestSubParRoundsStreak",2006
19,19,"Ronnie Black",NA,17,NA,NA,"BestSubParRoundsStreak",2006
19,19,"Jonathan Byrd",NA,17,7,NA,"BestSubParRoundsStreak",2006
19,19,"Ed Fiori",NA,17,NA,NA,"BestSubParRoundsStreak",2006
19,19,"Donnie Hammond",NA,17,4,NA,"BestSubParRoundsStreak",2006
19,19,"Roger Maltbie",NA,17,NA,NA,"BestSubParRoundsStreak",2006
19,19,"Shigeki Maruyama",NA,17,7,NA,"BestSubParRoundsStreak",2006
19,19,"Mark OMeara",NA,17,4,NA,"BestSubParRoundsStreak",2006
