"YTDSubParRoundsStreak_RANKTHISWEEK_2009","YTDSubParRoundsStreak_RANKLASTWEEK_2009","YTDSubParRoundsStreak_PLAYERNAME_2009","YTDSubParRoundsStreak__2009","YTDSubParRoundsStreak_VALUE_2009","stat_name","year"
1,1,"Ben Crane",NA,15,"YTDSubParRoundsStreak",2009
1,1,"Brian Davis",NA,15,"YTDSubParRoundsStreak",2009
3,3,"Matt Kuchar",NA,14,"YTDSubParRoundsStreak",2009
4,4,"Kenny Perry",NA,13,"YTDSubParRoundsStreak",2009
5,5,"Chris DiMarco",NA,12,"YTDSubParRoundsStreak",2009
5,5,"Tim Herron",NA,12,"YTDSubParRoundsStreak",2009
5,5,"David Toms",NA,12,"YTDSubParRoundsStreak",2009
8,8,"Tim Clark",NA,11,"YTDSubParRoundsStreak",2009
8,8,"Richard Johnson",NA,11,"YTDSubParRoundsStreak",2009
8,8,"Dustin Johnson",NA,11,"YTDSubParRoundsStreak",2009
8,8,"Chris Riley",NA,11,"YTDSubParRoundsStreak",2009
8,8,"Scott Verplank",NA,11,"YTDSubParRoundsStreak",2009
13,13,"Cameron Beckman",NA,10,"YTDSubParRoundsStreak",2009
13,13,"Jim Furyk",NA,10,"YTDSubParRoundsStreak",2009
13,13,"Brian Gay",NA,10,"YTDSubParRoundsStreak",2009
13,13,"Charley Hoffman",NA,10,"YTDSubParRoundsStreak",2009
13,13,"Charles Howell III",NA,10,"YTDSubParRoundsStreak",2009
13,13,"Matt Jones",NA,10,"YTDSubParRoundsStreak",2009
13,13,"Jerry Kelly",NA,10,"YTDSubParRoundsStreak",2009
13,13,"James Nitties",NA,10,"YTDSubParRoundsStreak",2009
13,13,"Joe Ogilvie",NA,10,"YTDSubParRoundsStreak",2009
13,13,"Corey Pavin",NA,10,"YTDSubParRoundsStreak",2009
13,13,"Tom Pernice Jr",NA,10,"YTDSubParRoundsStreak",2009
13,13,"Scott Piercy",NA,10,"YTDSubParRoundsStreak",2009
13,13,"DA Points",NA,10,"YTDSubParRoundsStreak",2009
