"Approach150175yardsRTPScore_RANKTHISWEEK_2014","Approach150175yardsRTPScore_RANKLASTWEEK_2014","Approach150175yardsRTPScore_PLAYERNAME_2014","Approach150175yardsRTPScore_ROUNDS_2014","Approach150175yardsRTPScore_AVGRTP_2014","stat_name","year"
1,1,"Graeme McDowell",66,-0.188,"Approach150175yardsRTPScore",2014
2,2,"Paul Casey",56,-0.156,"Approach150175yardsRTPScore",2014
3,3,"Dustin Johnson",58,-0.148,"Approach150175yardsRTPScore",2014
4,4,"John Huh",87,-0.146,"Approach150175yardsRTPScore",2014
4,4,"Brooks Koepka",56,-0.146,"Approach150175yardsRTPScore",2014
6,6,"Henrik Stenson",56,-0.14,"Approach150175yardsRTPScore",2014
7,7,"Ben Crane",81,-0.129,"Approach150175yardsRTPScore",2014
7,7,"Ernie Els",85,-0.129,"Approach150175yardsRTPScore",2014
9,9,"Gary Woodland",93,-0.128,"Approach150175yardsRTPScore",2014
10,10,"Chris Stroud",88,-0.12,"Approach150175yardsRTPScore",2014
11,11,"Retief Goosen",94,-0.119,"Approach150175yardsRTPScore",2014
12,12,"Russell Knox",92,-0.115,"Approach150175yardsRTPScore",2014
12,12,"Adam Scott",68,-0.115,"Approach150175yardsRTPScore",2014
12,12,"Webb Simpson",87,-0.115,"Approach150175yardsRTPScore",2014
15,15,"Jonas Blixt",64,-0.113,"Approach150175yardsRTPScore",2014
16,16,"Jimmy Walker",98,-0.112,"Approach150175yardsRTPScore",2014
17,17,"Patrick Reed",92,-0.107,"Approach150175yardsRTPScore",2014
18,18,"Marc Leishman",81,-0.106,"Approach150175yardsRTPScore",2014
19,19,"Jason Day",54,-0.105,"Approach150175yardsRTPScore",2014
20,20,"David Hearn",97,-0.104,"Approach150175yardsRTPScore",2014
20,20,"Brendon Todd",108,-0.104,"Approach150175yardsRTPScore",2014
22,22,"Chris Kirk",105,-0.097,"Approach150175yardsRTPScore",2014
22,22,"Kevin Kisner",85,-0.097,"Approach150175yardsRTPScore",2014
24,24,"Rory McIlroy",66,-0.096,"Approach150175yardsRTPScore",2014
25,25,"Brian Harman",111,-0.095,"Approach150175yardsRTPScore",2014
26,26,"Chad Campbell",57,-0.091,"Approach150175yardsRTPScore",2014
27,27,"Heath Slocum",71,-0.088,"Approach150175yardsRTPScore",2014
28,28,"Ken Duke",80,-0.086,"Approach150175yardsRTPScore",2014
28,28,"Spencer Levin",59,-0.086,"Approach150175yardsRTPScore",2014
28,28,"Jamie Lovemark",64,-0.086,"Approach150175yardsRTPScore",2014
31,31,"Morgan Hoffmann",103,-0.081,"Approach150175yardsRTPScore",2014
32,32,"Greg Chalmers",85,-0.08,"Approach150175yardsRTPScore",2014
32,32,"Cameron Tringale",111,-0.08,"Approach150175yardsRTPScore",2014
34,34,"Jim Furyk",84,-0.078,"Approach150175yardsRTPScore",2014
34,34,"Ryo Ishikawa",75,-0.078,"Approach150175yardsRTPScore",2014
34,34,"Ryan Palmer",85,-0.078,"Approach150175yardsRTPScore",2014
34,34,"Brian Stuard",91,-0.078,"Approach150175yardsRTPScore",2014
