"ScramblingAverageDistancetoHole_RANKTHISWEEK_2007","ScramblingAverageDistancetoHole_RANKLASTWEEK_2007","ScramblingAverageDistancetoHole_PLAYERNAME_2007","ScramblingAverageDistancetoHole_ROUNDS_2007","ScramblingAverageDistancetoHole_AVGDTP_2007","ScramblingAverageDistancetoHole_TOTALDISTANCEFEET_2007","ScramblingAverageDistancetoHole_ATTEMPTS_2007","stat_name","year"
1,1,"Jim Furyk",84,NA,1897.25,306,"ScramblingAverageDistancetoHole",2007
2,2,"Steve Stricker",81,NA,2047.583,323,"ScramblingAverageDistancetoHole",2007
3,3,"Phil Mickelson",73,NA,1759.917,263,"ScramblingAverageDistancetoHole",2007
4,4,"Mark Brooks",53,NA,1529.417,222,"ScramblingAverageDistancetoHole",2007
4,4,"Heath Slocum",101,NA,3354.583,487,"ScramblingAverageDistancetoHole",2007
6,6,"Mike Weir",82,NA,2288.5,328,"ScramblingAverageDistancetoHole",2007
7,7,"Stuart Appleby",74,NA,2324.833,328,"ScramblingAverageDistancetoHole",2007
8,8,"Sergio Garcia",68,NA,2100.417,293,"ScramblingAverageDistancetoHole",2007
9,9,"Alex Cejka",80,NA,2653.667,365,"ScramblingAverageDistancetoHole",2007
9,9,"Padraig Harrington",64,NA,1951.083,270,"ScramblingAverageDistancetoHole",2007
9,9,"Matt Kuchar",85,NA,2815.5,389,"ScramblingAverageDistancetoHole",2007
9,9,"Rory Sabbatini",81,NA,2748.75,378,"ScramblingAverageDistancetoHole",2007
13,13,"Luke Donald",69,NA,2053.25,279,"ScramblingAverageDistancetoHole",2007
13,13,"Ernie Els",59,NA,1606,218,"ScramblingAverageDistancetoHole",2007
13,13,"Justin Leonard",95,NA,3048.667,416,"ScramblingAverageDistancetoHole",2007
13,13,"David Toms",80,NA,2460.417,335,"ScramblingAverageDistancetoHole",2007
17,17,"Chris Riley",59,NA,2285.167,307,"ScramblingAverageDistancetoHole",2007
18,18,"Sean OHair",98,NA,3072.5,406,"ScramblingAverageDistancetoHole",2007
18,18,"Geoff Ogilvy",84,NA,2634.25,349,"ScramblingAverageDistancetoHole",2007
18,18,"Tim Petrovic",106,NA,4167.833,548,"ScramblingAverageDistancetoHole",2007
18,18,"Justin Rose",63,NA,1560.083,205,"ScramblingAverageDistancetoHole",2007
18,18,"Vijay Singh",102,NA,3298.417,435,"ScramblingAverageDistancetoHole",2007
