"YTDParorBetterStreak_RANKTHISWEEK_2015","YTDParorBetterStreak_RANKLASTWEEK_2015","YTDParorBetterStreak_PLAYERNAME_2015","YTDParorBetterStreak__2015","YTDParorBetterStreak_NUMBEROFROUNDS_2015","stat_name","year"
1,1,"Jason Day",NA,22,"YTDParorBetterStreak",2015
2,2,"Patrick Reed",NA,21,"YTDParorBetterStreak",2015
3,3,"Francesco Molinari",NA,20,"YTDParorBetterStreak",2015
4,4,"JJ Henry",NA,19,"YTDParorBetterStreak",2015
4,4,"Rory McIlroy",NA,19,"YTDParorBetterStreak",2015
4,4,"Justin Thomas",NA,19,"YTDParorBetterStreak",2015
7,7,"Alex Prugh",NA,18,"YTDParorBetterStreak",2015
8,8,"Bill Haas",NA,17,"YTDParorBetterStreak",2015
8,8,"Russell Knox",NA,17,"YTDParorBetterStreak",2015
8,8,"Brandt Snedeker",NA,17,"YTDParorBetterStreak",2015
8,8,"Jordan Spieth",NA,17,"YTDParorBetterStreak",2015
8,8,"Henrik Stenson",NA,17,"YTDParorBetterStreak",2015
8,8,"Will Wilcox",NA,17,"YTDParorBetterStreak",2015
14,14,"Chad Collins",NA,16,"YTDParorBetterStreak",2015
14,14,"Tom Hoge",NA,16,"YTDParorBetterStreak",2015
14,14,"Colt Knost",NA,16,"YTDParorBetterStreak",2015
14,14,"Martin Laird",NA,16,"YTDParorBetterStreak",2015
14,14,"Chris Stroud",NA,16,"YTDParorBetterStreak",2015
14,14,"Bubba Watson",NA,16,"YTDParorBetterStreak",2015
20,20,"Billy Horschel",NA,15,"YTDParorBetterStreak",2015
20,20,"Louis Oosthuizen",NA,15,"YTDParorBetterStreak",2015
20,20,"Kyle Stanley",NA,15,"YTDParorBetterStreak",2015
20,20,"Robert Streb",NA,15,"YTDParorBetterStreak",2015
20,20,"Johnson Wagner",NA,15,"YTDParorBetterStreak",2015
25,25,"Daniel Berger",NA,14,"YTDParorBetterStreak",2015
25,25,"Jim Furyk",NA,14,"YTDParorBetterStreak",2015
25,25,"Zach Johnson",NA,14,"YTDParorBetterStreak",2015
25,25,"Brooks Koepka",NA,14,"YTDParorBetterStreak",2015
25,25,"Pat Perez",NA,14,"YTDParorBetterStreak",2015
25,25,"Rory Sabbatini",NA,14,"YTDParorBetterStreak",2015
25,25,"Brendan Steele",NA,14,"YTDParorBetterStreak",2015
32,32,"Zac Blair",NA,13,"YTDParorBetterStreak",2015
32,32,"Angel Cabrera",NA,13,"YTDParorBetterStreak",2015
32,32,"Brendon de Jonge",NA,13,"YTDParorBetterStreak",2015
32,32,"Charley Hoffman",NA,13,"YTDParorBetterStreak",2015
32,32,"Jerry Kelly",NA,13,"YTDParorBetterStreak",2015
