"CurrentStreakwithouta3Putt_RANKTHISWEEK_2011","CurrentStreakwithouta3Putt_RANKLASTWEEK_2011","CurrentStreakwithouta3Putt_PLAYERNAME_2011","CurrentStreakwithouta3Putt_EVENTS_2011","CurrentStreakwithouta3Putt_VALUE_2011","stat_name","year"
1,1,"Carl Pettersson",27,198,"CurrentStreakwithouta3Putt",2011
2,2,"Briny Baird",19,152,"CurrentStreakwithouta3Putt",2011
3,3,"Matt Kuchar",24,133,"CurrentStreakwithouta3Putt",2011
4,4,"Sergio Garcia",16,131,"CurrentStreakwithouta3Putt",2011
5,5,"Robert Karlsson",18,115,"CurrentStreakwithouta3Putt",2011
6,6,"John Merrick",21,112,"CurrentStreakwithouta3Putt",2011
7,7,"Paul Stankowski",24,106,"CurrentStreakwithouta3Putt",2011
7,7,"Cameron Tringale",32,106,"CurrentStreakwithouta3Putt",2011
9,9,"Michael Bradley",24,104,"CurrentStreakwithouta3Putt",2011
10,10,"Greg Chalmers",28,103,"CurrentStreakwithouta3Putt",2011
11,11,"Chris Couch",21,96,"CurrentStreakwithouta3Putt",2011
11,11,"Webb Simpson",26,96,"CurrentStreakwithouta3Putt",2011
13,13,"Scott Gutschewski",23,94,"CurrentStreakwithouta3Putt",2011
14,14,"George McNeill",21,88,"CurrentStreakwithouta3Putt",2011
14,14,"Jhonattan Vegas",25,88,"CurrentStreakwithouta3Putt",2011
16,16,"Ian Poulter",16,84,"CurrentStreakwithouta3Putt",2011
17,17,"Jonathan Byrd",26,82,"CurrentStreakwithouta3Putt",2011
17,17,"Nick Watney",22,82,"CurrentStreakwithouta3Putt",2011
19,19,"Kris Blanks",29,81,"CurrentStreakwithouta3Putt",2011
20,20,"Kevin Chappell",26,77,"CurrentStreakwithouta3Putt",2011
20,20,"Bubba Watson",22,77,"CurrentStreakwithouta3Putt",2011
22,22,"Charley Hoffman",27,76,"CurrentStreakwithouta3Putt",2011
23,23,"Ben Crane",23,74,"CurrentStreakwithouta3Putt",2011
24,24,"Davis Love III",22,72,"CurrentStreakwithouta3Putt",2011
25,25,"Jerry Kelly",26,69,"CurrentStreakwithouta3Putt",2011
25,25,"Nick OHern",29,69,"CurrentStreakwithouta3Putt",2011
27,27,"Freddie Jacobson",25,67,"CurrentStreakwithouta3Putt",2011
28,28,"Vaughn Taylor",27,66,"CurrentStreakwithouta3Putt",2011
29,29,"Martin Laird",23,62,"CurrentStreakwithouta3Putt",2011
30,30,"Padraig Harrington",18,61,"CurrentStreakwithouta3Putt",2011
30,30,"John Rollins",27,61,"CurrentStreakwithouta3Putt",2011
32,32,"DA Points",26,59,"CurrentStreakwithouta3Putt",2011
32,32,"Roland Thatcher",22,59,"CurrentStreakwithouta3Putt",2011
34,34,"Jim Furyk",26,53,"CurrentStreakwithouta3Putt",2011
35,35,"David Duval",24,52,"CurrentStreakwithouta3Putt",2011
36,36,"Jimmy Walker",24,51,"CurrentStreakwithouta3Putt",2011
37,37,"Brian Davis",30,50,"CurrentStreakwithouta3Putt",2011
38,38,"Trevor Immelman",25,48,"CurrentStreakwithouta3Putt",2011
39,39,"Robert Garrigus",26,47,"CurrentStreakwithouta3Putt",2011
40,40,"Derek Lamely",26,45,"CurrentStreakwithouta3Putt",2011
41,41,"Ryuji Imada",29,44,"CurrentStreakwithouta3Putt",2011
42,42,"Rory Sabbatini",24,42,"CurrentStreakwithouta3Putt",2011
43,43,"Justin Hicks",23,41,"CurrentStreakwithouta3Putt",2011
44,44,"Harrison Frazar",19,40,"CurrentStreakwithouta3Putt",2011
44,44,"Retief Goosen",16,40,"CurrentStreakwithouta3Putt",2011
44,44,"Hunter Mahan",25,40,"CurrentStreakwithouta3Putt",2011
44,44,"Heath Slocum",29,40,"CurrentStreakwithouta3Putt",2011
48,48,"Gary Woodland",25,39,"CurrentStreakwithouta3Putt",2011
49,49,"Kevin Kisner",24,38,"CurrentStreakwithouta3Putt",2011
49,49,"Camilo Villegas",25,38,"CurrentStreakwithouta3Putt",2011
51,51,"Lee Janzen",19,37,"CurrentStreakwithouta3Putt",2011
52,52,"Colt Knost",27,36,"CurrentStreakwithouta3Putt",2011
52,52,"John Senden",26,36,"CurrentStreakwithouta3Putt",2011
54,54,"Joe Durant",25,35,"CurrentStreakwithouta3Putt",2011
54,54,"William McGirt",32,35,"CurrentStreakwithouta3Putt",2011
56,56,"Brandt Snedeker",26,34,"CurrentStreakwithouta3Putt",2011
57,57,"Stephen Ames",22,33,"CurrentStreakwithouta3Putt",2011
57,57,"Steve Flesch",27,33,"CurrentStreakwithouta3Putt",2011
59,59,"Stewart Cink",22,32,"CurrentStreakwithouta3Putt",2011
59,59,"Chris Kirk",28,32,"CurrentStreakwithouta3Putt",2011
59,59,"Nate Smith",24,32,"CurrentStreakwithouta3Putt",2011
62,62,"Chris DiMarco",31,31,"CurrentStreakwithouta3Putt",2011
62,62,"Bryce Molder",27,31,"CurrentStreakwithouta3Putt",2011
64,64,"KJ Choi",22,30,"CurrentStreakwithouta3Putt",2011
64,64,"Lucas Glover",23,30,"CurrentStreakwithouta3Putt",2011
64,64,"Phil Mickelson",21,30,"CurrentStreakwithouta3Putt",2011
67,67,"Kevin Na",26,29,"CurrentStreakwithouta3Putt",2011
68,68,"Tommy Gainey",34,28,"CurrentStreakwithouta3Putt",2011
68,68,"Spencer Levin",31,28,"CurrentStreakwithouta3Putt",2011
70,70,"Steve Elkington",17,27,"CurrentStreakwithouta3Putt",2011
70,70,"Nathan Green",26,27,"CurrentStreakwithouta3Putt",2011
72,72,"Jason Bohn",22,26,"CurrentStreakwithouta3Putt",2011
72,72,"Ernie Els",21,26,"CurrentStreakwithouta3Putt",2011
72,72,"Sean OHair",24,26,"CurrentStreakwithouta3Putt",2011
72,72,"DJ Trahan",30,26,"CurrentStreakwithouta3Putt",2011
76,76,"Justin Leonard",26,23,"CurrentStreakwithouta3Putt",2011
77,77,"Kevin Stadler",27,22,"CurrentStreakwithouta3Putt",2011
77,77,"Kevin Streelman",26,22,"CurrentStreakwithouta3Putt",2011
79,79,"Andres Gonzales",21,21,"CurrentStreakwithouta3Putt",2011
80,80,"Ben Curtis",23,19,"CurrentStreakwithouta3Putt",2011
80,80,"Richard Johnson",23,19,"CurrentStreakwithouta3Putt",2011
80,80,"Geoff Ogilvy",21,19,"CurrentStreakwithouta3Putt",2011
80,80,"Tag Ridings",28,19,"CurrentStreakwithouta3Putt",2011
80,80,"Adam Scott",18,19,"CurrentStreakwithouta3Putt",2011
85,85,"Keegan Bradley",28,18,"CurrentStreakwithouta3Putt",2011
85,85,"Bill Haas",26,18,"CurrentStreakwithouta3Putt",2011
85,85,"Billy Horschel",25,18,"CurrentStreakwithouta3Putt",2011
85,85,"Scott McCarron",22,18,"CurrentStreakwithouta3Putt",2011
89,89,"Brian Gay",26,17,"CurrentStreakwithouta3Putt",2011
89,89,"Jim Renner",22,17,"CurrentStreakwithouta3Putt",2011
89,89,"Alexandre Rocha",22,17,"CurrentStreakwithouta3Putt",2011
89,89,"Scott Stallings",28,17,"CurrentStreakwithouta3Putt",2011
93,93,"Woody Austin",18,16,"CurrentStreakwithouta3Putt",2011
93,93,"Jason Dufner",23,16,"CurrentStreakwithouta3Putt",2011
93,93,"Matt Jones",25,16,"CurrentStreakwithouta3Putt",2011
93,93,"Will Strickler",19,16,"CurrentStreakwithouta3Putt",2011
97,97,"Tom Gillis",19,15,"CurrentStreakwithouta3Putt",2011
97,97,"Ben Martin",25,15,"CurrentStreakwithouta3Putt",2011
97,97,"Martin Piller",23,15,"CurrentStreakwithouta3Putt",2011
97,97,"Chris Riley",25,15,"CurrentStreakwithouta3Putt",2011
101,101,"Joseph Bramlett",25,14,"CurrentStreakwithouta3Putt",2011
101,101,"Luke Donald",19,14,"CurrentStreakwithouta3Putt",2011
101,101,"Brandt Jobe",28,14,"CurrentStreakwithouta3Putt",2011
101,101,"Bio Kim",25,14,"CurrentStreakwithouta3Putt",2011
101,101,"Vijay Singh",25,14,"CurrentStreakwithouta3Putt",2011
101,101,"Mark Wilson",26,14,"CurrentStreakwithouta3Putt",2011
107,107,"David Hearn",26,13,"CurrentStreakwithouta3Putt",2011
107,107,"Charles Howell III",30,13,"CurrentStreakwithouta3Putt",2011
107,107,"Chez Reavie",27,13,"CurrentStreakwithouta3Putt",2011
107,107,"Chris Stroud",28,13,"CurrentStreakwithouta3Putt",2011
111,111,"Tim Herron",28,12,"CurrentStreakwithouta3Putt",2011
111,111,"Marc Leishman",27,12,"CurrentStreakwithouta3Putt",2011
111,111,"Steve Marino",23,12,"CurrentStreakwithouta3Putt",2011
111,111,"Troy Merritt",23,12,"CurrentStreakwithouta3Putt",2011
111,111,"Kyle Stanley",28,12,"CurrentStreakwithouta3Putt",2011
116,116,"Anthony Kim",26,11,"CurrentStreakwithouta3Putt",2011
116,116,"David Mathis",25,11,"CurrentStreakwithouta3Putt",2011
116,116,"Alex Prugh",29,11,"CurrentStreakwithouta3Putt",2011
119,119,"DJ Brigman",23,10,"CurrentStreakwithouta3Putt",2011
119,119,"Brendon de Jonge",30,10,"CurrentStreakwithouta3Putt",2011
119,119,"JP Hayes",19,10,"CurrentStreakwithouta3Putt",2011
122,122,"James Driscoll",24,9,"CurrentStreakwithouta3Putt",2011
122,122,"Fabian Gomez",26,9,"CurrentStreakwithouta3Putt",2011
122,122,"Sung Kang",21,9,"CurrentStreakwithouta3Putt",2011
122,122,"Joe Ogilvie",24,9,"CurrentStreakwithouta3Putt",2011
122,122,"Daniel Summerhays",29,9,"CurrentStreakwithouta3Putt",2011
122,122,"Dean Wilson",22,9,"CurrentStreakwithouta3Putt",2011
128,128,"Angel Cabrera",17,8,"CurrentStreakwithouta3Putt",2011
128,128,"Hunter Haas",30,8,"CurrentStreakwithouta3Putt",2011
128,128,"Rod Pampling",21,8,"CurrentStreakwithouta3Putt",2011
128,128,"Pat Perez",24,8,"CurrentStreakwithouta3Putt",2011
128,128,"Marc Turnesa",20,8,"CurrentStreakwithouta3Putt",2011
133,133,"Aaron Baddeley",22,7,"CurrentStreakwithouta3Putt",2011
133,133,"Zach Johnson",23,7,"CurrentStreakwithouta3Putt",2011
133,133,"Dustin Johnson",21,7,"CurrentStreakwithouta3Putt",2011
133,133,"Rocco Mediate",23,7,"CurrentStreakwithouta3Putt",2011
133,133,"Steve Stricker",19,7,"CurrentStreakwithouta3Putt",2011
133,133,"David Toms",23,7,"CurrentStreakwithouta3Putt",2011
139,139,"Blake Adams",34,6,"CurrentStreakwithouta3Putt",2011
139,139,"Shane Bertsch",20,6,"CurrentStreakwithouta3Putt",2011
139,139,"Steven Bowditch",28,6,"CurrentStreakwithouta3Putt",2011
139,139,"Jeff Overton",26,6,"CurrentStreakwithouta3Putt",2011
139,139,"Aron Price",18,6,"CurrentStreakwithouta3Putt",2011
139,139,"Garrett Willis",24,6,"CurrentStreakwithouta3Putt",2011
145,145,"Chad Campbell",29,5,"CurrentStreakwithouta3Putt",2011
145,145,"Paul Goydos",25,5,"CurrentStreakwithouta3Putt",2011
145,145,"Troy Matteson",28,5,"CurrentStreakwithouta3Putt",2011
145,145,"Shaun Micheel",27,5,"CurrentStreakwithouta3Putt",2011
145,145,"Zack Miller",30,5,"CurrentStreakwithouta3Putt",2011
145,145,"Bo Van Pelt",27,5,"CurrentStreakwithouta3Putt",2011
145,145,"YE Yang",18,5,"CurrentStreakwithouta3Putt",2011
152,152,"Stuart Appleby",24,4,"CurrentStreakwithouta3Putt",2011
152,152,"Arjun Atwal",29,4,"CurrentStreakwithouta3Putt",2011
152,152,"Michael Connell",26,4,"CurrentStreakwithouta3Putt",2011
155,155,"Ricky Barnes",23,3,"CurrentStreakwithouta3Putt",2011
155,155,"Cameron Beckman",25,3,"CurrentStreakwithouta3Putt",2011
155,155,"Rich Beem",21,3,"CurrentStreakwithouta3Putt",2011
155,155,"JJ Henry",28,3,"CurrentStreakwithouta3Putt",2011
155,155,"JB Holmes",16,3,"CurrentStreakwithouta3Putt",2011
155,155,"Scott Piercy",23,3,"CurrentStreakwithouta3Putt",2011
155,155,"Boo Weekley",23,3,"CurrentStreakwithouta3Putt",2011
162,162,"Andres Romero",22,2,"CurrentStreakwithouta3Putt",2011
162,162,"Charl Schwartzel",15,2,"CurrentStreakwithouta3Putt",2011
162,162,"Brendan Steele",27,2,"CurrentStreakwithouta3Putt",2011
162,162,"Johnson Wagner",25,2,"CurrentStreakwithouta3Putt",2011
162,162,"Charlie Wi",25,2,"CurrentStreakwithouta3Putt",2011
167,167,"Jarrod Lyle",29,1,"CurrentStreakwithouta3Putt",2011
167,167,"Graeme McDowell",16,1,"CurrentStreakwithouta3Putt",2011
167,167,"Michael Putnam",21,1,"CurrentStreakwithouta3Putt",2011
