"PuttingInside10_RANKTHISWEEK_2011","PuttingInside10_RANKLASTWEEK_2011","PuttingInside10_PLAYERNAME_2011","PuttingInside10_ROUNDS_2011","PuttingInside10_PctMADE_2011","PuttingInside10_ATTEMPTS_2011","PuttingInside10_PUTTSMADE_2011","stat_name","year"
1,1,"Bryce Molder",82,90.5,1263,1143,"PuttingInside10",2011
2,2,"Freddie Jacobson",92,90.25,1241,1120,"PuttingInside10",2011
3,3,"Jerry Kelly",85,89.95,1224,1101,"PuttingInside10",2011
4,4,"Luke Donald",73,89.85,936,841,"PuttingInside10",2011
5,5,"Zach Johnson",79,89.82,1149,1032,"PuttingInside10",2011
6,6,"Chris Couch",73,89.68,1201,1077,"PuttingInside10",2011
7,7,"JJ Henry",96,89.48,1445,1293,"PuttingInside10",2011
8,8,"Brian Gay",90,89.44,1316,1177,"PuttingInside10",2011
9,9,"YE Yang",63,89.27,755,674,"PuttingInside10",2011
10,10,"Steve Stricker",70,89.16,950,847,"PuttingInside10",2011
11,11,"Charles Howell III",108,89.14,1648,1469,"PuttingInside10",2011
12,12,"Trevor Immelman",84,89.13,1224,1091,"PuttingInside10",2011
13,13,"Nick Watney",80,89.08,1108,987,"PuttingInside10",2011
14,14,"John Senden",94,89.03,1458,1298,"PuttingInside10",2011
14,14,"Charlie Wi",83,89.03,1376,1225,"PuttingInside10",2011
16,16,"Ryan Moore",79,89,1073,955,"PuttingInside10",2011
17,17,"Colt Knost",80,88.99,1226,1091,"PuttingInside10",2011
18,18,"Kevin Streelman",90,88.77,1282,1138,"PuttingInside10",2011
19,19,"Billy Horschel",75,88.73,1136,1008,"PuttingInside10",2011
19,19,"Brendan Steele",89,88.73,1420,1260,"PuttingInside10",2011
21,21,"Aaron Baddeley",77,88.72,1117,991,"PuttingInside10",2011
22,22,"Matt Kuchar",94,88.69,1300,1153,"PuttingInside10",2011
23,23,"Michael Thompson",79,88.68,1237,1097,"PuttingInside10",2011
24,24,"Nate Smith",66,88.67,971,861,"PuttingInside10",2011
24,24,"Brandt Snedeker",85,88.67,1200,1064,"PuttingInside10",2011
26,26,"Blake Adams",116,88.58,1892,1676,"PuttingInside10",2011
27,27,"Greg Chalmers",88,88.56,1425,1262,"PuttingInside10",2011
28,28,"William McGirt",103,88.55,1677,1485,"PuttingInside10",2011
29,29,"Ian Poulter",52,88.53,715,633,"PuttingInside10",2011
30,30,"Richard Johnson",64,88.48,990,876,"PuttingInside10",2011
31,31,"Geoff Ogilvy",69,88.43,985,871,"PuttingInside10",2011
32,32,"Johnson Wagner",81,88.39,1275,1127,"PuttingInside10",2011
33,33,"Spencer Levin",113,88.38,1738,1536,"PuttingInside10",2011
34,34,"Dean Wilson",62,88.37,1040,919,"PuttingInside10",2011
35,35,"Padraig Harrington",60,88.36,825,729,"PuttingInside10",2011
35,35,"Tim Herron",85,88.36,1417,1252,"PuttingInside10",2011
35,35,"Marc Turnesa",54,88.36,825,729,"PuttingInside10",2011
38,38,"Briny Baird",60,88.35,893,789,"PuttingInside10",2011
38,38,"Retief Goosen",50,88.35,721,637,"PuttingInside10",2011
38,38,"Mark Wilson",89,88.35,1270,1122,"PuttingInside10",2011
41,41,"Jonathan Byrd",83,88.34,1329,1174,"PuttingInside10",2011
42,42,"Ben Crane",76,88.28,1135,1002,"PuttingInside10",2011
43,43,"Jason Day",76,88.26,1056,932,"PuttingInside10",2011
43,43,"Justin Rose",79,88.26,1175,1037,"PuttingInside10",2011
45,45,"Carl Pettersson",95,88.25,1643,1450,"PuttingInside10",2011
46,46,"Steve Flesch",88,88.23,1436,1267,"PuttingInside10",2011
47,47,"Michael Bradley",74,88.21,1086,958,"PuttingInside10",2011
47,47,"Tim Petrovic",88,88.21,1417,1250,"PuttingInside10",2011
49,49,"Kevin Na",84,88.16,1216,1072,"PuttingInside10",2011
49,49,"Michael Putnam",67,88.16,971,856,"PuttingInside10",2011
51,51,"Stewart Cink",72,88.15,945,833,"PuttingInside10",2011
52,52,"Angel Cabrera",50,88.14,641,565,"PuttingInside10",2011
53,53,"Scott McCarron",65,88.1,983,866,"PuttingInside10",2011
54,54,"DA Points",89,88.09,1369,1206,"PuttingInside10",2011
55,55,"Hunter Mahan",92,88.08,1376,1212,"PuttingInside10",2011
55,55,"Matt McQuillan",59,88.08,864,761,"PuttingInside10",2011
55,55,"Ryan Palmer",82,88.08,1124,990,"PuttingInside10",2011
58,58,"Ben Curtis",66,88.05,1138,1002,"PuttingInside10",2011
59,59,"Ben Martin",74,88.04,1196,1053,"PuttingInside10",2011
60,60,"Phil Mickelson",79,88.01,1076,947,"PuttingInside10",2011
61,61,"Bill Haas",93,87.97,1322,1163,"PuttingInside10",2011
62,62,"Roland Thatcher",67,87.91,1117,982,"PuttingInside10",2011
63,63,"Cameron Tringale",110,87.88,1782,1566,"PuttingInside10",2011
