"GoingfortheGreenHitGreenPct_RANKTHISWEEK_2015","GoingfortheGreenHitGreenPct_RANKLASTWEEK_2015","GoingfortheGreenHitGreenPct_PLAYERNAME_2015","GoingfortheGreenHitGreenPct_ROUNDS_2015","GoingfortheGreenHitGreenPct_Pct_2015","GoingfortheGreenHitGreenPct_SUCCESSES_2015","GoingfortheGreenHitGreenPct_ATTEMPTS_2015","GoingfortheGreenHitGreenPct_RTPSUCCESSES_2015","GoingfortheGreenHitGreenPct_RTPNOTGOINGFORTHEGRN_2015","stat_name","year"
1,1,"Alex Prugh",84,34.35,45,131,-42,NA,"GoingfortheGreenHitGreenPct",2015
2,2,"Hudson Swafford",97,32.73,54,165,-58,NA,"GoingfortheGreenHitGreenPct",2015
3,3,"Ben Martin",93,32.03,41,128,-38,NA,"GoingfortheGreenHitGreenPct",2015
4,4,"Lucas Glover",79,30.5,43,141,-42,NA,"GoingfortheGreenHitGreenPct",2015
5,5,"Tony Finau",106,30.43,77,253,-81,NA,"GoingfortheGreenHitGreenPct",2015
5,5,"Adam Scott",51,30.43,21,69,-21,NA,"GoingfortheGreenHitGreenPct",2015
7,7,"Brooks Koepka",84,30.32,47,155,-55,NA,"GoingfortheGreenHitGreenPct",2015
8,8,"Paul Casey",87,30.28,33,109,-35,NA,"GoingfortheGreenHitGreenPct",2015
9,9,"Will Wilcox",58,30.26,23,76,-26,NA,"GoingfortheGreenHitGreenPct",2015
10,10,"Jason Day",75,30,48,160,-53,NA,"GoingfortheGreenHitGreenPct",2015
11,11,"Bubba Watson",71,29.55,52,176,-55,NA,"GoingfortheGreenHitGreenPct",2015
12,12,"Patrick Rodgers",57,29.52,31,105,-31,NA,"GoingfortheGreenHitGreenPct",2015
13,13,"Jim Herman",88,29.46,38,129,-39,NA,"GoingfortheGreenHitGreenPct",2015
14,14,"Chris Kirk",76,29.41,30,102,-30,NA,"GoingfortheGreenHitGreenPct",2015
15,15,"Roger Sloan",56,28.95,22,76,-21,NA,"GoingfortheGreenHitGreenPct",2015
16,16,"Carlos Ortiz",100,28.64,59,206,-60,NA,"GoingfortheGreenHitGreenPct",2015
17,17,"Camilo Villegas",83,28.57,38,133,-38,NA,"GoingfortheGreenHitGreenPct",2015
18,18,"Scott Langley",94,28.44,31,109,-30,NA,"GoingfortheGreenHitGreenPct",2015
19,19,"Seung Yul Noh",65,28.43,29,102,-30,NA,"GoingfortheGreenHitGreenPct",2015
20,20,"Colt Knost",90,28.41,25,88,-26,NA,"GoingfortheGreenHitGreenPct",2015
21,21,"Sam Saunders",83,28.37,40,141,-41,NA,"GoingfortheGreenHitGreenPct",2015
22,22,"Johnson Wagner",68,28.24,24,85,-27,NA,"GoingfortheGreenHitGreenPct",2015
23,23,"Billy Horschel",99,27.75,48,173,-51,NA,"GoingfortheGreenHitGreenPct",2015
