"LongestPutts_RANKTHISWEEK_2011","LongestPutts_RANKLASTWEEK_2011","LongestPutts_PLAYERNAME_2011","LongestPutts_ROUNDS_2011","LongestPutts_DISTANCE_2011","LongestPutts_YEARTOURN_2011","LongestPutts_ROUND_2011","LongestPutts_HOLE_2011","stat_name","year"
1,1,"Angel Cabrera",50,NA,NA,4,17,"LongestPutts",2011
2,2,"Alex Cejka",59,NA,NA,1,9,"LongestPutts",2011
3,3,"Charles Howell III",108,NA,NA,4,12,"LongestPutts",2011
4,4,"Mike Weir",34,NA,NA,2,13,"LongestPutts",2011
5,5,"Ben Martin",74,NA,NA,2,15,"LongestPutts",2011
6,6,"JB Holmes",57,NA,NA,4,12,"LongestPutts",2011
7,7,"Tag Ridings",87,NA,NA,3,8,"LongestPutts",2011
8,8,"Jonathan Byrd",83,NA,NA,2,8,"LongestPutts",2011
9,9,"Arjun Atwal",91,NA,NA,2,11,"LongestPutts",2011
10,10,"Andrew McLardy",2,NA,NA,2,17,"LongestPutts",2011
11,11,"Troy Matteson",91,NA,NA,2,18,"LongestPutts",2011
12,12,"Scott Piercy",78,NA,NA,3,18,"LongestPutts",2011
13,13,"Steve Stricker",70,NA,NA,3,1,"LongestPutts",2011
14,14,"Troy Merritt",63,NA,NA,4,13,"LongestPutts",2011
15,15,"Anthony Kim",72,NA,NA,1,12,"LongestPutts",2011
16,16,"Fabian Gomez",84,NA,NA,3,12,"LongestPutts",2011
17,17,"Josh Teater",104,NA,NA,2,3,"LongestPutts",2011
18,18,"Brendon de Jonge",105,NA,NA,1,1,"LongestPutts",2011
19,19,"James Driscoll",71,NA,NA,4,5,"LongestPutts",2011
20,20,"Johnson Wagner",81,NA,NA,2,10,"LongestPutts",2011
21,21,"Matthew Swan",2,NA,NA,2,18,"LongestPutts",2011
22,22,"Geoff Ogilvy",69,NA,NA,4,3,"LongestPutts",2011
23,23,"Jhonattan Vegas",84,NA,NA,3,18,"LongestPutts",2011
24,24,"John Senden",94,NA,NA,3,17,"LongestPutts",2011
