"RyderCupEuroPoints_RANKTHISWEEK_2010","RyderCupEuroPoints_RANKLASTWEEK_2010","RyderCupEuroPoints_PLAYERNAME_2010","RyderCupEuroPoints__2010","RyderCupEuroPoints_POINTS_2010","stat_name","year"
1,NA,"Lee Westwood",NA,3446137.87,"RyderCupEuroPoints",2010
2,NA,"Martin Kaymer",NA,2638282.58,"RyderCupEuroPoints",2010
3,NA,"Rory McIlroy",NA,2368205.11,"RyderCupEuroPoints",2010
4,NA,"Graeme McDowell",NA,2307041.47,"RyderCupEuroPoints",2010
5,NA,"Ian Poulter",NA,2238874.06,"RyderCupEuroPoints",2010
6,NA,"Ross Fisher",NA,1732537.57,"RyderCupEuroPoints",2010
7,NA,"Francesco Molinari",NA,1700408.54,"RyderCupEuroPoints",2010
8,NA,"Miguel Angel Jimenez",NA,1642436.14,"RyderCupEuroPoints",2010
9,NA,"Peter Hanson",NA,1599952.41,"RyderCupEuroPoints",2010
10,NA,"Edoardo Molinari",NA,1542828.32,"RyderCupEuroPoints",2010
11,NA,"Paul Casey",NA,1487776.86,"RyderCupEuroPoints",2010
12,NA,"Padraig Harrington",NA,1486529.63,"RyderCupEuroPoints",2010
13,NA,"Ross McGowan",NA,1414157.79,"RyderCupEuroPoints",2010
14,NA,"Simon Dyson",NA,1367083.58,"RyderCupEuroPoints",2010
15,NA,"Alvaro Quiros",NA,1296413.04,"RyderCupEuroPoints",2010
16,NA,"Luke Donald",NA,1290803.61,"RyderCupEuroPoints",2010
17,NA,"Rhys Davies",NA,1155988.78,"RyderCupEuroPoints",2010
18,NA,"Oliver Wilson",NA,1075566.32,"RyderCupEuroPoints",2010
19,NA,"Sergio Garcia",NA,1022054.82,"RyderCupEuroPoints",2010
20,NA,"Simon Khan",NA,1015820.18,"RyderCupEuroPoints",2010
21,NA,"Darren Clarke",NA,957042.92,"RyderCupEuroPoints",2010
22,NA,"Alexander Noren",NA,921724.1,"RyderCupEuroPoints",2010
23,NA,"Fredrik Andersson Hed",NA,897727.09,"RyderCupEuroPoints",2010
24,NA,"Anders Hansen",NA,853434.08,"RyderCupEuroPoints",2010
25,NA,"Stephen Gallacher",NA,843085.92,"RyderCupEuroPoints",2010
26,NA,"Gregory Bourdy",NA,842127.12,"RyderCupEuroPoints",2010
27,NA,"Gregory Havret",NA,815473.91,"RyderCupEuroPoints",2010
28,NA,"Henrik Stenson",NA,806507.98,"RyderCupEuroPoints",2010
29,NA,"Bradley Dredge",NA,799483.4,"RyderCupEuroPoints",2010
30,NA,"Robert Karlsson",NA,798686.11,"RyderCupEuroPoints",2010
31,NA,"David Horsey",NA,764860.54,"RyderCupEuroPoints",2010
32,NA,"Danny Willett",NA,753634.98,"RyderCupEuroPoints",2010
33,NA,"Alejandro Canizares",NA,749312.72,"RyderCupEuroPoints",2010
34,NA,"Soren Hansen",NA,728641.69,"RyderCupEuroPoints",2010
35,NA,"Raphael Jacquelin",NA,720817.52,"RyderCupEuroPoints",2010
36,NA,"Robert Rock",NA,641125.27,"RyderCupEuroPoints",2010
37,NA,"Rafa Cabrera Bello",NA,632769.01,"RyderCupEuroPoints",2010
38,NA,"Chris Wood",NA,614141.78,"RyderCupEuroPoints",2010
39,NA,"Gareth Maybin",NA,608506.94,"RyderCupEuroPoints",2010
40,NA,"Peter Lawrie",NA,598672.52,"RyderCupEuroPoints",2010
41,NA,"Jamie Donaldson",NA,584824.97,"RyderCupEuroPoints",2010
